symbol,date,open,high,low,close,volume,change,changePercent,vwap
ADBE,2025-04-04,359.0,361.73,350.7,350.94,4446088,-8.06,-2.24513,354.46
ADBE,2025-04-03,371.88,376.01,366.29,367.25,5310926,-4.62,-1.25,370.3575
ADBE,2025-04-02,378.28,388.0,376.54,385.78,2859100,7.5,1.98,382.15
ADBE,2025-04-01,381.13,384.0,375.53,383.2,3847800,2.07,0.54312,380.965
ADBE,2025-03-31,380.0,384.8,374.67,383.53,3960737,3.53,0.92895,380.75
ADBE,2025-03-28,393.89,396.92,384.76,385.71,3830307,-8.18,-2.08,390.32
ADBE,2025-03-27,397.44,401.48,392.51,396.15,2729700,-1.29,-0.32458,396.895
ADBE,2025-03-26,403.0,404.5,397.01,397.81,3426315,-5.19,-1.29,400.58
ADBE,2025-03-25,393.57,404.32,392.99,403.64,3648600,10.07,2.56,398.63
ADBE,2025-03-24,392.47,396.86,391.38,394.47,5223006,2.0,0.50959,393.795
ADBE,2025-03-21,384.13,389.85,382.45,387.26,7607300,3.13,0.81483,385.9225
ADBE,2025-03-20,386.9,397.82,385.8,389.61,4009500,2.72,0.70044,390.0325
ADBE,2025-03-19,394.1,395.26,387.0,387.89,4349931,-6.21,-1.58,391.0625
ADBE,2025-03-18,395.36,395.95,384.57,391.37,4297300,-3.99,-1.01,391.8125
ADBE,2025-03-17,394.12,399.94,387.13,399.34,4258533,5.22,1.32,395.1325
ADBE,2025-03-14,379.75,396.36,377.8,394.74,6134800,15.0,3.95,387.1625
ADBE,2025-03-13,405.27,405.77,374.5,377.84,14386637,-27.43,-6.77,390.845
ADBE,2025-03-12,436.69,443.9,435.5,438.6,5515900,1.91,0.43738,438.6725
ADBE,2025-03-11,432.88,441.33,431.0,433.66,3145227,0.78,0.18019,434.7175
ADBE,2025-03-10,443.11,444.54,433.23,435.08,4001634,-8.03,-1.81,438.99
ADBE,2025-03-07,442.0,452.51,440.99,449.4,3039500,7.4,1.67,446.225
ADBE,2025-03-06,444.73,452.19,441.19,444.78,2732100,0.05,0.01124278,445.7225
ADBE,2025-03-05,443.65,453.26,443.11,451.24,2406219,7.59,1.71,447.815
ADBE,2025-03-04,439.25,448.82,434.7,446.03,2942200,6.78,1.54,442.2
ADBE,2025-03-03,440.65,448.09,438.21,440.72,2607700,0.07,0.01588562,441.9175
ADBE,2025-02-28,438.16,440.37,432.1,438.56,3936914,0.4,0.09129085,437.2975
ADBE,2025-02-27,441.79,444.57,436.82,437.19,2340232,-4.6,-1.04,440.0925
ADBE,2025-02-26,443.8,447.65,438.4,441.5,1947626,-2.3,-0.51825,442.8375
ADBE,2025-02-25,443.47,447.49,439.17,443.41,2612700,-0.06,-0.01352966,443.385
ADBE,2025-02-24,445.11,446.28,440.91,444.42,2807937,-0.69,-0.15502,444.18
ADBE,2025-02-21,453.28,453.75,440.69,444.32,3376000,-8.95,-1.98,448.01
ADBE,2025-02-20,457.44,461.0,451.57,454.69,2337600,-2.75,-0.60117,456.175
ADBE,2025-02-19,463.61,463.61,455.32,456.99,2965546,-6.62,-1.43,459.8825
ADBE,2025-02-18,462.65,464.33,453.07,464.11,2973800,1.46,0.31557,461.04
ADBE,2025-02-14,463.35,464.99,458.0,460.16,2623000,-3.19,-0.68846,461.625
ADBE,2025-02-13,465.21,465.7,457.03,459.22,2794400,-5.99,-1.29,461.79
ADBE,2025-02-12,458.0,463.0,451.3,462.76,3308534,4.76,1.04,458.765
ADBE,2025-02-11,449.0,461.55,448.29,458.82,3257000,9.82,2.19,454.415
ADBE,2025-02-10,439.25,453.37,439.0,451.1,3946729,11.85,2.7,445.68
ADBE,2025-02-07,436.24,441.0,432.41,433.07,2693500,-3.17,-0.72666,435.68
ADBE,2025-02-06,437.63,439.96,434.35,435.4,2568120,-2.23,-0.50956,436.835
ADBE,2025-02-05,440.75,444.95,436.27,437.63,2938540,-3.12,-0.70788,439.9
ADBE,2025-02-04,435.43,443.58,434.26,440.23,2647701,4.8,1.1,438.375
ADBE,2025-02-03,437.8,442.74,430.88,438.6,3348717,0.8,0.18273,437.505
ADBE,2025-01-31,446.98,447.01,435.83,437.45,4689100,-9.53,-2.13,441.8175
ADBE,2025-01-30,439.67,448.42,439.23,446.0,3290128,6.33,1.44,443.33
ADBE,2025-01-29,439.92,444.36,438.83,441.68,2997604,1.76,0.40007,441.1975
ADBE,2025-01-28,436.27,445.81,431.64,442.84,5376400,6.57,1.51,439.14
ADBE,2025-01-27,430.23,445.45,430.12,438.6,5086300,8.37,1.95,436.1
ADBE,2025-01-24,437.28,441.88,434.73,435.38,2631804,-1.9,-0.4345,437.3175
ADBE,2025-01-23,435.88,437.73,432.49,437.28,2716742,1.4,0.32119,435.845
ADBE,2025-01-22,438.0,439.73,433.43,437.32,3391642,-0.68,-0.15525,437.12
ADBE,2025-01-21,433.26,439.98,431.5,436.36,3833300,3.1,0.71551,435.275
ADBE,2025-01-17,434.35,435.99,425.7,429.99,4012745,-4.36,-1.0,431.5075
ADBE,2025-01-16,418.21,428.89,418.0,426.93,4185600,8.72,2.09,423.0075
ADBE,2025-01-15,421.7,423.97,415.66,417.28,4345800,-4.42,-1.05,419.6525
ADBE,2025-01-14,407.25,412.75,405.07,412.71,3577116,5.46,1.34,409.445
ADBE,2025-01-13,404.27,409.96,403.75,408.5,4558800,4.23,1.05,406.62
ADBE,2025-01-10,410.0,413.1,405.32,405.92,5564300,-4.08,-0.99512,408.585
ADBE,2025-01-08,417.34,422.66,415.51,419.58,3508800,2.24,0.53673,418.7725
ADBE,2025-01-07,431.37,435.18,420.51,422.63,4181405,-8.74,-2.03,427.4225
ADBE,2025-01-06,431.88,436.41,427.79,431.18,3994400,-0.7,-0.16208,431.815
ADBE,2025-01-03,429.45,433.3,425.32,430.57,5619372,1.13,0.2608,429.66
ADBE,2025-01-02,447.76,450.12,440.56,441.0,2507887,-6.76,-1.51,444.86
ADBE,2024-12-31,446.35,448.5,442.81,444.68,2285132,-1.67,-0.37415,445.585
ADBE,2024-12-30,442.94,447.6,438.57,445.8,3473200,2.86,0.64569,443.7275
ADBE,2024-12-27,446.88,449.91,441.11,446.48,2947200,-0.4,-0.08950949,446.095
ADBE,2024-12-26,445.85,452.34,444.68,450.16,2134310,4.31,0.96669,448.2575
ADBE,2024-12-24,446.5,448.87,442.57,447.94,1685003,1.44,0.32251,446.47
ADBE,2024-12-23,447.0,451.43,443.42,446.74,3781200,-0.26,-0.05816555,447.1475
ADBE,2024-12-20,433.02,451.42,432.47,447.17,8220033,14.16,3.27,441.02
ADBE,2024-12-19,443.41,449.0,437.11,437.39,6479517,-6.02,-1.36,441.7275
ADBE,2024-12-18,453.24,455.25,441.1,441.31,6511105,-11.93,-2.63,447.725
ADBE,2024-12-17,460.59,465.86,452.48,455.23,7514500,-5.36,-1.16,458.54
ADBE,2024-12-16,467.19,473.62,461.2,461.53,5807021,-5.66,-1.21,465.885
ADBE,2024-12-13,473.98,474.91,456.8,465.69,11395512,-8.29,-1.75,467.845
ADBE,2024-12-12,487.5,494.0,470.9,474.63,17344900,-12.87,-2.64,481.7575
ADBE,2024-12-11,547.05,552.3,541.74,549.93,6690600,2.88,0.52646,547.755
ADBE,2024-12-10,547.35,552.83,544.22,547.05,2762900,-0.3,-0.05480954,547.8625
ADBE,2024-12-09,556.1,557.9,546.11,547.93,3588700,-8.17,-1.47,552.01
ADBE,2024-12-06,544.15,554.37,542.9,552.96,2964100,8.81,1.62,548.595
ADBE,2024-12-05,534.42,540.11,529.79,538.22,2629119,3.8,0.71105,535.635
ADBE,2024-12-04,523.02,541.77,521.01,536.49,3307041,13.47,2.58,530.5725
ADBE,2024-12-03,511.04,516.78,504.51,516.26,2119300,5.22,1.02,512.1475
ADBE,2024-12-02,512.85,518.77,511.53,516.2,2007213,3.35,0.65321,514.8375
ADBE,2024-11-29,517.65,517.65,513.58,515.93,1450247,-1.72,-0.33227,516.2025
ADBE,2024-11-27,523.21,525.88,508.72,513.68,2324217,-9.53,-1.82,517.8725
ADBE,2024-11-26,519.95,525.76,516.36,525.3,2415735,5.35,1.03,521.8425
ADBE,2024-11-25,519.09,523.21,513.19,518.73,3320000,-0.36,-0.06935214,518.555
ADBE,2024-11-22,502.5,513.37,502.5,512.15,2287614,9.65,1.92,507.63
ADBE,2024-11-21,502.1,508.57,493.1,504.44,2002100,2.34,0.46604,502.0525
ADBE,2024-11-20,505.41,506.36,494.61,499.5,1874910,-5.91,-1.17,501.47
ADBE,2024-11-19,496.0,502.41,495.46,499.61,1961731,3.61,0.72782,498.37
ADBE,2024-11-18,505.0,505.51,497.69,499.51,2259700,-5.49,-1.09,501.9275
ADBE,2024-11-15,520.3,524.5,498.81,503.37,4612417,-16.93,-3.25,511.745
ADBE,2024-11-14,530.55,534.64,523.46,529.87,3098800,-0.68,-0.12817,529.63
