symbol,date,open,high,low,close,volume,change,changePercent,vwap
ADP,2025-04-04,305.58,306.0,288.12,288.41,2569701,-17.17,-5.61882,294.18
ADP,2025-04-03,304.69,309.5,303.48,305.39,1998230,0.7,0.22974,305.765
ADP,2025-04-02,304.93,307.97,303.75,307.23,1089325,2.3,0.75427,305.97
ADP,2025-04-01,305.38,307.38,303.59,306.54,1199344,1.16,0.37985,305.7225
ADP,2025-03-31,301.25,306.33,300.9,305.53,2492561,4.28,1.42,303.5025
ADP,2025-03-28,306.3,308.89,300.65,300.83,1785442,-5.47,-1.79,304.1675
ADP,2025-03-27,303.03,306.25,301.28,305.43,1373993,2.4,0.792,303.9975
ADP,2025-03-26,300.42,307.14,298.87,302.41,1851424,1.99,0.66241,302.21
ADP,2025-03-25,299.01,300.03,297.51,299.38,1474800,0.37,0.12374,298.9825
ADP,2025-03-24,297.53,300.23,296.73,298.89,1709100,1.36,0.4571,298.345
ADP,2025-03-21,295.16,295.66,292.73,295.32,3951140,0.16,0.05420789,294.7175
ADP,2025-03-20,295.14,299.81,294.9,297.51,1602400,2.38,0.80301,296.84
ADP,2025-03-19,295.93,300.27,295.93,298.79,1291728,2.86,0.96644,297.73
ADP,2025-03-18,295.85,296.48,293.0,295.93,1181010,0.08,0.02704073,295.315
ADP,2025-03-17,292.08,297.9,291.22,296.58,1818393,4.5,1.54,294.445
ADP,2025-03-14,289.2,292.56,289.2,291.76,1429311,2.56,0.8852,290.68
ADP,2025-03-13,294.13,294.19,289.45,290.55,2062513,-3.58,-1.22,292.08
ADP,2025-03-12,292.78,294.78,290.1,294.18,1959700,1.4,0.47817,292.96
ADP,2025-03-11,304.11,304.48,292.03,292.44,2923478,-11.67,-3.84,298.265
ADP,2025-03-10,306.2,309.34,301.58,302.99,2991400,-3.21,-1.05,305.0275
ADP,2025-03-07,302.46,307.29,302.46,306.45,2293500,3.99,1.32,304.665
ADP,2025-03-06,308.5,309.46,299.24,302.46,2975314,-6.04,-1.96,304.915
ADP,2025-03-05,311.38,313.9,309.39,310.43,3471000,-0.95,-0.30509,311.275
ADP,2025-03-04,322.84,322.84,308.0,313.44,2388631,-9.4,-2.91,316.78
