symbol,date,open,high,low,close,volume,change,changePercent,vwap
ADI,2025-04-04,173.92,176.41,165.34,166.13,6669279,-7.79,-4.47907,169.29
ADI,2025-04-03,191.82,193.2,180.4,180.88,6874494,-10.94,-5.7,186.575
ADI,2025-04-02,195.76,202.3,195.76,199.59,2437534,3.83,1.96,198.3525
ADI,2025-04-01,200.26,200.84,195.12,199.18,3383360,-1.08,-0.5393,198.85
ADI,2025-03-31,200.23,202.52,196.8,201.67,3803746,1.44,0.71917,200.305
ADI,2025-03-28,207.82,208.06,200.77,201.56,3521430,-6.26,-3.01,204.5525
ADI,2025-03-27,208.68,211.0,205.88,208.94,2885111,0.26,0.12459,208.625
ADI,2025-03-26,213.15,214.9,209.69,210.53,2454600,-2.62,-1.23,212.0675
ADI,2025-03-25,210.98,214.63,210.98,213.58,2550034,2.6,1.23,212.5425
ADI,2025-03-24,210.0,214.08,209.74,212.34,3458300,2.34,1.11,211.54
ADI,2025-03-21,203.06,205.27,201.28,204.4,5070459,1.34,0.6599,203.5025
ADI,2025-03-20,208.17,208.17,204.81,205.9,2775730,-2.26,-1.09,206.7625
ADI,2025-03-19,209.19,213.03,208.09,209.97,2571926,0.78,0.37287,210.07
ADI,2025-03-18,210.58,210.75,207.69,209.16,2657324,-1.42,-0.67433,209.545
ADI,2025-03-17,207.75,213.37,207.37,211.68,2514500,3.93,1.89,210.0425
ADI,2025-03-14,207.36,209.85,206.23,208.75,2614297,1.39,0.67033,208.0475
ADI,2025-03-13,206.0,208.16,202.59,203.8,2625568,-2.2,-1.07,205.1375
ADI,2025-03-12,209.08,212.99,205.62,206.62,3917700,-2.46,-1.18,208.5775
ADI,2025-03-11,217.33,217.39,206.48,209.08,4225517,-8.25,-3.8,212.57
ADI,2025-03-10,220.22,221.15,213.15,216.26,4946600,-3.96,-1.8,217.695
ADI,2025-03-07,223.59,226.66,219.74,225.86,4062900,2.27,1.02,223.9625
ADI,2025-03-06,225.68,228.87,222.05,222.77,4818700,-2.91,-1.29,224.8425
ADI,2025-03-05,227.18,229.86,222.7,229.47,3927336,2.29,1.01,227.3025
ADI,2025-03-04,230.46,231.44,223.9,226.18,4742681,-4.28,-1.86,227.995
ADI,2025-03-03,231.84,233.83,225.67,228.53,5000149,-3.31,-1.43,229.9675
ADI,2025-02-28,225.99,230.12,223.05,230.06,4631200,4.07,1.8,227.305
ADI,2025-02-27,234.23,234.23,223.5,223.85,4480434,-10.38,-4.43,228.9525
ADI,2025-02-26,235.04,236.38,231.83,233.73,2908200,-1.31,-0.55735,234.245
ADI,2025-02-25,238.33,238.33,234.38,235.3,4136800,-3.03,-1.27,236.585
ADI,2025-02-24,240.28,240.64,236.18,236.99,4778300,-3.29,-1.37,238.5225
ADI,2025-02-21,244.93,246.08,237.76,238.91,6176603,-6.02,-2.46,241.92
ADI,2025-02-20,243.54,247.1,242.55,243.82,5890083,0.28,0.11497,244.2525
ADI,2025-02-19,230.02,242.51,224.1,241.66,9789600,11.64,5.06,234.5725
ADI,2025-02-18,217.27,220.51,215.77,220.22,7400200,2.96,1.36,218.4425
ADI,2025-02-14,211.24,215.15,210.63,214.61,3938608,3.37,1.6,212.9075
ADI,2025-02-13,204.99,209.65,204.99,209.34,3134900,4.35,2.12,207.2425
ADI,2025-02-12,201.01,205.4,200.8,205.13,2411505,4.12,2.05,203.085
ADI,2025-02-11,202.93,206.62,202.64,203.46,2335759,0.53,0.26117,203.9125
ADI,2025-02-10,206.58,207.21,202.97,204.86,2820500,-1.72,-0.83261,205.405
ADI,2025-02-07,207.68,209.55,203.74,205.21,3194710,-2.47,-1.19,206.545
ADI,2025-02-06,208.73,210.51,205.75,207.83,2715143,-0.9,-0.43118,208.205
ADI,2025-02-05,205.43,210.55,204.16,209.8,4516698,4.37,2.13,207.485
ADI,2025-02-04,204.6,208.35,204.07,206.01,4651510,1.41,0.68915,205.7575
ADI,2025-02-03,209.29,209.65,202.77,205.24,4483530,-4.05,-1.94,206.7375
ADI,2025-01-31,211.71,217.62,210.69,211.89,3486618,0.18,0.08502196,212.9775
ADI,2025-01-30,210.23,213.07,209.1,212.4,2976438,2.17,1.03,211.2
ADI,2025-01-29,209.54,211.87,209.01,209.91,2258503,0.37,0.17658,210.0825
ADI,2025-01-28,212.81,213.91,207.9,209.52,3748857,-3.29,-1.55,211.035
ADI,2025-01-27,217.4,220.82,213.64,215.42,7088010,-1.98,-0.91076,216.82
ADI,2025-01-24,224.62,226.04,217.13,217.37,3929413,-7.25,-3.23,221.29
ADI,2025-01-23,221.88,228.43,221.53,228.35,2608000,6.47,2.92,225.0475
ADI,2025-01-22,221.45,226.22,221.1,224.08,2883331,2.63,1.19,223.2125
ADI,2025-01-21,219.23,223.65,219.16,221.45,4091227,2.22,1.01,220.8725
