symbol,date,open,high,low,close,volume,change,changePercent,vwap
ADSK,2025-04-04,250.11,252.66,244.39,245.26,2153227,-4.85,-1.93915,247.44
ADSK,2025-04-03,256.98,260.43,254.03,257.15,1789447,0.17,0.06615301,257.1475
ADSK,2025-04-02,260.12,269.67,259.35,267.93,1245700,7.81,3.0,264.2675
ADSK,2025-04-01,261.18,264.9,258.27,264.61,1042900,3.43,1.31,262.24
ADSK,2025-03-31,259.02,262.17,255.18,261.8,1845016,2.78,1.07,259.5425
ADSK,2025-03-28,267.29,268.57,260.93,261.63,1233412,-5.66,-2.12,264.605
ADSK,2025-03-27,268.5,273.52,268.2,269.81,1230500,1.31,0.4879,270.0075
ADSK,2025-03-26,271.71,274.26,270.29,271.21,1092851,-0.5,-0.18402,271.8675
ADSK,2025-03-25,270.59,273.79,270.59,273.08,1068536,2.49,0.92021,272.0125
ADSK,2025-03-24,271.96,272.31,269.02,269.19,1660804,-2.77,-1.02,270.62
ADSK,2025-03-21,262.45,268.38,262.45,267.25,2014388,4.8,1.83,265.1325
ADSK,2025-03-20,268.05,271.47,266.14,267.82,1465445,-0.23,-0.08580489,268.37
ADSK,2025-03-19,263.07,271.63,263.0,268.3,1930286,5.23,1.99,266.5
ADSK,2025-03-18,259.95,261.36,257.98,259.95,1509767,0.0,0.0,259.81
ADSK,2025-03-17,252.96,263.25,252.63,260.62,1785331,7.66,3.03,257.365
ADSK,2025-03-14,248.99,254.89,248.99,254.43,1303405,5.44,2.18,251.825
ADSK,2025-03-13,251.85,252.67,244.85,246.93,1498400,-4.92,-1.95,249.075
ADSK,2025-03-12,254.5,255.91,250.11,251.85,2432100,-2.65,-1.04,253.0925
ADSK,2025-03-11,247.56,254.38,246.95,250.85,2776658,3.29,1.33,249.935
ADSK,2025-03-10,256.61,256.93,246.31,248.4,3198642,-8.21,-3.2,252.0625
ADSK,2025-03-07,259.58,261.35,252.18,259.75,3448343,0.17,0.06549041,258.215
ADSK,2025-03-06,262.41,266.5,259.24,260.39,1641717,-2.02,-0.76979,262.135
ADSK,2025-03-05,265.69,268.75,262.72,267.24,1788828,1.55,0.58339,266.1
ADSK,2025-03-04,270.64,271.0,262.8,267.43,2430727,-3.21,-1.19,267.9675
ADSK,2025-03-03,278.26,280.46,270.61,272.03,2524500,-6.23,-2.24,275.34
ADSK,2025-02-28,279.42,285.0,267.12,274.21,5094238,-5.21,-1.86,276.4375
ADSK,2025-02-27,286.15,293.17,282.31,282.35,3083029,-3.8,-1.33,285.995
ADSK,2025-02-26,284.26,289.6,284.17,285.67,1295700,1.41,0.49602,285.925
ADSK,2025-02-25,285.04,285.78,280.66,283.72,1873591,-1.32,-0.46309,283.8
ADSK,2025-02-24,287.0,287.16,280.51,285.26,1374192,-1.74,-0.60627,284.9825
ADSK,2025-02-21,290.04,291.39,284.51,285.0,1670215,-5.04,-1.74,287.735
