symbol,date,open,high,low,close,volume,change,changePercent,vwap
AEP,2025-04-04,110.12,110.48,103.915,105.01,5026456,-5.11,-4.64039,106.47
AEP,2025-04-03,109.76,110.46,107.75,109.11,5964314,-0.65,-0.5922,109.27
AEP,2025-04-02,108.8,108.8,107.27,107.75,3279811,-1.05,-0.96507,108.155
AEP,2025-04-01,108.61,108.88,107.52,108.37,3941900,-0.24,-0.22097,108.345
AEP,2025-03-31,108.37,109.76,107.84,109.27,6560140,0.9,0.83049,108.81
AEP,2025-03-28,105.87,107.41,105.37,106.96,6173680,1.09,1.03,106.4025
AEP,2025-03-27,103.94,105.6,103.78,105.15,5233011,1.21,1.16,104.6175
AEP,2025-03-26,102.78,104.31,102.57,103.9,5939105,1.12,1.09,103.39
AEP,2025-03-25,103.0,103.0,101.96,102.5,24651800,-0.5,-0.48544,102.615
AEP,2025-03-24,105.25,105.69,104.03,104.18,2619410,-1.07,-1.02,104.7875
AEP,2025-03-21,106.14,106.65,104.4,105.11,5649258,-1.03,-0.97042,105.575
AEP,2025-03-20,105.8,106.59,105.55,106.21,2946600,0.41,0.38752,106.0375
AEP,2025-03-19,105.85,106.3,105.14,105.84,2786985,-0.01,-0.00944733,105.7825
AEP,2025-03-18,106.29,106.49,105.38,105.99,2757770,-0.3,-0.28225,106.0375
AEP,2025-03-17,105.67,106.83,105.13,105.86,5577100,0.19,0.17981,105.8725
AEP,2025-03-14,104.06,105.95,103.59,105.56,4419415,1.5,1.44,104.79
AEP,2025-03-13,102.81,104.29,102.7,104.24,1909600,1.43,1.39,103.51
AEP,2025-03-12,102.88,103.79,102.35,102.96,3284601,0.085,0.0777605,102.995
AEP,2025-03-11,107.67,107.99,104.39,104.43,4282726,-3.24,-3.01,106.12
AEP,2025-03-10,104.91,108.67,104.91,107.32,5535443,2.41,2.3,106.4525
AEP,2025-03-07,102.84,104.88,102.68,104.62,4042400,1.78,1.73,103.755
AEP,2025-03-06,103.3,103.31,101.42,102.59,3031045,-0.71,-0.68732,102.655
AEP,2025-03-05,104.5,105.46,103.19,103.39,3665626,-1.11,-1.06,104.135
AEP,2025-03-04,108.53,109.52,105.14,105.24,5609604,-3.29,-3.03,107.1075
AEP,2025-03-03,105.85,107.82,105.69,107.7,3452000,1.85,1.75,106.765
AEP,2025-02-28,106.1,107.11,104.66,106.05,4391030,-0.05,-0.04712535,105.98
AEP,2025-02-27,106.2,106.78,104.8,105.16,3661302,-1.04,-0.97928,105.735
AEP,2025-02-26,107.23,107.51,106.37,106.89,2446500,-0.34,-0.31708,107.0
AEP,2025-02-25,106.7,107.84,105.97,107.64,3408700,0.94,0.88097,107.0375
AEP,2025-02-24,105.87,107.36,105.21,106.29,3075000,0.42,0.39671,106.1825
AEP,2025-02-21,104.35,105.73,104.06,105.33,4002000,0.98,0.93915,104.8675
AEP,2025-02-20,102.97,104.65,102.2,104.35,2702100,1.38,1.34,103.5425
AEP,2025-02-19,102.67,103.16,101.72,103.09,2510807,0.42,0.40908,102.66
AEP,2025-02-18,101.29,103.24,101.0,102.2,3146403,0.91,0.89841,101.9325
AEP,2025-02-14,101.21,102.92,100.84,101.83,2770900,0.62,0.61259,101.7
AEP,2025-02-13,101.37,102.57,100.32,100.99,4939000,-0.38,-0.37486,101.3125
AEP,2025-02-12,100.73,102.52,100.6,102.35,3163014,1.62,1.61,101.55
AEP,2025-02-11,100.59,102.11,99.47,101.88,3165950,1.29,1.28,101.0125
AEP,2025-02-10,99.76,100.96,99.11,100.83,2473838,1.07,1.07,100.165
AEP,2025-02-07,100.14,100.44,99.41,100.35,2861565,0.21,0.20971,100.085
AEP,2025-02-06,99.64,100.67,98.87,100.17,3152600,0.53,0.53191,99.8375
AEP,2025-02-05,98.67,99.89,98.4,99.39,2280543,0.72,0.72971,99.0875
AEP,2025-02-04,98.52,99.07,97.8,97.88,2126457,-0.64,-0.64961,98.3175
AEP,2025-02-03,98.36,99.69,97.32,99.36,2659345,1.0,1.02,98.6825
AEP,2025-01-31,97.84,99.05,97.52,98.36,4913005,0.52,0.53148,98.1925
