symbol,date,open,high,low,close,volume,change,changePercent,vwap
AMAT,2025-04-04,129.41,132.46,123.94,127.885,11465994,-1.52,-1.17843,128.1
AMAT,2025-04-03,141.0,141.87,135.4,135.51,11765757,-5.49,-3.89,138.445
AMAT,2025-04-02,144.03,149.31,143.84,147.75,4904800,3.72,2.58,146.2325
AMAT,2025-04-01,144.1,146.11,141.8,145.66,5869500,1.56,1.08,144.4175
AMAT,2025-03-31,142.77,145.68,141.16,145.12,7116300,2.35,1.65,143.6825
AMAT,2025-03-28,148.8,149.8,144.12,145.06,7715000,-3.74,-2.51,146.945
AMAT,2025-03-27,149.83,149.9,146.94,147.68,6933800,-2.15,-1.43,148.5875
AMAT,2025-03-26,153.14,153.99,149.51,150.68,4853836,-2.46,-1.61,151.83
AMAT,2025-03-25,154.84,154.95,152.52,153.64,5093720,-1.2,-0.77499,153.9875
AMAT,2025-03-24,155.5,156.27,154.6,154.95,5855208,-0.55,-0.3537,155.33
AMAT,2025-03-21,150.29,152.19,149.01,152.12,15911326,1.83,1.22,150.9025
AMAT,2025-03-20,152.23,155.62,151.68,154.38,5480300,2.16,1.41,153.4775
AMAT,2025-03-19,153.18,157.07,152.79,154.46,4426507,1.28,0.83562,154.375
AMAT,2025-03-18,154.32,154.94,151.81,153.51,4282336,-0.81,-0.52488,153.645
AMAT,2025-03-17,152.95,157.21,152.84,155.46,4764341,2.51,1.64,154.615
AMAT,2025-03-14,152.13,156.5,152.13,155.66,5138800,3.53,2.32,154.105
AMAT,2025-03-13,148.89,153.06,148.37,149.95,5702200,1.06,0.71193,150.0675
AMAT,2025-03-12,151.72,151.72,148.44,149.06,8482229,-2.66,-1.75,150.235
AMAT,2025-03-11,148.97,150.51,145.37,146.99,7739928,-1.98,-1.33,147.96
AMAT,2025-03-10,152.42,154.45,147.88,149.99,8008400,-2.43,-1.59,151.185
AMAT,2025-03-07,151.46,156.35,150.19,155.68,5537838,4.22,2.79,153.42
AMAT,2025-03-06,151.54,154.05,149.6,151.54,6967800,0.0,0.0,151.6825
AMAT,2025-03-05,153.14,155.87,150.0,155.32,5860000,2.19,1.42,153.5825
AMAT,2025-03-04,153.06,156.23,149.55,152.87,8538627,-0.19,-0.12413,152.9275
AMAT,2025-03-03,159.73,160.32,150.67,152.13,9259111,-7.6,-4.76,155.7125
AMAT,2025-02-28,157.29,160.05,153.95,158.07,9427600,0.78,0.4959,157.34
AMAT,2025-02-27,170.25,170.57,156.38,156.64,9543635,-13.61,-7.99,163.46
AMAT,2025-02-26,167.38,170.25,166.42,168.51,5048546,1.13,0.67511,168.14
AMAT,2025-02-25,168.12,169.68,164.45,165.54,8570300,-2.58,-1.53,166.9475
AMAT,2025-02-24,173.77,175.23,168.34,168.57,7126206,-5.2,-2.99,171.4775
AMAT,2025-02-21,176.13,176.25,170.6,171.98,7365400,-4.15,-2.36,173.74
AMAT,2025-02-20,175.14,178.37,174.5,176.01,6687300,0.87,0.49675,176.005
AMAT,2025-02-19,172.31,174.9,171.13,174.06,5797047,1.75,1.02,173.1
AMAT,2025-02-18,171.79,173.76,169.1,172.0,10704900,0.21,0.12224,171.6625
AMAT,2025-02-14,174.84,176.0,168.61,169.2,12452812,-5.64,-3.23,172.1625
AMAT,2025-02-13,180.31,184.52,179.62,184.27,10302003,3.96,2.2,182.18
AMAT,2025-02-12,179.42,181.53,178.29,180.89,6640831,1.47,0.81931,180.0325
AMAT,2025-02-11,181.8,183.58,181.09,183.2,3913300,1.41,0.77008,182.4175
AMAT,2025-02-10,182.86,184.03,181.42,183.66,5744135,0.8,0.43749,182.9925
AMAT,2025-02-07,183.14,183.54,178.73,180.0,4992000,-3.14,-1.71,181.3525
AMAT,2025-02-06,179.61,183.08,178.56,182.8,4479100,3.19,1.78,181.0125
AMAT,2025-02-05,176.73,181.01,175.28,180.67,3959496,3.94,2.23,178.4225
AMAT,2025-02-04,175.47,179.3,175.45,178.56,4687114,3.09,1.76,177.195
AMAT,2025-02-03,175.32,180.25,174.24,178.8,5321300,3.48,1.98,177.1525
AMAT,2025-01-31,182.59,186.44,180.06,180.35,5902833,-2.24,-1.23,182.36
AMAT,2025-01-30,179.4,183.27,177.46,181.72,6013800,2.32,1.29,180.4625
AMAT,2025-01-29,180.0,180.21,173.78,175.28,5679925,-4.72,-2.62,177.3175
AMAT,2025-01-28,173.75,174.83,170.0,172.85,7360510,-0.9,-0.51799,172.8575
AMAT,2025-01-27,179.55,179.56,170.42,174.57,12150238,-4.98,-2.77,176.025
