symbol,date,open,high,low,close,volume,change,changePercent,vwap
AMD,2025-04-04,90.08,91.08,83.69,86.9501,55385640,-3.13,-3.47458,87.24
AMD,2025-04-03,97.79,99.45,93.64,93.8,49626235,-3.99,-4.08,96.17
AMD,2025-04-02,101.52,104.19,100.76,102.96,20794000,1.44,1.42,102.3575
AMD,2025-04-01,102.16,102.83,100.93,102.78,23523230,0.62,0.60689,102.175
AMD,2025-03-31,100.24,102.82,98.8,102.74,30865342,2.5,2.49,101.15
AMD,2025-03-28,105.53,106.51,102.48,103.22,31069114,-2.31,-2.19,104.435
AMD,2025-03-27,106.11,107.62,105.55,106.65,32773714,0.54,0.50891,106.4825
AMD,2025-03-26,114.11,115.9,108.68,110.19,39976500,-3.92,-3.44,112.22
AMD,2025-03-25,113.27,114.95,112.71,114.81,29077507,1.55,1.36,113.935
AMD,2025-03-24,109.73,114.85,109.4,113.85,53342002,4.12,3.75,111.9575
AMD,2025-03-21,105.33,107.25,104.33,106.44,30767938,1.11,1.05,105.8375
AMD,2025-03-20,105.12,108.26,105.12,107.14,26871839,2.02,1.92,106.41
AMD,2025-03-19,104.42,107.9,101.96,106.23,32287500,1.81,1.73,105.1275
AMD,2025-03-18,103.85,104.55,102.97,103.51,27152827,-0.34,-0.3274,103.72
AMD,2025-03-17,102.6,106.15,102.6,104.59,43689523,1.99,1.94,103.985
AMD,2025-03-14,99.64,101.22,99.58,100.97,24715300,1.33,1.33,100.3525
AMD,2025-03-13,99.72,100.07,97.27,98.11,28575200,-1.61,-1.61,98.7925
AMD,2025-03-12,99.05,101.72,98.17,100.79,34241300,1.75,1.76,99.9325
AMD,2025-03-11,96.79,98.16,94.73,96.76,34078300,-0.03,-0.03099494,96.61
AMD,2025-03-10,98.57,101.29,95.83,96.63,38733200,-1.94,-1.97,98.08
AMD,2025-03-07,98.88,100.65,96.39,100.31,33254400,1.43,1.45,99.0575
AMD,2025-03-06,99.05,101.08,98.27,98.85,28985000,-0.2,-0.20192,99.3125
AMD,2025-03-05,100.36,101.84,98.87,101.67,27855500,1.31,1.31,100.685
AMD,2025-03-04,96.0,103.18,95.89,100.75,54156941,4.75,4.95,98.955
AMD,2025-03-03,101.52,102.34,97.09,98.23,38958000,-3.28,-3.24,99.795
AMD,2025-02-28,99.56,101.8,98.69,99.86,45194600,0.3,0.30133,99.9775
AMD,2025-02-27,105.08,105.76,99.5,99.51,47263727,-5.57,-5.3,102.4625
AMD,2025-02-26,104.95,105.8,103.99,104.74,29178213,-0.205,-0.2001,104.87
AMD,2025-02-25,107.89,108.64,103.62,103.96,39169200,-3.93,-3.64,106.0275
AMD,2025-02-24,111.49,111.6,107.98,108.11,29072208,-3.38,-3.03,109.795
AMD,2025-02-21,114.85,115.76,110.43,110.84,41353700,-4.0,-3.49,112.97
AMD,2025-02-20,115.01,116.55,113.11,114.17,27219600,-0.84,-0.73037,114.71
AMD,2025-02-19,114.25,116.11,113.14,114.69,28807709,0.445,0.38512,114.5475
AMD,2025-02-18,114.05,115.55,113.45,114.28,31720307,0.23,0.20167,114.3325
AMD,2025-02-14,112.65,114.63,111.7,113.1,32477200,0.45,0.39947,113.02
AMD,2025-02-13,112.0,114.6,110.4,111.81,40911804,-0.19,-0.16964,112.2025
AMD,2025-02-12,109.52,111.84,109.06,111.72,25319729,2.2,2.01,110.535
AMD,2025-02-11,108.98,113.07,108.94,111.1,35033800,2.12,1.95,110.5225
AMD,2025-02-10,108.44,111.4,108.15,110.48,34905400,2.04,1.88,109.6175
AMD,2025-02-07,109.13,109.92,106.79,107.56,46082500,-1.57,-1.44,108.35
AMD,2025-02-06,110.93,112.56,109.02,110.16,50426600,-0.77,-0.69413,110.6675
AMD,2025-02-05,107.61,112.09,106.5,112.01,110609343,4.4,4.09,109.5525
AMD,2025-02-04,115.45,119.85,114.79,119.5,69412100,4.05,3.51,117.3975
AMD,2025-02-03,113.88,115.16,112.98,114.27,34586100,0.395,0.34247,114.0725
