symbol,date,open,high,low,close,volume,change,changePercent,vwap
AMGN,2025-04-04,312.11,312.11,294.82,295.47,3694174,-16.64,-5.33145,300.8
AMGN,2025-04-03,311.18,314.9,306.7,309.85,3275193,-1.33,-0.42741,310.6575
AMGN,2025-04-02,305.41,306.76,300.1,305.7,1912500,0.29,0.09495432,304.4925
AMGN,2025-04-01,310.58,312.62,305.0,306.92,3042318,-3.66,-1.18,308.78
AMGN,2025-03-31,307.58,315.0,305.55,311.55,3336281,3.97,1.29,309.92
AMGN,2025-03-28,307.44,308.17,304.71,306.95,1768574,-0.49,-0.15938,306.8175
AMGN,2025-03-27,306.22,307.57,304.29,305.77,1736926,-0.45,-0.14695,305.9625
AMGN,2025-03-26,306.44,309.09,304.35,305.71,2375632,-0.73,-0.23822,306.3975
AMGN,2025-03-25,313.98,314.22,303.51,306.86,2565308,-7.12,-2.27,309.6425
AMGN,2025-03-24,315.0,317.58,313.43,314.38,2439427,-0.62,-0.19683,315.0975
AMGN,2025-03-21,311.82,316.49,311.16,316.04,9995022,4.22,1.35,313.8775
AMGN,2025-03-20,314.18,315.99,312.24,315.04,2049719,0.865,0.27373,314.3625
AMGN,2025-03-19,317.51,318.92,313.4,315.75,1834300,-1.76,-0.55431,316.395
AMGN,2025-03-18,317.56,319.31,315.18,318.65,2549593,1.09,0.34324,317.675
AMGN,2025-03-17,314.64,318.66,311.79,317.17,2292900,2.53,0.80409,315.565
AMGN,2025-03-14,312.23,314.51,310.3,313.71,2396818,1.48,0.47401,312.6875
AMGN,2025-03-13,313.66,316.75,311.99,312.64,2062717,-1.02,-0.32519,313.76
AMGN,2025-03-12,311.39,316.02,308.64,312.5,3182200,1.11,0.35647,312.1375
AMGN,2025-03-11,328.8,329.1,318.42,318.89,3080265,-9.91,-3.01,323.8025
AMGN,2025-03-10,324.13,335.88,322.77,327.36,4120749,3.23,0.99651,327.535
AMGN,2025-03-07,318.95,328.19,317.78,324.86,3944947,5.91,1.85,322.445
AMGN,2025-03-06,316.42,318.68,312.5,317.82,3076813,1.4,0.44245,316.355
AMGN,2025-03-05,310.63,318.94,310.14,316.57,2629056,5.94,1.91,314.07
AMGN,2025-03-04,316.53,319.82,312.1,312.19,3820000,-4.34,-1.37,315.16
AMGN,2025-03-03,307.34,312.48,307.34,310.78,2970700,3.44,1.12,309.485
AMGN,2025-02-28,308.51,308.62,303.52,308.06,3173055,-0.45,-0.14586,307.1775
AMGN,2025-02-27,305.3,311.0,303.1,305.82,3249213,0.52,0.17032,306.305
AMGN,2025-02-26,311.95,313.63,305.55,306.38,2787270,-5.57,-1.79,309.3775
AMGN,2025-02-25,311.8,318.3,310.3,315.63,4365721,3.83,1.23,314.0075
AMGN,2025-02-24,305.28,313.75,304.4,309.72,4286609,4.44,1.45,308.2875
AMGN,2025-02-21,299.23,305.33,297.19,303.01,3261422,3.78,1.26,301.19
AMGN,2025-02-20,294.67,298.13,293.93,297.93,2319269,3.26,1.11,296.165
AMGN,2025-02-19,292.0,295.97,291.8,294.27,2806986,2.27,0.7774,293.51
AMGN,2025-02-18,291.76,293.33,289.0,292.8,2162354,1.04,0.35646,291.7225
AMGN,2025-02-14,294.75,295.16,290.45,291.16,2189386,-3.59,-1.22,292.88
AMGN,2025-02-13,297.55,298.35,293.55,296.97,2061700,-0.58,-0.19493,296.605
AMGN,2025-02-12,293.82,296.2,292.63,295.06,2629900,1.24,0.42203,294.4275
AMGN,2025-02-11,290.56,297.95,288.36,296.66,3506965,6.1,2.1,293.3825
AMGN,2025-02-10,296.88,296.88,290.67,294.79,2375707,-2.09,-0.70399,294.805
AMGN,2025-02-07,299.16,299.61,292.58,293.54,3388400,-5.62,-1.88,296.2225
AMGN,2025-02-06,309.49,309.49,297.12,297.78,4624500,-11.71,-3.78,303.47
AMGN,2025-02-05,290.69,308.22,289.52,307.81,5891191,17.12,5.89,299.06
AMGN,2025-02-04,285.58,290.48,284.52,289.02,3262437,3.44,1.2,287.4
AMGN,2025-02-03,286.91,289.58,283.4,288.87,4473532,1.96,0.68314,287.19
AMGN,2025-01-31,282.18,286.69,281.98,285.42,3800400,3.25,1.15,284.0675
AMGN,2025-01-30,285.0,285.69,281.64,284.02,2556100,-0.98,-0.34386,284.0875
AMGN,2025-01-29,280.03,283.04,279.31,281.68,2454900,1.65,0.58922,281.015
AMGN,2025-01-28,280.13,283.5,279.97,280.3,2735636,0.17,0.06068611,280.975
AMGN,2025-01-27,277.37,283.23,276.18,282.95,3493200,5.58,2.01,279.9325
AMGN,2025-01-24,276.26,277.36,273.5,275.42,2008793,-0.84,-0.30406,275.635
AMGN,2025-01-23,273.44,278.0,272.32,277.88,2496017,4.44,1.62,275.41
AMGN,2025-01-22,272.66,275.02,272.07,273.44,3518326,0.78,0.28607,273.2975
AMGN,2025-01-21,272.14,276.5,270.28,274.81,3928543,2.67,0.98111,273.4325
AMGN,2025-01-17,276.97,276.97,269.78,272.11,3244290,-4.86,-1.75,273.9575
AMGN,2025-01-16,268.92,270.31,267.15,269.43,2684500,0.51,0.18965,268.9525
AMGN,2025-01-15,269.33,272.82,268.58,268.94,3737536,-0.39,-0.1448,269.9175
AMGN,2025-01-14,271.61,271.61,264.91,267.1,2942309,-4.51,-1.66,268.8075
AMGN,2025-01-13,262.11,270.49,261.28,270.19,3365901,8.08,3.08,266.0175
AMGN,2025-01-10,260.79,264.79,260.55,262.23,2721957,1.44,0.55217,262.09
AMGN,2025-01-08,261.97,264.25,259.82,264.21,2421944,2.24,0.85506,262.5625
AMGN,2025-01-07,260.22,265.21,259.35,262.06,3173716,1.84,0.70709,261.71
AMGN,2025-01-06,259.05,261.19,257.05,258.59,4668535,-0.46,-0.17757,258.97
AMGN,2025-01-03,260.0,262.08,259.79,261.22,2979940,1.22,0.46923,260.7725
AMGN,2025-01-02,262.18,263.58,258.31,259.28,2357964,-2.9,-1.11,260.8375
AMGN,2024-12-31,260.75,261.54,258.85,260.64,1966224,-0.11,-0.042186,260.445
AMGN,2024-12-30,260.83,261.56,258.5,259.3,3039321,-1.53,-0.58659,260.0475
AMGN,2024-12-27,261.1,263.5,260.51,262.65,2157454,1.55,0.59364,261.94
AMGN,2024-12-26,262.21,264.73,261.76,263.18,1637697,0.97,0.36993,262.97
AMGN,2024-12-24,262.48,264.55,261.36,264.49,1520600,2.01,0.76577,263.22
AMGN,2024-12-23,263.11,264.8,260.87,264.0,3025799,0.89,0.33826,263.195
AMGN,2024-12-20,269.0,269.61,262.21,263.38,13687968,-5.62,-2.09,266.05
AMGN,2024-12-19,258.0,261.81,253.3,261.19,4726141,3.19,1.24,258.575
AMGN,2024-12-18,265.18,267.19,258.68,258.78,4093600,-6.4,-2.41,262.4575
AMGN,2024-12-17,265.46,270.26,264.81,265.95,4742547,0.49,0.18459,266.62
AMGN,2024-12-16,270.62,272.69,266.22,266.5,3711146,-4.12,-1.52,269.0075
AMGN,2024-12-13,272.96,274.07,270.02,270.62,2906477,-2.34,-0.85727,271.9175
AMGN,2024-12-12,273.81,275.88,272.15,274.06,3749225,0.25,0.09130419,273.975
AMGN,2024-12-11,276.0,276.28,270.58,273.41,4493511,-2.59,-0.93841,274.0675
AMGN,2024-12-10,277.86,277.9,272.36,275.75,2791400,-2.11,-0.75938,275.9675
AMGN,2024-12-09,273.16,280.0,272.28,277.63,3222458,4.47,1.64,275.7675
AMGN,2024-12-06,275.01,275.36,271.48,272.58,3970337,-2.43,-0.8836,273.6075
AMGN,2024-12-05,277.0,279.04,273.15,274.33,3187000,-2.67,-0.9639,275.88
AMGN,2024-12-04,275.81,279.41,273.86,278.26,4174137,2.45,0.88829,276.835
AMGN,2024-12-03,277.0,281.38,276.5,278.32,5468847,1.32,0.47653,278.3
AMGN,2024-12-02,282.08,282.39,276.89,278.1,4677815,-3.98,-1.41,279.865
