symbol,date,open,high,low,close,volume,change,changePercent,vwap
ANSS,2025-04-04,303.18,305.89,287.14,288.28,905503,-14.9,-4.91457,293.77
ANSS,2025-04-03,313.22,314.08,307.83,310.45,931901,-2.77,-0.88436,311.395
ANSS,2025-04-02,316.25,322.36,316.07,320.91,401757,4.66,1.47,318.8975
ANSS,2025-04-01,312.83,321.72,312.77,320.79,588414,7.96,2.54,317.0275
ANSS,2025-03-31,315.56,317.45,310.78,316.56,583400,1.0,0.3169,315.0875
ANSS,2025-03-28,321.39,322.57,316.21,316.89,518831,-4.5,-1.4,319.265
ANSS,2025-03-27,322.24,328.88,320.65,322.09,307900,-0.15,-0.04654916,323.465
ANSS,2025-03-26,326.98,328.65,322.27,323.34,403741,-3.64,-1.11,325.31
ANSS,2025-03-25,325.48,326.68,324.08,326.67,309647,1.19,0.36561,325.7275
ANSS,2025-03-24,327.02,328.24,325.09,325.73,406037,-1.29,-0.39447,326.52
ANSS,2025-03-21,320.11,326.27,318.83,324.2,552600,4.09,1.28,322.3525
ANSS,2025-03-20,322.7,325.31,319.84,324.63,440835,1.93,0.59808,323.12
ANSS,2025-03-19,324.46,325.29,320.77,323.04,481400,-1.42,-0.43765,323.39
ANSS,2025-03-18,322.42,323.98,320.64,323.82,473705,1.4,0.43422,322.715
ANSS,2025-03-17,322.67,327.25,321.25,324.95,718668,2.28,0.7066,324.03
ANSS,2025-03-14,319.48,323.41,317.98,322.68,570399,3.2,1.0,320.8875
ANSS,2025-03-13,317.16,318.7,314.11,317.56,511577,0.4,0.12612,316.8825
ANSS,2025-03-12,319.88,324.29,316.96,317.49,690143,-2.39,-0.74716,319.655
ANSS,2025-03-11,321.06,323.97,317.66,320.36,471029,-0.7,-0.21803,320.7625
ANSS,2025-03-10,322.81,322.81,318.18,318.71,632952,-4.1,-1.27,320.6275
ANSS,2025-03-07,322.61,326.46,319.51,325.61,389644,3.0,0.92992,323.5475
ANSS,2025-03-06,323.42,327.52,321.74,325.14,432876,1.72,0.53182,324.455
ANSS,2025-03-05,321.28,328.9,321.28,327.78,444567,6.5,2.02,324.81
ANSS,2025-03-04,326.25,328.97,320.67,323.22,694641,-3.03,-0.92874,324.7775
ANSS,2025-03-03,334.05,335.23,325.15,325.44,965060,-8.61,-2.58,329.9675
ANSS,2025-02-28,331.86,333.93,328.44,333.25,840315,1.39,0.41885,331.87
ANSS,2025-02-27,333.88,336.44,329.37,330.37,680600,-3.51,-1.05,332.515
ANSS,2025-02-26,328.94,335.41,328.34,332.32,404800,3.38,1.03,331.2525
ANSS,2025-02-25,332.92,333.98,330.12,330.4,460447,-2.52,-0.75694,331.855
ANSS,2025-02-24,337.28,338.56,332.06,333.63,534136,-3.65,-1.08,335.3825
ANSS,2025-02-21,340.31,340.31,333.89,334.21,839052,-6.1,-1.79,337.18
ANSS,2025-02-20,338.36,345.0,337.81,340.46,714800,2.1,0.62064,340.4075
ANSS,2025-02-19,338.8,338.8,329.0,336.74,871445,-2.06,-0.60803,335.835
ANSS,2025-02-18,341.09,341.09,336.34,338.58,403400,-2.51,-0.73588,339.275
ANSS,2025-02-14,340.01,340.8,337.03,338.93,307401,-1.08,-0.31764,339.1925
ANSS,2025-02-13,336.24,339.43,333.46,339.17,550836,2.93,0.8714,337.075
ANSS,2025-02-12,336.69,337.9,333.05,334.12,461232,-2.57,-0.76331,335.44
ANSS,2025-02-11,338.88,342.73,338.88,341.43,241710,2.55,0.75248,340.48
ANSS,2025-02-10,346.0,346.0,341.21,342.0,521966,-4.0,-1.16,343.8025
ANSS,2025-02-07,346.81,349.41,342.19,344.86,556338,-1.95,-0.56227,345.8175
ANSS,2025-02-06,347.65,349.62,345.04,346.62,510300,-1.03,-0.29627,347.2325
ANSS,2025-02-05,346.72,349.36,344.35,347.01,520326,0.29,0.08364098,346.86
ANSS,2025-02-04,344.37,347.83,344.37,346.96,566357,2.59,0.7521,345.8825
