symbol,date,open,high,low,close,volume,change,changePercent,vwap
APP,2025-04-04,243.38,245.9702,208.51,220.43,15339533,-22.95,-9.4297,224.97
APP,2025-04-03,264.52,268.0,249.08,261.98,8909787,-2.54,-0.96023,260.895
APP,2025-04-02,273.33,299.72,272.9,290.39,7313600,17.06,6.24,284.085
APP,2025-04-01,264.22,284.8,257.0,282.7,7624244,18.48,6.99,272.18
APP,2025-03-31,255.93,268.4,244.0,264.97,10510400,9.04,3.53,258.325
APP,2025-03-28,286.81,286.91,264.07,272.38,15471800,-14.43,-5.03,277.5425
APP,2025-03-27,322.05,326.01,252.51,261.7,20188915,-60.35,-18.74,290.5675
APP,2025-03-26,340.5,343.2,322.1,327.62,8322900,-12.88,-3.78,333.355
APP,2025-03-25,341.0,352.0,332.04,346.29,7757540,5.29,1.55,342.8325
APP,2025-03-24,328.09,342.38,323.5,339.72,9119933,11.63,3.54,333.4225
APP,2025-03-21,301.05,315.27,296.13,314.03,9505700,12.98,4.31,306.62
APP,2025-03-20,293.82,315.41,292.4,306.74,8401537,12.92,4.4,302.0925
APP,2025-03-19,286.2,300.2,277.5,297.03,6935500,10.83,3.78,290.2325
APP,2025-03-18,299.5,302.0,275.72,278.84,8636621,-20.66,-6.9,289.015
APP,2025-03-17,297.76,314.8,293.51,306.85,8871500,9.09,3.05,303.23
APP,2025-03-14,284.18,298.01,282.39,292.89,10061800,8.71,3.06,289.3675
APP,2025-03-13,272.88,275.0,260.93,272.0,7266128,-0.875,-0.32249,270.2025
APP,2025-03-12,285.0,292.43,261.01,272.59,12741341,-12.41,-4.35,277.7575
APP,2025-03-11,239.8,261.45,236.0,257.76,12850845,17.96,7.49,248.7525
APP,2025-03-10,246.53,255.6,234.56,238.08,16713700,-8.45,-3.43,243.6925
APP,2025-03-07,256.15,278.6,247.5,270.48,14654300,14.34,5.59,263.1825
APP,2025-03-06,305.76,306.5,258.51,259.63,16179508,-46.13,-15.09,282.6
APP,2025-03-05,323.0,326.27,310.51,318.0,8128730,-5.0,-1.55,319.445
APP,2025-03-04,324.0,341.0,307.57,327.23,9225440,3.23,0.99691,324.95
APP,2025-03-03,350.24,359.7,332.0,337.34,10950648,-12.9,-3.68,344.82
APP,2025-02-28,313.0,331.56,306.1,325.74,9099600,12.74,4.07,319.1
APP,2025-02-27,346.44,349.92,310.0,320.49,11883600,-25.95,-7.49,331.7125
APP,2025-02-26,328.47,343.17,288.92,331.0,31816800,2.53,0.77024,322.89
APP,2025-02-25,406.7,406.7,367.12,377.06,11330336,-29.64,-7.29,389.395
APP,2025-02-24,411.86,426.49,395.01,410.45,8103500,-1.41,-0.34235,410.9525
APP,2025-02-21,452.77,456.76,412.19,415.31,7658132,-37.46,-8.27,434.2575
APP,2025-02-20,488.91,494.54,427.13,450.01,11209300,-38.9,-7.96,465.1475
APP,2025-02-19,502.74,507.0,481.12,494.17,5052300,-8.57,-1.7,496.2575
APP,2025-02-18,514.1,519.79,487.99,496.0,7330000,-18.1,-3.52,504.47
APP,2025-02-14,473.56,516.99,462.8,510.13,11344848,36.57,7.72,490.87
APP,2025-02-13,499.34,525.15,449.0,471.67,19398900,-27.67,-5.54,486.29
APP,2025-02-12,375.93,390.21,372.0,380.32,9393012,4.39,1.17,379.615
APP,2025-02-11,381.6,383.34,366.96,375.25,4253919,-6.35,-1.66,376.7875
APP,2025-02-10,387.2,396.62,373.2,384.4,4593709,-2.8,-0.72314,385.355
APP,2025-02-07,385.88,393.63,374.58,375.72,3119700,-10.16,-2.63,382.4525
APP,2025-02-06,369.57,381.79,365.6,380.63,3014500,11.06,2.99,374.3975
APP,2025-02-05,377.37,378.65,363.01,368.27,3981084,-9.1,-2.41,371.825
APP,2025-02-04,373.77,390.68,370.75,380.26,5255620,6.49,1.74,378.865
APP,2025-02-03,353.51,369.48,349.22,365.44,3549633,11.93,3.37,359.4125
APP,2025-01-31,371.04,379.0,364.5,369.59,3357631,-1.45,-0.39079,371.0325
APP,2025-01-30,377.99,385.66,357.01,365.51,4018500,-12.48,-3.3,371.5425
APP,2025-01-29,360.0,370.64,352.22,366.34,3346846,6.34,1.76,362.3
APP,2025-01-28,347.63,368.38,342.08,360.75,4522300,13.12,3.77,354.71
APP,2025-01-27,341.66,350.58,330.54,343.02,5825400,1.36,0.39806,341.45
APP,2025-01-24,364.3,368.85,360.6,363.1,2833400,-1.2,-0.3294,364.2125
APP,2025-01-23,354.18,367.79,352.46,362.52,3120122,8.34,2.35,359.2375
APP,2025-01-22,345.0,371.77,343.18,361.72,4582100,16.72,4.85,355.4175
APP,2025-01-21,349.0,354.91,337.12,338.39,4919846,-10.61,-3.04,344.855
APP,2025-01-17,341.82,347.39,336.77,342.34,4175716,0.52,0.15213,342.08
APP,2025-01-16,333.73,343.18,331.67,332.01,2496200,-1.72,-0.51539,335.1475
APP,2025-01-15,335.0,342.36,329.41,335.03,3825445,0.03,0.00895522,335.45
APP,2025-01-14,324.52,328.5,316.82,321.09,3227520,-3.43,-1.06,322.7325
APP,2025-01-13,310.0,317.73,307.07,315.68,3809100,5.68,1.83,312.62
APP,2025-01-10,315.0,321.84,308.2,318.48,4238400,3.48,1.1,315.88
APP,2025-01-08,332.61,340.58,317.36,329.2,3924200,-3.41,-1.03,329.9375
APP,2025-01-07,345.68,347.0,313.61,330.01,6622400,-15.68,-4.53,334.075
APP,2025-01-06,358.88,362.45,346.04,354.93,3895741,-3.95,-1.1,355.575
APP,2025-01-03,341.47,352.17,336.72,350.65,4431800,9.18,2.69,345.2525
APP,2025-01-02,331.06,342.41,316.25,341.78,4883321,10.72,3.24,332.875
APP,2024-12-31,332.01,334.35,318.72,323.83,2981700,-8.18,-2.46,327.2275
APP,2024-12-30,328.73,341.24,325.21,335.38,2291634,6.65,2.02,332.64
APP,2024-12-27,345.0,345.05,326.69,335.17,2506509,-9.83,-2.85,337.9775
APP,2024-12-26,341.35,350.24,336.35,346.73,1828100,5.38,1.58,343.6675
APP,2024-12-24,345.0,348.48,341.31,341.83,1312432,-3.17,-0.91884,344.155
