symbol,date,open,high,low,close,volume,change,changePercent,vwap
ARM,2025-04-04,91.665,95.17,84.52,88.155,11085249,-3.51,-3.82916,89.28
ARM,2025-04-03,101.16,103.24,97.33,97.72,8050425,-3.44,-3.4,99.8625
ARM,2025-04-02,104.38,110.13,104.38,108.14,2350625,3.76,3.6,106.7575
ARM,2025-04-01,105.72,108.47,103.58,106.98,4236103,1.26,1.19,106.1875
ARM,2025-03-31,104.0,106.93,101.36,106.79,4662707,2.79,2.68,104.77
ARM,2025-03-28,111.5,113.18,106.73,107.8,4624100,-3.7,-3.32,109.8025
ARM,2025-03-27,114.0,114.04,109.25,112.47,4203112,-1.53,-1.34,112.44
ARM,2025-03-26,123.0,123.45,114.17,114.93,4898639,-8.07,-6.56,118.8875
ARM,2025-03-25,124.92,125.5,123.1,124.28,1887300,-0.64,-0.51233,124.45
ARM,2025-03-24,122.06,126.27,122.0,124.85,4314334,2.79,2.29,123.795
ARM,2025-03-21,116.38,119.43,115.5,119.07,2552400,2.69,2.31,117.595
ARM,2025-03-20,116.82,120.44,115.81,119.07,2335200,2.25,1.93,118.035
ARM,2025-03-19,119.44,120.49,116.24,117.91,3729600,-1.53,-1.28,118.52
ARM,2025-03-18,120.56,120.65,116.36,119.72,3138800,-0.84,-0.69675,119.3225
ARM,2025-03-17,118.06,123.7,118.05,121.37,3444925,3.31,2.8,120.295
ARM,2025-03-14,115.79,118.62,115.21,117.94,4573900,2.15,1.86,116.89
ARM,2025-03-13,114.0,114.78,109.9,112.05,4480700,-1.95,-1.71,112.6825
ARM,2025-03-12,116.0,117.98,112.0,112.7,5291214,-3.3,-2.84,114.67
ARM,2025-03-11,116.0,118.5,110.25,111.49,8069201,-4.51,-3.89,114.06
ARM,2025-03-10,120.5,121.8,114.38,116.38,7267413,-4.12,-3.42,118.265
ARM,2025-03-07,118.52,127.58,117.52,125.55,6537634,7.03,5.93,122.2925
ARM,2025-03-06,120.7,123.4,117.75,117.92,5014600,-2.78,-2.3,119.9425
ARM,2025-03-05,124.63,125.49,120.36,124.78,4601600,0.155,0.12036,123.815
ARM,2025-03-04,121.91,125.91,117.89,122.49,8075722,0.58,0.47576,122.05
ARM,2025-03-03,133.0,133.94,120.07,121.1,7356741,-11.9,-8.95,127.0275
ARM,2025-02-28,129.3,133.98,127.43,131.69,4253846,2.39,1.85,130.6
ARM,2025-02-27,142.01,144.41,130.15,130.34,4799626,-11.67,-8.22,136.7275
ARM,2025-02-26,139.43,141.57,137.91,138.97,3263200,-0.46,-0.32991,139.47
ARM,2025-02-25,139.32,139.5,133.16,136.7,5786313,-2.62,-1.88,137.17
ARM,2025-02-24,145.06,145.61,138.05,140.53,3829700,-4.53,-3.12,142.3125
ARM,2025-02-21,151.25,151.99,143.8,144.84,4917000,-6.41,-4.24,147.97
ARM,2025-02-20,153.2,154.05,147.53,150.85,3866000,-2.35,-1.53,151.4075
ARM,2025-02-19,157.56,160.94,152.29,154.36,5228800,-3.2,-2.03,156.2875
