symbol,date,open,high,low,close,volume,change,changePercent,vwap
ASML,2025-04-04,622.0,626.15,597.69,609.15,3277581,-12.85,-2.06592,611.0
ASML,2025-04-03,649.53,650.97,622.82,623.22,2870607,-26.31,-4.05,636.635
ASML,2025-04-02,664.39,676.39,660.83,669.01,1119008,4.63,0.69537,667.655
ASML,2025-04-01,664.57,670.64,656.35,667.34,1212618,2.77,0.41681,664.725
ASML,2025-03-31,660.26,665.16,652.88,662.63,1685000,2.37,0.35895,660.2325
ASML,2025-03-28,685.13,687.44,672.05,674.58,1393008,-10.55,-1.54,679.8
ASML,2025-03-27,698.49,702.48,689.0,690.63,1285500,-7.86,-1.13,695.15
ASML,2025-03-26,715.9,719.99,702.24,705.76,1270018,-10.14,-1.42,710.9725
ASML,2025-03-25,732.06,735.0,725.42,726.74,1244301,-5.32,-0.72672,729.805
ASML,2025-03-24,728.03,731.95,726.34,727.84,1104400,-0.19,-0.02609783,728.54
ASML,2025-03-21,711.79,721.36,711.21,716.22,1967217,4.43,0.62237,715.145
ASML,2025-03-20,725.01,735.4,724.23,734.06,1282411,9.05,1.25,729.675
ASML,2025-03-19,729.11,746.75,725.06,734.91,1080500,5.8,0.79549,733.9575
ASML,2025-03-18,729.9,734.19,719.99,731.11,1007300,1.21,0.16578,728.7975
ASML,2025-03-17,718.05,734.55,717.21,730.33,1423300,12.28,1.71,725.035
ASML,2025-03-14,707.68,720.03,705.36,714.0,1367524,6.32,0.89306,711.7675
ASML,2025-03-13,697.84,705.3,688.26,694.59,1399500,-3.25,-0.46572,696.4975
ASML,2025-03-12,704.14,708.3,696.74,703.37,1306300,-0.77,-0.10935,703.1375
ASML,2025-03-11,698.82,702.0,681.26,690.21,1616844,-8.61,-1.23,693.0725
ASML,2025-03-10,697.98,699.0,676.0,683.11,2321500,-14.87,-2.13,689.0225
ASML,2025-03-07,726.16,734.0,715.5,732.22,1426613,6.06,0.83453,726.97
ASML,2025-03-06,718.85,731.17,711.0,714.84,1427928,-4.01,-0.55784,718.965
ASML,2025-03-05,731.62,740.55,719.3,739.75,1754300,8.13,1.11,732.805
ASML,2025-03-04,698.27,721.3,692.69,708.22,2044726,9.95,1.42,705.12
ASML,2025-03-03,722.05,732.35,692.48,699.86,2284110,-22.18,-3.07,711.685
ASML,2025-02-28,706.82,713.5,697.51,709.08,1773419,2.26,0.31974,706.7275
ASML,2025-02-27,743.42,744.8,696.91,697.7,2342831,-45.72,-6.15,720.7075
ASML,2025-02-26,743.82,753.77,738.91,746.93,1401441,3.11,0.41811,745.8575
ASML,2025-02-25,732.19,738.98,726.21,730.19,1691200,-2.0,-0.27315,731.8925
ASML,2025-02-24,746.13,750.88,734.7,735.96,1471200,-10.17,-1.36,741.9175
ASML,2025-02-21,744.15,745.71,733.2,737.21,1472315,-6.94,-0.93261,740.0675
ASML,2025-02-20,751.35,755.51,740.42,743.09,1185949,-8.26,-1.1,747.5925
