symbol,date,open,high,low,close,volume,change,changePercent,vwap
AVGO,2025-04-04,148.225,152.67,139.1701,148.33,60163602,0.105,0.07083825,146.72
AVGO,2025-04-03,160.54,163.43,153.7,154.01,44354859,-6.53,-4.07,157.92
AVGO,2025-04-02,166.08,173.43,165.5,172.09,19523700,6.01,3.62,169.275
AVGO,2025-04-01,166.37,168.71,163.42,168.52,20472443,2.15,1.29,166.755
AVGO,2025-03-31,164.49,167.94,160.62,167.43,35656449,2.94,1.79,165.12
AVGO,2025-03-28,171.93,173.3,166.47,169.12,30391500,-2.81,-1.63,170.205
AVGO,2025-03-27,177.66,178.38,170.46,171.99,32151700,-5.66,-3.19,174.6225
AVGO,2025-03-26,186.66,188.06,177.58,179.27,30670536,-7.39,-3.96,182.8925
AVGO,2025-03-25,190.89,191.6,187.68,188.26,23417300,-2.62,-1.38,189.6075
AVGO,2025-03-24,194.3,196.69,190.67,191.25,33180300,-3.04,-1.57,193.2275
AVGO,2025-03-21,188.21,192.07,187.37,191.66,43086517,3.45,1.83,189.8275
AVGO,2025-03-20,191.52,193.84,188.94,190.54,31430022,-0.98,-0.5117,191.21
AVGO,2025-03-19,189.34,198.27,186.9,195.57,37962700,6.23,3.29,192.52
AVGO,2025-03-18,190.44,192.89,186.9,188.67,24951025,-1.77,-0.92943,189.725
AVGO,2025-03-17,188.05,196.72,187.5,194.5,26830624,6.45,3.43,191.6925
AVGO,2025-03-14,196.2,197.5,193.2,195.54,25900939,-0.66,-0.33639,195.61
AVGO,2025-03-13,193.15,196.32,189.47,191.36,27236137,-1.79,-0.92674,192.575
AVGO,2025-03-12,196.22,199.98,192.45,194.23,30409728,-1.99,-1.01,195.72
AVGO,2025-03-11,188.05,195.62,185.35,190.09,42153248,2.04,1.08,189.7775
AVGO,2025-03-10,189.6,191.98,180.43,184.45,44217115,-5.15,-2.72,186.615
AVGO,2025-03-07,187.73,195.48,181.56,194.96,74528900,7.23,3.85,189.9325
AVGO,2025-03-06,181.04,186.83,177.61,179.45,56864100,-1.59,-0.87826,181.2325
AVGO,2025-03-05,191.86,194.08,187.1,191.58,25644540,-0.28,-0.14594,191.155
AVGO,2025-03-04,189.22,193.95,180.48,187.48,37910500,-1.74,-0.91956,187.7825
AVGO,2025-03-03,204.0,204.06,184.53,187.37,37435603,-16.63,-8.15,194.99
AVGO,2025-02-28,195.76,201.19,193.15,199.43,39747248,3.67,1.87,197.3825
AVGO,2025-02-27,217.28,219.25,197.4,197.8,27572900,-19.48,-8.97,207.9325
AVGO,2025-02-26,206.91,213.54,206.0,212.94,21368302,6.03,2.91,209.8475
AVGO,2025-02-25,207.0,208.64,200.92,202.54,33100814,-4.46,-2.15,204.775
AVGO,2025-02-24,218.6,219.48,207.54,207.93,33050425,-10.67,-4.88,213.3875
AVGO,2025-02-21,225.65,227.75,215.63,218.66,24883600,-6.99,-3.1,221.9225
AVGO,2025-02-20,228.65,228.98,222.75,226.74,16104000,-1.91,-0.83534,226.78
AVGO,2025-02-19,227.85,229.07,224.4,228.73,16375500,0.88,0.38622,227.5125
AVGO,2025-02-18,230.1,232.2,224.3,228.53,26080547,-1.57,-0.68231,228.7825
AVGO,2025-02-14,234.53,235.74,228.9,233.04,16988800,-1.49,-0.63531,233.0525
AVGO,2025-02-13,236.06,236.95,230.73,235.8,20962031,-0.26,-0.11014,234.885
AVGO,2025-02-12,230.36,236.48,230.0,236.35,16397336,6.0,2.6,233.2975
AVGO,2025-02-11,232.48,237.89,229.97,235.04,18476200,2.56,1.1,233.845
AVGO,2025-02-10,227.43,235.82,227.12,235.04,23901643,7.61,3.35,231.3525
AVGO,2025-02-07,235.0,235.65,224.11,224.87,22117500,-10.13,-4.31,229.9075
AVGO,2025-02-06,234.5,234.8,228.56,231.36,21169529,-3.14,-1.34,232.305
AVGO,2025-02-05,233.94,237.93,227.5,232.0,29250582,-1.94,-0.82927,232.8425
AVGO,2025-02-04,219.35,223.03,215.3,222.43,23768517,3.08,1.4,220.0275
AVGO,2025-02-03,215.46,220.94,213.51,217.73,24507300,2.27,1.05,216.91
AVGO,2025-01-31,219.66,226.8,216.3,221.27,41151000,1.61,0.73295,221.0075
AVGO,2025-01-30,218.57,221.96,213.7,215.66,42449500,-2.91,-1.33,217.4725
AVGO,2025-01-29,208.84,211.45,202.77,206.35,32533735,-2.49,-1.19,207.3525
AVGO,2025-01-28,208.01,209.95,198.89,207.36,50316000,-0.65,-0.31248,206.0525
AVGO,2025-01-27,213.4,218.43,196.23,202.13,90569400,-11.27,-5.28,207.5475
AVGO,2025-01-24,244.7,249.59,241.91,244.7,25387825,0.0,0.0,245.225
AVGO,2025-01-23,238.41,240.4,236.12,240.28,17653942,1.87,0.78436,238.8025
AVGO,2025-01-22,246.75,246.99,240.69,240.91,29610501,-5.84,-2.37,243.835
AVGO,2025-01-21,241.5,242.75,237.4,240.31,30903200,-1.19,-0.49275,240.49
AVGO,2025-01-17,237.08,238.1,232.66,237.44,31196642,0.36,0.15185,236.32
AVGO,2025-01-16,235.22,238.6,229.21,229.41,23471900,-5.81,-2.47,233.11
AVGO,2025-01-15,228.55,230.34,225.58,228.0,21745616,-0.55,-0.24065,228.1175
AVGO,2025-01-14,226.57,230.26,223.1,224.7,18143124,-1.87,-0.82535,226.1575
AVGO,2025-01-13,219.99,229.26,219.51,225.29,23772100,5.3,2.41,223.5125
AVGO,2025-01-10,227.3,227.83,221.25,224.31,23864005,-2.99,-1.32,225.1725
AVGO,2025-01-08,229.7,232.47,226.06,229.31,18756500,-0.39,-0.16979,229.385
AVGO,2025-01-07,239.5,239.5,227.6,228.64,25928606,-10.86,-4.53,233.81
AVGO,2025-01-06,236.5,241.75,233.3,236.41,34028400,-0.09,-0.03805497,236.99
AVGO,2025-01-03,233.59,236.49,229.0,232.55,24973200,-1.04,-0.44522,232.9075
AVGO,2025-01-02,236.16,239.5,230.24,231.98,31525830,-4.18,-1.77,234.47
AVGO,2024-12-31,235.88,237.46,231.31,231.84,17927719,-4.04,-1.71,234.1225
AVGO,2024-12-30,234.7,238.77,231.62,235.58,27316800,0.885,0.37495,235.1675
AVGO,2024-12-27,245.64,245.78,236.35,241.75,29282230,-3.89,-1.58,242.38
AVGO,2024-12-26,240.0,247.28,237.6,245.36,28537540,5.36,2.23,242.56
AVGO,2024-12-24,240.12,240.23,234.8,239.68,22827200,-0.435,-0.18324,238.7075
AVGO,2024-12-23,226.69,233.4,225.13,232.35,40643800,5.66,2.5,229.3925
AVGO,2024-12-20,220.36,230.29,218.91,220.79,131910400,0.43,0.19514,222.5875
AVGO,2024-12-19,227.91,228.05,217.58,218.32,40845200,-9.59,-4.21,222.965
AVGO,2024-12-18,239.41,239.85,219.22,223.62,53960103,-15.79,-6.6,230.525
AVGO,2024-12-17,240.65,242.47,233.8,240.23,70382134,-0.42,-0.17453,239.2875
AVGO,2024-12-16,231.79,251.88,230.81,250.0,111623200,18.21,7.86,241.12
AVGO,2024-12-13,213.9,228.7,211.11,224.8,121336628,10.9,5.1,219.6275
AVGO,2024-12-12,180.93,182.0,175.99,180.66,46967200,-0.27,-0.14923,179.895
AVGO,2024-12-11,180.01,184.87,176.43,183.2,41295200,3.19,1.77,181.1275
AVGO,2024-12-10,177.81,178.5,169.73,171.81,27762632,-6.0,-3.37,174.4625
AVGO,2024-12-09,178.95,180.79,176.02,178.94,20886305,-0.01,-0.00558815,178.675
AVGO,2024-12-06,170.1,180.68,169.33,179.53,27830828,9.43,5.54,174.91
AVGO,2024-12-05,170.75,172.4,169.2,170.47,18490000,-0.28,-0.16398,170.705
AVGO,2024-12-04,173.44,175.39,168.56,170.56,32748246,-2.88,-1.66,171.9875
AVGO,2024-12-03,164.48,168.27,164.03,168.15,17024434,3.67,2.23,166.2325
AVGO,2024-12-02,162.95,168.38,162.75,166.51,21472442,3.56,2.18,165.1475
AVGO,2024-11-29,159.57,162.69,159.08,162.08,11024005,2.51,1.57,160.855
AVGO,2024-11-27,163.2,163.2,157.54,159.67,19722723,-3.53,-2.16,160.9025
AVGO,2024-11-26,164.6,166.37,162.69,164.74,16308800,0.14,0.08505468,164.6
AVGO,2024-11-25,165.4,167.23,162.89,164.82,26850600,-0.575,-0.35067,165.085
AVGO,2024-11-22,164.3,164.91,162.4,164.23,17332500,-0.07,-0.04260499,163.96
AVGO,2024-11-21,166.25,166.34,160.6,163.94,24835300,-2.31,-1.39,164.2825
AVGO,2024-11-20,165.54,165.54,160.86,163.25,17196728,-2.29,-1.38,163.7975
AVGO,2024-11-19,166.66,166.8,164.31,165.35,18003401,-1.31,-0.78603,165.78
AVGO,2024-11-18,165.66,166.35,162.22,165.67,17870329,0.01,0.00603646,164.975
AVGO,2024-11-15,168.47,169.14,163.43,164.84,20836200,-3.63,-2.15,166.47
AVGO,2024-11-14,174.77,175.57,169.87,170.38,20638900,-4.39,-2.51,172.6475
AVGO,2024-11-13,174.71,175.59,172.6,173.58,17472513,-1.12,-0.64679,174.12
AVGO,2024-11-12,178.9,179.56,173.2,176.22,15862000,-2.68,-1.5,176.97
AVGO,2024-11-11,183.4,183.63,176.82,178.91,17036700,-4.49,-2.45,180.69
AVGO,2024-11-08,182.99,185.05,181.83,183.64,13503200,0.65,0.35521,183.3775
AVGO,2024-11-07,181.99,184.87,181.79,183.81,18970600,1.82,1.0,183.115
AVGO,2024-11-06,179.63,180.21,175.96,179.55,24300800,-0.08,-0.04453599,178.8375
AVGO,2024-11-05,170.05,174.4,170.05,173.9,13441800,3.85,2.26,172.1
AVGO,2024-11-04,169.28,172.45,168.42,168.55,13621310,-0.73,-0.43124,169.675
AVGO,2024-11-01,168.26,171.33,167.5,168.92,17847038,0.66,0.39225,169.0025
AVGO,2024-10-31,174.45,174.45,167.38,169.77,26086600,-4.68,-2.68,171.5125
AVGO,2024-10-30,177.47,179.19,175.62,176.64,17911500,-0.83,-0.46768,177.23
AVGO,2024-10-29,172.44,180.23,171.21,179.24,23702344,6.81,3.94,175.78
AVGO,2024-10-28,173.0,173.97,171.35,172.02,13195829,-0.98,-0.56647,172.585
AVGO,2024-10-25,174.19,176.8,172.72,173.0,19977700,-1.19,-0.68316,174.1775
AVGO,2024-10-24,174.26,174.3,169.5,171.35,20485200,-2.91,-1.67,172.3525
AVGO,2024-10-23,177.59,178.98,172.57,173.51,19513713,-4.08,-2.3,175.6625
AVGO,2024-10-22,178.66,180.69,177.41,179.38,12062648,0.72,0.403,179.035
AVGO,2024-10-21,179.38,181.72,178.25,179.99,13695149,0.61,0.34006,179.835
AVGO,2024-10-18,182.32,182.71,178.68,179.89,17835247,-2.43,-1.33,180.9
AVGO,2024-10-17,181.37,185.51,180.69,181.53,25232427,0.16,0.08821746,182.275
AVGO,2024-10-16,178.51,179.25,175.33,176.82,15285100,-1.69,-0.94673,177.4775
AVGO,2024-10-15,180.79,181.7,173.37,175.98,27657529,-4.81,-2.66,177.96
AVGO,2024-10-14,183.3,184.95,180.13,182.31,17195824,-0.99,-0.5401,182.6725
AVGO,2024-10-11,181.14,182.59,177.4,181.48,23070023,0.34,0.1877,180.6525
AVGO,2024-10-10,183.56,186.31,182.53,185.69,16318000,2.13,1.16,184.5225
AVGO,2024-10-09,179.24,186.42,176.42,185.95,25504100,6.71,3.74,182.0075
AVGO,2024-10-08,175.42,181.6,174.89,180.73,20774200,5.31,3.03,178.16
AVGO,2024-10-07,174.82,178.31,173.86,175.08,15588333,0.26,0.14872,175.5175
AVGO,2024-10-04,176.3,176.9,172.6,176.64,17941387,0.34,0.19285,175.61
AVGO,2024-10-03,169.62,174.94,169.19,171.89,13072300,2.27,1.34,171.41
AVGO,2024-10-02,167.55,172.84,167.02,170.66,14317834,3.11,1.86,169.5175
AVGO,2024-10-01,172.16,172.25,165.8,167.47,23770416,-4.69,-2.72,169.42
AVGO,2024-09-30,171.87,172.92,169.63,172.5,16902000,0.63,0.36656,171.73
AVGO,2024-09-27,178.17,178.47,171.76,172.69,20580905,-5.48,-3.08,175.2725
AVGO,2024-09-26,178.5,180.25,175.0,178.09,24340000,-0.41,-0.22969,177.96
AVGO,2024-09-25,174.65,177.14,173.76,175.52,16613800,0.87,0.49814,175.2675
AVGO,2024-09-24,172.81,175.99,171.68,174.84,34223405,2.03,1.17,173.83
AVGO,2024-09-23,172.0,173.32,168.35,172.94,29431112,0.94,0.54651,171.6525
AVGO,2024-09-20,167.18,172.02,166.47,171.1,91758507,3.92,2.34,169.1925
AVGO,2024-09-19,167.68,170.0,165.66,167.42,32453100,-0.26,-0.15506,167.69
AVGO,2024-09-18,163.77,167.47,161.36,161.67,26557600,-2.1,-1.28,163.5675
AVGO,2024-09-17,165.49,166.02,160.7,162.47,19844343,-3.02,-1.82,163.67
AVGO,2024-09-16,165.19,165.5,160.41,164.02,26126934,-1.17,-0.70828,163.78
AVGO,2024-09-13,166.74,168.08,164.04,167.69,29850048,0.955,0.56975,166.6375
AVGO,2024-09-12,158.1,166.32,156.83,164.56,43581917,6.46,4.09,161.4525
AVGO,2024-09-11,148.39,158.87,145.04,158.27,39700800,9.88,6.66,152.6425
AVGO,2024-09-10,141.22,149.86,141.04,148.21,36067500,6.99,4.95,145.0825
AVGO,2024-09-09,139.11,141.59,134.9,140.82,39516700,1.71,1.23,139.105
AVGO,2024-09-06,143.25,143.5,136.6,137.0,76634630,-6.25,-4.36,140.0875
AVGO,2024-09-05,150.57,156.36,150.11,152.82,31548537,2.25,1.49,152.465
AVGO,2024-09-04,150.3,157.79,149.15,154.12,20324100,3.82,2.54,152.84
AVGO,2024-09-03,160.38,160.74,151.38,152.79,37179100,-7.59,-4.73,156.3225
AVGO,2024-08-30,161.12,163.24,158.71,162.82,25158510,1.7,1.06,161.4725
AVGO,2024-08-29,158.49,163.2,155.41,156.93,23519300,-1.56,-0.98429,158.5075
AVGO,2024-08-28,160.08,162.28,156.25,158.18,18063622,-1.9,-1.19,159.1975
AVGO,2024-08-27,157.6,162.03,155.83,161.39,16683106,3.79,2.4,159.2125
AVGO,2024-08-26,164.96,165.7,158.66,159.62,18521200,-5.34,-3.24,162.235
AVGO,2024-08-23,165.03,168.28,163.46,166.36,18848022,1.34,0.80591,165.7825
AVGO,2024-08-22,170.84,172.42,161.49,162.34,30044532,-8.5,-4.98,166.7725
AVGO,2024-08-21,165.12,166.47,162.88,165.78,16097700,0.66,0.39971,165.0625
AVGO,2024-08-20,167.05,168.37,164.15,165.95,19417500,-1.1,-0.65849,166.38
AVGO,2024-08-19,164.86,167.83,160.42,167.71,20441700,2.85,1.73,165.205
AVGO,2024-08-16,164.47,166.09,162.68,165.72,19296900,1.25,0.76002,164.74
AVGO,2024-08-15,161.2,166.67,160.34,166.13,27945000,4.93,3.06,163.585
AVGO,2024-08-14,158.02,160.25,154.72,157.69,20184200,-0.33,-0.20883,157.67
AVGO,2024-08-13,151.55,156.38,149.81,156.16,22053604,4.61,3.04,153.475
AVGO,2024-08-12,148.08,151.13,146.37,148.62,17778500,0.54,0.36467,148.55
AVGO,2024-08-09,144.2,149.55,144.11,148.26,18438700,4.06,2.82,146.53
AVGO,2024-08-08,141.2,146.27,138.4,145.74,27583200,4.54,3.22,142.9025
AVGO,2024-08-07,148.25,150.1,135.83,136.27,29749800,-11.98,-8.08,142.6125
AVGO,2024-08-06,141.73,148.91,140.25,143.92,24751300,2.19,1.55,143.7025
AVGO,2024-08-05,129.61,145.42,128.5,142.08,41309300,12.47,9.62,136.4025
AVGO,2024-08-02,141.93,145.35,139.6,143.82,33745843,1.89,1.33,142.675
AVGO,2024-08-01,157.5,158.91,146.17,147.02,40320000,-10.48,-6.65,152.4
AVGO,2024-07-31,151.47,161.33,151.0,160.68,45827511,9.21,6.08,156.12
AVGO,2024-07-30,153.28,153.47,143.35,143.52,31102341,-9.76,-6.37,148.405
AVGO,2024-07-29,152.02,155.0,149.15,150.22,16625800,-1.8,-1.18,151.5975
AVGO,2024-07-26,153.5,153.58,149.92,151.63,20839900,-1.87,-1.22,152.1575
AVGO,2024-07-25,151.26,153.55,145.52,149.26,30872127,-2.0,-1.32,149.8975
AVGO,2024-07-24,160.35,161.41,151.1,151.34,37162620,-9.01,-5.62,156.05
AVGO,2024-07-23,160.4,165.33,159.9,163.77,21570200,3.38,2.1,162.35
AVGO,2024-07-22,160.23,162.99,157.9,161.06,28813334,0.83,0.51801,160.545
