symbol,date,open,high,low,close,volume,change,changePercent,vwap
AXON,2025-04-04,511.26,515.225,486.9,500.135,708262,-11.12,-2.176,500.75
AXON,2025-04-03,532.67,553.6,528.76,539.69,661450,7.02,1.32,538.68
AXON,2025-04-02,530.69,560.3,530.69,558.42,731828,27.73,5.23,545.025
AXON,2025-04-01,521.59,542.98,520.19,541.2,509615,19.61,3.76,531.49
AXON,2025-03-31,522.67,528.83,507.03,525.95,779458,3.28,0.62755,521.12
AXON,2025-03-28,550.4,550.4,529.0,534.95,678472,-15.45,-2.81,541.1875
AXON,2025-03-27,554.78,557.0,540.0,550.65,374576,-4.13,-0.74444,550.6075
AXON,2025-03-26,575.57,578.2,553.56,559.06,521741,-16.51,-2.87,566.5975
AXON,2025-03-25,569.21,579.67,566.97,577.18,439800,7.97,1.4,573.2575
AXON,2025-03-24,571.99,574.16,561.0,572.52,689675,0.53,0.09265896,569.9175
AXON,2025-03-21,550.63,562.28,544.34,560.0,803642,9.37,1.7,554.3125
AXON,2025-03-20,560.16,572.82,556.5,558.41,525252,-1.75,-0.31241,561.9725
AXON,2025-03-19,545.34,571.4,542.65,568.11,576540,22.77,4.18,556.875
AXON,2025-03-18,548.7,555.58,532.52,539.99,558600,-8.71,-1.59,544.1975
AXON,2025-03-17,552.72,563.7,549.58,554.82,664625,2.1,0.37994,555.205
AXON,2025-03-14,544.55,557.45,543.88,556.26,656200,11.71,2.15,550.535
AXON,2025-03-13,558.81,569.95,530.22,534.56,760807,-24.25,-4.34,548.385
AXON,2025-03-12,540.37,560.73,539.13,557.89,1215839,17.52,3.24,549.53
AXON,2025-03-11,518.26,539.17,509.0,526.64,975328,8.38,1.62,523.2675
AXON,2025-03-10,508.39,522.06,501.85,515.45,1359940,7.06,1.39,511.9375
AXON,2025-03-07,500.0,527.94,500.0,526.4,1277984,26.4,5.28,513.585
AXON,2025-03-06,522.85,526.19,495.0,499.31,912300,-23.54,-4.5,510.8375
AXON,2025-03-05,529.75,538.98,521.08,534.96,945209,5.21,0.98348,531.1925
AXON,2025-03-04,513.87,543.41,503.02,528.28,956405,14.41,2.8,522.145
AXON,2025-03-03,532.84,541.75,520.67,525.75,876097,-7.09,-1.33,530.2525
AXON,2025-02-28,526.97,531.36,514.04,528.45,1153735,1.48,0.28085,525.205
AXON,2025-02-27,575.0,578.87,521.7,525.44,1453907,-49.56,-8.62,550.2525
AXON,2025-02-26,584.95,600.99,558.21,572.4,2838000,-12.55,-2.15,579.1375
AXON,2025-02-25,498.91,502.24,480.18,496.65,1360330,-2.25,-0.45299,494.495
AXON,2025-02-24,516.51,524.35,496.19,499.73,1322641,-16.78,-3.25,509.195
AXON,2025-02-21,551.66,551.66,510.53,513.22,1454542,-38.43,-6.97,531.7675
AXON,2025-02-20,581.0,584.0,521.66,541.81,2514006,-39.19,-6.75,557.1175
AXON,2025-02-19,700.0,705.1,592.76,593.42,2319600,-106.58,-15.23,647.82
AXON,2025-02-18,694.02,715.99,691.86,710.01,1318703,15.99,2.3,702.97
AXON,2025-02-14,662.57,686.17,648.85,683.41,694120,20.84,3.15,670.25
AXON,2025-02-13,667.75,671.44,655.07,664.7,356153,-3.05,-0.45676,664.74
AXON,2025-02-12,656.49,668.57,652.26,665.08,495922,8.59,1.31,660.6
AXON,2025-02-11,678.48,678.48,656.72,669.26,421665,-9.22,-1.36,670.735
AXON,2025-02-10,684.32,686.08,672.0,677.85,432548,-6.47,-0.94546,680.0625
AXON,2025-02-07,680.0,689.54,677.93,679.24,556216,-0.76,-0.11176,681.6775
AXON,2025-02-06,680.99,684.36,661.0,677.4,559451,-3.59,-0.52717,675.9375
AXON,2025-02-05,662.91,680.97,662.91,680.52,459816,17.61,2.66,671.8275
AXON,2025-02-04,657.14,674.0,652.58,662.91,511759,5.77,0.87805,661.6575
AXON,2025-02-03,640.75,671.22,635.55,658.11,1001800,17.36,2.71,651.4075
AXON,2025-01-31,655.44,671.06,649.76,652.18,611693,-3.26,-0.49738,657.11
AXON,2025-01-30,646.5,657.0,643.55,653.43,536822,6.93,1.07,650.12
AXON,2025-01-29,640.0,644.86,632.14,639.97,422611,-0.03,-0.0046875,639.2425
AXON,2025-01-28,606.58,639.34,604.37,637.53,548338,30.95,5.1,621.955
AXON,2025-01-27,597.79,608.01,587.14,604.68,458568,6.89,1.15,599.405
AXON,2025-01-24,613.97,615.5,605.2,610.32,309800,-3.65,-0.59449,611.2475
AXON,2025-01-23,609.59,614.6,602.81,613.38,368644,3.79,0.62173,610.095
AXON,2025-01-22,607.98,612.14,602.71,607.6,362230,-0.38,-0.06250206,607.6075
AXON,2025-01-21,603.12,609.5,592.59,605.58,531294,2.46,0.40788,602.6975
AXON,2025-01-17,595.84,603.0,591.19,593.89,533670,-1.95,-0.32727,595.98
AXON,2025-01-16,585.0,592.22,581.8,585.84,466053,0.84,0.14359,586.215
AXON,2025-01-15,589.4,594.84,577.53,580.0,702444,-9.4,-1.59,585.4425
AXON,2025-01-14,571.9,584.23,569.95,579.8,509051,7.9,1.38,576.47
AXON,2025-01-13,561.4,569.33,556.68,568.68,422549,7.28,1.3,564.0225
AXON,2025-01-10,572.0,574.83,562.71,570.0,482918,-2.0,-0.34965,569.885
AXON,2025-01-08,565.02,577.74,559.23,577.34,590620,12.32,2.18,569.8325
AXON,2025-01-07,570.72,573.5,554.76,562.03,935300,-8.69,-1.52,565.2525
AXON,2025-01-06,604.4,606.31,543.48,570.71,1614521,-33.69,-5.57,581.225
AXON,2025-01-03,595.36,608.95,594.18,601.06,434723,5.7,0.9574,599.8875
AXON,2025-01-02,604.07,612.25,588.19,596.49,517294,-7.58,-1.25,600.25
AXON,2024-12-31,607.17,607.17,592.28,594.32,510410,-12.85,-2.12,600.235
AXON,2024-12-30,601.2,607.24,591.14,604.32,649149,3.12,0.51896,600.975
AXON,2024-12-27,620.95,622.46,606.55,610.98,392170,-9.97,-1.61,615.235
AXON,2024-12-26,630.0,630.0,620.96,623.8,526622,-6.2,-0.98413,626.19
AXON,2024-12-24,619.67,631.78,619.07,631.25,260504,11.58,1.87,625.4425
AXON,2024-12-23,634.64,642.53,616.97,624.14,626799,-10.5,-1.65,629.57
AXON,2024-12-20,607.95,633.21,605.1,631.69,7032800,23.74,3.9,619.4875
AXON,2024-12-19,620.54,626.58,608.0,615.68,1316458,-4.86,-0.78319,617.7
AXON,2024-12-18,637.0,638.87,604.14,609.96,1614002,-27.04,-4.24,622.4925
AXON,2024-12-17,642.93,648.69,632.0,635.76,1497650,-7.17,-1.12,639.845
AXON,2024-12-16,652.0,654.0,603.33,649.3,1741642,-2.7,-0.41411,639.6575
AXON,2024-12-13,635.29,648.91,635.0,644.91,557700,9.62,1.51,641.0275
AXON,2024-12-12,648.01,657.75,635.81,636.41,667455,-11.6,-1.79,644.495
AXON,2024-12-11,646.68,651.14,633.86,642.45,639200,-4.23,-0.65411,643.5325
AXON,2024-12-10,647.22,659.68,633.31,637.45,928328,-9.77,-1.51,644.415
AXON,2024-12-09,687.69,687.97,631.03,642.59,1177606,-45.1,-6.56,662.32
AXON,2024-12-06,689.73,698.67,680.24,687.69,938723,-2.04,-0.29577,689.0825
AXON,2024-12-05,688.01,695.94,677.4,689.78,732660,1.77,0.25726,687.7825
AXON,2024-12-04,667.09,689.39,667.09,687.39,925209,20.3,3.04,677.74
AXON,2024-12-03,652.82,675.48,638.0,669.87,1383700,17.05,2.61,659.0425
AXON,2024-12-02,649.2,649.39,634.95,636.39,866800,-12.81,-1.97,642.4825
AXON,2024-11-29,639.38,652.23,639.0,646.96,397629,7.58,1.19,644.3925
AXON,2024-11-27,632.1,636.37,625.81,634.96,505877,2.86,0.45246,632.31
AXON,2024-11-26,622.6,633.0,621.22,632.16,619320,9.56,1.54,627.245
AXON,2024-11-25,639.54,639.99,607.2,619.0,1499893,-20.54,-3.21,626.4325
AXON,2024-11-22,635.5,641.2,623.51,636.95,699097,1.45,0.22817,634.29
AXON,2024-11-21,621.99,640.51,611.0,631.27,885468,9.28,1.49,626.1925
AXON,2024-11-20,609.18,613.25,598.95,609.82,572570,0.64,0.10506,607.8
AXON,2024-11-19,598.3,618.07,598.01,610.2,1064600,11.9,1.99,606.145
AXON,2024-11-18,601.04,610.33,592.0,600.0,669695,-1.04,-0.17303,600.8425
AXON,2024-11-15,599.53,602.0,594.42,599.35,682856,-0.18,-0.03002352,598.825
AXON,2024-11-14,601.0,609.37,592.21,604.56,727328,3.56,0.59235,601.785
AXON,2024-11-13,600.0,617.15,599.72,601.29,850740,1.29,0.215,604.54
AXON,2024-11-12,609.11,609.36,591.74,595.18,1390253,-13.93,-2.29,601.3475
AXON,2024-11-11,611.06,624.84,588.02,616.14,1793148,5.08,0.83134,610.015
AXON,2024-11-08,540.0,611.88,515.0,603.18,3967000,63.18,11.7,567.515
AXON,2024-11-07,465.5,471.0,462.81,468.75,832600,3.25,0.69817,467.015
AXON,2024-11-06,459.03,462.64,450.72,459.52,724186,0.49,0.10675,457.9775
AXON,2024-11-05,433.97,442.77,433.97,441.09,656281,7.12,1.64,437.95
AXON,2024-11-04,425.84,435.5,424.99,431.57,479013,5.73,1.35,429.475
AXON,2024-11-01,426.82,430.16,424.57,425.84,600627,-0.98,-0.2296,426.8475
AXON,2024-10-31,435.96,436.9,422.38,423.5,877593,-12.46,-2.86,429.685
AXON,2024-10-30,443.33,445.48,438.76,439.0,428115,-4.33,-0.9767,441.6425
AXON,2024-10-29,444.96,447.63,443.7,444.0,489050,-0.96,-0.21575,445.0725
AXON,2024-10-28,449.1,449.1,443.25,444.77,447236,-4.33,-0.96415,446.555
AXON,2024-10-25,446.12,449.83,442.71,444.52,331952,-1.6,-0.35865,445.795
AXON,2024-10-24,442.58,446.75,438.17,443.12,263431,0.54,0.12201,442.655
AXON,2024-10-23,447.52,449.2,440.67,442.69,389218,-4.83,-1.08,445.02
AXON,2024-10-22,445.1,455.17,443.44,449.61,624963,4.51,1.01,448.33
AXON,2024-10-21,439.0,444.16,435.29,443.98,335656,4.98,1.13,440.6075
AXON,2024-10-18,438.78,438.78,434.0,438.05,228800,-0.73,-0.16637,437.4025
AXON,2024-10-17,436.0,437.9,432.73,434.48,397469,-1.52,-0.34862,435.2775
AXON,2024-10-16,433.36,435.4,428.5,433.83,376100,0.47,0.10845,432.7725
AXON,2024-10-15,437.98,438.04,424.57,434.12,625379,-3.86,-0.88132,433.6775
AXON,2024-10-14,437.14,440.89,435.44,437.98,326365,0.84,0.19216,437.8625
AXON,2024-10-11,430.19,436.55,428.77,434.98,334523,4.79,1.11,432.6225
AXON,2024-10-10,430.78,432.91,424.34,428.76,494200,-2.02,-0.46892,429.1975
AXON,2024-10-09,424.4,432.86,422.21,432.14,470903,7.74,1.82,427.9025
AXON,2024-10-08,424.06,433.48,420.49,426.99,787500,2.93,0.69094,426.255
AXON,2024-10-07,421.0,425.23,416.88,420.83,682956,-0.17,-0.04038005,420.985
AXON,2024-10-04,418.0,422.33,413.68,421.8,612225,3.8,0.90909,418.9525
AXON,2024-10-03,404.17,415.11,403.16,415.05,927266,10.88,2.69,409.3725
AXON,2024-10-02,400.0,406.0,397.53,404.51,588184,4.51,1.13,402.01
AXON,2024-10-01,399.87,400.78,395.37,399.22,749293,-0.65,-0.16255,398.81
AXON,2024-09-30,395.5,400.33,394.24,399.6,548958,4.1,1.04,397.4175
AXON,2024-09-27,394.12,395.59,388.37,395.34,400734,1.22,0.30955,393.355
AXON,2024-09-26,396.23,398.74,391.97,393.25,449069,-2.98,-0.75209,395.0475
AXON,2024-09-25,394.39,395.8,392.02,395.26,534500,0.87,0.22059,394.3675
AXON,2024-09-24,395.59,395.69,388.36,393.66,279634,-1.93,-0.48788,393.325
AXON,2024-09-23,394.29,397.32,392.0,393.94,473100,-0.35,-0.08876715,394.3875
AXON,2024-09-20,387.07,393.58,387.06,393.29,1202603,6.22,1.61,390.25
AXON,2024-09-19,390.0,391.55,383.03,389.74,461850,-0.26,-0.06666667,388.58
AXON,2024-09-18,383.5,387.61,380.51,383.01,402101,-0.49,-0.12777,383.6575
AXON,2024-09-17,384.03,386.14,376.53,382.57,379075,-1.46,-0.38018,382.3175
AXON,2024-09-16,380.99,386.54,379.98,385.77,480100,4.78,1.25,383.32
AXON,2024-09-13,382.98,385.0,375.71,379.61,506481,-3.37,-0.87994,380.825
AXON,2024-09-12,364.88,384.73,364.6,384.51,976901,19.63,5.38,374.68
AXON,2024-09-11,357.82,364.49,353.91,361.71,471546,3.89,1.09,359.4825
AXON,2024-09-10,364.89,366.98,357.11,359.35,324800,-5.54,-1.52,362.0825
AXON,2024-09-09,358.61,369.44,358.61,364.39,755959,5.78,1.61,362.7625
AXON,2024-09-06,356.42,357.5,346.71,354.62,509150,-1.8,-0.50502,353.8125
AXON,2024-09-05,353.53,356.34,352.11,354.86,236479,1.33,0.37621,354.21
AXON,2024-09-04,351.72,356.73,349.02,355.35,681100,3.63,1.03,353.205
AXON,2024-09-03,361.35,363.22,354.52,355.16,584912,-6.19,-1.71,358.5625
AXON,2024-08-30,363.13,366.28,361.44,364.97,454912,1.84,0.50671,363.955
AXON,2024-08-29,364.03,368.86,361.97,362.0,316831,-2.03,-0.55765,364.215
AXON,2024-08-28,363.43,368.13,361.59,362.45,323710,-0.98,-0.26965,363.9
AXON,2024-08-27,360.49,364.46,357.85,363.43,286028,2.94,0.81556,361.5575
AXON,2024-08-26,369.11,370.64,358.1,360.49,568500,-8.62,-2.34,364.585
AXON,2024-08-23,375.69,376.05,369.43,370.7,464500,-4.99,-1.33,372.9675
AXON,2024-08-22,375.94,377.25,372.44,372.69,295606,-3.25,-0.8645,374.58
AXON,2024-08-21,373.06,378.89,371.45,375.1,573401,2.04,0.54683,374.625
AXON,2024-08-20,374.45,375.73,370.04,373.05,345737,-1.4,-0.37388,373.3175
AXON,2024-08-19,373.75,376.42,370.96,373.07,430156,-0.68,-0.18194,373.55
AXON,2024-08-16,374.99,377.19,372.0,373.69,486333,-1.3,-0.34668,374.4675
AXON,2024-08-15,366.15,378.25,366.15,373.69,495400,7.54,2.06,371.06
AXON,2024-08-14,368.8,371.93,365.99,370.57,400300,1.77,0.47993,369.3225
AXON,2024-08-13,368.03,370.82,364.78,368.97,516315,0.94,0.25541,368.15
AXON,2024-08-12,368.1,375.95,366.14,368.03,545538,-0.07,-0.01901657,369.555
AXON,2024-08-09,367.27,370.36,359.31,365.0,997595,-2.27,-0.61807,365.485
AXON,2024-08-08,350.9,371.99,344.0,368.46,1518800,17.56,5.0,358.8375
AXON,2024-08-07,330.0,367.95,323.89,349.24,3407135,19.24,5.83,342.77
AXON,2024-08-06,289.4,298.7,286.19,295.0,1070740,5.6,1.94,292.3225
AXON,2024-08-05,279.64,291.75,279.02,286.16,684600,6.52,2.33,284.1425
AXON,2024-08-02,294.1,295.36,287.14,292.36,929302,-1.74,-0.59164,292.24
AXON,2024-08-01,300.0,302.72,296.09,299.63,872771,-0.37,-0.12333,299.61
AXON,2024-07-31,307.49,308.56,299.0,300.01,662400,-7.48,-2.43,303.765
AXON,2024-07-30,309.96,314.37,304.48,304.72,350218,-5.24,-1.69,308.3825
AXON,2024-07-29,312.4,312.4,307.65,309.0,271271,-3.4,-1.09,310.3625
AXON,2024-07-26,314.07,314.07,308.01,310.59,347900,-3.48,-1.11,311.685
AXON,2024-07-25,312.45,316.84,307.99,310.81,379094,-1.64,-0.52488,312.0225
AXON,2024-07-24,318.02,318.88,310.01,313.11,451000,-4.91,-1.54,315.005
AXON,2024-07-23,318.0,324.86,317.51,319.55,763156,1.55,0.48742,319.98
AXON,2024-07-22,310.5,317.0,306.81,316.76,455994,6.26,2.02,312.7675
