symbol,date,open,high,low,close,volume,change,changePercent,vwap
AZN,2025-04-04,71.73,72.05,68.485,68.67,5960119,-3.06,-4.266,69.74
AZN,2025-04-03,75.62,75.7,73.87,73.92,7926922,-1.7,-2.25,74.7775
AZN,2025-04-02,72.52,72.84,72.05,72.22,4177343,-0.3,-0.41368,72.4075
AZN,2025-04-01,74.0,74.01,72.42,72.6,4725090,-1.4,-1.89,73.2575
AZN,2025-03-31,72.6,73.68,72.18,73.5,3891708,0.9,1.24,72.99
AZN,2025-03-28,73.7,74.19,73.43,73.79,3427700,0.09,0.12212,73.7775
AZN,2025-03-27,72.43,73.04,72.37,72.84,4563210,0.41,0.56606,72.67
AZN,2025-03-26,72.38,73.11,71.82,72.72,6516700,0.34,0.46974,72.5075
AZN,2025-03-25,75.05,75.12,72.62,73.05,6075742,-2.0,-2.66,73.96
AZN,2025-03-24,73.84,74.42,73.79,74.09,3741317,0.25,0.33857,74.035
AZN,2025-03-21,75.59,75.9,74.68,74.93,5173076,-0.66,-0.87313,75.275
AZN,2025-03-20,76.6,77.01,76.27,76.52,3194943,-0.08,-0.10444,76.6
AZN,2025-03-19,76.98,77.03,76.17,76.32,4050660,-0.66,-0.85737,76.625
AZN,2025-03-18,77.49,77.52,76.69,77.07,3597400,-0.42,-0.54201,77.1925
AZN,2025-03-17,77.16,77.76,77.08,77.37,3867744,0.21,0.27216,77.3425
AZN,2025-03-14,76.87,77.69,76.74,77.6,5974026,0.73,0.94966,77.225
AZN,2025-03-13,76.7,77.03,76.17,76.51,7431213,-0.19,-0.24772,76.6025
AZN,2025-03-12,75.27,75.79,74.68,75.57,6674831,0.3,0.39857,75.3275
AZN,2025-03-11,75.52,75.67,74.18,74.24,6108900,-1.28,-1.69,74.9025
AZN,2025-03-10,76.11,76.97,75.47,75.99,6254739,-0.12,-0.15767,76.135
AZN,2025-03-07,77.69,78.25,77.28,77.5,7023441,-0.19,-0.24456,77.68
AZN,2025-03-06,77.39,78.04,77.21,77.47,5169413,0.08,0.10337,77.5275
AZN,2025-03-05,77.44,78.36,77.39,77.96,4910520,0.52,0.67149,77.7875
AZN,2025-03-04,77.01,77.64,76.88,77.25,6416700,0.24,0.31165,77.195
