symbol,date,open,high,low,close,volume,change,changePercent,vwap
BIIB,2025-04-04,129.22,129.54,123.1,123.97,2169570,-5.25,-4.06284,125.54
BIIB,2025-04-03,132.37,133.77,130.05,130.71,1750585,-1.66,-1.25,131.725
BIIB,2025-04-02,132.58,134.0,128.75,131.32,1944933,-1.26,-0.95037,131.6625
BIIB,2025-04-01,136.8,137.32,131.63,132.03,1352663,-4.77,-3.49,134.445
BIIB,2025-03-31,137.9,138.0,134.71,136.84,1865406,-1.06,-0.76867,136.8625
BIIB,2025-03-28,140.6,141.25,138.2,138.37,1094057,-2.23,-1.59,139.605
BIIB,2025-03-27,142.77,144.07,139.69,140.33,1383572,-2.44,-1.71,141.715
BIIB,2025-03-26,139.34,142.96,139.16,142.43,1514616,3.09,2.22,140.9725
BIIB,2025-03-25,142.21,142.49,138.65,139.16,1766289,-3.05,-2.14,140.6275
BIIB,2025-03-24,141.47,144.15,140.63,141.6,1830500,0.13,0.09189227,141.9625
BIIB,2025-03-21,141.24,142.18,139.87,140.9,3437783,-0.34,-0.24073,141.0475
BIIB,2025-03-20,141.14,142.95,140.91,141.38,971860,0.24,0.17004,141.595
BIIB,2025-03-19,143.09,144.25,140.73,141.43,1180604,-1.66,-1.16,142.375
BIIB,2025-03-18,143.17,145.97,142.9,143.09,1506939,-0.08,-0.05587763,143.7825
BIIB,2025-03-17,140.05,143.85,139.16,143.54,1249039,3.49,2.49,141.65
BIIB,2025-03-14,139.66,140.8,138.63,139.44,1436835,-0.22,-0.15753,139.6325
BIIB,2025-03-13,140.36,143.5,139.05,139.98,1301257,-0.38,-0.27073,140.7225
BIIB,2025-03-12,142.01,143.13,140.02,140.19,2438110,-1.82,-1.28,141.3375
BIIB,2025-03-11,151.13,151.89,142.02,143.66,1857241,-7.47,-4.94,147.175
BIIB,2025-03-10,150.29,157.09,150.14,150.71,2651495,0.42,0.27946,152.0575
BIIB,2025-03-07,147.42,154.29,146.63,150.38,2925500,2.96,2.01,149.68
BIIB,2025-03-06,143.65,147.65,142.23,147.37,1145230,3.72,2.59,145.225
BIIB,2025-03-05,142.85,144.74,141.93,143.77,1185029,0.92,0.64403,143.3225
BIIB,2025-03-04,143.41,148.0,141.52,142.65,2790700,-0.76,-0.52995,143.895
