symbol,date,open,high,low,close,volume,change,changePercent,vwap
CCEP,2025-04-04,89.37,89.64,84.29,84.3,2534014,-5.07,-5.67304,86.08
CCEP,2025-04-03,89.3,91.29,89.07,89.82,3816818,0.52,0.58231,89.87
CCEP,2025-04-02,86.87,87.48,86.5,87.41,2020828,0.54,0.62162,87.065
CCEP,2025-04-01,86.86,87.28,85.98,87.18,2016319,0.32,0.36841,86.825
CCEP,2025-03-31,86.5,87.4,86.41,87.03,3024313,0.53,0.61272,86.835
CCEP,2025-03-28,86.92,87.44,85.73,86.3,3278100,-0.62,-0.7133,86.5975
CCEP,2025-03-27,84.95,86.4,84.95,86.26,2355545,1.31,1.54,85.64
CCEP,2025-03-26,83.95,85.6,83.21,85.37,3098104,1.42,1.69,84.5325
CCEP,2025-03-25,84.34,84.65,83.62,84.14,5198700,-0.2,-0.23714,84.1875
CCEP,2025-03-24,85.18,85.81,83.4,83.79,3331304,-1.39,-1.63,84.545
CCEP,2025-03-21,85.4,87.07,84.46,84.92,13187743,-0.48,-0.56206,85.4625
CCEP,2025-03-20,86.07,86.49,85.47,85.56,3398100,-0.51,-0.59254,85.8975
CCEP,2025-03-19,85.56,85.86,84.77,85.68,3790900,0.12,0.14025,85.4675
CCEP,2025-03-18,84.5,85.96,84.46,85.59,4035000,1.09,1.29,85.1275
CCEP,2025-03-17,84.07,85.13,83.82,84.74,2892027,0.67,0.79695,84.44
CCEP,2025-03-14,82.28,83.55,82.03,83.4,1774747,1.12,1.36,82.815
CCEP,2025-03-13,82.52,82.98,81.93,82.28,2184000,-0.24,-0.29084,82.4275
CCEP,2025-03-12,83.6,84.02,82.29,82.92,2753700,-0.68,-0.8134,83.2075
CCEP,2025-03-11,80.95,83.83,80.7,83.37,3670404,2.42,2.99,82.2125
CCEP,2025-03-10,82.21,83.45,80.72,80.95,4144851,-1.25,-1.53,81.8325
CCEP,2025-03-07,84.27,84.58,81.72,82.4,4142444,-1.87,-2.22,83.2425
CCEP,2025-03-06,84.27,85.09,83.86,84.45,2967533,0.18,0.2136,84.4175
CCEP,2025-03-05,83.5,84.73,82.7,84.69,4594500,1.19,1.43,83.905
CCEP,2025-03-04,88.0,88.16,85.75,85.82,2426431,-2.18,-2.48,86.9325
CCEP,2025-03-03,86.36,87.73,86.21,86.92,1935100,0.565,0.64845,86.805
CCEP,2025-02-28,86.82,87.21,85.66,86.26,2235900,-0.56,-0.64501,86.4875
