symbol,date,open,high,low,close,volume,change,changePercent,vwap
CDNS,2025-04-04,242.99,244.42,232.37,234.81,3348959,-8.18,-3.36639,237.2
CDNS,2025-04-03,252.34,255.19,245.42,248.91,2993791,-3.43,-1.36,250.465
CDNS,2025-04-02,253.52,265.73,253.44,264.94,1859500,11.42,4.5,259.4075
CDNS,2025-04-01,252.64,259.48,251.82,258.79,1421908,6.15,2.43,255.6825
CDNS,2025-03-31,253.09,254.97,248.52,254.33,2259511,1.24,0.48994,252.7275
CDNS,2025-03-28,262.31,263.24,255.87,256.69,1249058,-5.62,-2.14,259.5275
CDNS,2025-03-27,261.98,263.98,258.21,262.54,1349875,0.56,0.21376,261.6775
CDNS,2025-03-26,269.3,269.3,262.52,263.41,1395545,-5.89,-2.19,266.1325
CDNS,2025-03-25,267.15,269.71,265.97,269.11,1253669,1.96,0.73367,267.985
CDNS,2025-03-24,266.0,268.24,264.0,267.15,2526024,1.15,0.43233,266.3475
CDNS,2025-03-21,254.91,266.95,252.06,262.42,5699876,7.51,2.95,259.085
CDNS,2025-03-20,255.93,259.86,254.88,258.5,1722867,2.57,1.0,257.2925
CDNS,2025-03-19,255.0,262.14,254.08,258.7,2736075,3.7,1.45,257.48
CDNS,2025-03-18,252.04,255.99,251.35,253.88,1772712,1.84,0.73004,253.315
CDNS,2025-03-17,246.25,258.14,246.25,255.11,2772995,8.86,3.6,251.4375
CDNS,2025-03-14,241.68,248.0,241.46,247.43,2271448,5.75,2.38,244.6425
CDNS,2025-03-13,240.76,247.2,239.8,241.56,2166518,0.8,0.33228,242.33
CDNS,2025-03-12,240.15,244.99,239.14,239.22,2368410,-0.93,-0.38726,240.875
CDNS,2025-03-11,234.0,238.41,230.09,234.25,2646760,0.25,0.10684,234.1875
CDNS,2025-03-10,238.18,238.8,231.51,233.96,3026300,-4.22,-1.77,235.6125
CDNS,2025-03-07,241.76,245.08,233.78,243.21,2405998,1.45,0.59977,240.9575
CDNS,2025-03-06,238.97,245.34,237.54,243.16,2688039,4.19,1.75,241.2525
CDNS,2025-03-05,240.02,246.79,238.65,244.7,1658925,4.68,1.95,242.54
CDNS,2025-03-04,240.4,246.47,233.72,241.29,2669766,0.89,0.37022,240.47
CDNS,2025-03-03,253.01,253.45,240.35,241.74,2063020,-11.27,-4.45,247.1375
CDNS,2025-02-28,249.8,253.77,245.81,250.5,2102497,0.7,0.28022,249.97
CDNS,2025-02-27,255.8,257.92,248.28,248.56,2619102,-7.24,-2.83,252.64
CDNS,2025-02-26,251.1,256.58,249.07,253.94,2836748,2.84,1.13,252.6725
CDNS,2025-02-25,251.5,253.68,247.5,248.9,2767400,-2.6,-1.03,250.395
CDNS,2025-02-24,261.8,262.42,251.27,252.95,4303500,-8.85,-3.38,257.11
CDNS,2025-02-21,269.79,270.44,256.83,258.34,4553700,-11.45,-4.24,263.85
CDNS,2025-02-20,274.5,277.63,268.71,270.23,3621407,-4.26,-1.56,272.7675
CDNS,2025-02-19,285.22,286.49,264.62,274.04,7638300,-11.18,-3.92,277.5925
CDNS,2025-02-18,297.1,300.86,292.57,300.43,2806749,3.33,1.12,297.74
CDNS,2025-02-14,295.92,296.01,291.96,295.19,2105158,-0.725,-0.24669,294.77
CDNS,2025-02-13,294.0,297.51,293.47,296.16,1792795,2.16,0.73469,295.285
CDNS,2025-02-12,296.2,298.09,291.96,294.05,1091841,-2.15,-0.72586,295.075
CDNS,2025-02-11,301.47,304.11,298.63,303.87,959703,2.4,0.7961,302.02
CDNS,2025-02-10,303.83,305.89,301.22,305.63,1236979,1.8,0.59244,304.1425
CDNS,2025-02-07,304.01,309.89,297.37,299.68,1411501,-4.33,-1.42,302.7375
CDNS,2025-02-06,302.55,306.75,300.66,302.91,816446,0.36,0.11899,303.2175
CDNS,2025-02-05,298.0,303.73,295.83,302.65,988521,4.65,1.56,300.0525
CDNS,2025-02-04,295.11,300.28,295.11,299.67,1039336,4.56,1.55,297.5425
CDNS,2025-02-03,292.32,299.46,289.83,298.3,1451600,5.98,2.05,294.9775
CDNS,2025-01-31,299.6,304.72,297.33,297.62,1297317,-1.98,-0.66088,299.8175
CDNS,2025-01-30,292.24,298.28,292.0,297.76,1377600,5.52,1.89,295.07
CDNS,2025-01-29,296.83,298.6,288.37,289.88,1395428,-6.95,-2.34,293.42
CDNS,2025-01-28,289.46,299.54,285.28,299.3,2262274,9.84,3.4,293.395
CDNS,2025-01-27,305.61,309.92,285.06,289.87,3680700,-15.74,-5.15,297.615
CDNS,2025-01-24,324.45,325.03,317.56,320.48,1392201,-3.97,-1.22,321.88
CDNS,2025-01-23,319.0,324.57,318.0,324.52,1442461,5.52,1.73,321.5225
CDNS,2025-01-22,313.86,324.6,313.77,321.49,1942000,7.63,2.43,318.43
CDNS,2025-01-21,307.28,311.58,304.39,310.97,1769900,3.69,1.2,308.555
CDNS,2025-01-17,305.87,307.05,302.61,305.6,1567570,-0.27,-0.0882728,305.2825
CDNS,2025-01-16,303.0,304.06,298.68,298.9,1430756,-4.1,-1.35,301.16
CDNS,2025-01-15,301.88,304.0,300.35,300.72,1819951,-1.16,-0.38426,301.7375
CDNS,2025-01-14,293.55,295.33,289.0,294.19,1260802,0.64,0.21802,293.0175
CDNS,2025-01-13,298.0,298.36,290.91,292.5,1795053,-5.5,-1.85,294.9425
CDNS,2025-01-10,298.77,302.72,297.32,299.0,1330535,0.23,0.07698229,299.4525
CDNS,2025-01-08,303.04,306.77,301.42,302.73,1117133,-0.31,-0.1023,303.49
CDNS,2025-01-07,307.21,308.89,298.48,301.67,1386426,-5.53,-1.8,304.0625
CDNS,2025-01-06,306.46,315.55,306.46,308.14,1513205,1.68,0.5482,309.1525
CDNS,2025-01-03,300.49,306.23,297.63,303.86,1149118,3.37,1.12,302.0525
CDNS,2025-01-02,304.84,306.05,295.79,297.66,1147108,-7.18,-2.36,301.085
CDNS,2024-12-31,302.39,303.08,299.76,300.46,900600,-1.93,-0.63825,301.4225
CDNS,2024-12-30,302.28,304.43,298.25,301.86,1224300,-0.42,-0.13894,301.705
CDNS,2024-12-27,303.67,306.78,300.95,305.03,988337,1.36,0.44785,304.1075
CDNS,2024-12-26,305.57,310.24,305.47,308.69,769532,3.12,1.02,307.4925
CDNS,2024-12-24,304.6,308.93,303.15,308.58,575300,3.98,1.31,306.315
CDNS,2024-12-23,302.17,304.77,299.84,304.41,1217597,2.24,0.7413,302.7975
CDNS,2024-12-20,296.71,306.5,295.98,301.47,3042406,4.76,1.6,300.165
CDNS,2024-12-19,304.67,306.81,299.77,299.87,1852900,-4.8,-1.58,302.78
CDNS,2024-12-18,309.03,313.99,299.43,301.24,1715800,-7.79,-2.52,305.9225
CDNS,2024-12-17,312.88,315.73,310.35,311.35,1627900,-1.53,-0.48901,312.5775
CDNS,2024-12-16,309.54,317.25,306.5,313.49,1757720,3.95,1.28,311.695
CDNS,2024-12-13,305.78,308.17,301.65,306.75,1544108,0.97,0.31722,305.5875
CDNS,2024-12-12,308.42,310.29,306.55,308.22,851245,-0.2,-0.06484664,308.37
CDNS,2024-12-11,307.52,311.1,305.77,308.78,2217062,1.26,0.40973,308.2925
CDNS,2024-12-10,310.42,310.55,300.25,302.86,1682355,-7.56,-2.44,306.02
CDNS,2024-12-09,310.0,315.04,307.63,309.75,1518585,-0.25,-0.08064516,310.605
CDNS,2024-12-06,305.0,309.95,303.7,307.51,1797650,2.51,0.82295,306.54
CDNS,2024-12-05,318.5,319.15,302.64,303.79,2696737,-14.71,-4.62,311.02
CDNS,2024-12-04,317.63,326.19,315.0,324.54,2198300,6.91,2.18,320.84
CDNS,2024-12-03,306.75,314.36,305.38,313.25,1452100,6.5,2.12,309.935
CDNS,2024-12-02,306.19,312.26,304.85,310.27,1697729,4.08,1.33,308.3925
CDNS,2024-11-29,304.37,310.29,304.29,306.81,888720,2.44,0.80166,306.44
CDNS,2024-11-27,308.22,308.86,302.49,304.68,932178,-3.54,-1.15,306.0625
CDNS,2024-11-26,314.55,316.37,309.42,310.1,1144068,-4.45,-1.41,312.61
CDNS,2024-11-25,314.96,315.3,309.15,312.39,1944440,-2.57,-0.81598,312.95
CDNS,2024-11-22,308.71,313.36,307.02,311.87,1373057,3.16,1.02,310.24
CDNS,2024-11-21,306.11,308.45,300.95,306.51,1132000,0.4,0.13067,305.505
CDNS,2024-11-20,298.7,305.23,296.06,304.01,1716615,5.31,1.78,301.0
CDNS,2024-11-19,291.38,300.0,290.05,299.63,1260131,8.25,2.83,295.265
CDNS,2024-11-18,291.36,295.95,288.77,294.33,1775124,2.96,1.02,292.6025
CDNS,2024-11-15,298.45,298.58,287.49,289.71,1583318,-8.74,-2.93,293.5575
CDNS,2024-11-14,304.46,306.19,299.64,303.04,1612698,-1.42,-0.4664,303.3325
CDNS,2024-11-13,295.68,309.96,295.64,306.47,2149300,10.79,3.65,301.9375
CDNS,2024-11-12,301.26,301.77,295.51,297.77,1227836,-3.49,-1.16,299.0775
CDNS,2024-11-11,300.48,301.25,296.29,300.9,1178525,0.42,0.13978,299.73
CDNS,2024-11-08,303.48,305.52,299.47,301.25,1242846,-2.23,-0.73481,302.43
CDNS,2024-11-07,298.73,304.35,297.73,301.72,1509020,2.99,1.0,300.6325
CDNS,2024-11-06,298.0,305.0,293.6,296.75,2756858,-1.25,-0.41946,298.3375
CDNS,2024-11-05,289.76,294.78,289.5,291.21,1964900,1.45,0.50041,291.3125
CDNS,2024-11-04,284.52,291.95,282.6,289.34,2497291,4.82,1.69,287.1025
CDNS,2024-11-01,276.0,283.0,275.42,282.09,1897324,6.09,2.21,279.1275
CDNS,2024-10-31,287.44,288.49,276.07,276.12,2785502,-11.32,-3.94,282.03
CDNS,2024-10-30,280.5,290.2,278.77,290.0,3454500,9.5,3.39,284.8675
CDNS,2024-10-29,274.94,287.02,271.99,284.45,5991333,9.51,3.46,279.6
CDNS,2024-10-28,258.72,258.9,251.81,252.77,3171300,-5.95,-2.3,255.55
CDNS,2024-10-25,254.19,260.09,254.19,257.3,2024700,3.11,1.22,256.4425
CDNS,2024-10-24,251.05,251.87,247.46,251.28,1792589,0.23,0.09161522,250.415
CDNS,2024-10-23,249.73,251.23,246.92,249.09,1754200,-0.64,-0.25628,249.2425
CDNS,2024-10-22,252.0,252.99,246.6,251.51,2923800,-0.49,-0.19444,250.775
CDNS,2024-10-21,256.0,258.13,252.71,253.15,2828400,-2.85,-1.11,254.9975
CDNS,2024-10-18,263.23,265.12,258.25,258.52,4062607,-4.71,-1.79,261.28
CDNS,2024-10-17,268.73,268.88,262.85,263.03,2235530,-5.7,-2.12,265.8725
CDNS,2024-10-16,270.76,271.91,262.46,262.95,2151701,-7.81,-2.88,267.02
CDNS,2024-10-15,283.66,284.35,268.86,269.47,2477200,-14.19,-5.0,276.585
CDNS,2024-10-14,284.73,285.0,280.87,282.14,1318953,-2.59,-0.90963,283.185
CDNS,2024-10-11,280.47,283.14,279.22,282.39,1386300,1.92,0.68457,281.305
CDNS,2024-10-10,277.13,281.52,276.84,280.64,1046396,3.51,1.27,279.0325
CDNS,2024-10-09,270.59,280.21,268.61,279.56,1438091,8.97,3.31,274.7425
CDNS,2024-10-08,263.57,270.78,263.57,270.15,1685522,6.58,2.5,267.0175
CDNS,2024-10-07,265.21,266.18,261.34,262.86,1249112,-2.35,-0.88609,263.8975
CDNS,2024-10-04,272.41,272.87,266.51,268.65,1095892,-3.76,-1.38,270.11
CDNS,2024-10-03,264.38,268.63,264.38,265.79,1123339,1.41,0.53332,265.795
CDNS,2024-10-02,262.25,269.76,262.25,267.01,1202115,4.76,1.82,265.3175
CDNS,2024-10-01,273.44,274.35,263.03,263.32,1904500,-10.12,-3.7,268.535
CDNS,2024-09-30,272.13,272.66,268.18,271.03,1773924,-1.1,-0.40422,271.0
CDNS,2024-09-27,275.19,275.89,271.01,274.13,1180722,-1.06,-0.38519,274.055
CDNS,2024-09-26,280.39,280.93,272.19,274.23,1498000,-6.16,-2.2,276.935
CDNS,2024-09-25,268.37,272.14,268.37,271.8,1627200,3.43,1.28,270.17
CDNS,2024-09-24,274.76,276.18,270.67,273.32,1444028,-1.44,-0.52409,273.7325
CDNS,2024-09-23,274.64,276.96,273.65,274.08,1122251,-0.56,-0.2039,274.8325
CDNS,2024-09-20,278.58,279.97,273.54,273.76,2983935,-4.82,-1.73,276.4625
CDNS,2024-09-19,283.39,284.95,279.86,280.35,1688340,-3.04,-1.07,282.1375
CDNS,2024-09-18,275.16,276.7,269.47,269.69,1423844,-5.47,-1.99,272.755
CDNS,2024-09-17,275.98,279.33,274.01,274.79,1910725,-1.19,-0.43119,276.0275
CDNS,2024-09-16,268.91,273.88,266.85,273.13,1325319,4.22,1.57,270.6925
CDNS,2024-09-13,269.41,270.98,266.22,268.72,949017,-0.69,-0.25612,268.8325
CDNS,2024-09-12,265.24,272.28,264.55,269.9,1984500,4.66,1.76,267.9925
CDNS,2024-09-11,256.35,265.03,254.8,264.72,2269841,8.37,3.27,260.225
CDNS,2024-09-10,253.91,256.7,252.34,255.85,1744792,1.94,0.76405,254.7
CDNS,2024-09-09,251.33,253.02,245.77,252.81,2378310,1.48,0.58887,250.7325
CDNS,2024-09-06,251.85,254.45,245.45,247.52,1740200,-4.33,-1.72,249.8175
CDNS,2024-09-05,249.28,255.79,248.61,250.85,1470200,1.57,0.62981,251.1325
CDNS,2024-09-04,249.03,255.93,248.5,254.13,2512600,5.1,2.05,251.8975
CDNS,2024-09-03,266.89,268.49,255.2,256.28,2083600,-10.61,-3.98,261.715
CDNS,2024-08-30,269.13,270.56,265.87,268.93,2021784,-0.2,-0.07431353,268.6225
CDNS,2024-08-29,266.16,271.0,262.31,265.63,1137800,-0.53,-0.19913,266.275
CDNS,2024-08-28,266.92,268.42,260.7,263.09,2292400,-3.83,-1.43,264.7825
CDNS,2024-08-27,266.02,270.93,264.33,268.93,1818201,2.91,1.09,267.5525
CDNS,2024-08-26,271.43,271.94,264.01,268.25,1948133,-3.18,-1.17,268.9075
CDNS,2024-08-23,279.02,280.92,272.77,273.9,1153400,-5.12,-1.83,276.6525
CDNS,2024-08-22,286.68,287.47,274.63,275.58,1190945,-11.1,-3.87,281.09
CDNS,2024-08-21,280.58,284.98,279.15,284.56,1208300,3.98,1.42,282.3175
CDNS,2024-08-20,281.26,283.84,279.64,281.37,1423400,0.11,0.03910972,281.5275
CDNS,2024-08-19,281.18,282.37,276.69,281.96,1549770,0.78,0.2774,280.55
CDNS,2024-08-16,279.49,282.97,278.6,281.0,1090251,1.51,0.54027,280.515
CDNS,2024-08-15,276.24,281.27,275.05,280.12,1709200,3.88,1.4,278.17
CDNS,2024-08-14,271.73,274.53,269.98,271.78,1734115,0.05,0.01840062,272.005
CDNS,2024-08-13,269.48,273.96,268.16,271.41,1661924,1.93,0.71619,270.7525
CDNS,2024-08-12,268.9,269.52,263.43,266.64,1309760,-2.26,-0.84046,267.1225
CDNS,2024-08-09,267.0,271.09,265.66,270.13,1865224,3.13,1.17,268.47
CDNS,2024-08-08,257.75,269.15,256.0,268.68,3226800,10.93,4.24,262.895
CDNS,2024-08-07,267.71,271.0,250.06,250.31,2484500,-17.4,-6.5,259.77
CDNS,2024-08-06,259.44,265.04,252.61,259.8,4752400,0.36,0.13876,259.2225
CDNS,2024-08-05,249.44,250.68,241.29,246.84,4285600,-2.6,-1.04,247.0625
CDNS,2024-08-02,253.31,257.0,241.45,249.63,4742041,-3.68,-1.45,250.3475
CDNS,2024-08-01,266.24,270.92,258.9,260.81,2865522,-5.43,-2.04,264.2175
CDNS,2024-07-31,264.17,269.52,261.79,267.66,4149500,3.49,1.32,265.785
CDNS,2024-07-30,258.94,260.76,250.84,253.11,2859800,-5.83,-2.25,255.9125
CDNS,2024-07-29,260.49,264.81,258.6,259.05,1506117,-1.44,-0.5528,260.7375
CDNS,2024-07-26,263.04,264.55,257.78,258.79,2605433,-4.25,-1.62,261.04
CDNS,2024-07-25,267.0,268.93,258.16,258.38,3483340,-8.62,-3.23,263.1175
CDNS,2024-07-24,280.05,281.03,265.77,266.34,3086742,-13.71,-4.9,273.2975
CDNS,2024-07-23,285.86,291.83,280.77,282.99,3342007,-2.87,-1.0,285.3625
CDNS,2024-07-22,283.62,289.09,282.73,287.08,3260005,3.46,1.22,285.63
CDNS,2024-07-19,280.83,280.83,276.17,279.95,2607527,-0.88,-0.31336,279.445
CDNS,2024-07-18,289.36,289.46,273.17,277.83,4131949,-11.53,-3.98,282.455
CDNS,2024-07-17,305.41,305.5,287.83,288.12,3558702,-17.29,-5.66,296.715
CDNS,2024-07-16,317.24,317.54,310.1,311.73,1333023,-5.51,-1.74,314.1525
CDNS,2024-07-15,314.57,317.0,313.23,315.63,1076776,1.06,0.33697,315.1075
CDNS,2024-07-12,313.09,319.46,311.25,315.67,1098565,2.58,0.82404,314.8675
CDNS,2024-07-11,320.0,321.68,313.9,314.07,1368811,-5.93,-1.85,317.4125
CDNS,2024-07-10,315.21,320.34,313.9,319.8,1222545,4.59,1.46,317.3125
CDNS,2024-07-09,319.44,319.89,313.43,315.26,822582,-4.18,-1.31,317.005
CDNS,2024-07-08,320.0,322.0,317.0,317.36,1010411,-2.64,-0.825,319.09
CDNS,2024-07-05,315.37,322.28,313.6,321.11,1126305,5.74,1.82,318.09
CDNS,2024-07-03,315.11,318.83,314.64,315.47,673152,0.36,0.11425,316.0125
CDNS,2024-07-02,314.06,317.28,310.98,316.78,1326311,2.72,0.86608,314.775
CDNS,2024-07-01,307.75,311.98,304.12,310.92,1330324,3.17,1.03,308.6925
CDNS,2024-06-28,308.46,313.0,307.47,307.75,2312595,-0.71,-0.23018,309.17
CDNS,2024-06-27,311.44,313.37,307.65,307.92,1433315,-3.52,-1.13,310.095
CDNS,2024-06-26,310.03,312.22,308.38,309.33,1147774,-0.7,-0.22578,309.99
CDNS,2024-06-25,310.0,311.75,307.1,311.53,1295184,1.53,0.49355,310.095
CDNS,2024-06-24,317.52,317.52,309.14,309.14,1400465,-8.38,-2.64,313.33
CDNS,2024-06-21,319.43,319.53,313.72,318.39,2713394,-1.04,-0.32558,317.7675
CDNS,2024-06-20,328.79,328.99,317.61,318.53,1717335,-10.26,-3.12,323.48
CDNS,2024-06-18,320.39,327.11,320.39,326.5,2415706,6.11,1.91,323.5975
