symbol,date,open,high,low,close,volume,change,changePercent,vwap
CDW,2025-04-04,149.7,149.7,141.83,144.56,3077485,-5.14,-3.43353,145.36
CDW,2025-04-03,157.29,158.18,150.39,151.57,3494950,-5.72,-3.64,154.3575
CDW,2025-04-02,160.32,165.43,160.17,164.47,860100,4.15,2.59,162.5975
CDW,2025-04-01,160.49,163.31,159.37,162.08,1285135,1.59,0.99072,161.3125
CDW,2025-03-31,161.43,161.69,158.76,160.26,1245118,-1.17,-0.72477,160.535
CDW,2025-03-28,163.08,165.0,160.96,161.51,1317400,-1.57,-0.96272,162.6375
CDW,2025-03-27,164.37,164.7,161.19,163.84,1499622,-0.53,-0.32244,163.525
CDW,2025-03-26,169.26,169.74,165.88,167.33,1009918,-1.93,-1.14,168.0525
CDW,2025-03-25,170.27,171.12,167.47,168.52,815400,-1.75,-1.03,169.345
CDW,2025-03-24,169.17,170.7,167.61,170.31,1013442,1.14,0.67388,169.4475
CDW,2025-03-21,166.29,166.64,164.51,165.57,2066799,-0.72,-0.43298,165.7525
CDW,2025-03-20,171.4,172.0,167.63,168.09,1574200,-3.31,-1.93,169.78
CDW,2025-03-19,172.08,174.36,170.08,172.84,1192500,0.76,0.44166,172.34
CDW,2025-03-18,170.32,171.58,169.72,170.76,947700,0.44,0.25834,170.595
CDW,2025-03-17,165.78,172.69,165.78,170.63,1401549,4.85,2.93,168.72
CDW,2025-03-14,165.42,167.33,164.74,167.0,821100,1.58,0.95514,166.1225
CDW,2025-03-13,166.65,168.02,162.84,163.5,1087324,-3.15,-1.89,165.2525
CDW,2025-03-12,166.48,168.77,164.7,166.66,1546708,0.18,0.10812,166.6525
CDW,2025-03-11,169.51,170.66,164.96,166.05,1583400,-3.46,-2.04,167.795
CDW,2025-03-10,167.91,171.34,167.13,169.51,1755293,1.6,0.95289,168.9725
CDW,2025-03-07,167.26,168.78,164.98,168.37,2348921,1.11,0.66364,167.3475
CDW,2025-03-06,171.28,172.82,167.12,167.26,1556549,-4.02,-2.35,169.62
CDW,2025-03-05,171.36,173.55,168.89,172.59,1017036,1.23,0.71779,171.5975
CDW,2025-03-04,171.62,174.1,170.09,171.32,1361800,-0.3,-0.1748,171.7825
CDW,2025-03-03,179.6,179.6,171.64,172.5,1448200,-7.1,-3.95,175.835
CDW,2025-02-28,179.0,179.86,175.14,178.2,1682111,-0.8,-0.44693,178.05
CDW,2025-02-27,180.18,181.58,178.56,179.0,1355873,-1.18,-0.6549,179.83
CDW,2025-02-26,183.01,183.59,179.45,180.23,769663,-2.78,-1.52,181.57
CDW,2025-02-25,185.24,187.2,182.39,182.58,1304022,-2.66,-1.44,184.3525
CDW,2025-02-24,186.89,188.41,185.12,186.69,1292065,-0.2,-0.10701,186.7775
CDW,2025-02-21,192.47,192.82,186.31,186.5,995200,-5.97,-3.1,189.525
CDW,2025-02-20,194.95,194.99,192.18,192.8,915230,-2.15,-1.1,193.73
CDW,2025-02-19,191.49,194.73,190.87,194.5,966425,3.01,1.57,192.8975
CDW,2025-02-18,190.28,192.64,188.0,192.46,1234943,2.18,1.15,190.845
CDW,2025-02-14,188.02,191.81,187.21,189.39,1734000,1.37,0.72865,189.1075
CDW,2025-02-13,188.97,189.77,187.57,187.59,1120600,-1.38,-0.73027,188.475
CDW,2025-02-12,189.41,190.74,187.85,188.94,884421,-0.47,-0.24814,189.235
CDW,2025-02-11,190.06,192.9,190.06,191.74,797114,1.68,0.88393,191.19
CDW,2025-02-10,194.02,194.02,189.58,191.57,1280400,-2.45,-1.26,192.2975
CDW,2025-02-07,199.77,200.28,191.15,192.02,1470638,-7.75,-3.88,195.805
CDW,2025-02-06,204.81,205.0,198.17,199.86,1967841,-4.95,-2.42,201.96
CDW,2025-02-05,222.91,222.92,203.51,206.13,3808800,-16.78,-7.53,213.8675
CDW,2025-02-04,195.99,200.65,195.75,199.34,2050516,3.35,1.71,197.9325
CDW,2025-02-03,196.28,200.27,194.27,198.44,1764300,2.16,1.1,197.315
CDW,2025-01-31,197.7,200.89,197.7,199.14,1573716,1.44,0.72838,198.8575
CDW,2025-01-30,198.49,199.01,196.75,197.76,1153125,-0.73,-0.36778,198.0025
CDW,2025-01-29,195.28,195.87,193.81,195.53,891055,0.25,0.12802,195.1225
CDW,2025-01-28,194.04,194.94,191.74,194.76,1378200,0.72,0.37106,193.87
CDW,2025-01-27,191.89,194.48,190.99,194.04,1135022,2.15,1.12,192.85
CDW,2025-01-24,198.06,198.47,194.89,195.13,940600,-2.93,-1.48,196.6375
CDW,2025-01-23,193.69,198.11,192.51,197.49,1319134,3.8,1.96,195.45
CDW,2025-01-22,191.55,194.88,191.54,194.3,935115,2.75,1.44,193.0675
CDW,2025-01-21,189.89,192.54,189.1,191.59,910373,1.7,0.89526,190.78
CDW,2025-01-17,190.41,190.41,187.08,188.73,963442,-1.68,-0.88231,189.1575
CDW,2025-01-16,187.09,188.86,185.02,187.79,952000,0.7,0.37415,187.19
CDW,2025-01-15,189.21,191.19,186.61,187.46,2214200,-1.75,-0.9249,188.6175
CDW,2025-01-14,181.96,187.8,180.7,186.56,1947800,4.6,2.53,184.255
CDW,2025-01-13,182.15,182.27,178.98,180.92,1162955,-1.23,-0.67527,181.08
CDW,2025-01-10,179.47,183.74,178.61,183.14,1784004,3.67,2.04,181.24
CDW,2025-01-08,179.97,181.64,176.04,181.34,1473800,1.37,0.76124,179.7475
CDW,2025-01-07,179.58,183.77,179.58,180.98,1626100,1.4,0.7796,180.9775
CDW,2025-01-06,174.9,180.56,174.9,179.29,1518719,4.39,2.51,177.4125
CDW,2025-01-03,171.29,174.62,170.1,174.23,947646,2.94,1.72,172.56
CDW,2025-01-02,174.53,175.44,168.43,170.03,996686,-4.5,-2.58,172.1075
CDW,2024-12-31,174.56,175.63,173.16,174.04,711716,-0.52,-0.29789,174.3475
CDW,2024-12-30,174.59,174.59,171.04,173.35,776800,-1.24,-0.71024,173.3925
CDW,2024-12-27,176.55,177.69,174.77,175.81,639394,-0.74,-0.41914,176.205
CDW,2024-12-26,174.29,177.42,174.29,177.12,944400,2.83,1.62,175.78
CDW,2024-12-24,175.5,176.38,174.23,176.34,341000,0.84,0.47863,175.6125
CDW,2024-12-23,173.8,175.73,173.54,175.56,854933,1.76,1.01,174.6575
CDW,2024-12-20,172.05,176.12,172.05,174.53,2590623,2.48,1.44,173.6875
