symbol,date,open,high,low,close,volume,change,changePercent,vwap
CEG,2025-04-04,180.01,182.23,165.15,170.79,8187418,-9.22,-5.12194,172.72
CEG,2025-04-03,200.47,204.05,189.78,190.24,5441231,-10.23,-5.1,196.135
CEG,2025-04-02,202.83,215.34,202.27,214.46,3179100,11.63,5.73,208.725
CEG,2025-04-01,200.95,207.76,198.09,206.94,2863111,5.99,2.98,203.435
CEG,2025-03-31,198.98,203.56,195.55,201.63,4518882,2.65,1.33,199.93
CEG,2025-03-28,209.9,215.42,203.89,205.39,5572000,-4.51,-2.15,208.65
CEG,2025-03-27,211.96,217.55,207.52,209.2,4178300,-2.76,-1.3,211.5575
CEG,2025-03-26,224.0,226.1,214.0,216.97,4061000,-7.03,-3.14,220.2675
CEG,2025-03-25,229.31,230.87,222.0,226.87,2849931,-2.44,-1.06,227.2625
CEG,2025-03-24,228.24,231.15,226.6,228.62,2773601,0.38,0.16649,228.6525
CEG,2025-03-21,215.78,222.82,212.55,222.48,3733500,6.7,3.11,218.4075
CEG,2025-03-20,217.06,222.43,214.0,219.44,2250506,2.38,1.1,218.2325
CEG,2025-03-19,211.12,220.37,211.12,218.05,3091919,6.93,3.28,215.165
CEG,2025-03-18,217.92,218.14,209.25,210.85,2716500,-7.07,-3.24,214.04
CEG,2025-03-17,216.91,222.07,214.36,218.54,3547600,1.63,0.75146,217.97
CEG,2025-03-14,213.83,217.5,209.03,216.46,3829900,2.63,1.23,214.205
CEG,2025-03-13,216.77,216.77,203.72,209.87,3654305,-6.9,-3.18,211.7825
CEG,2025-03-12,219.42,224.33,210.0,215.35,7320400,-4.07,-1.85,217.275
CEG,2025-03-11,203.99,211.64,199.93,208.58,5051002,4.59,2.25,206.035
CEG,2025-03-10,203.61,208.24,195.56,202.21,7689548,-1.4,-0.68759,202.405
CEG,2025-03-07,208.1,216.14,203.1,212.54,4986200,4.44,2.13,209.97
CEG,2025-03-06,220.19,222.78,204.71,207.69,7710800,-12.5,-5.68,213.8425
CEG,2025-03-05,230.65,233.54,223.42,229.32,3840233,-1.33,-0.57663,229.2325
CEG,2025-03-04,227.5,239.63,221.25,231.65,5525511,4.15,1.82,230.0075
CEG,2025-03-03,249.38,249.72,229.24,232.29,5315016,-17.09,-6.85,240.1575
CEG,2025-02-28,246.42,251.54,241.61,250.55,6029600,4.13,1.68,247.53
CEG,2025-02-27,276.39,280.6,248.79,249.74,5131000,-26.65,-9.64,263.88
CEG,2025-02-26,272.75,279.95,268.05,270.14,4729045,-2.61,-0.95692,272.7225
CEG,2025-02-25,264.78,268.05,248.56,264.31,5094600,-0.47,-0.17751,261.425
CEG,2025-02-24,290.01,290.01,262.65,267.72,7221426,-22.29,-7.69,277.5975
CEG,2025-02-21,310.0,310.46,277.77,284.44,6478000,-25.56,-8.25,295.6675
CEG,2025-02-20,317.49,322.0,304.18,309.42,3860027,-8.07,-2.54,313.2725
CEG,2025-02-19,323.81,329.89,318.13,321.67,3079100,-2.14,-0.66088,323.375
CEG,2025-02-18,323.84,329.57,315.82,325.6,3253000,1.76,0.54348,323.7075
CEG,2025-02-14,311.19,318.19,306.22,317.3,2193000,6.12,1.96,313.225
CEG,2025-02-13,316.36,317.74,305.09,311.49,2707225,-4.87,-1.54,312.67
CEG,2025-02-12,305.43,317.43,303.79,313.8,1766400,8.37,2.74,310.1125
CEG,2025-02-11,317.31,319.16,309.44,313.58,2642900,-3.73,-1.18,314.8725
CEG,2025-02-10,312.63,322.0,312.58,321.83,2729800,9.2,2.94,317.26
CEG,2025-02-07,314.48,319.61,309.31,309.79,2298000,-4.69,-1.49,313.2975
CEG,2025-02-06,315.33,316.58,305.87,311.8,2480100,-3.52,-1.12,312.395
CEG,2025-02-05,310.53,318.37,302.85,313.83,3580102,3.3,1.06,311.395
