symbol,date,open,high,low,close,volume,change,changePercent,vwap
CMCSA,2025-04-04,34.93,35.345,33.58,33.6,26444031,-1.33,-3.80762,34.18
CMCSA,2025-04-03,36.61,36.66,35.6,35.72,26834110,-0.89,-2.43,36.1475
CMCSA,2025-04-02,36.31,36.65,36.11,36.61,18827600,0.305,0.82622,36.42
CMCSA,2025-04-01,36.94,37.14,36.52,36.72,20738300,-0.22,-0.59556,36.83
CMCSA,2025-03-31,36.83,37.03,36.35,36.9,27806324,0.07,0.19006,36.7775
CMCSA,2025-03-28,37.3,37.48,36.59,36.62,23331700,-0.675,-1.82,36.9975
CMCSA,2025-03-27,37.28,37.64,37.04,37.37,17856744,0.095,0.24142,37.3325
CMCSA,2025-03-26,37.0,37.72,36.86,37.37,25944989,0.37,1.0,37.2375
CMCSA,2025-03-25,36.47,36.95,35.92,36.94,31434400,0.47,1.29,36.57
CMCSA,2025-03-24,36.79,36.88,36.48,36.6,34933620,-0.19,-0.51644,36.6875
CMCSA,2025-03-21,36.24,36.88,36.08,36.75,54564500,0.51,1.41,36.4875
CMCSA,2025-03-20,35.9,36.69,35.86,36.5,17068811,0.605,1.67,36.2375
CMCSA,2025-03-19,36.05,36.22,35.93,36.09,21740638,0.04,0.11096,36.0725
CMCSA,2025-03-18,35.82,36.13,35.57,36.01,17883082,0.19,0.53043,35.8825
CMCSA,2025-03-17,35.49,35.92,35.34,35.75,16899287,0.26,0.7326,35.625
CMCSA,2025-03-14,35.08,35.59,34.65,35.43,27406700,0.35,0.99772,35.1875
CMCSA,2025-03-13,35.17,35.92,34.66,34.7,32055800,-0.47,-1.34,35.1125
CMCSA,2025-03-12,35.76,35.88,34.9,35.19,23455000,-0.57,-1.59,35.4325
CMCSA,2025-03-11,36.07,36.32,35.48,35.95,32233500,-0.12,-0.33269,35.955
CMCSA,2025-03-10,37.41,37.98,36.03,36.11,43425200,-1.3,-3.48,36.8825
CMCSA,2025-03-07,36.08,37.62,36.07,37.59,43323136,1.51,4.19,36.84
CMCSA,2025-03-06,35.53,36.34,35.35,36.27,29116332,0.74,2.08,35.8725
CMCSA,2025-03-05,35.32,35.69,34.97,35.56,24536145,0.24,0.6795,35.385
CMCSA,2025-03-04,36.21,36.32,35.27,35.5,31010400,-0.71,-1.96,35.825
CMCSA,2025-03-03,35.87,36.24,35.75,35.98,19845700,0.11,0.30666,35.96
CMCSA,2025-02-28,35.65,36.09,35.53,35.88,26777627,0.23,0.64516,35.7875
CMCSA,2025-02-27,35.09,35.48,35.0,35.39,23252215,0.305,0.85494,35.24
CMCSA,2025-02-26,35.78,35.83,35.0,35.1,31161244,-0.68,-1.9,35.4275
CMCSA,2025-02-25,36.45,36.98,35.75,35.85,34275000,-0.6,-1.65,36.2575
CMCSA,2025-02-24,36.39,36.79,36.22,36.3,28122000,-0.09,-0.24732,36.425
CMCSA,2025-02-21,36.56,36.65,36.19,36.24,21415333,-0.315,-0.87527,36.41
CMCSA,2025-02-20,36.39,36.72,36.09,36.41,25850100,0.02,0.05496015,36.4025
CMCSA,2025-02-19,36.44,36.75,36.28,36.48,22701300,0.04,0.10977,36.4875
CMCSA,2025-02-18,35.26,36.38,35.1,36.35,24015300,1.09,3.09,35.7725
CMCSA,2025-02-14,35.4,35.62,35.29,35.39,17933400,-0.01,-0.02824859,35.425
CMCSA,2025-02-13,35.04,35.5,34.94,35.38,20563800,0.34,0.97032,35.215
