symbol,date,open,high,low,close,volume,change,changePercent,vwap
COST,2025-04-04,955.0,964.52,914.45,920.29,3874639,-34.71,-3.63455,933.09
COST,2025-04-03,931.08,981.35,928.0,967.08,3087787,36.0,3.87,951.8775
COST,2025-04-02,950.84,970.89,950.0,965.08,1719900,14.24,1.5,959.2025
COST,2025-04-01,942.42,957.72,938.75,954.4,2041507,11.98,1.27,948.3225
COST,2025-03-31,922.36,995.0,922.04,945.78,3102000,23.42,2.54,946.295
COST,2025-03-28,937.5,938.75,926.0,929.66,2100500,-7.84,-0.83627,932.9775
COST,2025-03-27,929.56,942.9,928.0,938.75,1547000,9.19,0.98864,934.8025
COST,2025-03-26,934.33,939.42,923.45,929.75,1646900,-4.58,-0.49019,931.7375
COST,2025-03-25,926.63,932.29,922.49,930.26,1623000,3.63,0.39174,927.9175
COST,2025-03-24,920.0,928.65,920.0,926.04,2208100,6.04,0.65652,923.6725
COST,2025-03-21,888.75,909.77,883.96,909.26,3447600,20.51,2.31,897.935
COST,2025-03-20,901.5,907.48,894.1,895.4,1891800,-6.1,-0.67665,899.62
COST,2025-03-19,902.86,910.16,896.0,904.05,1908521,1.19,0.1318,903.2675
COST,2025-03-18,913.0,917.56,896.84,898.05,2182005,-14.95,-1.64,906.3625
COST,2025-03-17,901.63,923.39,898.0,916.61,2256100,14.98,1.66,909.9075
COST,2025-03-14,891.81,906.95,881.56,903.92,3186406,12.11,1.36,896.06
COST,2025-03-13,922.0,923.5,887.47,890.62,3447210,-31.38,-3.4,905.8975
COST,2025-03-12,938.0,944.38,923.25,927.08,2331610,-10.92,-1.16,933.1775
COST,2025-03-11,931.0,938.0,921.2,930.49,3204900,-0.51,-0.05477981,930.1725
COST,2025-03-10,955.47,959.66,924.03,934.41,4459900,-21.06,-2.2,943.3925
COST,2025-03-07,995.15,1002.42,942.78,964.31,5510718,-30.84,-3.1,976.165
COST,2025-03-06,1032.95,1045.89,1019.05,1026.62,2594600,-6.33,-0.61281,1031.1275
COST,2025-03-05,1033.08,1050.98,1028.5,1047.75,1898604,14.67,1.42,1040.0775
COST,2025-03-04,1045.73,1047.93,1028.73,1036.87,2536800,-8.86,-0.84726,1039.815
COST,2025-03-03,1051.74,1066.0,1041.14,1046.85,2422500,-4.89,-0.46494,1051.4325
COST,2025-02-28,1030.61,1049.38,1023.99,1048.61,3307117,18.0,1.75,1038.1475
COST,2025-02-27,1034.0,1042.53,1018.83,1021.71,1629100,-12.29,-1.19,1029.2675
COST,2025-02-26,1050.14,1058.89,1030.18,1031.97,1555700,-18.17,-1.73,1042.795
COST,2025-02-25,1040.73,1057.02,1037.46,1055.66,2083802,14.93,1.43,1047.7175
COST,2025-02-24,1028.54,1038.19,1025.22,1035.6,1759749,7.06,0.68641,1031.8875
COST,2025-02-21,1034.61,1036.21,1024.68,1035.03,1816308,0.425,0.04059501,1032.6325
COST,2025-02-20,1053.64,1053.64,1033.85,1034.83,2000545,-18.81,-1.79,1043.99
COST,2025-02-19,1056.06,1063.18,1053.0,1062.54,1349634,6.48,0.6136,1058.695
COST,2025-02-18,1069.21,1071.0,1045.24,1056.03,2090600,-13.18,-1.23,1060.37
COST,2025-02-14,1076.48,1077.49,1068.01,1071.85,1410728,-4.63,-0.43011,1073.4575
COST,2025-02-13,1067.01,1078.23,1064.65,1076.86,1623300,9.85,0.92314,1071.6875
COST,2025-02-12,1054.15,1067.0,1051.0,1065.12,1662315,10.97,1.04,1059.3175
COST,2025-02-11,1059.91,1066.0,1049.04,1058.34,1748505,-1.57,-0.14813,1058.3225
COST,2025-02-10,1052.0,1063.0,1046.0,1061.92,2036900,9.92,0.94297,1055.73
COST,2025-02-07,1047.0,1056.71,1035.51,1043.81,1632900,-3.19,-0.30468,1045.7575
COST,2025-02-06,1050.0,1063.0,1044.2,1050.99,2218045,0.99,0.09428571,1052.0475
COST,2025-02-05,1020.0,1043.09,1020.0,1042.88,2050058,22.88,2.24,1031.4925
COST,2025-02-04,1005.4,1024.35,999.65,1021.86,2001641,16.46,1.64,1012.815
COST,2025-02-03,972.39,1009.61,968.94,1005.83,2751018,33.45,3.44,989.1925
COST,2025-01-31,976.24,991.0,975.78,979.88,1875713,3.64,0.37286,980.725
COST,2025-01-30,970.3,986.75,970.1,979.01,1788200,8.71,0.89766,976.54
COST,2025-01-29,957.8,968.26,955.0,964.02,1713749,6.22,0.6494,961.27
COST,2025-01-28,961.83,965.71,954.07,958.67,2166400,-3.16,-0.32854,960.07
COST,2025-01-27,930.0,966.99,927.18,965.25,3044700,35.25,3.79,947.355
COST,2025-01-24,942.16,946.04,933.56,939.68,1562422,-2.48,-0.26322,940.36
COST,2025-01-23,941.69,943.39,936.49,942.16,1352440,0.47,0.04991027,940.9325
COST,2025-01-22,951.23,951.94,939.24,944.7,2155000,-6.52,-0.68648,946.7775
COST,2025-01-21,945.25,956.55,943.5,947.73,2042443,2.48,0.26236,948.2575
COST,2025-01-17,930.0,943.8,924.57,943.19,2375012,13.19,1.42,935.39
