symbol,date,open,high,low,close,volume,change,changePercent,vwap
CPRT,2025-04-04,56.64,57.18,54.82,55.03,5676927,-1.61,-2.84251,55.68
CPRT,2025-04-03,55.68,57.39,55.48,56.64,6392078,0.96,1.72,56.2975
CPRT,2025-04-02,56.59,58.14,56.58,57.47,3927835,0.88,1.56,57.195
CPRT,2025-04-01,56.2,57.3,55.84,57.21,5384045,1.01,1.8,56.6375
CPRT,2025-03-31,55.0,56.99,54.72,56.59,7550640,1.59,2.89,55.825
CPRT,2025-03-28,55.4,55.72,54.82,55.15,6609980,-0.25,-0.45126,55.2725
CPRT,2025-03-27,55.09,55.8,54.27,55.64,4858985,0.55,0.99837,55.2
CPRT,2025-03-26,55.78,56.11,54.97,55.07,3767718,-0.71,-1.27,55.4825
CPRT,2025-03-25,55.26,55.72,55.12,55.59,3636847,0.33,0.59718,55.4225
CPRT,2025-03-24,54.6,55.26,54.34,55.06,4315637,0.46,0.84249,54.815
CPRT,2025-03-21,53.21,53.97,53.07,53.63,5952411,0.42,0.78933,53.47
CPRT,2025-03-20,53.63,54.13,53.54,53.85,3098348,0.22,0.41022,53.7875
CPRT,2025-03-19,53.13,54.37,53.0,53.88,4368400,0.75,1.41,53.595
CPRT,2025-03-18,53.48,53.62,52.38,52.92,4044294,-0.56,-1.05,53.1
CPRT,2025-03-17,52.83,53.84,52.58,53.75,3832900,0.92,1.74,53.25
CPRT,2025-03-14,51.97,52.95,51.97,52.65,3851713,0.685,1.31,52.385
CPRT,2025-03-13,53.04,53.27,52.15,52.3,3718400,-0.74,-1.4,52.69
CPRT,2025-03-12,53.49,53.52,52.45,53.04,4155942,-0.445,-0.84128,53.125
CPRT,2025-03-11,53.0,53.41,52.51,52.91,5369549,-0.09,-0.16981,52.9575
CPRT,2025-03-10,53.46,53.72,52.46,52.82,8144200,-0.64,-1.2,53.115
CPRT,2025-03-07,53.32,53.85,52.49,53.74,5261906,0.42,0.7877,53.35
CPRT,2025-03-06,53.75,54.46,53.31,53.73,5722913,-0.02,-0.0372093,53.8125
CPRT,2025-03-05,53.98,54.77,53.76,54.41,6079579,0.43,0.79659,54.23
CPRT,2025-03-04,54.63,54.86,53.82,54.26,5049500,-0.37,-0.67728,54.3925
CPRT,2025-03-03,54.99,55.81,54.42,54.65,8543229,-0.34,-0.61829,54.9675
CPRT,2025-02-28,55.45,55.73,54.43,54.8,9240106,-0.65,-1.17,55.1025
CPRT,2025-02-27,56.29,56.71,55.08,55.23,4956200,-1.06,-1.88,55.8275
CPRT,2025-02-26,56.76,57.18,56.2,56.27,3955300,-0.485,-0.86328,56.6025
CPRT,2025-02-25,56.55,57.76,56.44,56.77,5508545,0.22,0.38904,56.88
