symbol,date,open,high,low,close,volume,change,changePercent,vwap
CRWD,2025-04-04,328.015,334.045,310.3101,323.525,5840475,-4.49,-1.36884,322.63
CRWD,2025-04-03,350.94,360.91,341.81,347.39,4289216,-3.55,-1.01,350.2625
CRWD,2025-04-02,353.16,376.27,353.03,371.49,2472030,18.33,5.19,363.4875
CRWD,2025-04-01,358.94,363.17,351.25,362.38,2682100,3.44,0.95838,358.935
CRWD,2025-03-31,345.79,353.64,337.89,352.58,3297000,6.79,1.96,347.475
CRWD,2025-03-28,365.82,367.64,353.48,357.11,3457500,-8.71,-2.38,361.0125
CRWD,2025-03-27,368.72,371.46,360.28,366.56,2666122,-2.16,-0.58581,366.755
CRWD,2025-03-26,383.9,384.77,370.36,371.41,3289508,-12.48,-3.25,377.61
CRWD,2025-03-25,378.08,392.69,377.0,384.95,4258400,6.87,1.82,383.18
CRWD,2025-03-24,370.0,373.63,361.66,372.64,4146929,2.64,0.71351,369.4825
CRWD,2025-03-21,358.91,372.19,353.03,362.24,8119531,3.33,0.92781,361.5925
CRWD,2025-03-20,371.28,377.49,364.46,369.03,2883038,-2.25,-0.60601,370.565
CRWD,2025-03-19,366.22,381.26,362.26,375.05,4056608,8.83,2.41,371.1975
CRWD,2025-03-18,362.1,368.47,356.71,363.15,3185600,1.05,0.28998,362.6075
CRWD,2025-03-17,353.0,370.86,352.57,364.83,4255117,11.83,3.35,360.315
CRWD,2025-03-14,338.51,354.5,337.14,353.74,4365504,15.23,4.5,345.9725
CRWD,2025-03-13,346.57,347.84,330.62,332.53,4349600,-14.04,-4.05,339.39
CRWD,2025-03-12,343.59,347.73,336.76,346.76,5123900,3.17,0.92261,343.71
CRWD,2025-03-11,310.41,339.0,308.0,329.75,8352500,19.34,6.23,321.79
CRWD,2025-03-10,322.65,323.95,303.79,308.86,6997000,-13.79,-4.27,314.8125
CRWD,2025-03-07,344.56,347.73,318.04,333.5,6869400,-11.06,-3.21,335.9575
CRWD,2025-03-06,356.58,371.72,345.82,347.73,5613700,-8.85,-2.48,355.4625
CRWD,2025-03-05,361.68,367.32,343.0,365.44,15958100,3.76,1.04,359.36
CRWD,2025-03-04,376.98,396.16,370.58,390.16,8045100,13.19,3.5,383.47
CRWD,2025-03-03,399.0,404.6,378.34,382.73,5065041,-16.27,-4.08,391.1675
CRWD,2025-02-28,379.0,390.52,377.38,389.66,3773100,10.66,2.81,384.14
CRWD,2025-02-27,401.64,406.53,380.0,380.24,3223100,-21.4,-5.33,392.1025
CRWD,2025-02-26,384.69,401.7,381.75,394.56,3431516,9.87,2.57,390.675
CRWD,2025-02-25,387.27,389.0,369.31,379.75,4503800,-7.52,-1.94,381.3325
CRWD,2025-02-24,405.49,405.9,382.34,391.72,5384438,-13.77,-3.4,396.3625
CRWD,2025-02-21,428.86,433.23,404.54,406.68,5598247,-22.18,-5.17,418.3275
CRWD,2025-02-20,441.92,442.73,418.31,436.14,4768919,-5.78,-1.31,434.775
CRWD,2025-02-19,455.36,455.59,444.58,450.14,2415246,-5.22,-1.15,451.4175
CRWD,2025-02-18,451.67,455.44,445.27,455.36,2753400,3.69,0.81697,451.935
CRWD,2025-02-14,449.47,453.46,442.87,451.74,2845500,2.27,0.50504,449.385
CRWD,2025-02-13,435.0,454.13,432.2,453.77,3681300,18.77,4.31,443.775
CRWD,2025-02-12,425.2,437.6,424.21,434.63,2011000,9.43,2.22,430.41
CRWD,2025-02-11,426.65,434.78,424.08,431.64,2323800,4.99,1.17,429.2875
CRWD,2025-02-10,424.78,431.9,424.49,428.92,2258831,4.15,0.97462,427.5225
CRWD,2025-02-07,424.0,431.33,419.32,421.59,3501532,-2.41,-0.5684,424.06
CRWD,2025-02-06,415.5,421.63,413.72,420.51,2413319,5.01,1.21,417.84
CRWD,2025-02-05,408.0,419.39,405.02,417.22,3111415,9.22,2.26,412.4075
CRWD,2025-02-04,396.52,408.44,396.0,407.52,2865700,11.0,2.77,402.12
CRWD,2025-02-03,386.95,399.94,384.24,397.57,3555200,10.63,2.74,392.175
CRWD,2025-01-31,398.4,408.1,397.35,398.07,3126200,-0.33,-0.08283133,400.48
CRWD,2025-01-30,399.73,403.08,390.85,396.87,2785200,-2.86,-0.71548,397.6325
CRWD,2025-01-29,404.35,404.35,390.22,397.07,4279542,-7.28,-1.8,398.9975
