symbol,date,open,high,low,close,volume,change,changePercent,vwap
CSCO,2025-04-04,56.656,57.47,54.66,54.88,30973291,-1.78,-3.13471,55.67
CSCO,2025-04-03,59.38,59.92,57.26,57.31,39828336,-2.07,-3.49,58.4675
CSCO,2025-04-02,61.2,61.87,61.1,61.82,18610700,0.625,1.01,61.4975
CSCO,2025-04-01,61.38,62.04,61.06,61.8,17381449,0.42,0.68426,61.57
CSCO,2025-03-31,60.63,61.9,60.24,61.71,29335721,1.08,1.78,61.12
CSCO,2025-03-28,61.66,61.78,60.51,60.86,24931721,-0.8,-1.3,61.2025
CSCO,2025-03-27,61.89,61.98,61.33,61.4,25720200,-0.49,-0.79173,61.65
CSCO,2025-03-26,61.03,61.84,61.01,61.8,30628526,0.77,1.26,61.42
CSCO,2025-03-25,60.84,61.21,60.7,60.99,20877635,0.15,0.24655,60.935
CSCO,2025-03-24,61.04,61.38,60.88,60.97,28335642,-0.065,-0.11468,61.0675
CSCO,2025-03-21,60.17,60.4,59.43,60.3,65935200,0.13,0.21605,60.075
CSCO,2025-03-20,60.48,61.02,60.34,60.62,16528600,0.145,0.23148,60.615
CSCO,2025-03-19,60.63,61.58,60.5,61.12,15488800,0.49,0.80818,60.9575
CSCO,2025-03-18,60.67,60.8,59.67,60.3,16669000,-0.365,-0.60986,60.36
CSCO,2025-03-17,60.4,61.21,60.34,60.89,15335820,0.49,0.81126,60.71
CSCO,2025-03-14,60.32,60.62,59.92,60.5,16250727,0.18,0.29841,60.34
CSCO,2025-03-13,60.41,60.49,59.23,59.67,16463327,-0.74,-1.22,59.95
CSCO,2025-03-12,60.96,61.18,60.25,60.46,18935337,-0.5,-0.82021,60.7125
CSCO,2025-03-11,62.28,62.38,60.53,60.67,25787410,-1.61,-2.59,61.465
CSCO,2025-03-10,63.48,63.69,61.68,62.06,27417648,-1.42,-2.24,62.7275
CSCO,2025-03-07,62.9,64.17,62.19,63.94,21154800,1.04,1.65,63.3
CSCO,2025-03-06,63.8,64.02,62.76,63.41,23155124,-0.39,-0.61129,63.4975
CSCO,2025-03-05,63.23,64.18,62.8,63.96,14931500,0.73,1.15,63.5425
CSCO,2025-03-04,63.74,63.91,62.61,63.26,24588330,-0.48,-0.75306,63.38
CSCO,2025-03-03,64.39,64.88,63.19,63.48,21810700,-0.91,-1.41,63.985
CSCO,2025-02-28,63.93,64.16,62.83,64.11,26711832,0.185,0.28156,63.7575
CSCO,2025-02-27,64.77,65.29,63.75,63.81,24695609,-0.955,-1.48,64.405
