symbol,date,open,high,low,close,volume,change,changePercent,vwap
CSGP,2025-04-04,75.66,75.995,72.65,73.18,2625226,-2.48,-3.27782,73.94
CSGP,2025-04-03,79.8,79.8,76.11,76.35,3953531,-3.45,-4.32,78.015
CSGP,2025-04-02,78.11,80.3,78.0,79.92,2448494,1.81,2.32,79.0825
CSGP,2025-04-01,78.79,80.26,78.33,79.18,2411300,0.39,0.49499,79.14
CSGP,2025-03-31,79.1,79.76,78.26,79.23,2976928,0.13,0.16435,79.0875
CSGP,2025-03-28,80.13,80.2,78.57,79.31,2545039,-0.82,-1.02,79.5525
CSGP,2025-03-27,80.39,80.86,79.47,80.13,2453100,-0.26,-0.32342,80.2125
CSGP,2025-03-26,80.44,81.16,79.97,80.37,1938813,-0.07,-0.08702138,80.485
CSGP,2025-03-25,79.82,80.69,79.57,80.23,1608014,0.41,0.51366,80.0775
CSGP,2025-03-24,79.39,80.68,79.04,80.14,2266242,0.75,0.9447,79.8125
CSGP,2025-03-21,78.52,78.72,77.35,78.46,4383943,-0.06,-0.07641365,78.2625
CSGP,2025-03-20,78.69,79.85,78.34,79.02,2167945,0.33,0.41937,78.975
CSGP,2025-03-19,78.23,80.01,77.96,79.4,2856900,1.17,1.5,78.9
CSGP,2025-03-18,79.39,80.47,78.3,78.36,2733785,-1.03,-1.3,79.13
CSGP,2025-03-17,78.67,80.77,78.65,80.15,4154948,1.48,1.88,79.56
CSGP,2025-03-14,76.43,78.92,75.78,78.73,2874400,2.3,3.01,77.465
CSGP,2025-03-13,76.62,77.57,75.21,75.44,3124235,-1.18,-1.54,76.21
CSGP,2025-03-12,76.92,77.22,75.69,76.86,3845036,-0.06,-0.07800312,76.6725
CSGP,2025-03-11,79.9,80.05,76.73,76.87,4279100,-3.03,-3.79,78.3875
CSGP,2025-03-10,79.63,83.03,79.19,79.91,4751936,0.28,0.35163,80.44
CSGP,2025-03-07,76.68,79.67,75.79,79.39,3741042,2.71,3.53,77.8825
CSGP,2025-03-06,77.06,78.57,76.77,76.86,5227357,-0.2,-0.25954,77.315
CSGP,2025-03-05,75.22,78.2,75.21,77.81,5482500,2.59,3.44,76.61
CSGP,2025-03-04,75.15,76.0,74.08,75.58,6322082,0.43,0.57219,75.2025
CSGP,2025-03-03,76.01,77.35,75.2,75.39,6448100,-0.62,-0.81568,75.9875
CSGP,2025-02-28,75.63,76.4,74.14,76.25,6197320,0.62,0.81978,75.605
CSGP,2025-02-27,76.64,76.68,73.65,74.36,4277463,-2.28,-2.97,75.3325
CSGP,2025-02-26,77.23,78.6,76.83,76.92,3574300,-0.31,-0.4014,77.395
CSGP,2025-02-25,77.47,77.79,76.88,77.6,3584470,0.13,0.16781,77.435
CSGP,2025-02-24,77.44,77.85,76.34,77.49,4316408,0.05,0.06456612,77.28
CSGP,2025-02-21,78.33,79.04,76.49,76.79,4667024,-1.54,-1.97,77.6625
CSGP,2025-02-20,79.21,79.45,77.91,78.33,4804700,-0.88,-1.11,78.725
CSGP,2025-02-19,72.83,79.32,72.5,79.21,7407900,6.38,8.76,75.965
CSGP,2025-02-18,74.36,75.62,73.9,75.46,5453500,1.1,1.48,74.835
CSGP,2025-02-14,74.1,74.46,73.32,74.06,3413100,-0.04,-0.05398111,73.985
CSGP,2025-02-13,73.43,74.02,72.52,73.56,2901000,0.13,0.17704,73.3825
CSGP,2025-02-12,74.11,74.53,72.86,73.27,2595800,-0.84,-1.13,73.6925
CSGP,2025-02-11,76.21,77.0,75.29,76.0,1975365,-0.21,-0.27555,76.125
CSGP,2025-02-10,77.72,77.72,76.52,76.97,1927941,-0.75,-0.965,77.2325
CSGP,2025-02-07,78.39,78.39,77.17,77.25,2224443,-1.14,-1.45,77.8
