symbol,date,open,high,low,close,volume,change,changePercent,vwap
CSX,2025-04-04,27.62,27.73,26.945,27.25,18880680,-0.37,-1.33961,27.31
CSX,2025-04-03,28.97,28.98,27.9,27.99,21149584,-0.98,-3.38,28.46
CSX,2025-04-02,29.28,29.76,29.14,29.74,9470300,0.46,1.57,29.48
CSX,2025-04-01,29.17,29.57,29.04,29.54,11174238,0.37,1.27,29.33
CSX,2025-03-31,29.11,29.66,29.01,29.43,23507120,0.32,1.1,29.3025
CSX,2025-03-28,29.86,29.93,29.09,29.11,9596900,-0.75,-2.51,29.4975
CSX,2025-03-27,29.85,30.01,29.57,29.92,10440741,0.07,0.23451,29.8375
CSX,2025-03-26,29.56,29.95,29.26,29.9,13968900,0.34,1.15,29.6675
CSX,2025-03-25,29.74,29.84,29.47,29.53,10847000,-0.205,-0.70612,29.645
CSX,2025-03-24,29.83,29.94,29.58,29.85,13230200,0.02,0.0670466,29.8
CSX,2025-03-21,29.69,29.83,29.46,29.57,25369608,-0.12,-0.40418,29.6375
CSX,2025-03-20,29.9,30.17,29.75,29.98,16138700,0.08,0.26756,29.95
CSX,2025-03-19,30.21,30.37,29.99,30.07,12103600,-0.14,-0.46342,30.16
CSX,2025-03-18,30.36,30.5,29.99,30.26,11511622,-0.1,-0.32938,30.2775
CSX,2025-03-17,29.99,30.4,29.92,30.33,9204350,0.34,1.13,30.16
CSX,2025-03-14,29.35,30.05,29.22,30.01,16382800,0.665,2.25,29.6575
CSX,2025-03-13,29.6,29.74,28.98,29.13,16509034,-0.47,-1.59,29.3625
CSX,2025-03-12,29.5,29.74,29.29,29.55,13936168,0.055,0.16949,29.52
CSX,2025-03-11,30.71,30.71,29.5,29.52,15102240,-1.19,-3.87,30.11
CSX,2025-03-10,31.26,31.53,30.56,30.65,20051800,-0.61,-1.95,31.0
CSX,2025-03-07,30.76,31.4,30.71,31.26,19422400,0.5,1.63,31.0325
CSX,2025-03-06,30.95,31.08,30.55,30.93,22952200,-0.015,-0.06462036,30.8775
CSX,2025-03-05,31.06,31.55,30.62,30.92,21618388,-0.142,-0.45074,31.0375
CSX,2025-03-04,31.82,31.91,31.17,31.2,19833300,-0.62,-1.95,31.525
CSX,2025-03-03,32.15,32.4,31.74,31.93,11273019,-0.22,-0.68429,32.055
CSX,2025-02-28,32.15,32.27,31.61,32.01,21083306,-0.14,-0.43546,32.01
CSX,2025-02-27,31.82,32.25,31.68,32.01,9325478,0.19,0.59711,31.94
CSX,2025-02-26,32.05,32.17,31.81,31.98,8666100,-0.07,-0.21841,32.0025
CSX,2025-02-25,31.97,32.26,31.88,32.09,13040900,0.12,0.37535,32.05
CSX,2025-02-24,32.47,32.49,31.72,31.81,16202213,-0.66,-2.03,32.1225
CSX,2025-02-21,32.47,32.47,31.79,32.3,23611917,-0.17,-0.52356,32.2575
CSX,2025-02-20,32.32,32.55,32.12,32.46,11703432,0.14,0.43317,32.3625
CSX,2025-02-19,33.53,33.55,32.32,32.41,13733100,-1.12,-3.34,32.9525
CSX,2025-02-18,33.4,33.74,33.28,33.64,15001029,0.24,0.71856,33.515
CSX,2025-02-14,33.25,33.49,33.17,33.37,10739949,0.12,0.3609,33.32
CSX,2025-02-13,33.09,33.14,32.83,33.1,11026900,0.01,0.03022061,33.04
CSX,2025-02-12,32.63,33.05,32.62,32.92,7723101,0.29,0.88875,32.805
CSX,2025-02-11,32.95,33.24,32.92,33.11,9177247,0.165,0.48558,33.055
CSX,2025-02-10,32.75,33.11,32.69,33.08,9929040,0.33,1.01,32.9075
CSX,2025-02-07,32.78,32.83,32.36,32.59,16936688,-0.19,-0.57962,32.64
CSX,2025-02-06,33.04,33.12,32.64,32.74,6585105,-0.3,-0.90799,32.885
CSX,2025-02-05,32.98,33.06,32.76,32.88,7455011,-0.1,-0.30321,32.92
CSX,2025-02-04,32.35,32.97,32.33,32.87,12211900,0.52,1.61,32.63
CSX,2025-02-03,32.48,32.95,32.05,32.51,15172200,0.035,0.09236453,32.4975
CSX,2025-01-31,32.85,33.4,32.77,32.87,21654200,0.02,0.0608828,32.9725
CSX,2025-01-30,32.94,33.19,32.64,32.86,12090302,-0.08,-0.24287,32.9075
CSX,2025-01-29,32.75,33.62,32.75,32.98,16393999,0.23,0.70229,33.025
CSX,2025-01-28,33.35,33.68,32.65,32.68,14548630,-0.67,-2.01,33.09
CSX,2025-01-27,32.85,33.83,32.57,33.64,20309300,0.79,2.4,33.2225
CSX,2025-01-24,32.05,33.02,32.0,32.69,25130400,0.64,2.0,32.44
CSX,2025-01-23,33.88,34.1,33.48,33.67,17405700,-0.21,-0.61983,33.7825
CSX,2025-01-22,33.22,33.5,33.05,33.24,13745500,0.02,0.0602047,33.2525
CSX,2025-01-21,33.02,33.28,32.78,33.27,9344400,0.25,0.75712,33.0875
CSX,2025-01-17,33.36,33.39,32.66,32.73,20686000,-0.63,-1.89,33.035
CSX,2025-01-16,32.33,32.98,32.02,32.97,21673557,0.64,1.98,32.575
CSX,2025-01-15,32.68,32.73,32.43,32.46,13694353,-0.22,-0.67319,32.575
CSX,2025-01-14,32.01,32.19,31.92,32.14,12878378,0.13,0.40612,32.065
CSX,2025-01-13,31.66,31.97,31.53,31.89,16634147,0.23,0.72647,31.7625
CSX,2025-01-10,31.93,32.14,31.71,31.78,13644243,-0.15,-0.46978,31.89
CSX,2025-01-08,32.2,32.31,31.88,32.2,9683000,0.0,0.0,32.1475
CSX,2025-01-07,32.01,32.41,31.96,32.19,12814180,0.18,0.56232,32.1425
CSX,2025-01-06,32.27,32.49,31.97,32.0,13509045,-0.27,-0.83669,32.1825
CSX,2025-01-03,32.4,32.51,32.12,32.34,17511800,-0.06,-0.18519,32.3425
CSX,2025-01-02,32.55,32.68,32.07,32.16,13997249,-0.39,-1.2,32.365
CSX,2024-12-31,32.22,32.4,32.18,32.27,8424323,0.055,0.15518,32.2675
CSX,2024-12-30,32.27,32.34,31.92,32.15,6599099,-0.12,-0.37186,32.17
CSX,2024-12-27,32.2,32.68,32.13,32.46,10431568,0.26,0.80745,32.3675
CSX,2024-12-26,32.44,32.57,32.33,32.52,6745287,0.085,0.24661,32.465
CSX,2024-12-24,32.24,32.61,32.17,32.57,4777600,0.33,1.02,32.3975
CSX,2024-12-23,31.69,32.28,31.65,32.22,11998889,0.53,1.67,31.96
CSX,2024-12-20,31.46,32.2,31.43,31.85,20229200,0.39,1.24,31.735
CSX,2024-12-19,32.12,32.46,31.56,31.58,11038765,-0.54,-1.68,31.93
CSX,2024-12-18,32.81,33.06,32.04,32.08,15794335,-0.73,-2.22,32.4975
CSX,2024-12-17,32.78,33.15,32.69,32.93,12487764,0.15,0.4576,32.8875
CSX,2024-12-16,33.25,33.33,32.86,32.94,12673018,-0.31,-0.93233,33.095
CSX,2024-12-13,33.59,33.74,33.23,33.24,10139346,-0.35,-1.04,33.45
CSX,2024-12-12,33.67,33.93,33.52,33.68,9636026,0.01,0.02970003,33.7
CSX,2024-12-11,34.06,34.23,33.58,33.61,12464900,-0.45,-1.32,33.87
CSX,2024-12-10,33.89,34.46,33.71,34.17,11245280,0.28,0.8262,34.0575
CSX,2024-12-09,34.23,34.63,33.91,33.97,10630179,-0.26,-0.75957,34.185
CSX,2024-12-06,34.64,34.9,34.44,34.45,10495004,-0.185,-0.5485,34.6075
CSX,2024-12-05,35.37,35.37,34.58,34.62,12745800,-0.75,-2.12,34.985
CSX,2024-12-04,35.95,35.95,34.89,35.3,17536100,-0.65,-1.81,35.5225
CSX,2024-12-03,36.27,36.5,35.79,36.0,9960400,-0.27,-0.74442,36.14
CSX,2024-12-02,36.51,36.55,35.8,36.34,12161452,-0.17,-0.46563,36.3
CSX,2024-11-29,36.46,36.76,36.41,36.55,5129500,0.09,0.24685,36.545
CSX,2024-11-27,36.76,36.91,36.51,36.58,6371100,-0.18,-0.48966,36.69
CSX,2024-11-26,36.47,36.82,36.03,36.69,9605848,0.22,0.60324,36.5025
CSX,2024-11-25,35.97,36.75,35.97,36.62,13877200,0.65,1.81,36.3275
CSX,2024-11-22,35.47,35.91,35.37,35.78,10783268,0.3133,0.87398,35.6325
CSX,2024-11-21,34.7,35.36,34.6,35.34,12036200,0.64,1.84,35.0
CSX,2024-11-20,34.68,34.78,34.41,34.57,7939300,-0.11,-0.31719,34.61
CSX,2024-11-19,34.52,34.88,34.5,34.6,10463107,0.08,0.23175,34.625
CSX,2024-11-18,35.35,35.49,34.95,34.97,7652189,-0.38,-1.07,35.19
CSX,2024-11-15,35.56,35.69,35.0,35.13,10597925,-0.43,-1.21,35.345
CSX,2024-11-14,36.33,36.45,35.5,35.63,14939900,-0.7,-1.93,35.9775
CSX,2024-11-13,35.98,36.53,35.92,36.48,8668103,0.5,1.39,36.2275
CSX,2024-11-12,36.4,36.58,36.03,36.13,11421700,-0.27,-0.74176,36.285
CSX,2024-11-11,36.29,36.96,36.25,36.52,10200252,0.23,0.63378,36.505
CSX,2024-11-08,35.63,36.07,35.31,36.0,13095643,0.37,1.04,35.7525
CSX,2024-11-07,36.64,36.72,35.23,35.56,22333200,-1.08,-2.95,36.0375
CSX,2024-11-06,36.05,37.1,35.95,36.88,25958985,0.835,2.3,36.495
CSX,2024-11-05,33.41,34.04,33.35,34.02,7946400,0.61,1.83,33.705
CSX,2024-11-04,33.47,33.87,33.32,33.36,12458229,-0.11,-0.32865,33.505
CSX,2024-11-01,33.69,33.92,33.35,33.39,11062324,-0.3,-0.89047,33.5875
CSX,2024-10-31,33.56,34.0,33.42,33.64,11551520,0.08,0.23838,33.655
CSX,2024-10-30,33.19,33.77,33.19,33.54,11865100,0.35,1.05,33.4225
CSX,2024-10-29,33.18,33.67,33.12,33.25,13083311,0.07,0.21097,33.305
CSX,2024-10-28,33.44,33.54,33.19,33.26,8016600,-0.18,-0.53828,33.3575
CSX,2024-10-25,33.21,33.35,32.96,33.27,14067100,0.06,0.18067,33.1975
CSX,2024-10-24,33.37,33.57,32.84,33.1,15051441,-0.27,-0.80911,33.22
CSX,2024-10-23,33.64,33.7,33.33,33.59,11925139,-0.05,-0.14863,33.565
CSX,2024-10-22,33.55,33.88,33.34,33.85,11223535,0.305,0.89419,33.655
CSX,2024-10-21,34.07,34.2,33.61,33.66,10142800,-0.41,-1.2,33.885
CSX,2024-10-18,33.2,34.33,33.13,34.12,21248600,0.92,2.77,33.695
CSX,2024-10-17,33.9,34.28,33.09,33.09,28487949,-0.81,-2.39,33.59
CSX,2024-10-16,35.79,36.19,35.42,35.47,17624000,-0.32,-0.8941,35.7175
CSX,2024-10-15,35.42,35.94,35.28,35.5,12259110,0.08,0.22586,35.535
CSX,2024-10-14,34.96,35.35,34.67,35.29,11825400,0.33,0.94394,35.0675
CSX,2024-10-11,34.65,35.01,34.59,34.96,6766466,0.31,0.89466,34.8025
CSX,2024-10-10,34.15,34.57,33.99,34.53,6551900,0.38,1.11,34.31
CSX,2024-10-09,33.92,34.35,33.84,34.26,7715700,0.34,1.0,34.0925
CSX,2024-10-08,33.71,34.13,33.6,33.87,9186604,0.16,0.47464,33.8275
CSX,2024-10-07,34.24,34.27,33.53,33.65,10763240,-0.59,-1.72,33.9225
CSX,2024-10-04,34.79,35.08,34.11,34.49,10243425,-0.3,-0.86232,34.6175
CSX,2024-10-03,34.11,34.28,33.64,34.12,14237031,0.01,0.02931692,34.0375
CSX,2024-10-02,34.47,34.76,34.16,34.17,7030900,-0.3,-0.87032,34.39
CSX,2024-10-01,34.42,34.66,34.01,34.52,10638516,0.1,0.29053,34.4025
CSX,2024-09-30,34.57,34.91,34.23,34.53,9407632,-0.04,-0.11571,34.56
CSX,2024-09-27,34.27,35.03,34.12,34.53,11446664,0.26,0.75868,34.4875
CSX,2024-09-26,33.67,34.1,33.62,33.9,8115900,0.225,0.6831,33.8225
CSX,2024-09-25,34.2,34.22,33.47,33.52,8278047,-0.68,-1.99,33.8525
CSX,2024-09-24,34.02,34.41,33.89,34.14,10494024,0.12,0.35273,34.115
CSX,2024-09-23,34.86,34.93,33.77,34.02,13003300,-0.84,-2.41,34.395
CSX,2024-09-20,34.66,34.96,34.27,34.93,31214838,0.27,0.779,34.705
CSX,2024-09-19,34.53,34.97,34.31,34.8,12031999,0.27,0.78193,34.6525
CSX,2024-09-18,34.09,34.35,33.8,34.05,8449000,-0.04,-0.11734,34.0725
CSX,2024-09-17,33.95,34.27,33.93,34.07,6839245,0.12,0.35346,34.055
CSX,2024-09-16,33.75,34.14,33.56,33.81,8007100,0.06,0.17778,33.815
CSX,2024-09-13,33.56,33.95,33.39,33.52,7680966,-0.04,-0.11919,33.605
CSX,2024-09-12,33.31,33.5,32.45,33.45,14227800,0.14,0.42029,33.1775
CSX,2024-09-11,33.4,33.4,32.5,33.3,9594809,-0.1,-0.2994,33.15
CSX,2024-09-10,33.82,33.83,33.28,33.51,9707000,-0.31,-0.91662,33.61
CSX,2024-09-09,33.55,33.86,33.25,33.76,9874012,0.21,0.62593,33.605
CSX,2024-09-06,33.98,34.07,33.33,33.37,10912321,-0.61,-1.8,33.6875
CSX,2024-09-05,34.79,34.89,33.92,34.02,9514100,-0.77,-2.21,34.405
CSX,2024-09-04,34.59,35.08,34.48,34.86,9862100,0.27,0.78057,34.7525
CSX,2024-09-03,34.2,34.71,34.14,34.58,13197900,0.38,1.11,34.4075
CSX,2024-08-30,33.99,34.32,33.71,34.27,9050356,0.28,0.82377,34.0725
CSX,2024-08-29,33.95,34.23,33.6,33.94,7526100,-0.01,-0.02945508,33.93
CSX,2024-08-28,33.6,33.91,33.42,33.72,9524426,0.12,0.35714,33.6625
CSX,2024-08-27,33.67,33.77,33.5,33.58,7487700,-0.09,-0.2673,33.63
CSX,2024-08-26,33.88,33.94,33.61,33.67,5857334,-0.21,-0.61983,33.775
CSX,2024-08-23,33.59,33.85,33.41,33.69,10397905,0.1,0.29771,33.635
CSX,2024-08-22,33.83,33.87,32.98,33.23,14439600,-0.6,-1.77,33.4775
CSX,2024-08-21,33.84,33.93,33.66,33.79,7231422,-0.05,-0.14775,33.805
CSX,2024-08-20,33.55,33.68,33.49,33.58,6113306,0.03,0.08941878,33.575
CSX,2024-08-19,33.42,33.68,33.28,33.64,8893100,0.22,0.65829,33.505
CSX,2024-08-16,33.59,33.67,33.28,33.42,9870518,-0.17,-0.5061,33.49
CSX,2024-08-15,33.6,33.83,33.46,33.63,12359000,0.03,0.08928571,33.63
CSX,2024-08-14,33.19,33.48,33.11,33.36,12555269,0.17,0.5122,33.285
CSX,2024-08-13,33.58,33.67,32.97,33.22,14386500,-0.36,-1.07,33.36
CSX,2024-08-12,34.04,34.12,33.39,33.5,8740500,-0.54,-1.59,33.7625
CSX,2024-08-09,34.1,34.31,33.73,34.0,7875230,-0.105,-0.29326,34.035
CSX,2024-08-08,33.71,34.38,33.62,34.25,8516445,0.54,1.6,33.99
CSX,2024-08-07,33.84,34.44,33.6,33.62,10019919,-0.22,-0.65012,33.875
CSX,2024-08-06,32.14,34.5,32.12,33.86,18679500,1.72,5.35,33.155
