symbol,date,open,high,low,close,volume,change,changePercent,vwap
CTAS,2025-04-04,204.57,204.57,191.8121,192.01,2623975,-12.56,-6.13971,196.13
CTAS,2025-04-03,202.83,209.4,201.6,204.85,2244348,2.02,0.99591,204.67
CTAS,2025-04-02,206.19,209.21,205.83,208.67,1613700,2.48,1.2,207.475
CTAS,2025-04-01,205.55,208.2,204.28,207.87,1638000,2.32,1.13,206.475
CTAS,2025-03-31,203.85,206.74,202.55,205.53,2595703,1.68,0.82414,204.6675
CTAS,2025-03-28,206.48,206.48,202.53,203.22,1685080,-3.26,-1.58,204.6775
CTAS,2025-03-27,202.59,207.87,202.59,206.25,2324758,3.66,1.81,204.825
CTAS,2025-03-26,204.54,212.7,204.01,204.71,3688493,0.17,0.08311333,206.49
CTAS,2025-03-25,194.43,195.05,192.14,193.46,2092415,-0.97,-0.49889,193.77
CTAS,2025-03-24,191.92,194.82,191.28,194.57,2049900,2.65,1.38,193.1475
CTAS,2025-03-21,192.13,192.4,189.91,191.17,2574800,-0.96,-0.49966,191.4025
CTAS,2025-03-20,194.91,196.5,192.82,194.46,1583200,-0.45,-0.23088,194.6725
CTAS,2025-03-19,193.36,196.83,193.08,196.37,1470805,3.01,1.56,194.91
CTAS,2025-03-18,194.0,194.97,192.38,193.41,1656579,-0.59,-0.30412,193.69
CTAS,2025-03-17,191.94,195.52,191.18,195.17,1532188,3.23,1.68,193.4525
CTAS,2025-03-14,190.25,193.46,189.52,192.84,1509848,2.59,1.36,191.5175
CTAS,2025-03-13,191.86,192.19,189.37,190.58,1609728,-1.28,-0.66715,191.0
CTAS,2025-03-12,197.09,197.66,191.87,192.21,2339470,-4.88,-2.48,194.7075
CTAS,2025-03-11,201.45,201.57,195.71,196.56,1887604,-4.89,-2.43,198.8225
CTAS,2025-03-10,201.88,205.65,199.72,200.61,1824000,-1.26,-0.62909,201.965
CTAS,2025-03-07,199.84,203.69,198.34,203.06,1805054,3.22,1.61,201.2325
CTAS,2025-03-06,203.8,203.8,198.45,200.6,1947931,-3.2,-1.57,201.6625
CTAS,2025-03-05,202.3,206.65,202.26,205.29,1281754,2.99,1.48,204.125
CTAS,2025-03-04,208.3,209.72,204.35,204.56,1661992,-3.74,-1.8,206.7325
CTAS,2025-03-03,206.86,210.16,206.28,207.43,1685275,0.57,0.27555,207.6825
CTAS,2025-02-28,204.52,207.67,204.41,207.5,1839518,2.98,1.46,206.025
CTAS,2025-02-27,204.93,206.87,203.29,203.37,1688784,-1.56,-0.76124,204.615
CTAS,2025-02-26,203.39,207.52,202.57,204.31,1519566,0.92,0.45233,204.4475
CTAS,2025-02-25,202.24,207.49,202.24,205.82,2206000,3.58,1.77,204.4475
CTAS,2025-02-24,204.62,206.47,203.2,203.35,1613700,-1.27,-0.62066,204.41
CTAS,2025-02-21,205.93,206.33,203.62,204.43,2302600,-1.5,-0.7284,205.0775
CTAS,2025-02-20,206.9,207.22,204.63,205.93,1340300,-0.97,-0.46883,206.17
CTAS,2025-02-19,204.36,208.66,204.21,208.14,2326370,3.78,1.85,206.3425
CTAS,2025-02-18,202.72,204.01,201.62,203.74,1388110,1.02,0.50316,203.0225
CTAS,2025-02-14,206.0,207.22,204.2,204.22,1062603,-1.78,-0.86408,205.41
CTAS,2025-02-13,205.18,206.84,204.92,205.99,1273000,0.81,0.39478,205.7325
CTAS,2025-02-12,203.31,205.54,202.14,204.61,1309096,1.3,0.63942,203.9
CTAS,2025-02-11,204.29,205.67,202.41,205.4,1093615,1.11,0.54335,204.4425
CTAS,2025-02-10,203.55,205.19,201.87,203.97,1530464,0.42,0.20634,203.645
CTAS,2025-02-07,205.0,205.63,201.84,202.06,2114635,-2.94,-1.43,203.6325
CTAS,2025-02-06,202.12,204.54,201.16,204.29,1343958,2.17,1.07,203.0275
CTAS,2025-02-05,201.3,202.17,198.96,201.6,2009292,0.3,0.14903,201.0075
CTAS,2025-02-04,201.01,202.39,199.66,200.61,1452100,-0.4,-0.199,200.9175
CTAS,2025-02-03,202.42,203.0,198.59,202.21,1789100,-0.208,-0.10374,201.555
CTAS,2025-01-31,201.13,202.54,200.06,200.57,1321576,-0.56,-0.27843,201.075
CTAS,2025-01-30,199.42,202.32,199.42,202.18,883858,2.76,1.38,200.835
CTAS,2025-01-29,201.45,201.72,198.42,198.56,836269,-2.89,-1.43,200.0375
CTAS,2025-01-28,202.75,203.12,200.36,200.43,1471178,-2.32,-1.14,201.665
CTAS,2025-01-27,195.5,202.94,195.22,202.56,2637912,7.06,3.61,199.055
CTAS,2025-01-24,197.06,198.42,197.01,197.39,874024,0.33,0.16746,197.47
CTAS,2025-01-23,198.53,198.78,196.94,197.8,1114217,-0.73,-0.3677,198.0125
CTAS,2025-01-22,201.23,201.45,198.95,199.02,1578125,-2.21,-1.1,200.1625
CTAS,2025-01-21,198.96,202.32,198.96,201.23,2237797,2.27,1.14,200.3675
CTAS,2025-01-17,201.31,201.31,197.55,198.31,1673347,-3.0,-1.49,199.62
CTAS,2025-01-16,196.4,199.24,196.25,198.05,1417900,1.65,0.84012,197.485
CTAS,2025-01-15,194.86,196.05,194.0,195.7,1466838,0.84,0.43108,195.1525
CTAS,2025-01-14,190.04,192.36,189.37,192.28,1585371,2.24,1.18,191.0125
CTAS,2025-01-13,188.6,191.18,187.67,190.6,1587843,2.0,1.06,189.5125
CTAS,2025-01-10,191.5,194.24,189.19,189.3,2331026,-2.2,-1.15,191.0575
CTAS,2025-01-08,189.34,193.11,188.33,192.65,3206403,3.31,1.75,190.8575
CTAS,2025-01-07,187.52,192.89,186.47,188.72,3618460,1.2,0.63993,188.9
CTAS,2025-01-06,185.65,187.03,184.08,185.1,2589566,-0.55,-0.29626,185.465
CTAS,2025-01-03,182.76,186.46,182.76,185.85,2105637,3.09,1.69,184.4575
CTAS,2025-01-02,183.59,184.08,180.98,182.09,1754371,-1.5,-0.81704,182.685
CTAS,2024-12-31,183.88,184.15,181.92,182.7,2041043,-1.18,-0.64172,183.1625
CTAS,2024-12-30,182.56,184.55,180.78,183.68,1867300,1.12,0.6135,182.8925
CTAS,2024-12-27,183.32,185.19,182.14,183.37,1572727,0.05,0.02727471,183.505
CTAS,2024-12-26,186.95,187.89,184.97,185.13,1526660,-1.82,-0.97352,186.235
CTAS,2024-12-24,187.15,188.39,186.66,188.35,908700,1.2,0.6412,187.6375
CTAS,2024-12-23,187.13,188.28,185.34,187.12,2663202,-0.01,-0.00534388,186.9675
CTAS,2024-12-20,181.59,187.74,181.15,186.94,6170253,5.35,2.95,184.355
CTAS,2024-12-19,192.66,193.69,182.21,182.79,6209806,-9.87,-5.12,187.8375
CTAS,2024-12-18,207.97,210.31,204.31,204.39,3568500,-3.58,-1.72,206.745
CTAS,2024-12-17,210.0,212.41,208.03,208.38,3241438,-1.62,-0.77143,209.705
CTAS,2024-12-16,211.4,213.89,211.12,211.8,3075311,0.4,0.18921,212.0525
CTAS,2024-12-13,210.75,211.98,209.4,211.22,1370666,0.47,0.22301,210.8375
CTAS,2024-12-12,210.67,211.75,209.34,211.59,1466522,0.92,0.4367,210.8375
CTAS,2024-12-11,210.14,212.49,209.8,210.97,1519000,0.83,0.39497,210.85
CTAS,2024-12-10,209.16,210.81,206.86,210.14,1982410,0.98,0.46854,209.2425
CTAS,2024-12-09,220.15,221.29,206.34,208.3,4021400,-11.85,-5.38,214.02
CTAS,2024-12-06,223.57,225.03,223.41,223.71,1329100,0.14,0.06262021,223.93
CTAS,2024-12-05,223.37,224.53,221.64,223.22,1015241,-0.15,-0.06715315,223.19
CTAS,2024-12-04,221.86,224.24,221.86,223.6,1495123,1.74,0.78428,222.89
CTAS,2024-12-03,223.66,225.26,220.3,222.65,1391700,-1.01,-0.45158,222.9675
CTAS,2024-12-02,225.42,225.79,221.75,222.64,1965318,-2.78,-1.23,223.9
CTAS,2024-11-29,224.8,226.61,224.33,225.79,981446,0.99,0.44039,225.3825
CTAS,2024-11-27,228.08,228.08,222.74,224.05,1261300,-4.03,-1.77,225.7375
CTAS,2024-11-26,225.29,228.12,225.12,226.47,1369662,1.18,0.52377,226.25
CTAS,2024-11-25,222.69,224.05,221.5,223.9,2752000,1.21,0.54336,223.035
CTAS,2024-11-22,221.5,222.77,220.88,221.76,1414450,0.26,0.11738,221.7275
CTAS,2024-11-21,219.23,221.83,218.13,221.49,1060945,2.26,1.03,220.17
CTAS,2024-11-20,217.17,218.77,216.21,218.75,1016232,1.58,0.72754,217.725
CTAS,2024-11-19,215.33,218.58,214.5,217.97,1231507,2.64,1.23,216.595
CTAS,2024-11-18,215.32,218.29,214.66,216.2,1610541,0.88,0.40869,216.1175
CTAS,2024-11-15,216.1,216.64,213.89,215.2,1792986,-0.9,-0.41647,215.4575
CTAS,2024-11-14,223.0,223.07,216.68,217.05,1542872,-5.95,-2.67,219.95
CTAS,2024-11-13,224.25,225.61,223.25,223.62,1049147,-0.63,-0.28094,224.1825
CTAS,2024-11-12,224.11,225.44,223.59,224.73,900400,0.62,0.27665,224.4675
CTAS,2024-11-11,225.72,227.36,223.8,224.11,1185311,-1.61,-0.71327,225.2475
CTAS,2024-11-08,221.65,227.24,220.2,225.72,1648330,4.07,1.84,223.7025
CTAS,2024-11-07,217.0,219.87,216.72,219.52,1380405,2.52,1.16,218.2775
CTAS,2024-11-06,215.33,217.51,213.24,217.02,2157539,1.69,0.78484,215.775
CTAS,2024-11-05,207.7,210.21,207.14,208.99,1065100,1.29,0.62109,208.51
CTAS,2024-11-04,205.24,207.7,205.01,207.56,926737,2.32,1.13,206.3775
CTAS,2024-11-01,205.95,207.11,204.88,205.62,1099834,-0.33,-0.16023,205.89
CTAS,2024-10-31,207.46,208.0,205.65,205.81,1166233,-1.65,-0.79533,206.73
