symbol,date,open,high,low,close,volume,change,changePercent,vwap
CTSH,2025-04-04,72.03,72.75,69.04,69.16,3415536,-2.87,-3.98445,70.32
CTSH,2025-04-03,75.0,75.65,73.09,73.27,3832538,-1.73,-2.31,74.2525
CTSH,2025-04-02,75.69,77.01,75.69,76.73,2550124,1.04,1.37,76.28
CTSH,2025-04-01,76.37,76.88,75.75,76.45,3152607,0.08,0.10475,76.3625
CTSH,2025-03-31,75.25,76.72,75.24,76.5,3590444,1.25,1.66,75.9275
CTSH,2025-03-28,77.67,77.99,75.55,75.9,3781800,-1.77,-2.28,76.7775
CTSH,2025-03-27,77.81,78.18,77.24,77.58,3251600,-0.23,-0.29559,77.7025
CTSH,2025-03-26,78.55,79.39,77.67,77.85,3833172,-0.7,-0.89115,78.365
CTSH,2025-03-25,78.55,80.52,78.47,78.82,5215030,0.27,0.34373,79.09
CTSH,2025-03-24,77.29,78.03,76.87,77.94,4603728,0.65,0.84099,77.5325
CTSH,2025-03-21,76.41,76.95,75.5,76.42,9505345,0.01,0.01308729,76.32
CTSH,2025-03-20,78.05,78.25,76.28,77.21,5402213,-0.84,-1.08,77.4475
CTSH,2025-03-19,79.84,80.26,79.13,79.66,3562000,-0.18,-0.22545,79.7225
CTSH,2025-03-18,80.0,80.0,78.79,79.58,2584212,-0.42,-0.525,79.5925
CTSH,2025-03-17,78.99,80.53,78.77,80.02,2862475,1.03,1.3,79.5775
CTSH,2025-03-14,78.95,79.26,78.1,79.12,3754000,0.17,0.21533,78.8575
CTSH,2025-03-13,79.38,79.65,77.79,78.34,3601145,-1.04,-1.31,78.79
CTSH,2025-03-12,82.06,82.19,79.14,79.5,4801000,-2.56,-3.12,80.7225
CTSH,2025-03-11,83.53,83.78,81.9,82.47,4363600,-1.06,-1.27,82.92
CTSH,2025-03-10,83.41,87.03,83.03,84.0,9940000,0.59,0.70735,84.3675
CTSH,2025-03-07,82.66,83.58,81.6,83.23,5748000,0.57,0.68957,82.7675
CTSH,2025-03-06,84.04,84.14,82.71,83.56,3732900,-0.48,-0.57116,83.6125
CTSH,2025-03-05,83.5,84.61,83.15,84.29,3245211,0.785,0.94611,83.8875
CTSH,2025-03-04,83.48,84.5,82.63,83.74,5145500,0.26,0.31145,83.5875
CTSH,2025-03-03,83.84,84.34,82.95,83.51,3099502,-0.33,-0.39361,83.66
CTSH,2025-02-28,84.24,84.45,82.34,83.33,5554414,-0.91,-1.08,83.59
CTSH,2025-02-27,84.2,84.9,83.92,83.99,4637229,-0.21,-0.24941,84.2525
CTSH,2025-02-26,84.6,85.17,83.93,84.15,2622312,-0.45,-0.53191,84.4625
CTSH,2025-02-25,84.34,85.1,83.88,84.84,3506863,0.505,0.59284,84.54
CTSH,2025-02-24,85.45,85.45,84.41,84.55,8623641,-0.9,-1.05,84.965
CTSH,2025-02-21,87.54,87.54,84.74,84.87,6337016,-2.67,-3.05,86.1725
CTSH,2025-02-20,88.13,88.13,86.94,87.54,2911200,-0.585,-0.66947,87.685
CTSH,2025-02-19,88.25,88.52,87.54,88.43,2759400,0.18,0.20397,88.185
CTSH,2025-02-18,89.85,90.0,88.04,88.77,7779100,-1.08,-1.2,89.165
CTSH,2025-02-14,89.84,90.82,89.34,90.7,4370000,0.86,0.95726,90.175
CTSH,2025-02-13,88.3,89.63,87.77,89.58,2543236,1.28,1.45,88.82
