symbol,date,open,high,low,close,volume,change,changePercent,vwap
DASH,2025-04-04,165.65,170.225,162.57,165.3,5035756,-0.35,-0.21128886,166.03
DASH,2025-04-03,179.5,182.12,173.35,173.99,7164373,-5.51,-3.07,177.24
DASH,2025-04-02,180.11,192.69,179.49,189.25,5384800,9.14,5.07,185.385
DASH,2025-04-01,182.05,183.02,178.26,182.42,3741082,0.37,0.20324,181.4375
DASH,2025-03-31,178.01,183.26,173.87,182.77,6074812,4.76,2.67,179.4775
DASH,2025-03-28,193.8,193.8,182.07,182.61,4557200,-11.19,-5.77,188.07
DASH,2025-03-27,192.12,195.35,189.65,194.02,4410411,1.9,0.98897,192.785
DASH,2025-03-26,199.24,199.67,191.46,192.87,3855347,-6.37,-3.2,195.81
DASH,2025-03-25,199.0,201.03,196.85,199.72,4524200,0.72,0.36181,199.15
DASH,2025-03-24,192.81,199.56,188.58,198.98,7042200,6.17,3.2,194.9825
DASH,2025-03-21,190.72,194.4,187.2,190.62,73637400,-0.1,-0.05243289,190.735
DASH,2025-03-20,188.07,195.21,187.87,192.93,5600833,4.86,2.58,191.02
DASH,2025-03-19,186.0,192.67,185.2,190.66,6218538,4.66,2.51,188.6325
DASH,2025-03-18,188.03,188.56,180.57,185.21,5747731,-2.82,-1.5,185.5925
DASH,2025-03-17,183.0,191.72,182.98,189.86,7357600,6.86,3.75,186.89
DASH,2025-03-14,180.55,186.21,180.55,183.5,6090118,2.95,1.63,182.7025
DASH,2025-03-13,188.43,189.27,178.07,178.29,7341300,-10.14,-5.38,183.515
DASH,2025-03-12,187.77,189.97,180.28,187.7,9817035,-0.065,-0.03727965,186.43
DASH,2025-03-11,176.31,185.81,175.95,183.73,9128312,7.42,4.21,180.45
DASH,2025-03-10,182.49,182.91,169.87,177.86,15743500,-4.63,-2.54,178.2825
DASH,2025-03-07,179.17,182.96,169.43,178.08,7987440,-1.09,-0.60836,177.41
DASH,2025-03-06,190.62,192.52,178.65,180.11,5086724,-10.51,-5.51,185.475
DASH,2025-03-05,193.52,195.94,191.02,195.08,2789603,1.56,0.80612,193.89
DASH,2025-03-04,196.62,197.47,187.02,193.41,5159300,-3.21,-1.63,193.63
DASH,2025-03-03,199.89,205.0,196.25,198.1,4440819,-1.79,-0.89549,199.81
DASH,2025-02-28,196.0,199.63,193.17,198.44,7875475,2.44,1.24,196.81
DASH,2025-02-27,200.23,203.04,195.04,195.84,3622814,-4.39,-2.19,198.5375
DASH,2025-02-26,194.15,202.67,192.0,198.6,4484703,4.45,2.29,196.855
DASH,2025-02-25,194.94,196.24,186.88,191.27,4077406,-3.67,-1.88,192.3325
DASH,2025-02-24,200.74,201.18,193.39,195.87,3367437,-4.87,-2.43,197.795
DASH,2025-02-21,202.5,206.53,198.7,199.94,4096800,-2.56,-1.26,201.9175
DASH,2025-02-20,210.53,211.3,199.49,202.25,7023417,-8.28,-3.93,205.8925
DASH,2025-02-19,212.09,214.11,207.81,213.24,3243037,1.15,0.54222,211.8125
DASH,2025-02-18,213.09,215.25,209.57,211.97,3969000,-1.12,-0.5256,212.47
DASH,2025-02-14,205.74,214.64,204.87,213.38,6885016,7.64,3.71,209.6575
DASH,2025-02-13,200.89,206.0,195.62,205.64,5576610,4.75,2.36,202.0375
DASH,2025-02-12,198.0,201.17,195.2,200.89,9989400,2.89,1.46,198.815
DASH,2025-02-11,190.92,194.0,189.5,193.09,6771900,2.17,1.14,191.8775
DASH,2025-02-10,198.69,198.69,192.39,192.63,4925241,-6.06,-3.05,195.6
DASH,2025-02-07,197.14,199.17,195.2,195.54,2999415,-1.6,-0.81161,196.7625
DASH,2025-02-06,195.83,196.98,194.4,196.45,1802800,0.62,0.3166,195.915
DASH,2025-02-05,193.1,196.03,190.84,195.99,1992050,2.89,1.5,193.99
DASH,2025-02-04,190.84,194.7,190.58,194.57,2563042,3.73,1.95,192.6725
DASH,2025-02-03,186.64,192.78,185.0,190.8,4234329,4.16,2.23,188.805
DASH,2025-01-31,188.57,189.99,187.3,188.83,2136037,0.26,0.13788,188.6725
DASH,2025-01-30,187.43,189.23,186.26,188.57,2090800,1.14,0.60823,187.8725
