symbol,date,open,high,low,close,volume,change,changePercent,vwap
DDOG,2025-04-04,90.91,92.0,86.57,88.19,6111776,-2.72,-2.99197,88.92
DDOG,2025-04-03,96.44,97.95,93.15,94.47,5707969,-1.97,-2.04,95.5025
DDOG,2025-04-02,98.15,102.84,98.0,101.71,3801900,3.56,3.63,100.175
DDOG,2025-04-01,100.19,101.43,98.51,101.06,4186400,0.87,0.86835,100.2975
DDOG,2025-03-31,99.26,99.7,96.63,99.21,4031400,-0.05,-0.05037276,98.7
DDOG,2025-03-28,103.59,103.84,100.15,101.1,3795316,-2.49,-2.4,102.17
DDOG,2025-03-27,107.55,107.55,104.74,104.85,2699214,-2.7,-2.51,106.1725
DDOG,2025-03-26,110.4,110.63,107.05,107.97,2260300,-2.43,-2.2,109.0125
DDOG,2025-03-25,110.25,112.35,110.03,110.58,3666300,0.33,0.29932,110.8025
DDOG,2025-03-24,107.2,110.79,106.91,110.17,4385100,2.97,2.77,108.7675
DDOG,2025-03-21,101.25,105.56,100.63,105.03,4944700,3.78,3.73,103.1175
DDOG,2025-03-20,103.98,105.0,103.08,103.17,4912416,-0.81,-0.779,103.8075
DDOG,2025-03-19,103.11,104.98,102.28,104.43,3147833,1.32,1.28,103.7
DDOG,2025-03-18,103.24,103.4,100.71,102.93,2995201,-0.31,-0.30027,102.57
DDOG,2025-03-17,101.59,105.11,101.46,103.97,4033800,2.38,2.34,103.0325
DDOG,2025-03-14,99.58,101.98,98.81,101.8,4010734,2.22,2.23,100.5425
DDOG,2025-03-13,100.71,102.14,98.3,98.68,5113308,-2.03,-2.02,99.9575
DDOG,2025-03-12,104.42,104.71,101.05,102.03,6870300,-2.39,-2.29,103.0525
DDOG,2025-03-11,101.53,103.54,101.01,101.96,7558035,0.43,0.42352,102.01
DDOG,2025-03-10,107.38,107.59,100.85,101.65,9445400,-5.73,-5.34,104.3675
DDOG,2025-03-07,110.88,113.46,106.66,109.63,6028400,-1.25,-1.13,110.1575
DDOG,2025-03-06,111.0,115.23,110.91,111.46,5304800,0.46,0.41441,112.15
DDOG,2025-03-05,115.49,115.5,112.83,115.09,3411105,-0.4,-0.34635,114.7275
DDOG,2025-03-04,111.73,116.58,110.37,115.46,5788100,3.73,3.34,113.535
DDOG,2025-03-03,116.97,117.31,112.59,113.17,4207800,-3.8,-3.25,115.01
DDOG,2025-02-28,112.62,116.64,111.68,116.55,5046336,3.93,3.49,114.3725
DDOG,2025-02-27,116.79,118.0,113.31,113.53,5101800,-3.25,-2.79,115.4075
DDOG,2025-02-26,115.84,117.63,112.85,113.37,6581213,-2.47,-2.13,114.9225
DDOG,2025-02-25,116.53,117.29,113.46,114.98,7560919,-1.55,-1.33,115.565
DDOG,2025-02-24,119.64,119.8,114.62,117.51,7269900,-2.13,-1.78,117.8925
DDOG,2025-02-21,126.18,126.64,119.59,119.64,6983814,-6.54,-5.18,123.0125
