symbol,date,open,high,low,close,volume,change,changePercent,vwap
DXCM,2025-04-04,59.63,61.05,57.52,60.1,4894085,0.47,0.78819386,59.56
DXCM,2025-04-03,64.89,65.01,61.48,61.8,5402642,-3.09,-4.76,63.295
DXCM,2025-04-02,66.32,68.52,66.32,68.14,2561941,1.82,2.74,67.325
DXCM,2025-04-01,67.85,68.4,66.3,67.32,3216548,-0.53,-0.78113,67.4675
DXCM,2025-03-31,67.22,68.75,66.25,68.29,5617500,1.07,1.59,67.6275
DXCM,2025-03-28,69.5,69.89,67.37,67.74,4681070,-1.76,-2.53,68.625
DXCM,2025-03-27,71.98,72.47,69.41,69.47,5524036,-2.51,-3.49,70.8325
DXCM,2025-03-26,73.25,73.4,71.47,72.13,3271802,-1.12,-1.53,72.5625
DXCM,2025-03-25,75.24,76.01,72.52,73.55,3240581,-1.69,-2.25,74.33
DXCM,2025-03-24,75.05,75.81,74.6,75.32,2692800,0.275,0.35976,75.195
DXCM,2025-03-21,74.17,74.49,72.73,73.8,5560929,-0.37,-0.49885,73.7975
DXCM,2025-03-20,72.9,76.27,72.52,75.11,3588379,2.21,3.03,74.2
DXCM,2025-03-19,70.71,74.42,70.71,73.38,4303239,2.67,3.78,72.305
DXCM,2025-03-18,71.25,71.35,69.92,70.7,2604057,-0.55,-0.77193,70.805
DXCM,2025-03-17,70.33,72.2,70.3,71.35,3627105,1.02,1.45,71.045
DXCM,2025-03-14,68.59,70.77,68.59,70.69,4902283,2.1,3.06,69.66
DXCM,2025-03-13,70.7,70.72,68.3,68.48,3360500,-2.22,-3.14,69.55
DXCM,2025-03-12,71.18,72.3,69.86,70.76,5172972,-0.42,-0.59005,71.025
DXCM,2025-03-11,71.15,71.45,69.02,70.26,6059270,-0.89,-1.25,70.47
DXCM,2025-03-10,74.74,74.92,70.47,70.72,8340247,-4.02,-5.38,72.7125
DXCM,2025-03-07,79.51,80.32,76.82,77.84,3882539,-1.67,-2.1,78.6225
DXCM,2025-03-06,80.44,81.75,79.09,79.51,5366674,-0.93,-1.16,80.1975
DXCM,2025-03-05,82.61,83.54,81.5,81.96,3343383,-0.65,-0.78683,82.4025
DXCM,2025-03-04,85.76,86.14,81.77,82.42,5574629,-3.34,-3.89,84.0225
DXCM,2025-03-03,88.67,88.74,85.64,85.99,3910629,-2.68,-3.02,87.26
