symbol,date,open,high,low,close,volume,change,changePercent,vwap
EA,2025-04-04,143.1,144.635,135.03,135.82,3476909,-7.28,-5.08735,138.49
EA,2025-04-03,143.73,147.1,143.34,144.85,4330561,1.12,0.77924,144.755
EA,2025-04-02,145.0,145.6,143.3,144.87,2022235,-0.13,-0.08965517,144.6925
EA,2025-04-01,145.0,145.83,144.26,145.67,2278764,0.67,0.46207,145.19
EA,2025-03-31,144.12,144.68,143.03,144.52,4213627,0.4,0.27755,144.0875
EA,2025-03-28,145.11,145.74,144.1,144.25,2423600,-0.86,-0.59265,144.8
EA,2025-03-27,145.0,146.41,144.4,145.3,2333030,0.3,0.2069,145.2775
EA,2025-03-26,144.88,146.36,144.57,145.19,2219176,0.31,0.21397,145.25
EA,2025-03-25,145.28,146.45,143.77,144.5,2382114,-0.78,-0.53689,145.0
EA,2025-03-24,145.78,145.87,143.57,144.55,2848103,-1.23,-0.84374,144.9425
EA,2025-03-21,142.27,145.22,142.0,144.3,9254820,2.03,1.43,143.4475
EA,2025-03-20,141.41,143.7,141.19,143.25,2883700,1.84,1.3,142.3875
EA,2025-03-19,142.02,142.73,141.58,141.97,2527727,-0.05,-0.03520631,142.075
EA,2025-03-18,142.12,143.43,141.54,141.87,2728454,-0.25,-0.17591,142.24
EA,2025-03-17,138.98,143.37,138.6,142.9,4510615,3.92,2.82,140.9625
EA,2025-03-14,138.15,139.23,137.87,138.71,3065526,0.56,0.40536,138.49
EA,2025-03-13,135.79,138.26,135.23,137.72,3165100,1.93,1.42,136.75
EA,2025-03-12,137.0,138.15,135.73,136.12,3177628,-0.88,-0.64234,136.75
EA,2025-03-11,140.9,140.9,136.9,137.88,3837200,-3.02,-2.14,139.145
EA,2025-03-10,139.75,142.97,139.22,140.43,5440900,0.68,0.48658,140.5925
EA,2025-03-07,136.19,140.42,136.0,140.04,3356884,3.85,2.83,138.1625
EA,2025-03-06,133.65,137.53,133.37,136.79,3677066,3.14,2.35,135.335
EA,2025-03-05,131.6,134.51,131.31,134.05,5218053,2.46,1.86,132.8675
EA,2025-03-04,129.52,133.35,129.24,131.82,4291118,2.3,1.78,130.9825
EA,2025-03-03,130.38,131.6,128.87,129.23,5209536,-1.15,-0.88204,130.02
EA,2025-02-28,131.69,131.71,128.02,129.12,6204168,-2.57,-1.95,130.135
EA,2025-02-27,130.89,132.04,130.08,130.46,4844224,-0.43,-0.32852,130.8675
EA,2025-02-26,131.45,133.45,131.08,131.19,3117057,-0.26,-0.19779,131.7925
EA,2025-02-25,133.42,134.12,131.35,131.73,5261328,-1.69,-1.27,132.655
EA,2025-02-24,131.13,134.65,130.77,134.05,8240015,2.92,2.23,132.65
EA,2025-02-21,130.11,131.82,129.79,130.95,4866600,0.84,0.64561,130.6675
EA,2025-02-20,129.58,131.13,129.29,129.99,3815984,0.41,0.31641,129.9975
EA,2025-02-19,129.07,130.64,128.41,129.34,3559427,0.27,0.20919,129.365
EA,2025-02-18,128.78,130.04,128.08,128.35,3763858,-0.43,-0.3339,128.8125
EA,2025-02-14,129.74,130.76,129.04,129.4,2319700,-0.34,-0.26206,129.735
EA,2025-02-13,130.44,131.56,128.43,129.82,3087700,-0.62,-0.47531,130.0625
EA,2025-02-12,131.81,133.71,130.9,131.17,3070963,-0.64,-0.48555,131.8975
EA,2025-02-11,130.77,134.54,130.77,133.35,3200679,2.58,1.97,132.3575
EA,2025-02-10,129.74,132.47,129.64,132.09,4013851,2.35,1.81,130.985
EA,2025-02-07,131.74,131.74,127.24,128.6,4906387,-3.14,-2.38,129.83
EA,2025-02-06,130.54,132.27,128.74,132.0,5504700,1.46,1.12,130.8875
EA,2025-02-05,127.04,130.64,125.95,130.47,8251091,3.43,2.7,128.525
EA,2025-02-04,123.07,123.24,120.22,121.25,7156613,-1.82,-1.48,121.945
EA,2025-02-03,121.76,123.48,120.58,122.91,4725427,1.15,0.94448,122.1825
EA,2025-01-31,121.78,124.76,120.87,122.91,6590100,1.13,0.9279,122.58
EA,2025-01-30,117.75,118.83,116.29,118.68,4402731,0.935,0.78981,117.8875
EA,2025-01-29,115.98,118.0,115.3,117.1,4316933,1.12,0.96568,116.595
EA,2025-01-28,117.5,117.59,115.36,116.53,4100200,-0.97,-0.82553,116.745
EA,2025-01-27,115.6,118.8,115.43,117.91,5964900,2.31,2.0,116.935
EA,2025-01-24,118.58,118.58,115.21,116.56,9249700,-2.02,-1.7,117.2325
EA,2025-01-23,117.5,122.8,115.45,118.58,17146934,1.08,0.91915,118.5825
EA,2025-01-22,143.17,144.05,142.21,142.35,3108400,-0.82,-0.57275,142.945
EA,2025-01-21,142.38,143.49,141.03,143.28,3160753,0.9,0.63211,142.545
EA,2025-01-17,143.47,143.73,141.76,142.0,4006100,-1.47,-1.02,142.74
EA,2025-01-16,142.0,142.59,140.5,141.4,2137234,-0.6,-0.42254,141.6225
EA,2025-01-15,143.45,143.95,141.08,142.13,2619783,-1.32,-0.92018,142.6525
EA,2025-01-14,142.0,142.74,140.62,141.75,2432200,-0.25,-0.17606,141.7775
EA,2025-01-13,140.15,142.57,140.1,141.96,2076600,1.81,1.29,141.195
EA,2025-01-10,142.76,142.82,140.46,140.85,2296074,-1.91,-1.34,141.7225
EA,2025-01-08,144.61,144.87,142.46,144.2,2324093,-0.41,-0.28352,144.035
EA,2025-01-07,144.66,147.3,144.44,144.67,1907121,0.01,0.00691276,145.2675
EA,2025-01-06,145.56,146.25,144.6,145.25,1679411,-0.31,-0.21297,145.415
EA,2025-01-03,146.67,147.76,145.58,146.29,1110838,-0.38,-0.25909,146.575
EA,2025-01-02,147.57,147.75,145.31,145.9,1076011,-1.67,-1.13,146.6325
EA,2024-12-31,146.27,147.1,145.73,146.3,918421,0.03,0.02051002,146.35
EA,2024-12-30,147.15,147.49,145.06,146.54,1153048,-0.61,-0.41454,146.56
EA,2024-12-27,148.46,148.85,147.03,148.12,1023500,-0.34,-0.22902,148.115
EA,2024-12-26,148.34,149.49,147.95,149.07,883400,0.73,0.49211,148.7125
EA,2024-12-24,147.41,149.65,147.01,149.18,778600,1.77,1.2,148.3125
EA,2024-12-23,147.62,147.62,146.5,147.3,1708657,-0.32,-0.21677,147.26
EA,2024-12-20,147.08,149.66,146.7,147.8,4055538,0.72,0.48953,147.81
EA,2024-12-19,150.12,151.4,147.8,147.89,2461857,-2.23,-1.49,149.3025
EA,2024-12-18,153.01,153.9,149.38,149.92,3617152,-3.09,-2.02,151.5525
EA,2024-12-17,155.78,156.98,154.47,154.79,3093504,-0.99,-0.63551,155.505
EA,2024-12-16,158.02,158.02,155.15,156.4,3812308,-1.62,-1.03,156.8975
EA,2024-12-13,161.72,162.18,156.68,157.62,2820875,-4.1,-2.54,159.55
EA,2024-12-12,163.86,164.61,162.5,162.59,2600434,-1.27,-0.77505,163.39
EA,2024-12-11,165.3,166.16,162.27,163.92,2709745,-1.38,-0.83485,164.4125
EA,2024-12-10,164.48,166.73,164.1,165.3,1699375,0.82,0.49854,165.1525
EA,2024-12-09,166.95,167.71,165.39,165.61,1098816,-1.34,-0.80264,166.415
EA,2024-12-06,165.82,167.35,165.38,167.01,1651800,1.19,0.71765,166.39
EA,2024-12-05,165.19,167.09,165.0,165.62,1811069,0.43,0.26031,165.725
EA,2024-12-04,168.09,168.09,166.93,167.42,1581456,-0.67,-0.3986,167.6325
EA,2024-12-03,165.26,167.87,164.88,167.7,1821453,2.44,1.48,166.4275
EA,2024-12-02,164.45,166.2,163.39,165.96,1833636,1.51,0.91821,165.0
EA,2024-11-29,162.8,164.22,162.37,163.67,1624200,0.87,0.5344,163.265
EA,2024-11-27,163.92,164.51,162.82,163.1,1260240,-0.82,-0.50024,163.5875
EA,2024-11-26,164.81,166.31,163.72,165.02,1859600,0.21,0.12742,164.965
EA,2024-11-25,167.08,167.95,163.55,164.14,2813161,-2.94,-1.76,165.68
EA,2024-11-22,168.46,168.5,164.47,166.67,1638060,-1.79,-1.06,167.025
EA,2024-11-21,167.24,168.07,165.5,167.97,1186420,0.73,0.4365,167.195
EA,2024-11-20,166.17,167.51,165.19,166.71,2056353,0.54,0.32497,166.395
EA,2024-11-19,162.37,166.4,162.06,166.13,2170300,3.76,2.32,164.24
EA,2024-11-18,160.0,164.45,159.38,164.01,1926010,4.01,2.51,161.96
EA,2024-11-15,163.3,163.69,161.26,161.36,2036600,-1.94,-1.19,162.4025
