symbol,date,open,high,low,close,volume,change,changePercent,vwap
EXC,2025-04-04,48.0,48.075,45.09,45.555,9884419,-2.45,-5.09375,46.24
EXC,2025-04-03,46.84,47.6,46.55,47.23,12657498,0.39,0.83262,47.055
EXC,2025-04-02,45.84,46.47,45.84,45.97,6833300,0.13,0.2836,46.03
EXC,2025-04-01,45.76,46.28,45.62,45.92,10432000,0.16,0.34965,45.895
EXC,2025-03-31,45.33,46.22,45.33,46.08,14993400,0.755,1.65,45.74
EXC,2025-03-28,44.52,44.97,44.28,44.71,8286416,0.19,0.42677,44.62
EXC,2025-03-27,43.93,44.65,43.91,44.25,7009472,0.32,0.72843,44.185
EXC,2025-03-26,42.86,44.24,42.78,44.02,8550239,1.16,2.71,43.475
EXC,2025-03-25,43.41,43.47,42.61,42.76,6354129,-0.65,-1.5,43.0625
EXC,2025-03-24,43.98,44.39,43.55,43.58,6491400,-0.4,-0.9095,43.875
EXC,2025-03-21,44.54,44.77,43.57,43.8,15732200,-0.74,-1.66,44.17
EXC,2025-03-20,44.42,44.7,44.22,44.59,6306868,0.175,0.38271,44.4825
EXC,2025-03-19,44.42,44.52,44.07,44.44,6408816,0.02,0.04502476,44.3625
EXC,2025-03-18,44.4,44.46,43.8,44.42,5343201,0.02,0.04504505,44.27
EXC,2025-03-17,44.2,44.66,43.99,44.39,8074541,0.19,0.42986,44.31
EXC,2025-03-14,43.46,44.24,43.16,44.19,8133656,0.735,1.68,43.7625
EXC,2025-03-13,42.84,43.51,42.75,43.47,5983600,0.63,1.47,43.1425
EXC,2025-03-12,42.95,43.16,42.55,42.61,9286700,-0.34,-0.79162,42.8175
EXC,2025-03-11,43.82,43.98,43.26,43.4,6800034,-0.42,-0.95847,43.615
EXC,2025-03-10,43.31,44.3,43.25,43.76,8806200,0.45,1.04,43.655
EXC,2025-03-07,42.76,43.41,42.7,43.11,6670200,0.35,0.81852,42.995
EXC,2025-03-06,43.37,43.38,42.62,42.88,6291516,-0.49,-1.13,43.0625
EXC,2025-03-05,43.41,43.82,43.22,43.36,6838866,-0.05,-0.11518,43.4525
EXC,2025-03-04,44.85,45.2,43.64,43.68,9783900,-1.17,-2.61,44.3425
EXC,2025-03-03,44.05,44.62,44.0,44.55,7793146,0.5,1.14,44.305
EXC,2025-02-28,44.23,44.46,43.72,44.2,12319568,-0.03,-0.06782727,44.1525
EXC,2025-02-27,43.89,44.32,43.65,43.79,6560800,-0.1,-0.22784,43.9125
EXC,2025-02-26,43.97,44.26,43.64,44.06,11508600,0.095,0.20469,43.9825
EXC,2025-02-25,43.56,44.24,43.36,44.04,8813520,0.48,1.1,43.8
EXC,2025-02-24,43.31,44.01,43.08,43.35,8053403,0.04,0.09235742,43.4375
EXC,2025-02-21,43.2,43.69,43.06,43.39,13604687,0.195,0.43981,43.335
EXC,2025-02-20,42.49,43.23,42.46,43.17,6945051,0.68,1.6,42.8375
EXC,2025-02-19,42.64,42.78,42.21,42.65,7994011,0.01,0.02345216,42.57
EXC,2025-02-18,42.87,42.87,42.38,42.7,11062922,-0.17,-0.39655,42.705
EXC,2025-02-14,42.95,43.15,42.74,42.85,8593044,-0.1,-0.23283,42.9225
EXC,2025-02-13,42.87,43.45,42.54,42.97,7562517,0.1,0.23326,42.9575
EXC,2025-02-12,40.88,43.09,40.81,42.89,10308125,2.02,4.92,41.9175
EXC,2025-02-11,41.65,42.46,41.47,42.36,8935800,0.71,1.7,41.985
EXC,2025-02-10,41.44,41.88,41.13,41.8,7279338,0.36,0.86873,41.5625
EXC,2025-02-07,41.02,41.47,40.98,41.31,5794144,0.29,0.70697,41.195
EXC,2025-02-06,41.17,41.24,40.75,41.12,5674444,-0.05,-0.12145,41.07
EXC,2025-02-05,40.67,41.26,40.65,41.04,5585314,0.37,0.90976,40.905
EXC,2025-02-04,40.3,40.68,39.85,40.54,5255514,0.24,0.59553,40.3425
EXC,2025-02-03,39.86,40.76,39.67,40.57,7638500,0.71,1.78,40.215
EXC,2025-01-31,40.0,40.23,39.89,40.0,7144100,0.0,0.0,40.03
EXC,2025-01-30,39.9,40.25,39.83,40.02,5755800,0.12,0.30075,40.0
EXC,2025-01-29,39.78,40.15,39.47,39.57,5796648,-0.21,-0.5279,39.7425
EXC,2025-01-28,40.77,40.77,39.71,39.81,9471928,-0.96,-2.35,40.265
EXC,2025-01-27,39.8,40.85,39.65,40.7,12159408,0.9,2.26,40.25
EXC,2025-01-24,39.2,39.49,38.85,39.38,5362923,0.18,0.45918,39.23
EXC,2025-01-23,39.39,39.57,39.06,39.24,5944700,-0.15,-0.38081,39.315
EXC,2025-01-22,40.22,40.35,39.16,39.22,7661265,-1.0,-2.49,39.7375
EXC,2025-01-21,39.95,40.67,39.82,40.44,5610434,0.49,1.23,40.22
EXC,2025-01-17,39.6,39.66,39.19,39.42,6140601,-0.185,-0.45455,39.4675
EXC,2025-01-16,37.96,39.37,37.9,39.34,5591867,1.38,3.64,38.6425
EXC,2025-01-15,38.3,38.58,37.9,38.02,5659482,-0.28,-0.73107,38.2
EXC,2025-01-14,37.63,38.08,37.32,37.92,6747029,0.29,0.77066,37.7375
EXC,2025-01-13,37.56,37.74,37.13,37.56,5923000,0.0,0.0,37.4975
EXC,2025-01-10,38.05,38.48,37.29,37.3,7691800,-0.75,-1.97,37.78
EXC,2025-01-08,37.48,38.23,37.2,38.19,5670203,0.71,1.89,37.775
EXC,2025-01-07,37.91,38.4,37.44,37.53,5120046,-0.38,-1.0,37.82
EXC,2025-01-06,37.76,38.09,37.52,37.8,6817250,0.04,0.10593,37.7925
EXC,2025-01-03,37.96,38.2,37.63,38.05,4268182,0.09,0.23709,37.96
EXC,2025-01-02,37.91,38.13,37.51,37.66,4579126,-0.25,-0.65946,37.8025
EXC,2024-12-31,37.73,37.79,37.39,37.64,5347900,-0.09,-0.23854,37.6375
EXC,2024-12-30,37.45,37.72,37.06,37.63,4145110,0.18,0.48064,37.465
EXC,2024-12-27,37.21,37.63,37.12,37.43,3669400,0.22,0.59124,37.3475
EXC,2024-12-26,37.36,37.53,37.28,37.45,4142917,0.09,0.2409,37.405
EXC,2024-12-24,37.33,37.55,37.19,37.52,1853407,0.19,0.50897,37.3975
EXC,2024-12-23,36.99,37.39,36.8,37.33,6073317,0.34,0.91917,37.1275
EXC,2024-12-20,37.09,37.26,36.55,37.02,20813959,-0.07,-0.18873,36.98
EXC,2024-12-19,36.62,37.73,36.49,37.19,14686156,0.57,1.56,37.0075
EXC,2024-12-18,36.5,36.78,36.41,36.56,9095749,0.06,0.16438,36.5625
EXC,2024-12-17,36.09,36.63,35.94,36.52,7372917,0.43,1.19,36.295
EXC,2024-12-16,36.89,36.96,36.2,36.22,5540700,-0.67,-1.82,36.5675
EXC,2024-12-13,36.67,37.05,36.58,36.87,7873455,0.2,0.5454,36.7925
EXC,2024-12-12,37.0,37.11,36.67,36.83,7086632,-0.17,-0.45946,36.9025
EXC,2024-12-11,37.32,37.39,36.6,36.76,6684933,-0.56,-1.5,37.0175
EXC,2024-12-10,37.53,37.53,36.91,37.32,5332601,-0.21,-0.55955,37.3225
EXC,2024-12-09,37.79,37.97,37.41,37.44,6064817,-0.35,-0.92617,37.6525
EXC,2024-12-06,37.9,38.04,37.73,37.85,6946421,-0.05,-0.13193,37.88
EXC,2024-12-05,37.94,38.24,37.81,37.98,4712514,0.04,0.10543,37.9925
EXC,2024-12-04,38.07,38.2,37.53,37.85,4176595,-0.22,-0.57788,37.9125
EXC,2024-12-03,38.39,38.73,38.12,38.14,6606460,-0.25,-0.65121,38.345
EXC,2024-12-02,39.48,39.54,38.29,38.37,5682500,-1.11,-2.81,38.92
EXC,2024-11-29,39.5,39.69,39.34,39.56,2407408,0.06,0.1519,39.5225
EXC,2024-11-27,39.41,39.89,39.37,39.51,4227000,0.1,0.25374,39.545
EXC,2024-11-26,39.18,39.58,39.16,39.49,5591719,0.31,0.79122,39.3525
EXC,2024-11-25,38.95,39.27,38.69,39.13,7013676,0.18,0.46213,39.01
EXC,2024-11-22,39.36,39.56,38.68,38.71,4039000,-0.65,-1.65,39.0775
EXC,2024-11-21,38.72,39.36,38.5,39.31,7606376,0.59,1.52,38.9725
EXC,2024-11-20,39.2,39.24,38.26,38.73,5551069,-0.47,-1.2,38.8575
EXC,2024-11-19,39.07,39.22,38.71,39.1,6070149,0.03,0.07678526,39.025
EXC,2024-11-18,39.05,39.39,38.74,39.23,7261100,0.18,0.46095,39.1025
EXC,2024-11-15,38.11,39.19,38.11,39.11,9038601,1.0,2.62,38.63
EXC,2024-11-14,38.23,38.39,38.08,38.12,4663566,-0.11,-0.28773,38.205
EXC,2024-11-13,38.24,38.4,37.81,38.14,6174734,-0.1,-0.26151,38.1475
EXC,2024-11-12,38.27,38.54,38.05,38.16,3815016,-0.11,-0.28743,38.255
EXC,2024-11-11,38.09,38.51,38.01,38.4,6534326,0.31,0.81386,38.2525
EXC,2024-11-08,37.92,38.32,37.83,38.11,4985447,0.19,0.50105,38.045
EXC,2024-11-07,38.33,38.49,38.02,38.09,5879300,-0.24,-0.62614,38.2325
EXC,2024-11-06,38.25,38.6,37.85,38.32,11397875,0.07,0.18301,38.255
EXC,2024-11-05,37.97,38.49,37.76,38.47,4591500,0.5,1.32,38.1725
EXC,2024-11-04,38.07,38.4,37.76,37.97,7614716,-0.1,-0.26267,38.05
EXC,2024-11-01,39.24,39.59,38.11,38.15,7671542,-1.09,-2.78,38.7725
EXC,2024-10-31,39.67,39.83,39.27,39.3,9240889,-0.37,-0.93269,39.5175
EXC,2024-10-30,39.53,40.06,39.21,39.7,9458400,0.17,0.43005,39.625
EXC,2024-10-29,39.89,40.0,39.45,39.55,7521491,-0.34,-0.85234,39.7225
EXC,2024-10-28,40.17,40.51,40.17,40.23,4288885,0.06,0.14937,40.27
EXC,2024-10-25,40.97,41.01,39.98,40.07,5418542,-0.9,-2.2,40.5075
EXC,2024-10-24,40.8,41.0,40.53,40.71,5218253,-0.09,-0.22059,40.76
EXC,2024-10-23,40.39,40.78,40.39,40.74,6340126,0.35,0.86655,40.575
EXC,2024-10-22,40.38,40.65,40.27,40.53,5737985,0.15,0.37147,40.4575
EXC,2024-10-21,40.9,41.02,40.49,40.5,4938868,-0.4,-0.978,40.7275
EXC,2024-10-18,40.74,41.14,40.45,40.95,6103568,0.21,0.51546,40.82
EXC,2024-10-17,41.03,41.19,40.67,40.77,6409627,-0.26,-0.63368,40.915
EXC,2024-10-16,40.61,41.02,40.51,40.97,7927842,0.36,0.88648,40.7775
EXC,2024-10-15,40.17,40.81,40.08,40.56,6077460,0.39,0.97087,40.405
EXC,2024-10-14,39.74,40.1,39.71,39.93,5496800,0.19,0.47811,39.87
EXC,2024-10-11,39.24,39.93,39.24,39.74,5000200,0.5,1.27,39.5375
EXC,2024-10-10,39.61,39.87,39.24,39.27,4011700,-0.34,-0.85837,39.4975
EXC,2024-10-09,39.5,39.78,39.36,39.6,3616332,0.1,0.25316,39.56
EXC,2024-10-08,39.68,39.99,39.53,39.61,4679300,-0.07,-0.17641,39.7025
EXC,2024-10-07,39.99,40.0,39.5,39.54,4301500,-0.45,-1.13,39.7575
EXC,2024-10-04,40.4,40.59,40.06,40.21,7512383,-0.19,-0.4703,40.315
EXC,2024-10-03,41.0,41.03,40.62,40.78,4137800,-0.22,-0.53659,40.8575
EXC,2024-10-02,40.59,41.12,40.58,40.95,4703057,0.36,0.88692,40.81
EXC,2024-10-01,40.55,41.05,40.44,40.77,7394600,0.22,0.54254,40.7025
EXC,2024-09-30,40.38,40.68,40.08,40.55,8333494,0.17,0.421,40.4225
EXC,2024-09-27,40.14,40.56,40.06,40.38,5899209,0.24,0.59791,40.285
EXC,2024-09-26,39.82,40.29,39.81,39.93,3108109,0.11,0.27624,39.9625
EXC,2024-09-25,40.22,40.23,39.62,39.99,6309464,-0.23,-0.57185,40.015
EXC,2024-09-24,40.25,40.49,39.75,39.99,9059380,-0.26,-0.64596,40.12
EXC,2024-09-23,40.45,40.45,40.08,40.4,5674328,-0.05,-0.12361,40.345
EXC,2024-09-20,39.65,40.76,39.52,40.27,18779568,0.62,1.56,40.05
EXC,2024-09-19,39.34,39.45,38.88,39.29,6675475,-0.05,-0.1271,39.24
EXC,2024-09-18,40.18,40.23,39.29,39.5,6921888,-0.68,-1.69,39.8
EXC,2024-09-17,40.36,40.52,40.11,40.2,6829529,-0.16,-0.39643,40.2975
EXC,2024-09-16,40.41,40.63,40.2,40.43,7764100,0.02,0.0494927,40.4175
EXC,2024-09-13,39.93,40.27,39.69,40.23,6605797,0.3,0.75131,40.03
EXC,2024-09-12,39.39,39.93,39.12,39.86,19881403,0.47,1.19,39.575
EXC,2024-09-11,38.89,39.38,38.63,39.3,11191000,0.41,1.05,39.05
EXC,2024-09-10,38.85,39.21,38.72,39.05,7849100,0.2,0.5148,38.9575
EXC,2024-09-09,38.38,38.87,38.2,38.73,6209500,0.35,0.91193,38.545
EXC,2024-09-06,38.45,38.66,38.17,38.2,4624717,-0.25,-0.6502,38.37
EXC,2024-09-05,39.11,39.25,38.28,38.42,7460601,-0.69,-1.76,38.765
EXC,2024-09-04,38.67,39.26,38.65,38.89,6121119,0.22,0.56892,38.8675
