symbol,date,open,high,low,close,volume,change,changePercent,vwap
FANG,2025-04-04,134.04,135.68,123.22,123.975,4419488,-10.06,-7.50895,127.63
FANG,2025-04-03,151.06,153.02,141.1,141.28,5408313,-9.78,-6.47,146.615
FANG,2025-04-02,159.04,161.78,158.26,161.49,1394949,2.45,1.54,160.1425
FANG,2025-04-01,160.24,161.14,157.85,160.87,1456131,0.63,0.39316,160.025
FANG,2025-03-31,157.63,161.6,156.8,159.88,2068991,2.25,1.43,158.9775
FANG,2025-03-28,159.93,160.96,155.85,157.54,1635775,-2.39,-1.49,158.57
FANG,2025-03-27,162.64,163.21,159.64,160.23,1468100,-2.41,-1.48,161.43
FANG,2025-03-26,162.84,165.13,162.34,163.09,2374000,0.255,0.15352,163.35
FANG,2025-03-25,162.0,163.26,160.57,161.6,2324125,-0.4,-0.24691,161.8575
FANG,2025-03-24,158.85,161.44,158.55,161.01,2042539,2.16,1.36,159.9625
FANG,2025-03-21,156.8,158.73,156.16,158.5,7798483,1.7,1.08,157.5475
FANG,2025-03-20,156.83,159.25,155.96,158.48,2048859,1.65,1.05,157.63
FANG,2025-03-19,155.33,158.57,155.2,157.6,2974529,2.27,1.46,156.675
FANG,2025-03-18,153.99,155.02,152.12,155.0,2352915,1.01,0.65589,154.0325
FANG,2025-03-17,150.8,153.98,150.25,153.03,1979878,2.23,1.48,152.015
FANG,2025-03-14,146.52,151.02,145.22,150.2,2738976,3.68,2.51,148.24
FANG,2025-03-13,145.31,146.91,142.6,145.8,2641928,0.49,0.33721,145.155
FANG,2025-03-12,144.47,148.36,143.25,146.55,2411000,2.08,1.44,145.6575
FANG,2025-03-11,141.87,146.0,141.25,144.65,2319291,2.78,1.96,143.4425
FANG,2025-03-10,139.75,141.94,137.09,140.58,3438433,0.83,0.59392,139.84
FANG,2025-03-07,140.8,144.15,139.51,140.11,2814035,-0.69,-0.49006,141.1425
FANG,2025-03-06,141.13,142.44,138.94,139.9,3351736,-1.23,-0.87154,140.6025
FANG,2025-03-05,143.42,143.76,139.57,142.7,3759226,-0.72,-0.50202,142.3625
FANG,2025-03-04,145.99,147.53,140.81,145.04,5029933,-0.95,-0.65073,144.8425
FANG,2025-03-03,159.96,160.44,147.7,148.0,3495001,-11.96,-7.48,154.025
FANG,2025-02-28,155.01,159.41,152.61,158.96,3361400,3.95,2.55,156.4975
FANG,2025-02-27,155.62,156.98,151.74,155.59,3137217,-0.03,-0.01927773,154.9825
FANG,2025-02-26,151.83,154.0,151.0,152.43,3302171,0.6,0.39518,152.315
FANG,2025-02-25,157.21,161.47,151.69,151.92,4696100,-5.29,-3.36,155.5725
FANG,2025-02-24,156.12,156.8,155.03,155.23,3883428,-0.89,-0.57007,155.795
FANG,2025-02-21,160.89,161.48,155.59,156.12,3936423,-4.77,-2.96,158.52
FANG,2025-02-20,160.3,162.84,159.46,162.09,2352500,1.79,1.12,161.1725
FANG,2025-02-19,158.83,162.39,158.52,160.26,2086300,1.43,0.90033,160.0
FANG,2025-02-18,161.19,161.59,154.38,156.76,2500232,-4.43,-2.75,158.48
FANG,2025-02-14,156.88,160.58,153.26,156.99,3074005,0.11,0.07011729,156.9275
FANG,2025-02-13,155.46,157.15,154.29,156.17,2256918,0.71,0.45671,155.7675
FANG,2025-02-12,161.19,161.31,155.14,155.46,2391444,-5.73,-3.55,158.275
FANG,2025-02-11,162.9,164.64,161.7,162.01,1722415,-0.89,-0.54635,162.8125
FANG,2025-02-10,159.69,161.75,159.32,161.66,1697545,1.97,1.23,160.605
FANG,2025-02-07,160.66,161.0,157.9,158.13,1974276,-2.53,-1.57,159.4225
FANG,2025-02-06,166.24,166.41,158.99,160.03,2122300,-6.21,-3.74,162.9175
FANG,2025-02-05,165.9,165.9,161.51,164.76,1985523,-1.14,-0.68716,164.5175
FANG,2025-02-04,163.84,167.59,160.57,166.3,1991656,2.46,1.5,164.575
FANG,2025-02-03,165.18,165.98,161.59,164.48,2217700,-0.7,-0.42378,164.3075
FANG,2025-01-31,169.53,169.87,163.94,164.36,2917910,-5.17,-3.05,166.925
FANG,2025-01-30,172.32,173.02,169.44,170.41,1284500,-1.91,-1.11,171.2975
FANG,2025-01-29,168.99,171.58,167.72,170.86,1316335,1.87,1.11,169.7875
FANG,2025-01-28,171.45,173.46,167.16,169.25,1731472,-2.2,-1.28,170.33
FANG,2025-01-27,173.66,175.69,170.21,171.6,1773148,-2.06,-1.19,172.79
FANG,2025-01-24,177.16,177.69,172.51,173.26,1940401,-3.9,-2.2,175.155
FANG,2025-01-23,179.08,180.29,175.83,176.63,1888683,-2.45,-1.37,177.9575
FANG,2025-01-22,176.23,179.65,174.97,177.59,1608631,1.36,0.77172,177.11
FANG,2025-01-21,178.44,178.73,175.77,176.95,2151539,-1.49,-0.83501,177.4725
FANG,2025-01-17,180.36,180.91,178.53,180.18,1812047,-0.18,-0.0998004,179.995
FANG,2025-01-16,178.62,180.17,177.65,179.12,1377846,0.5,0.27992,178.89
FANG,2025-01-15,178.49,180.25,177.68,179.56,1669856,1.07,0.59947,178.995
FANG,2025-01-14,177.0,178.87,175.69,177.68,1734400,0.68,0.38418,177.31
FANG,2025-01-13,176.07,180.09,175.71,177.61,3038513,1.54,0.87465,177.37
FANG,2025-01-10,174.89,177.26,171.7,174.77,2725496,-0.12,-0.06861456,174.655
FANG,2025-01-08,171.55,173.0,169.47,170.99,1666000,-0.56,-0.32644,171.2525
FANG,2025-01-07,170.24,173.28,169.25,172.42,2127628,2.18,1.28,171.2975
FANG,2025-01-06,171.78,175.08,168.82,169.64,2121400,-2.14,-1.25,171.33
FANG,2025-01-03,168.35,171.93,167.68,170.96,2016764,2.61,1.55,169.73
FANG,2025-01-02,166.15,168.22,165.2,166.78,1788920,0.63,0.37918,166.5875
FANG,2024-12-31,160.99,164.26,160.69,163.83,2491900,2.84,1.76,162.4425
FANG,2024-12-30,158.51,161.95,157.36,160.98,2087054,2.47,1.56,159.7
FANG,2024-12-27,157.87,159.55,156.77,158.34,1723550,0.47,0.29771,158.1325
FANG,2024-12-26,158.28,159.59,156.7,158.03,1163800,-0.25,-0.15795,158.15
FANG,2024-12-24,157.43,158.1,155.2,157.77,823239,0.34,0.21597,157.125
FANG,2024-12-23,154.96,156.58,153.73,156.1,2107541,1.14,0.73567,155.3425
FANG,2024-12-20,152.16,156.22,152.0,154.94,7837444,2.78,1.83,153.83
FANG,2024-12-19,158.6,159.34,152.83,153.06,2963143,-5.54,-3.49,155.9575
FANG,2024-12-18,161.02,161.74,155.97,156.08,2547221,-4.94,-3.07,158.7025
FANG,2024-12-17,157.9,160.34,155.8,160.14,2714400,2.24,1.42,158.545
FANG,2024-12-16,162.66,162.66,158.51,158.93,2370846,-3.73,-2.29,160.69
