symbol,date,open,high,low,close,volume,change,changePercent,vwap
FAST,2025-04-04,77.22,77.95,74.59,75.045,3710841,-2.17,-2.81663,75.86
FAST,2025-04-03,78.04,78.9,77.35,78.01,5661684,-0.03,-0.03844182,78.075
FAST,2025-04-02,76.87,78.17,76.58,78.01,1976029,1.14,1.48,77.4075
FAST,2025-04-01,77.25,77.69,76.42,77.61,2401093,0.36,0.46602,77.2425
FAST,2025-03-31,76.06,77.82,75.85,77.55,4356233,1.49,1.96,76.82
FAST,2025-03-28,77.94,78.13,75.86,76.17,2689100,-1.77,-2.27,77.025
FAST,2025-03-27,77.27,77.85,76.72,77.73,2550326,0.465,0.59532,77.3925
FAST,2025-03-26,77.17,78.11,76.96,77.09,2764300,-0.08,-0.10367,77.3325
FAST,2025-03-25,76.86,77.67,76.78,77.09,2475829,0.23,0.29925,77.1
FAST,2025-03-24,75.63,77.03,75.38,76.94,2856201,1.31,1.73,76.245
FAST,2025-03-21,75.11,75.35,74.36,74.73,8781740,-0.38,-0.50592,74.8875
FAST,2025-03-20,75.42,76.42,75.27,75.51,1899700,0.09,0.11933,75.655
FAST,2025-03-19,76.16,76.81,75.8,76.46,2573325,0.3,0.39391,76.3075
FAST,2025-03-18,75.82,76.33,75.48,76.09,2816100,0.27,0.35611,75.93
FAST,2025-03-17,75.23,76.38,75.15,76.07,2558303,0.84,1.12,75.7075
FAST,2025-03-14,74.4,75.36,73.4,75.26,4084050,0.86,1.16,74.605
FAST,2025-03-13,75.72,76.07,73.57,73.69,3637327,-2.03,-2.68,74.7625
FAST,2025-03-12,77.14,77.47,75.55,75.99,3029900,-1.15,-1.49,76.5375
FAST,2025-03-11,79.69,80.11,77.31,77.35,4910113,-2.34,-2.94,78.615
FAST,2025-03-10,80.82,82.15,79.46,79.8,5292200,-1.02,-1.26,80.5575
FAST,2025-03-07,77.45,80.33,77.45,79.98,4896413,2.53,3.27,78.8025
FAST,2025-03-06,76.06,78.07,75.3,77.85,4606784,1.79,2.35,76.82
FAST,2025-03-05,74.14,74.94,73.23,74.49,3232701,0.35,0.47208,74.2
FAST,2025-03-04,74.59,75.33,73.69,74.23,4070076,-0.36,-0.48264,74.46
FAST,2025-03-03,76.02,76.87,74.26,74.38,3336431,-1.64,-2.16,75.3825
FAST,2025-02-28,74.56,76.14,74.22,75.73,4662700,1.17,1.57,75.1625
FAST,2025-02-27,73.77,74.83,73.69,74.09,3204486,0.32,0.43378,74.095
FAST,2025-02-26,74.48,75.02,73.82,73.89,2795122,-0.59,-0.79216,74.3025
FAST,2025-02-25,74.88,75.31,74.18,74.6,3104240,-0.28,-0.37393,74.7425
FAST,2025-02-24,75.0,76.05,74.65,74.78,3537213,-0.22,-0.29333,75.12
FAST,2025-02-21,75.02,75.15,73.88,74.78,3347600,-0.24,-0.31991,74.7075
FAST,2025-02-20,75.64,75.87,74.52,75.14,2299943,-0.5,-0.66103,75.2925
FAST,2025-02-19,74.77,75.83,74.41,75.57,2450815,0.8,1.07,75.145
FAST,2025-02-18,75.28,75.34,74.15,74.81,2006158,-0.47,-0.62434,74.895
FAST,2025-02-14,74.85,75.23,74.57,74.78,2549205,-0.07,-0.09352037,74.8575
FAST,2025-02-13,73.73,74.97,73.66,74.79,2428444,1.06,1.44,74.2875
FAST,2025-02-12,73.35,73.93,72.91,73.68,1990742,0.33,0.4499,73.4675
FAST,2025-02-11,73.44,74.59,73.15,74.33,1480200,0.885,1.21,73.8775
FAST,2025-02-10,74.38,74.63,73.62,73.72,2015958,-0.66,-0.88734,74.0875
FAST,2025-02-07,74.99,75.0,73.77,73.84,2971900,-1.15,-1.53,74.4
FAST,2025-02-06,73.44,74.71,73.04,74.65,2882906,1.21,1.65,73.96
FAST,2025-02-05,73.39,73.65,72.07,73.54,2712206,0.15,0.20439,73.1625
FAST,2025-02-04,73.26,73.54,72.64,73.19,3295966,-0.07,-0.0955501,73.1575
FAST,2025-02-03,72.81,74.51,72.46,73.72,3794300,0.91,1.25,73.375
FAST,2025-01-31,74.23,74.33,73.02,73.24,5233200,-0.99,-1.33,73.705
FAST,2025-01-30,74.96,75.17,74.32,74.98,2942748,0.02,0.0266809,74.8575
FAST,2025-01-29,74.76,75.11,73.94,74.08,1750844,-0.68,-0.90958,74.4725
FAST,2025-01-28,76.03,76.08,74.76,74.79,2579100,-1.24,-1.63,75.415
FAST,2025-01-27,75.47,76.31,75.12,76.27,2679400,0.8,1.06,75.7925
FAST,2025-01-24,75.17,76.19,75.16,75.53,2555352,0.36,0.47891,75.5125
