symbol,date,open,high,low,close,volume,change,changePercent,vwap
GEHC,2025-04-04,63.36,63.7965,58.04,61.475,14304091,-1.88,-2.97506,61.1
GEHC,2025-04-03,76.54,76.59,70.45,72.0,9252755,-4.53,-5.93,73.895
GEHC,2025-04-02,78.78,79.88,78.7,79.36,2806100,0.58,0.73623,79.18
GEHC,2025-04-01,80.37,80.84,79.33,79.57,2996524,-0.8,-0.9954,80.0275
GEHC,2025-03-31,79.7,81.01,79.2,80.71,4151235,1.01,1.27,80.155
GEHC,2025-03-28,81.42,81.79,79.79,80.01,3189843,-1.41,-1.73,80.7525
GEHC,2025-03-27,81.39,82.8,81.17,81.66,3074600,0.27,0.33174,81.755
GEHC,2025-03-26,82.4,82.86,80.49,81.0,2859425,-1.4,-1.7,81.6875
GEHC,2025-03-25,81.96,82.89,81.48,82.46,3730293,0.5,0.61005,82.1975
GEHC,2025-03-24,82.15,82.79,81.48,81.7,4453606,-0.45,-0.54778,82.03
GEHC,2025-03-21,81.15,81.83,80.15,81.49,4304576,0.34,0.41898,81.155
GEHC,2025-03-20,82.05,82.68,81.55,81.81,2731279,-0.24,-0.2925,82.0225
GEHC,2025-03-19,81.88,82.62,81.78,82.4,3124321,0.52,0.63508,82.17
GEHC,2025-03-18,82.16,82.38,81.23,82.14,2900010,-0.02,-0.02434275,81.9775
GEHC,2025-03-17,81.84,82.9,81.62,82.47,2526800,0.63,0.76979,82.2075
GEHC,2025-03-14,82.15,82.33,80.4,81.97,5207300,-0.18,-0.21911,81.7125
GEHC,2025-03-13,83.64,84.12,81.16,81.45,3605718,-2.19,-2.62,82.5925
GEHC,2025-03-12,85.72,86.09,83.76,83.79,2819704,-1.93,-2.25,84.84
GEHC,2025-03-11,87.34,89.23,84.94,85.59,4276812,-1.75,-2.0,86.775
GEHC,2025-03-10,85.78,87.34,84.87,85.36,3552111,-0.415,-0.48962,85.8375
GEHC,2025-03-07,85.5,86.94,84.7,86.58,4076700,1.08,1.26,85.93
GEHC,2025-03-06,84.0,85.87,83.62,85.41,3946100,1.41,1.68,84.725
GEHC,2025-03-05,84.0,85.49,83.79,84.76,3111468,0.76,0.90476,84.51
GEHC,2025-03-04,86.62,86.62,82.71,84.31,3998900,-2.31,-2.67,85.065
GEHC,2025-03-03,87.49,88.98,86.29,86.45,3556300,-1.04,-1.19,87.3025
GEHC,2025-02-28,89.96,90.26,85.89,87.35,4214630,-2.61,-2.9,88.365
GEHC,2025-02-27,90.11,92.2,89.28,89.4,3926344,-0.71,-0.78793,90.2475
GEHC,2025-02-26,90.37,91.65,90.16,90.71,1846613,0.34,0.37623,90.7225
GEHC,2025-02-25,91.09,91.39,90.01,90.81,2310907,-0.28,-0.30739,90.825
GEHC,2025-02-24,90.64,91.7,90.37,90.57,2769000,-0.07,-0.0772286,90.82
GEHC,2025-02-21,91.54,91.74,90.43,91.09,2854719,-0.45,-0.49159,91.2
GEHC,2025-02-20,92.33,93.14,91.54,92.09,2341300,-0.24,-0.25994,92.275
GEHC,2025-02-19,92.28,93.15,91.6,92.52,3284264,0.24,0.26008,92.3875
GEHC,2025-02-18,92.25,93.26,92.13,92.67,3262773,0.42,0.45528,92.5775
GEHC,2025-02-14,93.2,93.21,91.18,92.21,3946666,-0.99,-1.06,92.45
GEHC,2025-02-13,90.0,94.8,89.64,93.48,7832700,3.48,3.87,91.98
GEHC,2025-02-12,85.94,86.67,85.5,85.9,3656327,-0.04,-0.0465441,86.0025
