symbol,date,open,high,low,close,volume,change,changePercent,vwap
GFS,2025-04-04,33.3,33.68,31.72,31.81,1648696,-1.49,-4.47447,32.4
GFS,2025-04-03,35.56,36.17,34.31,34.37,4703171,-1.19,-3.35,35.1025
GFS,2025-04-02,35.35,37.47,35.15,37.18,2117600,1.83,5.18,36.2875
GFS,2025-04-01,36.55,36.8,35.51,35.98,1616200,-0.57,-1.56,36.21
GFS,2025-03-31,36.32,38.04,35.77,36.91,4318991,0.59,1.62,36.76
GFS,2025-03-28,37.72,37.76,36.21,36.89,1789338,-0.83,-2.2,37.145
GFS,2025-03-27,38.39,38.96,37.61,38.02,2611600,-0.37,-0.96379,38.245
GFS,2025-03-26,38.95,39.38,38.37,38.75,1635755,-0.2,-0.51348,38.8625
GFS,2025-03-25,39.26,39.74,38.52,39.01,1907800,-0.25,-0.63678,39.1325
GFS,2025-03-24,39.65,40.2,38.8,39.72,3056442,0.07,0.17654,39.5925
GFS,2025-03-21,37.28,38.9,37.01,38.63,8360937,1.35,3.62,37.955
GFS,2025-03-20,38.11,38.37,37.65,38.13,1061800,0.02,0.05247966,38.065
GFS,2025-03-19,38.56,39.17,38.33,38.59,1199946,0.03,0.07780083,38.6625
GFS,2025-03-18,38.42,38.75,37.92,38.68,2194818,0.26,0.67673,38.4425
GFS,2025-03-17,37.65,39.34,37.64,38.74,1828197,1.09,2.9,38.3425
GFS,2025-03-14,36.96,38.02,36.92,37.73,1745009,0.775,2.08,37.4075
GFS,2025-03-13,36.77,37.67,36.2,36.53,1537966,-0.24,-0.65271,36.7925
GFS,2025-03-12,37.62,38.3,36.75,36.86,1422037,-0.76,-2.02,37.3825
GFS,2025-03-11,40.46,40.58,36.2,37.25,3611576,-3.21,-7.93,38.6225
GFS,2025-03-10,39.81,41.82,39.26,39.74,3191730,-0.065,-0.17584,40.1575
GFS,2025-03-07,38.9,40.19,38.84,40.0,2293600,1.1,2.83,39.4825
GFS,2025-03-06,37.3,38.54,37.15,38.39,1674184,1.09,2.92,37.845
GFS,2025-03-05,38.07,38.53,36.82,38.24,1819500,0.17,0.44655,37.915
GFS,2025-03-04,37.0,38.63,36.74,37.57,2360384,0.57,1.54,37.485
GFS,2025-03-03,39.44,39.5,36.64,36.88,1627540,-2.56,-6.49,38.115
GFS,2025-02-28,38.55,39.5,37.94,38.77,1905023,0.22,0.57069,38.69
GFS,2025-02-27,40.93,41.26,38.34,38.35,1950200,-2.58,-6.3,39.72
GFS,2025-02-26,40.86,40.99,40.16,40.61,2114138,-0.25,-0.61185,40.655
GFS,2025-02-25,41.33,42.16,40.51,40.64,1552516,-0.69,-1.67,41.16
GFS,2025-02-24,42.59,43.0,41.42,41.52,2712800,-1.07,-2.51,42.1325
GFS,2025-02-21,44.71,44.97,42.11,42.43,2381476,-2.28,-5.1,43.555
GFS,2025-02-20,46.23,47.69,44.32,44.55,3873805,-1.68,-3.63,45.6975
GFS,2025-02-19,46.33,46.5,45.16,45.79,2206200,-0.54,-1.17,45.945
GFS,2025-02-18,43.4,46.1,43.4,46.01,3093200,2.61,6.01,44.7275
