symbol,date,open,high,low,close,volume,change,changePercent,vwap
GILD,2025-04-04,110.534,112.87,107.545,107.65,9226218,-2.88,-2.60915,109.36
GILD,2025-04-03,113.02,114.75,112.28,112.39,10038366,-0.625,-0.55742,113.11
GILD,2025-04-02,111.13,112.02,110.47,111.89,7444346,0.76,0.68388,111.3775
GILD,2025-04-01,112.0,112.86,110.71,111.28,6284522,-0.72,-0.64286,111.7125
GILD,2025-03-31,109.67,112.46,109.6,112.05,8828832,2.38,2.17,110.945
GILD,2025-03-28,111.15,112.38,109.65,111.79,7845172,0.64,0.5758,111.2425
GILD,2025-03-27,110.0,111.81,109.74,111.16,6383230,1.16,1.05,110.6775
GILD,2025-03-26,107.99,110.46,107.9,109.27,7391900,1.28,1.19,108.905
GILD,2025-03-25,106.74,107.95,106.3,107.89,8444700,1.15,1.08,107.22
GILD,2025-03-24,107.01,107.39,106.1,106.74,8563347,-0.27,-0.25231,106.81
GILD,2025-03-21,105.16,107.42,104.92,107.08,26497522,1.92,1.83,106.145
GILD,2025-03-20,106.83,106.83,104.7,105.87,11281724,-0.955,-0.89862,106.0575
GILD,2025-03-19,109.69,109.72,105.8,107.51,11967600,-2.18,-1.99,108.18
GILD,2025-03-18,112.19,112.2,109.84,110.23,10250434,-1.96,-1.75,111.115
GILD,2025-03-17,110.53,112.56,109.46,112.26,9259003,1.73,1.57,111.2025
GILD,2025-03-14,112.89,113.36,110.9,111.44,8647900,-1.45,-1.28,112.1475
GILD,2025-03-13,113.79,115.47,112.7,113.35,6939103,-0.44,-0.38668,113.8275
GILD,2025-03-12,113.15,114.87,112.82,113.99,8066153,0.845,0.74238,113.7075
GILD,2025-03-11,116.65,116.98,113.92,114.43,11478815,-2.22,-1.9,115.495
GILD,2025-03-10,117.0,119.96,116.78,117.21,11194417,0.21,0.17949,117.7375
GILD,2025-03-07,115.65,118.42,114.79,117.41,14406035,1.76,1.52,116.5675
GILD,2025-03-06,115.46,116.31,114.61,116.04,7712226,0.58,0.50234,115.605
GILD,2025-03-05,114.74,117.21,114.5,115.44,16088529,0.7,0.61007,115.4725
GILD,2025-03-04,117.25,117.39,113.58,114.74,11982700,-2.51,-2.14,115.74
GILD,2025-03-03,114.89,117.16,114.68,115.99,10017300,1.1,0.95744,115.68
GILD,2025-02-28,112.15,114.77,111.81,114.31,12604049,2.16,1.93,113.26
GILD,2025-02-27,110.33,112.57,110.05,111.99,6301392,1.66,1.5,111.235
GILD,2025-02-26,110.71,111.07,108.4,110.46,5911212,-0.25,-0.22582,110.16
GILD,2025-02-25,111.1,112.11,110.1,111.53,8072049,0.43,0.38704,111.21
GILD,2025-02-24,109.57,111.99,109.45,111.03,10495100,1.46,1.33,110.51
GILD,2025-02-21,110.73,111.03,109.77,109.95,9732800,-0.78,-0.70442,110.37
GILD,2025-02-20,107.78,110.11,107.43,110.03,7684500,2.25,2.09,108.8375
GILD,2025-02-19,105.23,107.81,105.2,107.65,6384399,2.42,2.3,106.4725
GILD,2025-02-18,104.25,106.58,104.0,105.25,9434601,1.0,0.95923,105.02
GILD,2025-02-14,105.8,106.69,103.92,104.08,6400408,-1.72,-1.63,105.1225
GILD,2025-02-13,104.84,106.43,103.82,105.96,8715048,1.12,1.07,105.2625
GILD,2025-02-12,101.74,104.71,100.83,103.31,16210300,1.58,1.54,102.6475
GILD,2025-02-11,95.33,96.28,95.03,96.14,6260035,0.81,0.84968,95.695
GILD,2025-02-10,96.04,96.17,94.56,95.48,9628211,-0.56,-0.58309,95.5625
GILD,2025-02-07,97.76,98.33,95.9,96.04,7182574,-1.72,-1.76,97.0075
GILD,2025-02-06,99.54,99.59,97.85,98.04,4518108,-1.5,-1.51,98.755
GILD,2025-02-05,98.48,100.51,98.01,99.65,7739645,1.17,1.19,99.1625
GILD,2025-02-04,98.38,98.47,97.05,97.99,6156200,-0.39,-0.39642,97.9725
GILD,2025-02-03,97.03,99.45,96.74,98.38,10515643,1.35,1.39,97.9
GILD,2025-01-31,96.73,98.37,96.43,97.2,9419694,0.47,0.48589,97.1825
GILD,2025-01-30,96.56,96.97,95.44,96.95,5020500,0.39,0.40389,96.48
GILD,2025-01-29,94.4,95.93,94.08,95.59,5593500,1.19,1.26,95.0
GILD,2025-01-28,95.0,96.7,93.81,93.85,7406100,-1.15,-1.21,94.84
GILD,2025-01-27,93.1,95.84,93.1,95.35,7914206,2.25,2.42,94.3475
GILD,2025-01-24,92.36,94.0,92.26,93.07,5409420,0.71,0.76873,92.9225
GILD,2025-01-23,93.03,93.29,92.21,92.92,4086123,-0.11,-0.11824,92.8625
