symbol,date,open,high,low,close,volume,change,changePercent,vwap
GOOG,2025-04-04,149.9,153.09,148.2,149.79,28709493,-0.11,-0.07338225,150.36
GOOG,2025-04-03,152.84,154.69,152.18,152.63,28139047,-0.205,-0.1374,153.085
GOOG,2025-04-02,156.96,160.28,156.53,158.86,17113321,1.9,1.21,158.1575
GOOG,2025-04-01,155.3,160.08,155.26,158.88,20111400,3.58,2.31,157.38
GOOG,2025-03-31,154.81,157.13,152.21,156.23,33591600,1.42,0.91725,155.095
GOOG,2025-03-28,162.36,163.81,155.34,156.06,34866500,-6.3,-3.88,159.3925
GOOG,2025-03-27,166.71,167.44,163.85,164.08,21571200,-2.63,-1.58,165.52
GOOG,2025-03-26,171.3,171.94,166.86,167.14,22554236,-4.16,-2.43,169.31
GOOG,2025-03-25,171.18,172.91,170.55,172.79,13841600,1.61,0.94053,171.8575
GOOG,2025-03-24,169.27,170.5,167.44,169.93,18742848,0.665,0.38991,169.285
GOOG,2025-03-21,163.38,166.47,163.03,166.25,29882100,2.87,1.76,164.7825
GOOG,2025-03-20,163.82,167.03,163.14,165.05,19981512,1.23,0.75082,164.76
GOOG,2025-03-19,163.92,168.13,163.05,166.28,24955717,2.37,1.44,165.345
GOOG,2025-03-18,165.96,166.44,158.8,162.67,24616800,-3.29,-1.98,163.4675
GOOG,2025-03-17,167.33,168.46,165.81,166.57,17839139,-0.755,-0.45419,167.0425
GOOG,2025-03-14,165.32,168.25,164.51,167.62,18611100,2.31,1.39,166.425
GOOG,2025-03-13,167.98,168.12,164.07,164.73,15206200,-3.25,-1.93,166.225
GOOG,2025-03-12,168.47,169.53,165.48,169.0,19880100,0.53,0.3146,168.12
GOOG,2025-03-11,166.68,168.66,163.24,165.98,23705900,-0.7,-0.41997,166.14
GOOG,2025-03-10,170.16,170.45,165.57,167.81,28990724,-2.35,-1.38,168.4975
GOOG,2025-03-07,173.24,176.9,172.25,175.75,16395300,2.51,1.45,174.535
GOOG,2025-03-06,172.55,176.73,172.51,174.21,19082404,1.66,0.96204,174.0
GOOG,2025-03-05,172.32,175.75,170.93,174.99,18848036,2.67,1.55,173.4975
GOOG,2025-03-04,167.94,175.17,167.54,172.61,30711408,4.67,2.78,170.815
GOOG,2025-03-03,173.73,175.0,167.64,168.66,24122000,-5.07,-2.92,171.2575
GOOG,2025-02-28,170.3,172.5,168.39,172.22,30049812,1.92,1.13,170.8525
GOOG,2025-02-27,175.94,176.59,169.75,170.21,25930530,-5.73,-3.26,173.1225
GOOG,2025-02-26,176.95,178.08,173.59,174.7,23693251,-2.25,-1.27,175.83
GOOG,2025-02-25,180.16,180.76,176.77,177.37,20832500,-2.78,-1.55,178.765
GOOG,2025-02-24,183.8,185.09,180.88,181.19,18734014,-2.61,-1.42,182.74
GOOG,2025-02-21,187.29,187.47,181.13,181.58,19520800,-5.71,-3.05,184.3675
GOOG,2025-02-20,186.5,187.12,184.6,186.64,12063807,0.14,0.07506702,186.215
GOOG,2025-02-19,186.19,187.36,185.5,187.13,13120500,0.945,0.50486,186.545
GOOG,2025-02-18,187.44,187.78,183.58,185.8,19796028,-1.64,-0.87495,186.15
GOOG,2025-02-14,186.83,188.15,186.11,186.87,12714200,0.04,0.02140984,186.99
GOOG,2025-02-13,185.93,187.99,184.88,187.88,12729334,1.95,1.05,186.67
GOOG,2025-02-12,185.23,186.83,183.63,185.43,17632314,0.2,0.10797,185.28
GOOG,2025-02-11,186.84,188.8,186.08,187.07,13028100,0.235,0.1231,187.1975
GOOG,2025-02-10,189.06,189.99,187.61,188.2,16606020,-0.86,-0.45488,188.715
