symbol,date,open,high,low,close,volume,change,changePercent,vwap
GOOGL,2025-04-04,148.175,151.05,146.15,147.79,46265991,-0.385,-0.25982791,148.33
GOOGL,2025-04-03,151.11,152.78,150.39,150.72,45935694,-0.39,-0.25809,151.25
GOOGL,2025-04-02,155.15,158.41,154.7,157.04,25041730,1.89,1.22,156.325
GOOGL,2025-04-01,153.62,158.1,153.62,157.07,30672900,3.45,2.25,155.6025
GOOGL,2025-03-31,153.11,155.54,150.66,154.64,54603500,1.53,0.99928,153.4875
GOOGL,2025-03-28,160.49,161.82,153.63,154.33,48669335,-6.16,-3.84,157.5675
GOOGL,2025-03-27,164.63,165.42,162.0,162.24,24508300,-2.39,-1.45,163.5725
GOOGL,2025-03-26,169.0,169.61,164.84,165.06,28939326,-3.94,-2.33,167.1275
GOOGL,2025-03-25,168.98,170.63,168.32,170.56,24174400,1.58,0.93502,169.6225
GOOGL,2025-03-24,167.07,168.32,165.14,167.68,30879129,0.615,0.36512,167.0525
GOOGL,2025-03-21,161.21,164.24,160.89,163.99,36625800,2.78,1.72,162.5825
GOOGL,2025-03-20,161.57,164.89,160.96,162.8,28138500,1.23,0.76128,162.555
GOOGL,2025-03-19,161.76,165.87,161.0,163.89,34275600,2.13,1.32,163.13
GOOGL,2025-03-18,163.68,164.25,156.72,160.67,42074800,-3.01,-1.84,161.33
GOOGL,2025-03-17,165.03,166.3,163.67,164.29,31184335,-0.74,-0.4484,164.8225
GOOGL,2025-03-14,163.27,166.49,162.45,165.49,31995900,2.22,1.36,164.425
GOOGL,2025-03-13,166.04,166.13,162.11,162.76,31756214,-3.28,-1.98,164.26
GOOGL,2025-03-12,166.58,167.64,163.53,167.11,28372400,0.53,0.31817,166.215
GOOGL,2025-03-11,164.91,166.75,161.37,164.04,39587414,-0.87,-0.52756,164.2675
GOOGL,2025-03-10,168.26,168.46,163.69,165.87,43604027,-2.39,-1.42,166.57
GOOGL,2025-03-07,171.26,174.97,170.27,173.86,27385813,2.6,1.52,172.59
GOOGL,2025-03-06,170.53,174.81,170.5,172.35,28302000,1.82,1.07,172.0475
GOOGL,2025-03-05,170.52,173.78,169.06,173.02,30954922,2.5,1.47,171.595
GOOGL,2025-03-04,166.24,173.29,165.8,170.92,45388000,4.68,2.82,169.0625
GOOGL,2025-03-03,171.93,173.37,165.93,167.01,40770500,-4.92,-2.86,169.56
GOOGL,2025-02-28,168.68,170.61,166.77,170.28,48130600,1.6,0.94854,169.085
GOOGL,2025-02-27,173.99,174.56,167.94,168.5,39991015,-5.49,-3.16,171.2475
GOOGL,2025-02-26,175.07,176.08,171.58,172.73,35431300,-2.34,-1.34,173.865
GOOGL,2025-02-25,178.04,178.74,174.69,175.42,41913411,-2.62,-1.47,176.7225
GOOGL,2025-02-24,181.99,183.12,178.89,179.25,29854206,-2.74,-1.51,180.8125
GOOGL,2025-02-21,185.15,185.34,179.08,179.66,35199239,-5.49,-2.97,182.3075
