symbol,date,open,high,low,close,volume,change,changePercent,vwap
HON,2025-04-04,203.25,204.62,192.56,192.56,6145341,-10.69,-5.25953,196.58
HON,2025-04-03,213.59,216.29,206.33,206.68,6510288,-6.91,-3.24,210.7225
HON,2025-04-02,212.49,216.41,212.33,215.99,3423931,3.5,1.65,214.305
HON,2025-04-01,211.11,213.63,209.68,213.45,2563812,2.34,1.11,211.9675
HON,2025-03-31,210.83,212.44,209.76,211.75,3968314,0.92,0.43637,211.195
HON,2025-03-28,214.27,214.9,209.97,210.34,3253418,-3.93,-1.83,212.37
HON,2025-03-27,213.1,215.21,212.27,214.17,3584360,1.07,0.50211,213.6875
HON,2025-03-26,212.73,217.16,212.61,213.12,5251418,0.39,0.18333,213.905
HON,2025-03-25,211.09,213.01,210.27,212.12,3810393,1.03,0.48794,211.6225
HON,2025-03-24,211.64,212.68,210.5,211.85,4248215,0.21,0.0992251,211.6675
HON,2025-03-21,209.13,211.45,208.78,210.12,6545140,0.99,0.47339,209.87
HON,2025-03-20,207.59,211.67,207.3,210.89,3583283,3.3,1.59,209.3625
HON,2025-03-19,210.29,212.12,208.31,208.65,6408344,-1.64,-0.77988,209.8425
HON,2025-03-18,210.41,211.51,208.83,209.74,3811392,-0.67,-0.31843,210.1225
HON,2025-03-17,208.44,211.11,207.73,210.42,4415159,1.98,0.94991,209.425
HON,2025-03-14,208.47,211.15,207.89,209.47,3884590,1.0,0.47969,209.245
HON,2025-03-13,205.66,207.9,205.11,206.69,3531000,1.03,0.50083,206.34
HON,2025-03-12,207.09,207.79,204.73,206.35,3812680,-0.74,-0.35733,206.49
HON,2025-03-11,213.49,213.75,206.92,208.59,5243500,-4.9,-2.3,210.6875
HON,2025-03-10,214.29,218.47,213.58,213.82,4177100,-0.47,-0.21933,215.04
HON,2025-03-07,211.25,215.36,210.79,214.52,5682735,3.27,1.55,212.98
HON,2025-03-06,208.94,211.74,207.9,211.26,5042728,2.32,1.11,209.96
HON,2025-03-05,208.0,210.43,206.79,209.62,5295803,1.62,0.77885,208.71
HON,2025-03-04,211.7,212.53,207.83,208.0,6961807,-3.7,-1.75,210.015
HON,2025-03-03,213.72,216.06,211.03,212.02,5333500,-1.7,-0.79543,213.2075
HON,2025-02-28,212.99,213.77,210.59,212.89,3976646,-0.1,-0.04695056,212.56
HON,2025-02-27,211.79,214.89,211.62,212.27,2755400,0.48,0.22664,212.6425
HON,2025-02-26,210.83,212.71,209.75,211.33,3126930,0.5,0.23716,211.155
HON,2025-02-25,211.15,213.82,211.02,212.0,3798426,0.85,0.40256,211.9975
HON,2025-02-24,211.76,215.19,209.72,209.91,6742200,-1.85,-0.87363,211.645
HON,2025-02-21,211.16,212.5,209.4,211.94,6222122,0.78,0.36939,211.25
HON,2025-02-20,209.59,211.5,208.87,211.35,3636000,1.76,0.83973,210.3275
HON,2025-02-19,207.93,211.7,207.92,210.81,5064600,2.88,1.39,209.59
HON,2025-02-18,204.42,208.39,202.78,208.04,4897900,3.63,1.77,205.9075
HON,2025-02-14,204.82,205.14,201.54,202.75,5351415,-2.07,-1.01,203.5625
HON,2025-02-13,206.51,207.3,204.61,205.27,3382403,-1.24,-0.60046,205.9225
HON,2025-02-12,205.59,206.29,204.25,205.01,3413222,-0.575,-0.28211,205.285
HON,2025-02-11,206.57,209.34,205.78,206.94,3077514,0.37,0.17912,207.1575
HON,2025-02-10,206.55,209.16,205.08,208.52,6628210,1.97,0.95376,207.3275
HON,2025-02-07,212.0,213.4,205.38,205.52,6696600,-6.48,-3.06,209.075
HON,2025-02-06,215.0,215.24,206.18,209.82,12185300,-5.18,-2.41,211.56
HON,2025-02-05,223.55,224.21,219.25,222.35,4596931,-1.2,-0.53679,222.34
HON,2025-02-04,224.57,225.7,223.11,223.55,3442900,-1.02,-0.4542,224.2325
HON,2025-02-03,222.5,223.3,219.66,222.41,3220600,-0.09,-0.04044944,221.9675
HON,2025-01-31,222.85,225.95,222.55,223.72,2481816,0.87,0.3904,223.7675
HON,2025-01-30,222.05,224.7,221.58,224.06,1813433,2.01,0.9052,223.0975
HON,2025-01-29,220.95,222.8,220.65,221.05,1916300,0.1,0.04525911,221.3625
HON,2025-01-28,224.72,224.72,220.17,220.7,3599491,-4.02,-1.79,222.5775
HON,2025-01-27,220.25,225.87,220.1,225.71,3111027,5.46,2.48,222.9825
HON,2025-01-24,225.0,227.15,221.28,221.51,6332908,-3.49,-1.55,223.735
HON,2025-01-23,223.45,226.07,222.75,225.66,3036822,2.21,0.98904,224.4825
HON,2025-01-22,224.0,224.54,222.64,223.09,2972518,-0.91,-0.40625,223.5675
HON,2025-01-21,223.37,227.73,223.19,225.07,4656600,1.7,0.76107,224.84
HON,2025-01-17,226.84,226.87,222.29,222.58,3349234,-4.26,-1.88,224.645
HON,2025-01-16,220.0,224.53,219.92,222.69,4611744,2.69,1.22,221.785
HON,2025-01-15,219.78,220.53,216.19,219.54,4647800,-0.24,-0.1092,219.01
HON,2025-01-14,220.34,220.51,214.6,218.5,4021811,-1.84,-0.83507,218.4875
HON,2025-01-13,217.67,228.97,217.42,219.1,5392319,1.43,0.65696,220.79
HON,2025-01-10,219.97,220.0,216.28,218.19,3585164,-1.78,-0.8092,218.61
HON,2025-01-08,220.09,221.38,219.2,220.17,3120530,0.08,0.03634877,220.21
HON,2025-01-07,221.5,223.08,219.91,220.63,3016422,-0.87,-0.39278,221.28
HON,2025-01-06,224.68,226.92,221.36,221.74,3829308,-2.94,-1.31,223.675
HON,2025-01-03,225.98,227.42,225.86,226.52,2637525,0.54,0.23896,226.445
HON,2025-01-02,227.07,227.99,224.65,225.52,2089908,-1.55,-0.68261,226.3075
HON,2024-12-31,227.15,227.55,225.6,225.89,1936889,-1.26,-0.5547,226.5475
HON,2024-12-30,227.15,227.43,225.4,226.6,2371600,-0.55,-0.24213,226.645
HON,2024-12-27,231.0,231.56,228.8,229.51,3053908,-1.49,-0.64502,230.2175
HON,2024-12-26,228.78,232.01,228.42,231.86,3072184,3.08,1.35,230.2675
HON,2024-12-24,226.65,229.28,225.65,228.9,1873600,2.25,0.99272,227.62
HON,2024-12-23,227.77,228.25,225.95,227.14,3467872,-0.63,-0.27659,227.2775
HON,2024-12-20,225.16,229.75,224.62,228.32,6833319,3.16,1.4,226.9625
HON,2024-12-19,228.62,233.5,226.3,226.88,4871103,-1.74,-0.76109,228.825
