symbol,date,open,high,low,close,volume,change,changePercent,vwap
IDXX,2025-04-04,404.15,405.98,393.95,395.28,1338831,-8.87,-2.19473,398.4
IDXX,2025-04-03,417.41,417.93,407.07,410.76,947165,-6.65,-1.59,413.2925
IDXX,2025-04-02,414.35,427.21,413.05,426.25,532671,11.9,2.87,420.215
IDXX,2025-04-01,417.47,427.09,415.05,418.57,518260,1.1,0.26349,419.545
IDXX,2025-03-31,416.58,421.8,411.59,419.95,926126,3.37,0.80897,417.48
IDXX,2025-03-28,422.54,423.81,415.22,415.87,470200,-6.67,-1.58,419.36
IDXX,2025-03-27,419.18,424.17,417.04,422.54,998900,3.36,0.80156,420.7325
IDXX,2025-03-26,418.28,420.21,415.81,417.71,760749,-0.57,-0.13627,418.0025
IDXX,2025-03-25,422.52,424.28,414.39,417.66,878000,-4.86,-1.15,419.7125
IDXX,2025-03-24,424.51,430.16,420.73,423.6,616835,-0.91,-0.21436,424.75
IDXX,2025-03-21,415.44,421.95,411.28,420.99,706610,5.56,1.34,417.415
IDXX,2025-03-20,421.33,425.6,418.99,420.62,537545,-0.71,-0.16851,421.635
IDXX,2025-03-19,418.52,423.9,417.08,422.15,463316,3.63,0.86734,420.4125
IDXX,2025-03-18,420.98,425.81,417.84,419.52,463847,-1.46,-0.34681,421.0375
IDXX,2025-03-17,415.89,424.49,414.72,422.36,568503,6.47,1.56,419.365
IDXX,2025-03-14,409.0,418.86,409.0,415.3,645260,6.3,1.54,413.04
IDXX,2025-03-13,411.17,422.72,404.6,406.29,723599,-4.88,-1.19,411.195
IDXX,2025-03-12,426.66,428.81,412.21,412.4,838862,-14.25,-3.34,420.02
IDXX,2025-03-11,439.81,439.87,426.51,426.69,880100,-13.12,-2.98,433.22
IDXX,2025-03-10,430.0,447.44,430.0,436.48,996352,6.48,1.51,435.98
IDXX,2025-03-07,429.03,434.39,420.84,430.12,654300,1.09,0.25406,428.595
IDXX,2025-03-06,433.34,439.41,427.54,429.03,661721,-4.31,-0.9946,432.33
IDXX,2025-03-05,438.0,447.41,429.27,437.23,892867,-0.77,-0.1758,437.9775
IDXX,2025-03-04,439.45,448.69,436.4,441.61,1063508,2.16,0.49152,441.5375
IDXX,2025-03-03,438.81,443.56,434.45,437.15,691041,-1.66,-0.3783,438.4925
IDXX,2025-02-28,442.01,442.6,423.82,437.11,1055328,-4.9,-1.11,436.385
IDXX,2025-02-27,457.33,460.09,440.58,441.03,705632,-16.3,-3.56,449.7575
IDXX,2025-02-26,455.77,465.04,455.69,457.81,583264,2.04,0.44759,458.5775
IDXX,2025-02-25,464.61,467.02,451.9,459.86,836522,-4.75,-1.02,460.8475
IDXX,2025-02-24,453.95,465.18,452.19,463.66,837000,9.71,2.14,458.745
IDXX,2025-02-21,454.41,460.38,452.46,452.77,773208,-1.64,-0.36091,455.005
IDXX,2025-02-20,451.62,457.7,450.39,452.86,615712,1.24,0.27457,453.1425
IDXX,2025-02-19,448.0,452.4,444.5,450.99,578706,2.99,0.66741,448.9725
IDXX,2025-02-18,444.72,452.84,440.99,449.06,632108,4.34,0.97589,446.9025
IDXX,2025-02-14,463.63,463.63,444.37,444.53,553800,-19.1,-4.12,454.04
IDXX,2025-02-13,458.18,462.92,452.0,459.76,601108,1.58,0.34484,458.215
IDXX,2025-02-12,458.7,460.36,451.89,457.35,634043,-1.35,-0.29431,457.075
IDXX,2025-02-11,460.65,467.69,460.28,463.74,516844,3.09,0.67079,463.09
IDXX,2025-02-10,460.68,466.53,458.86,464.91,829940,4.23,0.91821,462.745
IDXX,2025-02-07,465.0,468.8,457.35,459.78,624600,-5.22,-1.12,462.7325
IDXX,2025-02-06,468.67,469.99,458.82,460.56,646327,-8.11,-1.73,464.51
IDXX,2025-02-05,469.24,471.82,457.23,468.55,749228,-0.69,-0.14705,466.71
IDXX,2025-02-04,464.47,466.26,458.79,465.03,824573,0.56,0.12057,463.6375
IDXX,2025-02-03,465.0,474.67,445.0,469.04,1509041,4.04,0.86882,463.4275
IDXX,2025-01-31,424.6,427.07,420.43,422.05,912354,-2.55,-0.60057,423.5375
IDXX,2025-01-30,424.29,431.38,420.86,423.99,518647,-0.3,-0.07070636,425.13
IDXX,2025-01-29,417.95,422.17,405.84,418.75,876429,0.8,0.19141,416.1775
IDXX,2025-01-28,427.33,427.33,414.66,417.86,1333802,-9.47,-2.22,421.795
IDXX,2025-01-27,435.07,437.62,419.66,427.52,1876371,-7.55,-1.74,429.9675
IDXX,2025-01-24,429.62,436.58,429.08,435.33,638016,5.71,1.33,432.6525
IDXX,2025-01-23,429.49,434.56,426.11,432.34,403903,2.85,0.66358,430.625
IDXX,2025-01-22,425.79,437.27,423.65,430.59,532000,4.8,1.13,429.325
IDXX,2025-01-21,423.44,430.07,421.46,427.33,761771,3.89,0.91867,425.575
IDXX,2025-01-17,429.3,432.95,418.66,419.26,798800,-10.04,-2.34,425.0425
