symbol,date,open,high,low,close,volume,change,changePercent,vwap
INTU,2025-04-04,588.1,589.72,560.99,565.985,2221440,-22.12,-3.76041,572.23
INTU,2025-04-03,604.0,616.42,598.2,598.53,2831825,-5.47,-0.90563,604.2875
INTU,2025-04-02,605.06,625.0,604.96,620.91,1604512,15.85,2.62,613.9825
INTU,2025-04-01,610.87,617.12,606.15,613.78,1826563,2.91,0.47637,611.98
INTU,2025-03-31,600.34,618.0,593.73,613.99,3071729,13.65,2.27,606.515
INTU,2025-03-28,611.57,613.79,595.55,598.92,1574687,-12.65,-2.07,604.9575
INTU,2025-03-27,615.49,620.61,612.31,615.3,1206200,-0.19,-0.03086971,615.9275
INTU,2025-03-26,618.78,620.27,613.07,614.86,1715803,-3.92,-0.6335,616.745
INTU,2025-03-25,611.52,620.93,605.22,618.72,1126601,7.2,1.18,614.0975
INTU,2025-03-24,610.0,614.29,605.29,613.09,1703083,3.09,0.50656,610.6675
INTU,2025-03-21,592.99,605.25,590.02,604.04,2391432,11.05,1.86,598.075
INTU,2025-03-20,599.11,605.58,596.09,600.42,1088638,1.31,0.21866,600.3
INTU,2025-03-19,605.78,609.04,597.51,603.11,1247894,-2.67,-0.44075,603.86
INTU,2025-03-18,598.9,601.56,591.8,599.03,1230400,0.13,0.02170646,597.8225
INTU,2025-03-17,595.42,605.33,591.92,602.11,1559099,6.69,1.12,598.695
INTU,2025-03-14,589.22,601.54,586.83,598.8,2063204,9.58,1.63,594.0975
INTU,2025-03-13,586.08,586.18,563.72,581.32,2269800,-4.76,-0.81218,579.325
INTU,2025-03-12,589.01,597.27,585.59,591.14,1874741,2.13,0.36162,590.7525
INTU,2025-03-11,579.78,595.11,577.38,586.71,1909438,6.93,1.2,584.745
INTU,2025-03-10,603.89,606.35,575.44,579.78,2375933,-24.11,-3.99,591.365
INTU,2025-03-07,605.86,614.63,594.53,609.61,1689791,3.75,0.61895,606.1575
INTU,2025-03-06,613.02,619.85,602.12,606.37,1671000,-6.65,-1.08,610.34
INTU,2025-03-05,608.92,618.4,601.21,617.51,1615471,8.59,1.41,611.51
INTU,2025-03-04,604.28,608.9,587.28,598.07,2308459,-6.21,-1.03,599.6325
INTU,2025-03-03,617.86,620.81,599.4,601.09,1597721,-16.77,-2.71,609.79
INTU,2025-02-28,600.92,614.85,598.37,613.84,2444617,12.92,2.15,606.995
INTU,2025-02-27,625.0,627.99,599.63,600.42,2451700,-24.58,-3.93,613.26
INTU,2025-02-26,635.5,638.99,615.44,625.51,4674200,-9.99,-1.57,628.86
INTU,2025-02-25,567.31,571.42,553.24,555.63,3014541,-11.68,-2.06,561.9
INTU,2025-02-24,565.96,572.75,563.3,567.24,2040903,1.28,0.22616,567.3125
INTU,2025-02-21,580.55,582.15,561.25,565.47,2006637,-15.08,-2.6,572.355
INTU,2025-02-20,583.02,586.1,573.39,579.08,2703900,-3.94,-0.67579,580.3975
INTU,2025-02-19,578.74,582.88,575.59,582.19,2063182,3.45,0.59612,579.85
INTU,2025-02-18,589.86,590.04,576.06,579.94,2054262,-9.92,-1.68,583.975
INTU,2025-02-14,584.69,591.39,580.09,587.38,1349109,2.69,0.46007,585.8875
INTU,2025-02-13,580.56,592.0,579.0,583.9,1609983,3.34,0.57531,583.865
INTU,2025-02-12,578.07,580.97,568.71,576.54,1737879,-1.53,-0.26467,576.0725
INTU,2025-02-11,581.09,591.98,581.09,585.88,1856778,4.79,0.82431,585.01
INTU,2025-02-10,575.0,588.8,575.0,586.84,1571453,11.84,2.06,581.41
INTU,2025-02-07,590.59,596.18,577.22,578.85,1430967,-11.74,-1.99,585.71
INTU,2025-02-06,588.26,595.16,585.8,590.2,1534164,1.94,0.32979,589.855
INTU,2025-02-05,593.42,593.59,580.1,588.26,2134484,-5.16,-0.86954,588.8425
INTU,2025-02-04,596.34,608.48,590.12,591.72,1737500,-4.62,-0.77473,596.665
INTU,2025-02-03,600.4,601.83,585.01,600.76,2244522,0.36,0.05996003,597.0
INTU,2025-01-31,604.88,610.9,599.86,601.51,1640288,-3.37,-0.55714,604.2875
INTU,2025-01-30,595.34,605.66,593.7,604.6,1220007,9.26,1.56,599.825
INTU,2025-01-29,599.65,603.54,590.19,592.99,1457500,-6.66,-1.11,596.5925
INTU,2025-01-28,608.62,613.71,600.19,600.66,1675072,-7.96,-1.31,605.795
INTU,2025-01-27,586.96,614.39,586.0,606.62,1985711,19.66,3.35,598.4925
INTU,2025-01-24,601.99,602.53,595.44,597.95,1901375,-4.04,-0.67111,599.4775
INTU,2025-01-23,608.8,608.8,597.49,598.3,2241425,-10.5,-1.72,603.3475
INTU,2025-01-22,609.68,617.54,609.68,611.68,1214052,2.0,0.32804,612.145
INTU,2025-01-21,605.99,611.06,602.68,609.41,1666303,3.42,0.56437,607.285
INTU,2025-01-17,615.87,615.87,596.2,604.13,2836700,-11.74,-1.91,608.0175
INTU,2025-01-16,623.32,623.75,606.75,607.27,2834100,-16.05,-2.57,615.2725
INTU,2025-01-15,623.8,627.5,610.61,621.45,1938228,-2.35,-0.37672,620.84
INTU,2025-01-14,615.0,623.99,614.26,623.8,1697349,8.8,1.43,619.2625
INTU,2025-01-13,620.38,622.0,612.3,613.22,1684406,-7.16,-1.15,616.975
INTU,2025-01-10,618.84,633.62,617.29,623.43,2390075,4.59,0.74171,623.295
INTU,2025-01-08,616.43,627.61,613.71,626.05,1226395,9.62,1.56,620.95
INTU,2025-01-07,623.36,626.65,611.92,615.43,1030343,-7.93,-1.27,619.34
INTU,2025-01-06,626.97,633.4,623.0,625.16,1260872,-1.81,-0.28869,627.1325
INTU,2025-01-03,628.5,631.0,624.52,630.23,993440,1.73,0.27526,628.5625
INTU,2025-01-02,637.0,637.73,619.43,622.79,1180038,-14.21,-2.23,629.2375
INTU,2024-12-31,630.9,633.66,626.39,628.5,988500,-2.4,-0.38041,629.8625
INTU,2024-12-30,632.85,634.13,623.41,630.3,1102800,-2.55,-0.40294,630.1725
INTU,2024-12-27,643.24,643.24,631.18,638.57,966645,-4.67,-0.72601,639.0575
INTU,2024-12-26,641.35,648.99,640.8,646.19,639320,4.84,0.75466,644.3325
INTU,2024-12-24,639.0,645.54,636.08,645.29,668700,6.29,0.98435,641.4775
INTU,2024-12-23,640.65,642.25,633.75,638.3,1614424,-2.35,-0.36681,638.7375
INTU,2024-12-20,629.2,648.99,624.03,643.39,3451000,14.19,2.26,636.4025
INTU,2024-12-19,653.76,661.95,636.71,636.95,2314760,-16.81,-2.57,647.3425
INTU,2024-12-18,677.01,677.01,647.31,649.81,2408509,-27.2,-4.02,662.785
INTU,2024-12-17,670.0,679.85,664.05,677.77,1814907,7.77,1.16,672.9175
INTU,2024-12-16,656.78,672.92,656.78,671.5,1684545,14.72,2.24,664.495
INTU,2024-12-13,668.99,672.7,653.98,656.45,1634810,-12.54,-1.87,663.03
INTU,2024-12-12,674.03,676.15,662.95,672.25,1629743,-1.78,-0.26408,671.345
INTU,2024-12-11,647.07,670.74,646.26,670.56,1868800,23.49,3.63,658.6575
INTU,2024-12-10,649.29,659.24,644.7,647.07,1485682,-2.22,-0.34191,650.075
INTU,2024-12-09,643.61,650.78,640.17,646.58,1379834,2.97,0.46146,645.285
INTU,2024-12-06,649.17,654.11,645.82,646.47,1125182,-2.7,-0.41592,648.8925
INTU,2024-12-05,651.96,653.05,641.45,648.7,1219740,-3.26,-0.50003,648.79
INTU,2024-12-04,639.0,660.39,636.95,654.64,1620046,15.64,2.45,647.745
INTU,2024-12-03,629.6,636.68,626.4,636.02,1105028,6.42,1.02,632.175
INTU,2024-12-02,637.05,640.39,631.67,634.07,1502257,-2.98,-0.46778,635.795
INTU,2024-11-29,640.88,645.36,636.33,641.73,828900,0.85,0.13263,641.075
INTU,2024-11-27,633.92,641.09,631.2,636.17,1376295,2.25,0.35493,635.595
INTU,2024-11-26,633.0,641.5,630.33,638.83,1784200,5.83,0.92101,635.915
INTU,2024-11-25,641.61,651.11,632.88,634.62,2951827,-6.99,-1.09,640.055
INTU,2024-11-22,668.18,675.0,639.15,640.12,3294240,-28.06,-4.2,655.6125
INTU,2024-11-21,659.78,681.59,656.75,678.7,2318306,18.92,2.87,669.205
INTU,2024-11-20,642.09,652.28,637.6,650.6,1880700,8.51,1.33,645.6425
INTU,2024-11-19,636.1,646.87,632.4,644.17,2536019,8.07,1.27,639.885
INTU,2024-11-18,685.65,688.12,675.8,678.81,1580409,-6.84,-0.99759,682.095
INTU,2024-11-15,691.16,692.85,680.21,687.87,1799379,-3.29,-0.47601,688.0225
INTU,2024-11-14,701.58,706.0,693.4,700.76,1769831,-0.82,-0.11688,700.435
INTU,2024-11-13,697.25,714.78,695.02,706.25,1472423,9.0,1.29,703.325
INTU,2024-11-12,695.0,703.88,694.3,699.47,1409525,4.47,0.64317,698.1625
INTU,2024-11-11,683.79,698.96,682.3,697.35,1514491,13.56,1.98,690.6
INTU,2024-11-08,678.0,688.88,672.23,684.22,1705800,6.22,0.9174,680.8325
INTU,2024-11-07,651.74,675.1,651.74,674.15,1928020,22.41,3.44,663.1825
INTU,2024-11-06,643.12,668.0,642.75,648.39,2963912,5.27,0.81944,650.565
INTU,2024-11-05,619.86,622.29,610.71,618.83,1564288,-1.03,-0.16617,617.9225
INTU,2024-11-04,623.0,624.52,615.83,619.01,1152530,-3.99,-0.64045,620.59
INTU,2024-11-01,605.0,626.38,603.0,621.74,1437000,16.74,2.77,614.03
INTU,2024-10-31,620.17,621.74,608.55,610.3,1478604,-9.87,-1.59,615.19
INTU,2024-10-30,623.79,629.47,619.91,621.11,1082400,-2.68,-0.42963,623.57
INTU,2024-10-29,612.99,625.6,609.38,623.7,1134801,10.71,1.75,617.9175
