symbol,date,open,high,low,close,volume,change,changePercent,vwap
ISRG,2025-04-04,477.981,480.56,452.41,455.64,3019683,-22.34,-4.67404,462.87
ISRG,2025-04-03,487.58,504.09,484.88,494.61,2726787,7.03,1.44,492.79
ISRG,2025-04-02,488.6,508.62,486.43,507.05,1432212,18.45,3.78,497.675
ISRG,2025-04-01,492.26,497.3,486.24,496.36,1609933,4.1,0.83289,493.04
ISRG,2025-03-31,484.46,497.77,479.48,495.27,2290143,10.81,2.23,489.245
ISRG,2025-03-28,505.06,505.19,488.57,491.84,1967313,-13.22,-2.62,497.665
ISRG,2025-03-27,505.98,513.05,502.29,507.9,1472911,1.92,0.37946,507.305
ISRG,2025-03-26,520.89,520.89,506.69,509.03,1980609,-11.86,-2.28,514.375
ISRG,2025-03-25,514.0,520.39,511.95,519.81,2527100,5.81,1.13,516.5375
ISRG,2025-03-24,504.74,510.78,501.84,508.58,1905501,3.84,0.76079,506.485
ISRG,2025-03-21,483.11,492.75,477.28,492.49,3377219,9.38,1.94,486.4075
ISRG,2025-03-20,490.4,500.29,490.28,491.81,2108828,1.41,0.28752,493.195
ISRG,2025-03-19,486.0,496.27,482.8,492.06,2098400,6.06,1.25,489.2825
ISRG,2025-03-18,487.34,488.55,478.41,483.95,1728829,-3.39,-0.69561,484.5625
ISRG,2025-03-17,480.0,495.82,474.9,488.8,3211524,8.8,1.83,484.88
ISRG,2025-03-14,482.69,492.28,476.57,484.44,4239200,1.75,0.36255,483.995
ISRG,2025-03-13,498.71,500.76,474.37,476.78,3645400,-21.93,-4.4,487.655
ISRG,2025-03-12,511.06,519.51,496.31,497.3,2558700,-13.76,-2.69,506.045
ISRG,2025-03-11,481.23,496.19,478.45,493.72,3223423,12.49,2.6,487.3975
ISRG,2025-03-10,503.91,503.91,476.37,482.61,5517403,-21.3,-4.23,491.7
ISRG,2025-03-07,533.18,534.24,502.84,518.26,3688221,-14.92,-2.8,522.13
ISRG,2025-03-06,558.95,561.69,537.51,538.57,2367225,-20.38,-3.65,549.18
ISRG,2025-03-05,554.17,569.0,554.17,568.02,2039316,13.85,2.5,561.34
ISRG,2025-03-04,563.69,565.8,545.54,557.96,2209644,-5.73,-1.02,558.2475
ISRG,2025-03-03,573.78,584.9,563.96,566.98,1708338,-6.8,-1.19,572.405
ISRG,2025-02-28,566.95,574.0,556.75,573.15,2401400,6.2,1.09,567.7125
ISRG,2025-02-27,581.83,583.25,562.4,563.77,1482900,-18.06,-3.1,572.8125
ISRG,2025-02-26,570.85,586.74,569.64,580.93,1098300,10.08,1.77,577.04
ISRG,2025-02-25,583.7,584.88,556.2,573.74,2549500,-9.96,-1.71,574.63
ISRG,2025-02-24,594.47,600.58,590.66,591.01,1441500,-3.46,-0.58203,594.18
ISRG,2025-02-21,605.09,607.35,590.37,591.79,1675100,-13.3,-2.2,598.65
ISRG,2025-02-20,607.15,608.17,597.77,606.57,1328222,-0.58,-0.09552829,604.915
