symbol,date,open,high,low,close,volume,change,changePercent,vwap
KDP,2025-04-04,35.94,35.99,33.78,33.975,10537443,-1.96,-5.46745,34.58
KDP,2025-04-03,35.37,35.79,34.97,35.63,21167934,0.265,0.73509,35.44
KDP,2025-04-02,35.05,35.21,34.58,35.14,14860700,0.095,0.25678,34.995
KDP,2025-04-01,35.0,35.17,34.38,34.97,13994993,-0.03,-0.08571429,34.88
KDP,2025-03-31,33.96,34.37,33.83,34.22,14302387,0.26,0.76561,34.095
KDP,2025-03-28,34.09,34.27,33.45,33.74,17025452,-0.35,-1.03,33.8875
KDP,2025-03-27,34.19,34.38,34.11,34.26,13064533,0.075,0.20474,34.235
KDP,2025-03-26,33.9,34.24,33.82,34.06,14913553,0.16,0.47198,34.005
KDP,2025-03-25,33.8,33.91,33.55,33.83,13176298,0.03,0.0887574,33.7725
KDP,2025-03-24,33.55,33.96,33.36,33.85,16186633,0.3,0.89419,33.68
KDP,2025-03-21,33.47,33.68,33.07,33.55,18009400,0.08,0.23902,33.4425
KDP,2025-03-20,33.5,33.65,33.25,33.43,13866619,-0.07,-0.20896,33.4575
KDP,2025-03-19,33.48,33.68,33.14,33.47,12172601,-0.01,-0.02986858,33.4425
KDP,2025-03-18,33.84,33.89,33.53,33.59,10849634,-0.25,-0.73877,33.7125
KDP,2025-03-17,33.53,33.99,33.52,33.84,9406700,0.31,0.92455,33.72
KDP,2025-03-14,32.99,33.69,32.92,33.59,12290941,0.6,1.82,33.2975
KDP,2025-03-13,32.83,33.13,32.36,33.11,12558700,0.28,0.85288,32.8575
KDP,2025-03-12,32.81,33.05,32.49,32.81,10319610,0.0,0.0,32.79
KDP,2025-03-11,32.64,33.42,32.38,33.24,16308042,0.6,1.84,32.92
KDP,2025-03-10,33.59,34.05,32.4,32.54,21290708,-1.05,-3.13,33.145
KDP,2025-03-07,33.47,34.07,33.2,33.34,11650342,-0.13,-0.38841,33.52
KDP,2025-03-06,33.23,33.67,33.04,33.53,11209632,0.3,0.9028,33.3675
KDP,2025-03-05,33.32,33.81,33.25,33.3,8710348,-0.02,-0.06002401,33.42
KDP,2025-03-04,34.47,34.58,33.57,33.6,13982648,-0.87,-2.52,34.055
KDP,2025-03-03,33.31,34.36,33.3,34.13,22251070,0.82,2.46,33.775
KDP,2025-02-28,33.86,34.23,33.32,33.52,36652213,-0.34,-1.0,33.7325
KDP,2025-02-27,32.8,33.88,32.7,33.61,68945100,0.81,2.47,33.2475
KDP,2025-02-26,34.74,34.84,33.67,33.74,14341115,-1.0,-2.88,34.2475
KDP,2025-02-25,34.92,35.97,34.55,34.94,19808087,0.02,0.05727377,35.095
KDP,2025-02-24,34.03,34.42,33.86,34.12,15295512,0.09,0.26447,34.1075
KDP,2025-02-21,33.32,34.14,33.18,34.04,17595206,0.72,2.16,33.67
KDP,2025-02-20,32.68,33.22,32.53,33.14,11560227,0.46,1.41,32.8925
KDP,2025-02-19,32.53,32.96,32.45,32.78,11260546,0.25,0.76852,32.68
KDP,2025-02-18,31.45,32.55,31.36,32.45,10351693,1.0,3.18,31.9525
KDP,2025-02-14,31.89,32.2,31.62,31.65,9638400,-0.235,-0.75259,31.84
KDP,2025-02-13,31.77,32.02,31.71,31.87,10085968,0.1,0.31476,31.8425
KDP,2025-02-12,31.19,31.8,31.18,31.67,6951023,0.48,1.54,31.46
KDP,2025-02-11,30.95,31.61,30.85,31.56,7699070,0.61,1.97,31.2425
KDP,2025-02-10,31.12,31.14,30.67,30.9,9896651,-0.22,-0.70694,30.9575
KDP,2025-02-07,31.46,31.46,30.92,31.04,7780900,-0.42,-1.34,31.22
KDP,2025-02-06,31.45,31.45,30.82,31.0,12561723,-0.45,-1.43,31.18
KDP,2025-02-05,31.26,31.64,31.06,31.13,8672766,-0.125,-0.41587,31.2725
KDP,2025-02-04,32.21,32.27,31.24,31.28,7271900,-0.93,-2.89,31.75
KDP,2025-02-03,32.1,32.81,31.97,32.54,13550400,0.44,1.37,32.355
KDP,2025-01-31,32.0,32.4,31.91,32.1,5826600,0.1,0.3125,32.1025
KDP,2025-01-30,32.13,32.37,31.86,32.24,5271100,0.11,0.34236,32.15
KDP,2025-01-29,31.48,32.01,31.43,31.86,7974300,0.38,1.21,31.695
KDP,2025-01-28,31.62,31.88,31.21,31.34,9469857,-0.28,-0.88552,31.5125
KDP,2025-01-27,31.37,31.95,31.33,31.83,8783443,0.46,1.47,31.62
KDP,2025-01-24,31.12,31.26,30.87,31.15,9111700,0.03,0.09640103,31.1
KDP,2025-01-23,31.64,31.64,30.83,31.05,7784800,-0.59,-1.86,31.29
KDP,2025-01-22,31.59,31.76,31.47,31.5,8788860,-0.095,-0.2849,31.58
KDP,2025-01-21,31.73,31.85,31.53,31.71,7990100,-0.02,-0.06303183,31.705
KDP,2025-01-17,31.59,31.78,31.42,31.62,6930310,0.03,0.09496676,31.6025
KDP,2025-01-16,31.0,31.32,30.79,31.28,7347900,0.28,0.90323,31.0975
KDP,2025-01-15,31.39,31.39,30.73,30.97,7140017,-0.42,-1.34,31.12
KDP,2025-01-14,30.7,31.16,30.63,31.14,6417800,0.44,1.43,30.9075
KDP,2025-01-13,30.38,30.85,30.12,30.78,11769627,0.4,1.32,30.5325
KDP,2025-01-10,30.87,31.19,30.32,30.38,9825458,-0.49,-1.59,30.69
KDP,2025-01-08,30.72,31.17,30.38,31.12,8401519,0.4,1.3,30.8475
KDP,2025-01-07,31.0,31.24,30.57,30.68,8271694,-0.32,-1.03,30.8725
KDP,2025-01-06,31.48,31.73,31.04,31.08,7561234,-0.4,-1.27,31.3325
KDP,2025-01-03,31.69,31.72,31.29,31.54,5071106,-0.15,-0.47334,31.56
KDP,2025-01-02,32.32,32.44,31.73,31.76,5071609,-0.56,-1.73,32.0625
KDP,2024-12-31,32.04,32.19,31.85,32.12,5259321,0.08,0.24969,32.05
KDP,2024-12-30,32.27,32.29,31.71,31.96,9324800,-0.31,-0.96064,32.0575
KDP,2024-12-27,32.02,32.46,32.02,32.27,6018400,0.25,0.78076,32.1925
KDP,2024-12-26,32.37,32.49,32.28,32.31,4190248,-0.06,-0.18536,32.3625
