symbol,date,open,high,low,close,volume,change,changePercent,vwap
KHC,2025-04-04,30.4,31.145,29.65,29.815,12449874,-0.585,-1.92434,30.2
KHC,2025-04-03,30.45,31.12,30.4,30.81,11914519,0.36,1.18,30.695
KHC,2025-04-02,30.39,30.55,30.05,30.13,8376200,-0.26,-0.85554,30.28
KHC,2025-04-01,30.53,30.69,30.12,30.34,8155500,-0.19,-0.62234,30.42
KHC,2025-03-31,30.37,30.77,30.29,30.43,8892100,0.06,0.19756,30.465
KHC,2025-03-28,30.24,30.41,30.06,30.24,8253600,0.0,0.0,30.2375
KHC,2025-03-27,29.86,30.13,29.77,30.07,8164209,0.21,0.70328,29.9575
KHC,2025-03-26,29.17,29.83,29.15,29.69,8245545,0.52,1.78,29.46
KHC,2025-03-25,29.12,29.24,28.93,29.1,9391200,-0.02,-0.06868132,29.0975
KHC,2025-03-24,29.24,29.47,28.94,29.12,13803931,-0.12,-0.4104,29.1925
KHC,2025-03-21,29.6,29.93,29.39,29.52,25261700,-0.08,-0.27027,29.61
KHC,2025-03-20,29.95,30.15,29.69,29.71,13811600,-0.235,-0.80134,29.875
KHC,2025-03-19,30.18,30.4,29.73,29.89,14547100,-0.285,-0.9609,30.05
KHC,2025-03-18,30.8,30.89,30.37,30.39,7070577,-0.41,-1.33,30.6125
KHC,2025-03-17,30.24,30.8,30.22,30.66,9934914,0.42,1.39,30.48
KHC,2025-03-14,30.13,30.53,30.09,30.23,9850531,0.1,0.3319,30.245
KHC,2025-03-13,30.34,30.84,30.12,30.19,10891600,-0.1505,-0.4944,30.3725
KHC,2025-03-12,30.67,31.02,30.04,30.3,13434543,-0.365,-1.21,30.5075
KHC,2025-03-11,32.12,32.25,31.01,31.1,14230100,-1.02,-3.18,31.62
KHC,2025-03-10,32.45,33.35,32.16,32.22,14768927,-0.23,-0.70878,32.545
KHC,2025-03-07,30.95,32.69,30.82,32.18,15742600,1.23,3.97,31.66
KHC,2025-03-06,31.04,31.57,30.82,31.28,9692835,0.24,0.7732,31.1775
KHC,2025-03-05,30.83,31.52,30.76,30.99,9295400,0.16,0.51898,31.025
KHC,2025-03-04,31.69,31.92,30.95,30.98,13271600,-0.71,-2.24,31.385
KHC,2025-03-03,30.7,31.39,30.65,31.32,8911036,0.62,2.02,31.015
KHC,2025-02-28,30.88,31.06,30.59,30.71,12186645,-0.17,-0.55052,30.81
KHC,2025-02-27,30.54,30.92,30.23,30.65,10348319,0.11,0.36018,30.585
KHC,2025-02-26,31.51,31.58,30.55,30.62,10465633,-0.89,-2.82,31.065
KHC,2025-02-25,31.5,31.9,31.32,31.73,10326600,0.23,0.73016,31.6125
KHC,2025-02-24,31.15,31.93,30.97,31.36,12637600,0.21,0.67416,31.3525
KHC,2025-02-21,30.32,31.3,30.23,31.13,14717900,0.81,2.67,30.745
KHC,2025-02-20,29.82,30.25,29.81,30.16,8641100,0.34,1.14,30.01
KHC,2025-02-19,29.35,29.93,29.22,29.79,9573331,0.44,1.5,29.5725
KHC,2025-02-18,28.65,29.44,28.62,29.32,11786200,0.67,2.34,29.0075
KHC,2025-02-14,29.22,29.59,28.84,28.92,9272307,-0.295,-1.03,29.1425
