symbol,date,open,high,low,close,volume,change,changePercent,vwap
KLAC,2025-04-04,592.42,598.68,561.51,578.565,1374713,-13.85,-2.33871,579.59
KLAC,2025-04-03,652.21,656.92,620.27,620.82,1523767,-31.39,-4.81,637.555
KLAC,2025-04-02,667.29,695.62,667.29,686.19,791100,18.9,2.83,679.0975
KLAC,2025-04-01,674.0,682.8,662.18,682.46,669678,8.46,1.26,675.36
KLAC,2025-03-31,672.99,681.14,655.42,679.8,1165423,6.81,1.01,672.3375
KLAC,2025-03-28,685.37,694.17,667.18,673.6,989522,-11.77,-1.72,680.08
KLAC,2025-03-27,700.35,707.13,692.0,700.0,735127,-0.35,-0.04997501,699.87
KLAC,2025-03-26,721.49,724.17,698.81,705.54,734823,-15.95,-2.21,712.5025
KLAC,2025-03-25,724.62,727.17,718.73,721.85,498846,-2.77,-0.38227,723.0925
KLAC,2025-03-24,722.71,735.14,716.4,727.73,730200,5.02,0.69461,725.495
KLAC,2025-03-21,702.31,709.38,692.36,706.49,2454980,4.18,0.59518,702.635
KLAC,2025-03-20,708.82,719.66,707.68,716.46,629463,7.64,1.08,713.155
KLAC,2025-03-19,710.0,730.07,704.95,719.61,753410,9.61,1.35,716.1575
KLAC,2025-03-18,711.9,712.8,698.06,710.0,950774,-1.9,-0.26689,708.19
KLAC,2025-03-17,705.74,724.2,705.53,718.29,976200,12.55,1.78,713.44
KLAC,2025-03-14,689.97,713.74,689.97,713.0,1142942,23.03,3.34,701.67
KLAC,2025-03-13,676.62,694.0,668.66,681.5,931038,4.88,0.72123,680.195
KLAC,2025-03-12,676.04,686.75,671.82,680.39,884143,4.35,0.64345,678.75
KLAC,2025-03-11,677.39,680.32,653.74,664.22,1058740,-13.17,-1.94,668.9175
KLAC,2025-03-10,693.82,697.22,670.58,678.36,1389200,-15.46,-2.23,684.995
KLAC,2025-03-07,688.2,714.12,680.22,711.29,1088332,23.09,3.36,698.4575
KLAC,2025-03-06,697.27,711.66,683.98,692.13,1135733,-5.14,-0.73716,696.26
KLAC,2025-03-05,701.11,717.24,689.63,715.81,915815,14.7,2.1,705.9475
KLAC,2025-03-04,693.47,716.01,678.56,699.0,1182647,5.53,0.79744,696.76
KLAC,2025-03-03,714.53,728.11,686.36,691.15,1304761,-23.38,-3.27,705.0375
KLAC,2025-02-28,705.84,713.5,691.93,708.84,1242658,3.0,0.42503,705.0275
KLAC,2025-02-27,743.05,750.0,698.64,699.16,1325309,-43.89,-5.91,722.7125
KLAC,2025-02-26,733.33,751.11,729.98,738.52,1247400,5.19,0.70773,738.235
KLAC,2025-02-25,736.29,736.29,721.47,724.97,1068675,-11.32,-1.54,729.755
KLAC,2025-02-24,761.99,763.03,736.0,737.57,1110900,-24.42,-3.2,749.6475
KLAC,2025-02-21,779.74,782.41,751.06,754.3,872487,-25.44,-3.26,766.8775
