symbol,date,open,high,low,close,volume,change,changePercent,vwap
LIN,2025-04-04,464.5,470.0,438.83,439.19,3009053,-25.31,-5.44887,449.34
LIN,2025-04-03,466.56,472.01,464.99,467.22,2443011,0.66,0.14146,467.695
LIN,2025-04-02,462.9,470.31,462.4,469.74,1527700,6.84,1.48,466.3375
LIN,2025-04-01,462.0,467.51,460.78,467.09,1544600,5.09,1.1,464.345
LIN,2025-03-31,458.87,468.04,458.41,465.64,2373378,6.77,1.48,462.74
LIN,2025-03-28,466.53,466.6,458.79,459.11,1334716,-7.42,-1.59,462.7575
LIN,2025-03-27,461.99,466.65,459.43,464.73,1493300,2.74,0.59309,463.2
LIN,2025-03-26,457.45,463.1,456.98,461.43,1598026,3.98,0.87004,459.74
LIN,2025-03-25,458.94,458.99,454.98,457.45,2002532,-1.49,-0.32466,457.59
LIN,2025-03-24,457.12,461.9,455.02,459.09,2049568,1.97,0.43096,458.2825
LIN,2025-03-21,453.74,458.63,449.38,458.33,4969941,4.59,1.01,455.02
LIN,2025-03-20,456.11,460.01,455.23,457.75,2298100,1.64,0.35956,457.275
LIN,2025-03-19,459.0,461.57,454.9,459.75,4051469,0.75,0.1634,458.805
LIN,2025-03-18,464.11,464.8,457.73,460.71,2023019,-3.4,-0.73258,461.8375
LIN,2025-03-17,452.34,462.28,452.34,460.31,1890240,7.97,1.76,456.8175
LIN,2025-03-14,454.56,458.0,452.85,455.5,1912021,0.945,0.20679,455.2275
LIN,2025-03-13,449.44,455.35,447.5,453.26,2213633,3.82,0.84995,451.3875
LIN,2025-03-12,453.31,454.95,448.82,451.17,2652654,-2.14,-0.47208,452.0625
LIN,2025-03-11,461.65,461.9,451.12,454.07,2845743,-7.58,-1.64,457.185
LIN,2025-03-10,465.99,471.18,458.02,462.06,3129441,-3.93,-0.84337,464.3125
LIN,2025-03-07,466.17,470.0,463.42,468.77,1824011,2.6,0.55774,467.09
LIN,2025-03-06,466.69,470.15,463.35,466.16,3712100,-0.53,-0.11357,466.5875
LIN,2025-03-05,461.93,470.42,460.55,468.25,2385768,6.32,1.37,465.2875
LIN,2025-03-04,468.6,469.28,459.88,461.35,5027155,-7.25,-1.55,464.7775
LIN,2025-03-03,469.1,472.23,460.98,462.25,3072964,-6.85,-1.46,466.14
LIN,2025-02-28,465.07,468.34,460.63,467.05,2332945,1.98,0.42574,465.2725
LIN,2025-02-27,463.54,468.23,459.88,460.28,2071026,-3.26,-0.70328,462.9825
LIN,2025-02-26,466.36,467.51,461.27,461.55,1576105,-4.81,-1.03,464.1725
LIN,2025-02-25,459.29,468.99,459.29,467.49,2342221,8.2,1.79,463.765
LIN,2025-02-24,459.01,464.2,456.02,458.53,2108438,-0.48,-0.10457,459.44
LIN,2025-02-21,463.58,465.17,457.52,458.0,1939600,-5.58,-1.2,461.0675
LIN,2025-02-20,459.7,462.13,458.4,461.9,1335404,2.2,0.47857,460.5325
LIN,2025-02-19,460.82,465.64,460.12,462.07,1884034,1.25,0.27126,462.1625
LIN,2025-02-18,454.87,466.03,450.05,465.83,2808528,10.96,2.41,459.195
LIN,2025-02-14,461.05,464.1,456.7,457.0,1705911,-4.05,-0.87843,459.7125
LIN,2025-02-13,457.56,462.6,457.38,461.05,2265301,3.49,0.76274,459.6475
LIN,2025-02-12,457.32,460.14,454.55,458.56,1695200,1.24,0.27114,457.6425
LIN,2025-02-11,460.25,462.54,459.32,460.74,1587791,0.49,0.10646,460.7125
LIN,2025-02-10,454.82,461.12,453.4,460.86,1876700,6.04,1.33,457.55
LIN,2025-02-07,456.54,458.16,452.5,455.05,1668297,-1.49,-0.32637,455.5625
LIN,2025-02-06,450.03,461.51,450.0,460.68,2423313,10.65,2.37,455.555
LIN,2025-02-05,453.4,455.07,450.91,453.7,2696917,0.3,0.06616674,453.27
LIN,2025-02-04,455.94,458.83,452.83,454.8,2504031,-1.14,-0.25003,455.6
LIN,2025-02-03,445.03,454.81,440.46,454.21,2701200,9.18,2.06,448.6275
LIN,2025-01-31,444.42,448.17,438.64,446.12,2820700,1.7,0.38252,444.3375
LIN,2025-01-30,439.0,449.67,439.0,446.38,2545904,7.38,1.68,443.5125
LIN,2025-01-29,435.22,439.02,434.49,438.32,2631137,3.1,0.71228,436.7625
LIN,2025-01-28,440.0,440.41,435.24,435.51,2158432,-4.49,-1.02,437.79
LIN,2025-01-27,438.34,441.4,434.99,439.49,2833438,1.15,0.26235,438.555
LIN,2025-01-24,442.87,443.37,439.04,439.25,1547800,-3.62,-0.8174,441.1325
LIN,2025-01-23,442.72,443.14,440.43,440.83,1811300,-1.89,-0.42691,441.78
LIN,2025-01-22,445.67,448.69,442.47,442.6,2644136,-3.07,-0.68885,444.8575
LIN,2025-01-21,439.67,444.07,439.44,442.46,2281956,2.79,0.63457,441.41
LIN,2025-01-17,440.0,440.0,433.53,436.0,2412200,-4.0,-0.90909,437.3825
LIN,2025-01-16,427.92,432.75,427.65,432.49,1511600,4.57,1.07,430.2025
LIN,2025-01-15,433.22,433.92,426.41,427.98,2202422,-5.24,-1.21,430.3825
LIN,2025-01-14,422.28,427.81,420.72,427.29,2344300,5.01,1.19,424.525
LIN,2025-01-13,415.79,422.68,413.7,421.43,2824504,5.64,1.36,418.4
LIN,2025-01-10,415.61,417.89,411.72,414.15,2642600,-1.46,-0.35129,414.8425
LIN,2025-01-08,416.74,420.42,414.2,420.01,2252300,3.27,0.78466,417.8425
LIN,2025-01-07,412.03,419.0,410.69,414.95,3209160,2.92,0.70869,414.1675
LIN,2025-01-06,415.43,418.38,412.12,412.91,2630831,-2.52,-0.6066,414.71
LIN,2025-01-03,416.15,417.99,413.1,413.5,1995949,-2.65,-0.63679,415.185
LIN,2025-01-02,420.75,422.72,413.77,414.17,2112206,-6.58,-1.56,417.8525
LIN,2024-12-31,418.61,420.11,415.75,418.67,1387116,0.06,0.01433315,418.285
LIN,2024-12-30,419.18,420.26,415.41,417.66,1608038,-1.52,-0.36261,418.1275
LIN,2024-12-27,423.21,425.96,421.54,422.98,1444989,-0.23,-0.05434654,423.4225
LIN,2024-12-26,424.12,426.6,422.91,424.32,992356,0.2,0.04715647,424.4875
LIN,2024-12-24,422.18,426.06,420.58,425.77,824227,3.59,0.85035,423.6475
LIN,2024-12-23,422.43,425.66,417.68,422.33,2084301,-0.1,-0.02367256,422.025
LIN,2024-12-20,419.23,425.34,418.27,424.31,6680941,5.08,1.21,421.7875
LIN,2024-12-19,422.1,425.57,419.03,419.59,3292000,-2.51,-0.59465,421.5725
LIN,2024-12-18,428.92,431.3,422.05,422.27,3271900,-6.65,-1.55,426.135
LIN,2024-12-17,428.24,433.19,425.94,430.2,3320200,1.96,0.45769,429.3925
LIN,2024-12-16,435.72,435.73,427.41,428.3,3691695,-7.42,-1.7,431.79
LIN,2024-12-13,437.61,437.8,432.76,435.3,2254458,-2.31,-0.52787,435.8675
LIN,2024-12-12,439.94,442.38,437.9,438.5,1719345,-1.44,-0.32732,439.68
LIN,2024-12-11,443.29,445.65,440.16,440.53,1612808,-2.76,-0.62262,442.4075
LIN,2024-12-10,444.81,446.38,437.25,444.81,2326100,0.0,0.0,443.3125
LIN,2024-12-09,447.9,450.8,441.93,442.58,2833900,-5.32,-1.19,445.8025
LIN,2024-12-06,448.05,450.86,446.95,449.44,2191300,1.39,0.31023,448.825
LIN,2024-12-05,457.26,457.65,448.01,448.58,2303200,-8.68,-1.9,452.875
LIN,2024-12-04,456.28,461.41,455.31,459.45,2188342,3.17,0.69475,458.1125
LIN,2024-12-03,461.9,461.9,456.58,458.12,1868338,-3.78,-0.81836,459.625
LIN,2024-12-02,460.99,461.04,456.45,459.69,1801800,-1.3,-0.282,459.5425
LIN,2024-11-29,456.99,461.66,456.09,460.99,1351500,4.0,0.87529,458.9325
LIN,2024-11-27,456.68,459.6,456.68,457.12,2069423,0.44,0.09634755,457.52
LIN,2024-11-26,453.47,456.66,451.28,456.6,2600009,3.13,0.69023,454.5025
LIN,2024-11-25,454.58,457.0,453.02,455.69,3835798,1.11,0.24418,455.0725
LIN,2024-11-22,453.84,457.2,453.55,454.78,1864846,0.94,0.20712,454.8425
LIN,2024-11-21,451.85,455.14,449.61,455.07,2072800,3.22,0.71263,452.9175
LIN,2024-11-20,443.74,450.9,441.53,450.14,1928700,6.4,1.44,446.5775
LIN,2024-11-19,443.8,444.67,439.76,444.06,2084600,0.26,0.05858495,443.0725
LIN,2024-11-18,446.53,449.26,445.29,448.57,1751439,2.04,0.45686,447.4125
LIN,2024-11-15,451.07,451.69,446.9,449.1,2417805,-1.97,-0.43674,449.69
LIN,2024-11-14,455.65,457.87,453.1,453.49,1666958,-2.16,-0.47405,455.0275
LIN,2024-11-13,453.84,457.54,450.86,456.24,1538420,2.4,0.52882,454.62
LIN,2024-11-12,458.27,460.29,453.58,455.59,1749000,-2.68,-0.58481,456.9325
LIN,2024-11-11,459.48,462.39,455.35,456.44,1981242,-3.04,-0.66162,458.415
LIN,2024-11-08,465.33,465.62,459.21,459.48,1496836,-5.85,-1.26,462.41
LIN,2024-11-07,465.0,467.98,463.59,465.47,1925500,0.47,0.10108,465.51
LIN,2024-11-06,463.82,465.69,458.32,462.63,2626911,-1.19,-0.25657,462.615
LIN,2024-11-05,458.32,460.86,454.17,454.89,1749314,-3.43,-0.74839,457.06
LIN,2024-11-04,457.98,461.8,456.29,458.32,1616117,0.34,0.07423905,458.5975
LIN,2024-11-01,456.51,459.33,453.5,457.31,2347400,0.8,0.17524,456.6625
LIN,2024-10-31,454.95,463.0,454.47,456.15,3615602,1.2,0.26377,457.1425
LIN,2024-10-30,473.27,475.0,472.34,473.4,1794313,0.13,0.02746846,473.5025
LIN,2024-10-29,474.65,476.32,472.75,474.66,2056600,0.01,0.00210682,474.595
LIN,2024-10-28,475.81,478.0,473.71,476.0,1440400,0.19,0.03993191,475.88
LIN,2024-10-25,475.12,478.65,472.93,473.76,2458462,-1.36,-0.28624,475.115
LIN,2024-10-24,478.35,478.43,471.62,474.46,994300,-3.89,-0.81321,475.715
LIN,2024-10-23,479.17,482.24,476.86,477.43,1541400,-1.74,-0.36313,478.925
LIN,2024-10-22,481.78,482.48,478.0,481.95,1429702,0.17,0.03528582,481.0525
LIN,2024-10-21,484.95,485.49,481.06,483.36,1065700,-1.59,-0.32787,483.715
LIN,2024-10-18,483.14,487.28,481.51,486.45,1255247,3.31,0.6851,484.595
LIN,2024-10-17,486.92,487.49,484.38,486.06,1051750,-0.86,-0.17662,486.2125
LIN,2024-10-16,478.52,485.32,478.32,483.98,1210130,5.46,1.14,481.535
LIN,2024-10-15,477.58,483.35,477.2,480.71,1477106,3.13,0.65539,479.71
LIN,2024-10-14,474.38,478.15,473.42,477.58,1076836,3.2,0.67456,475.8825
LIN,2024-10-11,472.1,474.61,470.84,474.04,1105320,1.94,0.41093,472.8975
LIN,2024-10-10,471.91,472.63,467.74,469.42,1249525,-2.49,-0.52764,470.425
LIN,2024-10-09,467.5,470.64,467.03,469.57,1245500,2.07,0.44278,468.685
LIN,2024-10-08,465.51,470.06,465.11,469.44,1272300,3.93,0.84424,467.53
LIN,2024-10-07,464.45,466.34,460.77,463.24,2019600,-1.21,-0.26052,463.7
LIN,2024-10-04,470.16,470.83,464.88,468.18,2131023,-1.98,-0.42113,468.5125
LIN,2024-10-03,471.96,472.75,468.15,469.75,1072337,-2.21,-0.46826,470.6525
LIN,2024-10-02,474.06,477.44,472.66,475.84,1024605,1.78,0.37548,475.0
LIN,2024-10-01,476.96,477.86,473.89,475.02,1342135,-1.94,-0.40674,475.9325
LIN,2024-09-30,479.31,479.59,474.15,476.86,1532652,-2.45,-0.51115,477.4775
LIN,2024-09-27,479.7,483.36,479.28,479.51,1252607,-0.19,-0.03960809,480.4625
LIN,2024-09-26,479.0,482.11,476.5,481.68,1092800,2.68,0.5595,479.8225
LIN,2024-09-25,481.0,481.6,475.7,477.01,1283879,-3.99,-0.82952,478.8275
LIN,2024-09-24,478.95,480.76,475.49,479.35,1588622,0.4,0.08351602,478.6375
LIN,2024-09-23,474.7,479.19,472.1,477.36,1148400,2.66,0.56035,475.8375
LIN,2024-09-20,469.5,472.11,466.75,471.91,3672715,2.41,0.51331,470.0675
LIN,2024-09-19,472.8,473.15,468.61,469.17,1897226,-3.63,-0.76777,470.9325
LIN,2024-09-18,471.66,471.66,464.73,467.03,1149900,-4.63,-0.98164,468.77
LIN,2024-09-17,475.52,476.98,470.51,471.66,1357100,-3.86,-0.81174,473.6675
LIN,2024-09-16,474.43,475.49,470.39,474.91,1307227,0.48,0.10117,473.805
LIN,2024-09-13,465.51,471.78,465.0,468.81,1162700,3.3,0.7089,467.775
LIN,2024-09-12,466.43,467.44,462.41,467.34,1917022,0.91,0.1951,465.905
LIN,2024-09-11,463.88,465.85,453.5,465.11,1585448,1.24,0.26515,462.085
LIN,2024-09-10,461.97,465.63,460.84,463.72,1247100,1.75,0.37881,463.04
LIN,2024-09-09,460.07,465.53,459.52,463.08,2076200,3.01,0.65425,462.05
LIN,2024-09-06,464.35,467.67,456.17,456.85,2012129,-7.5,-1.62,461.26
LIN,2024-09-05,470.34,471.47,463.09,465.52,1882408,-4.82,-1.02,467.605
LIN,2024-09-04,476.21,477.58,471.57,472.13,1310432,-4.08,-0.85676,474.3725
