symbol,date,open,high,low,close,volume,change,changePercent,vwap
LRCX,2025-04-04,62.3,63.07,57.97,59.27,19002114,-3.03,-4.86356,60.1
LRCX,2025-04-03,70.22,70.55,65.11,65.22,19436475,-5.0,-7.12,67.775
LRCX,2025-04-02,71.72,74.8,71.56,73.78,7641400,2.06,2.87,72.965
LRCX,2025-04-01,72.04,72.85,70.75,72.83,9066228,0.79,1.1,72.1175
LRCX,2025-03-31,71.6,72.85,70.44,72.7,11778105,1.1,1.54,71.8975
LRCX,2025-03-28,74.63,75.3,72.23,72.61,9541529,-2.02,-2.71,73.6925
LRCX,2025-03-27,75.89,76.07,74.35,74.81,8441800,-1.08,-1.42,75.28
LRCX,2025-03-26,77.75,77.86,75.13,76.14,7328928,-1.61,-2.07,76.72
LRCX,2025-03-25,77.85,78.37,77.47,77.67,6437300,-0.18,-0.23121,77.84
LRCX,2025-03-24,77.74,78.78,77.38,77.99,7954800,0.25,0.32158,77.9725
LRCX,2025-03-21,76.0,76.37,75.27,75.84,20062000,-0.16,-0.21053,75.87
LRCX,2025-03-20,76.69,78.1,76.44,77.55,10689100,0.86,1.12,77.195
LRCX,2025-03-19,77.37,79.48,76.86,77.93,8907236,0.56,0.72379,77.91
LRCX,2025-03-18,77.48,77.84,76.17,77.36,8094731,-0.12,-0.15488,77.2125
LRCX,2025-03-17,77.11,79.14,77.11,78.31,9555235,1.2,1.56,77.9175
LRCX,2025-03-14,76.76,79.08,76.52,78.69,11862048,1.94,2.51,77.7625
LRCX,2025-03-13,76.11,77.27,74.55,75.26,9746200,-0.855,-1.12,75.7975
LRCX,2025-03-12,75.31,77.66,75.17,76.59,12702100,1.28,1.7,76.1825
LRCX,2025-03-11,74.08,75.39,72.45,73.36,12617543,-0.72,-0.97192,73.82
LRCX,2025-03-10,76.9,77.38,72.7,73.81,16652714,-3.09,-4.02,75.1975
LRCX,2025-03-07,76.65,79.49,75.34,79.01,14160300,2.36,3.08,77.6225
LRCX,2025-03-06,77.13,78.57,75.86,76.47,13195500,-0.66,-0.8557,77.0075
LRCX,2025-03-05,76.76,79.41,75.52,79.05,15404800,2.29,2.98,77.685
LRCX,2025-03-04,76.03,78.47,74.08,76.44,15417740,0.41,0.53926,76.255
LRCX,2025-03-03,77.94,79.75,74.55,75.78,14787100,-2.16,-2.77,77.005
LRCX,2025-02-28,76.75,78.18,75.37,76.74,22608300,-0.01,-0.01302932,76.76
LRCX,2025-02-27,81.65,82.17,76.04,76.17,14830208,-5.48,-6.71,79.0075
LRCX,2025-02-26,81.69,82.93,80.65,81.3,12427523,-0.39,-0.47741,81.6425
LRCX,2025-02-25,83.06,83.7,79.93,80.29,19088100,-2.77,-3.33,81.745
LRCX,2025-02-24,86.45,86.71,83.22,83.34,11728700,-3.11,-3.6,84.93
LRCX,2025-02-21,89.64,90.22,85.72,86.02,12860943,-3.62,-4.04,87.9
LRCX,2025-02-20,89.98,91.72,88.56,89.02,16888441,-0.96,-1.07,89.82
LRCX,2025-02-19,86.3,89.8,85.75,87.66,15588030,1.36,1.58,87.3775
LRCX,2025-02-18,84.91,86.81,83.37,86.58,16205500,1.67,1.97,85.4175
LRCX,2025-02-14,82.65,83.61,81.72,82.75,9149516,0.1,0.12099,82.6825
LRCX,2025-02-13,81.58,83.66,81.45,83.3,7845934,1.72,2.11,82.4975
LRCX,2025-02-12,81.28,82.14,80.49,81.57,7973042,0.29,0.35679,81.37
LRCX,2025-02-11,83.06,84.5,82.98,83.26,8903400,0.2,0.24079,83.45
LRCX,2025-02-10,83.55,84.67,82.56,83.73,13613100,0.18,0.21544,83.6275
LRCX,2025-02-07,83.19,83.51,81.79,82.33,9833600,-0.86,-1.03,82.705
LRCX,2025-02-06,81.15,83.06,80.93,82.83,9903213,1.68,2.07,81.9925
LRCX,2025-02-05,79.1,82.11,78.62,81.94,10740981,2.84,3.59,80.4425
LRCX,2025-02-04,79.0,80.58,78.97,79.91,9538804,0.91,1.15,79.615
LRCX,2025-02-03,78.97,81.56,78.5,80.19,14537703,1.22,1.54,79.805
LRCX,2025-01-31,81.09,84.22,80.85,81.05,18840940,-0.04,-0.04932791,81.8025
LRCX,2025-01-30,79.75,82.09,77.59,80.73,24878513,0.98,1.23,80.04
LRCX,2025-01-29,77.45,77.49,74.47,75.15,14558900,-2.3,-2.97,76.14
LRCX,2025-01-28,75.11,75.67,73.6,74.51,13597700,-0.6,-0.79883,74.7225
LRCX,2025-01-27,76.79,76.83,73.41,75.63,19881317,-1.16,-1.51,75.665
LRCX,2025-01-24,81.7,81.7,78.98,79.68,9091926,-2.02,-2.47,80.515
LRCX,2025-01-23,80.75,81.39,79.45,81.23,11383314,0.48,0.59443,80.705
LRCX,2025-01-22,82.43,85.19,82.42,83.25,14716613,0.82,0.99478,83.3225
LRCX,2025-01-21,80.82,82.43,79.92,81.5,10978304,0.68,0.84138,81.1675
LRCX,2025-01-17,81.41,81.81,79.6,80.3,10351000,-1.11,-1.36,80.78
LRCX,2025-01-16,78.89,82.83,78.31,79.22,19156600,0.33,0.4183,79.8125
LRCX,2025-01-15,75.86,77.27,75.45,76.15,11085800,0.29,0.38228,76.1825
LRCX,2025-01-14,75.04,75.13,73.59,75.06,9033100,0.02,0.02665245,74.705
LRCX,2025-01-13,73.17,74.58,72.56,74.45,8321802,1.28,1.75,73.69
LRCX,2025-01-10,76.02,76.23,74.32,74.65,11957600,-1.37,-1.8,75.305
LRCX,2025-01-08,77.42,77.75,76.24,77.04,8690800,-0.38,-0.49083,77.1125
LRCX,2025-01-07,78.86,80.14,76.89,77.52,10896611,-1.34,-1.7,78.3525
LRCX,2025-01-06,77.18,80.15,77.0,77.98,15164600,0.8,1.04,78.0775
LRCX,2025-01-03,73.18,75.28,72.97,75.11,8983435,1.93,2.64,74.135
LRCX,2025-01-02,72.71,73.92,71.74,72.44,8075100,-0.27,-0.37134,72.7025
LRCX,2024-12-31,72.4,72.8,71.54,72.23,7195243,-0.17,-0.23481,72.2425
LRCX,2024-12-30,72.0,72.59,71.27,72.15,10381700,0.15,0.20833,72.0025
LRCX,2024-12-27,73.3,73.76,72.64,73.4,5444100,0.1,0.13643,73.275
LRCX,2024-12-26,73.25,74.56,73.0,73.99,6298458,0.74,1.01,73.7
LRCX,2024-12-24,74.07,74.17,73.23,73.83,5611700,-0.235,-0.32402,73.825
LRCX,2024-12-23,72.35,73.99,72.0,73.8,10406721,1.45,2.0,73.035
LRCX,2024-12-20,70.54,73.47,70.3,71.79,29404500,1.25,1.77,71.525
LRCX,2024-12-19,72.75,72.91,70.16,71.21,17426426,-1.54,-2.12,71.7575
LRCX,2024-12-18,78.04,79.31,74.62,75.2,15804705,-2.84,-3.64,76.7925
LRCX,2024-12-17,77.89,78.74,77.42,77.81,14167937,-0.08,-0.10271,77.965
LRCX,2024-12-16,76.27,78.13,75.32,77.83,12749609,1.56,2.05,76.8875
LRCX,2024-12-13,76.38,77.32,75.44,76.26,10818700,-0.12,-0.15711,76.35
LRCX,2024-12-12,77.25,77.36,74.95,75.58,8641547,-1.67,-2.16,76.285
LRCX,2024-12-11,76.32,78.72,75.43,78.23,14116942,1.91,2.5,77.175
LRCX,2024-12-10,78.14,78.25,74.42,75.13,10620138,-3.01,-3.85,76.485
LRCX,2024-12-09,76.47,78.25,75.67,77.45,10742200,0.985,1.28,76.96
LRCX,2024-12-06,75.14,76.69,74.69,76.59,8330000,1.45,1.93,75.7775
LRCX,2024-12-05,77.88,77.88,74.65,75.21,12921603,-2.67,-3.43,76.405
LRCX,2024-12-04,79.54,79.83,77.61,78.26,9380428,-1.28,-1.61,78.81
LRCX,2024-12-03,77.7,78.7,77.04,78.34,9884600,0.64,0.82368,77.945
LRCX,2024-12-02,73.88,78.86,73.86,78.51,20059300,4.63,6.27,76.2775
LRCX,2024-11-29,73.85,75.77,73.66,73.88,10736500,0.03,0.04062288,74.29
LRCX,2024-11-27,72.73,72.87,70.42,71.57,7846714,-1.16,-1.59,71.8975
LRCX,2024-11-26,74.11,74.47,72.0,72.69,7385246,-1.42,-1.92,73.3175
LRCX,2024-11-25,74.01,74.03,71.64,73.71,16714213,-0.303,-0.40535,73.3475
LRCX,2024-11-22,72.61,73.27,71.6,72.64,8666500,0.035,0.04131662,72.53
LRCX,2024-11-21,71.19,73.45,70.83,73.13,14509043,1.94,2.73,72.15
LRCX,2024-11-20,70.01,70.22,68.87,70.05,8816927,0.04,0.0571347,69.7875
LRCX,2024-11-19,70.05,70.52,69.56,70.17,7445949,0.12,0.17131,70.075
LRCX,2024-11-18,69.89,70.8,69.64,70.57,11520126,0.68,0.97296,70.225
LRCX,2024-11-15,71.65,72.71,69.99,70.05,14577423,-1.6,-2.23,71.1
LRCX,2024-11-14,75.45,75.64,74.5,74.79,9993900,-0.66,-0.87475,75.095
LRCX,2024-11-13,74.5,75.07,73.51,73.85,11618100,-0.65,-0.87248,74.2325
LRCX,2024-11-12,76.42,76.67,74.66,75.7,9672300,-0.715,-0.94216,75.8625
LRCX,2024-11-11,77.43,77.89,74.85,76.17,10306217,-1.26,-1.63,76.585
LRCX,2024-11-08,78.83,79.36,77.47,78.2,7527100,-0.63,-0.79919,78.465
LRCX,2024-11-07,78.06,79.47,77.35,79.21,11523600,1.15,1.47,78.5225
LRCX,2024-11-06,77.68,78.09,75.23,76.78,15034807,-0.9,-1.16,76.945
LRCX,2024-11-05,74.52,76.79,74.52,76.4,8004900,1.88,2.52,75.5575
LRCX,2024-11-04,74.43,74.98,73.76,74.17,7773046,-0.26,-0.34932,74.335
LRCX,2024-11-01,74.36,75.47,74.06,74.8,10317546,0.44,0.59172,74.6725
LRCX,2024-10-31,76.1,76.1,73.45,74.35,13044900,-1.75,-2.3,75.0
LRCX,2024-10-30,76.86,77.2,75.85,76.45,11076800,-0.41,-0.53344,76.59
LRCX,2024-10-29,75.85,78.74,75.44,78.31,12540800,2.46,3.24,77.085
LRCX,2024-10-28,77.17,78.03,75.18,75.45,10175835,-1.72,-2.23,76.4575
LRCX,2024-10-25,77.47,79.6,77.08,77.68,14591100,0.21,0.27107,77.9575
LRCX,2024-10-24,76.18,77.48,74.45,76.57,23196200,0.39,0.51195,76.17
LRCX,2024-10-23,72.37,73.47,71.56,72.86,20569103,0.49,0.67708,72.565
LRCX,2024-10-22,72.67,73.41,71.43,73.0,13307000,0.33,0.45411,72.6275
LRCX,2024-10-21,72.62,73.1,72.08,72.84,12374947,0.22,0.30295,72.66
LRCX,2024-10-18,74.23,74.23,72.45,72.84,18493400,-1.39,-1.87,73.4375
LRCX,2024-10-17,76.46,76.6,73.03,73.14,20940600,-3.32,-4.34,74.8075
LRCX,2024-10-16,77.15,77.5,73.87,74.14,20469238,-3.01,-3.9,75.665
LRCX,2024-10-15,85.8,86.56,75.91,76.36,25611343,-9.44,-11.0,81.1575
LRCX,2024-10-14,83.77,86.3,83.76,85.7,8155025,1.93,2.3,84.8825
LRCX,2024-10-11,81.49,83.74,81.28,82.89,6530339,1.4,1.72,82.35
LRCX,2024-10-10,81.54,82.95,81.02,82.06,7159542,0.52,0.63772,81.8925
LRCX,2024-10-09,80.76,83.46,80.72,82.86,9078600,2.1,2.6,81.95
LRCX,2024-10-08,80.7,81.61,79.8,81.01,6913500,0.31,0.38414,80.78
LRCX,2024-10-07,80.58,81.42,80.06,80.61,7542706,0.03,0.03723008,80.6675
LRCX,2024-10-04,82.97,83.09,80.49,81.54,7589684,-1.43,-1.72,82.0225
LRCX,2024-10-03,79.93,82.12,79.88,81.11,6725809,1.18,1.48,80.76
LRCX,2024-10-02,80.4,83.04,80.0,81.41,14324110,1.01,1.26,81.2125
LRCX,2024-10-01,81.75,82.18,78.69,79.74,14368020,-2.01,-2.46,80.59
