symbol,date,open,high,low,close,volume,change,changePercent,vwap
LULU,2025-04-04,242.0,271.7063,234.84,265.245,7618959,23.25,9.60537,257.26
LULU,2025-04-03,243.98,256.88,243.05,255.65,7591218,11.67,4.78,249.89
LULU,2025-04-02,277.75,287.95,276.51,282.75,2315224,5.0,1.8,281.24
LULU,2025-04-01,282.23,283.64,277.45,279.63,3315119,-2.6,-0.92123,280.7375
LULU,2025-03-31,286.14,291.76,280.83,283.06,4414707,-3.08,-1.08,285.4475
LULU,2025-03-28,301.05,304.0,287.5,293.06,12915240,-7.99,-2.65,296.4025
LULU,2025-03-27,334.25,348.5,334.07,341.53,4470400,7.28,2.18,339.5875
LULU,2025-03-26,336.76,340.77,332.42,337.79,2301337,1.03,0.30586,336.935
LULU,2025-03-25,342.5,346.72,334.74,337.35,2040444,-5.15,-1.5,340.3275
LULU,2025-03-24,324.81,336.36,324.81,334.96,1703800,10.15,3.12,330.235
LULU,2025-03-21,317.64,324.38,311.0,322.62,1986131,4.98,1.57,318.91
LULU,2025-03-20,327.05,333.01,323.3,324.45,1106531,-2.6,-0.79499,326.9525
LULU,2025-03-19,319.45,330.81,318.56,329.57,1098296,10.12,3.17,324.5975
LULU,2025-03-18,325.89,326.0,319.22,323.07,1122778,-2.82,-0.86532,323.545
LULU,2025-03-17,314.27,330.42,313.5,327.09,1768300,12.82,4.08,321.32
LULU,2025-03-14,313.4,316.98,308.66,311.03,1514069,-2.37,-0.75622,312.5175
LULU,2025-03-13,316.09,317.25,304.77,309.68,1812000,-6.41,-2.03,311.9475
LULU,2025-03-12,322.99,324.8,315.67,316.49,1685867,-6.5,-2.01,319.9875
LULU,2025-03-11,333.7,333.94,317.71,319.42,2033138,-14.28,-4.28,326.1925
LULU,2025-03-10,337.57,342.61,330.72,333.77,1956900,-3.8,-1.13,336.1675
LULU,2025-03-07,347.13,347.74,332.76,344.36,1717700,-2.77,-0.79797,342.9975
LULU,2025-03-06,348.68,363.88,345.0,347.94,1783239,-0.74,-0.21223,351.375
LULU,2025-03-05,344.13,350.8,340.84,349.53,1355469,5.4,1.57,346.325
LULU,2025-03-04,342.62,349.56,330.3,345.29,2120866,2.67,0.77929,341.9425
LULU,2025-03-03,365.8,367.01,345.52,347.81,1696832,-17.99,-4.92,356.535
LULU,2025-02-28,358.68,366.54,358.0,365.61,1194152,6.93,1.93,362.2075
LULU,2025-02-27,364.64,371.75,359.31,362.16,1438707,-2.48,-0.68012,364.465
LULU,2025-02-26,366.33,372.66,363.08,366.03,1242150,-0.3,-0.08189337,367.025
LULU,2025-02-25,366.41,370.25,359.19,366.72,1365479,0.31,0.08460468,365.6425
LULU,2025-02-24,364.0,372.41,360.0,368.22,2001716,4.22,1.16,366.1575
LULU,2025-02-21,366.0,366.99,354.29,358.97,1400600,-7.03,-1.92,361.5625
LULU,2025-02-20,367.21,369.53,359.1,365.82,1463217,-1.39,-0.37853,365.415
LULU,2025-02-19,370.11,374.41,362.87,367.22,1423416,-2.89,-0.78085,368.6525
LULU,2025-02-18,365.68,372.94,354.05,372.44,2251000,6.76,1.85,366.2775
LULU,2025-02-14,393.52,393.54,365.62,366.68,3310326,-26.84,-6.82,379.84
LULU,2025-02-13,400.01,400.01,390.03,390.85,1529602,-9.16,-2.29,395.225
LULU,2025-02-12,392.95,399.78,390.3,395.16,1169522,2.22,0.56241,394.5475
LULU,2025-02-11,398.17,403.21,397.13,397.63,866275,-0.54,-0.13562,399.035
LULU,2025-02-10,398.1,401.07,387.28,399.71,1341692,1.61,0.40442,396.54
LULU,2025-02-07,414.14,414.14,396.74,398.1,1487987,-16.04,-3.87,405.78
LULU,2025-02-06,416.25,417.12,407.74,411.83,1236545,-4.42,-1.06,413.235
LULU,2025-02-05,415.98,417.0,411.07,412.8,1186709,-3.18,-0.76446,414.2125
LULU,2025-02-04,409.24,417.91,408.43,415.9,1088367,6.66,1.63,412.87
LULU,2025-02-03,404.5,413.14,399.48,410.29,1752600,5.79,1.43,406.8525
LULU,2025-01-31,419.11,422.87,412.0,414.2,1298000,-4.91,-1.17,417.045
LULU,2025-01-30,415.0,423.32,413.51,421.16,1519732,6.16,1.48,418.2475
LULU,2025-01-29,410.38,413.55,407.6,411.16,976799,0.78,0.19007,410.6725
LULU,2025-01-28,404.39,416.0,403.24,409.42,1660797,5.03,1.24,408.2625
LULU,2025-01-27,395.48,408.12,394.5,402.9,2337900,7.42,1.88,400.25
LULU,2025-01-24,390.12,400.79,385.73,400.03,1969629,9.91,2.54,394.1675
LULU,2025-01-23,383.45,389.5,379.31,387.85,1445200,4.4,1.15,385.0275
LULU,2025-01-22,371.99,383.38,370.0,382.82,1838500,10.83,2.91,377.0475
LULU,2025-01-21,375.94,377.73,367.2,372.81,2115500,-3.13,-0.83258,373.42
LULU,2025-01-17,378.27,378.53,373.04,373.7,1344100,-4.56,-1.21,375.885
LULU,2025-01-16,377.67,377.86,367.15,370.99,1805301,-6.68,-1.77,373.4175
LULU,2025-01-15,391.54,393.35,374.4,376.66,2195800,-14.88,-3.8,383.9875
LULU,2025-01-14,400.0,401.95,384.06,388.74,2531450,-11.26,-2.81,393.6875
LULU,2025-01-13,401.92,404.75,389.48,398.86,2086800,-3.06,-0.76135,398.7525
LULU,2025-01-10,391.76,397.35,388.67,395.47,1322082,3.71,0.94701,393.3125
LULU,2025-01-08,390.0,393.22,386.18,392.92,973724,2.92,0.74872,390.58
LULU,2025-01-07,403.87,414.82,393.15,393.46,1845211,-10.41,-2.58,401.325
LULU,2025-01-06,381.42,396.59,381.42,395.31,1729700,13.89,3.64,388.685
LULU,2025-01-03,375.52,382.03,373.77,378.18,1032678,2.66,0.70835,377.375
LULU,2025-01-02,381.5,385.28,371.48,372.31,1350690,-9.19,-2.41,377.6425
LULU,2024-12-31,384.06,386.36,380.26,382.41,1027697,-1.65,-0.42962,383.2725
LULU,2024-12-30,380.03,389.19,377.54,384.05,1254700,4.02,1.06,382.7025
LULU,2024-12-27,382.0,387.48,380.32,386.67,1075795,4.67,1.22,384.1175
LULU,2024-12-26,384.86,389.86,384.01,385.82,1013024,0.96,0.24944,386.1375
LULU,2024-12-24,385.21,386.88,383.21,385.69,496441,0.485,0.12461,385.2475
LULU,2024-12-23,379.9,388.4,376.79,383.49,1900052,3.59,0.94499,382.145
LULU,2024-12-20,367.99,384.16,366.95,379.42,3167304,11.43,3.11,374.63
LULU,2024-12-19,375.0,377.5,368.66,373.54,2022030,-1.46,-0.38933,373.675
LULU,2024-12-18,387.0,389.67,371.88,372.07,2096900,-14.93,-3.86,380.155
LULU,2024-12-17,386.11,391.49,382.0,390.59,1394600,4.48,1.16,387.5475
LULU,2024-12-16,390.91,397.66,389.01,389.74,1494400,-1.17,-0.2993,391.83
LULU,2024-12-13,387.01,392.6,385.0,391.63,1442506,4.62,1.19,389.06
LULU,2024-12-12,396.73,398.24,389.17,389.33,1572400,-7.4,-1.87,393.3675
LULU,2024-12-11,399.47,405.16,398.08,399.75,1359500,0.28,0.07009287,400.615
LULU,2024-12-10,404.0,407.55,393.0,397.1,2263300,-6.9,-1.71,400.4125
LULU,2024-12-09,398.68,420.21,396.45,404.79,3708300,6.11,1.53,405.0325
LULU,2024-12-06,377.0,409.7,377.0,399.6,10952000,22.6,5.99,390.825
LULU,2024-12-05,345.48,351.38,340.69,344.81,4435434,-0.67,-0.19393,345.59
LULU,2024-12-04,338.84,342.94,337.15,342.27,2036420,3.43,1.01,340.3
LULU,2024-12-03,333.56,341.42,329.74,340.66,1924800,7.1,2.13,336.345
LULU,2024-12-02,322.91,337.3,321.83,334.4,2330100,11.49,3.56,329.11
LULU,2024-11-29,321.93,324.16,318.47,320.66,839228,-1.27,-0.3945,321.305
LULU,2024-11-27,319.82,322.85,316.41,319.52,1126435,-0.3,-0.09380276,319.65
LULU,2024-11-26,325.4,326.22,318.24,318.84,1209476,-6.56,-2.02,322.175
LULU,2024-11-25,319.46,328.71,318.86,326.72,2150300,7.26,2.27,323.4375
LULU,2024-11-22,315.14,327.67,315.14,317.11,1873200,1.97,0.62512,318.765
LULU,2024-11-21,306.19,316.49,304.44,315.14,1521600,8.95,2.92,310.565
LULU,2024-11-20,298.74,309.17,298.67,308.31,1404000,9.57,3.2,303.7225
LULU,2024-11-19,305.17,307.79,298.2,301.85,2090300,-3.32,-1.09,303.2525
LULU,2024-11-18,322.0,322.43,307.89,309.53,1896900,-12.47,-3.87,315.4625
LULU,2024-11-15,330.62,331.32,319.76,320.01,1264700,-10.61,-3.21,325.4275
LULU,2024-11-14,328.68,334.58,324.53,330.26,1579600,1.58,0.48071,329.5125
LULU,2024-11-13,323.71,334.35,321.74,328.3,2001000,4.59,1.42,327.025
LULU,2024-11-12,317.0,322.25,314.12,320.9,1159533,3.9,1.23,318.5675
LULU,2024-11-11,310.63,320.7,308.62,318.46,2064000,7.83,2.52,314.6025
LULU,2024-11-08,315.02,316.0,308.44,308.53,1957900,-6.49,-2.06,311.9975
LULU,2024-11-07,316.54,323.01,312.31,315.3,1567210,-1.24,-0.39174,316.79
LULU,2024-11-06,320.0,321.69,310.3,313.14,2206096,-6.86,-2.14,316.2825
LULU,2024-11-05,317.0,320.24,316.19,319.23,1401600,2.23,0.70347,318.165
