symbol,date,open,high,low,close,volume,change,changePercent,vwap
MAR,2025-04-04,218.33,222.66,212.555,216.15,2708379,-2.18,-0.99848853,217.12
MAR,2025-04-03,230.39,230.58,223.36,224.62,3460301,-5.77,-2.5,227.2375
MAR,2025-04-02,235.1,244.03,235.1,242.56,1718845,7.46,3.17,239.1975
MAR,2025-04-01,237.48,238.98,233.42,238.24,1451300,0.76,0.32003,237.03
MAR,2025-03-31,234.8,239.68,230.92,238.2,1948856,3.4,1.45,235.9
MAR,2025-03-28,243.41,243.41,236.0,237.01,1570780,-6.4,-2.63,239.9575
MAR,2025-03-27,245.23,245.98,239.69,244.45,1953054,-0.78,-0.31807,243.8375
MAR,2025-03-26,247.26,250.43,246.07,246.72,1842222,-0.54,-0.21839,247.62
MAR,2025-03-25,243.73,246.75,241.6,246.48,1401122,2.75,1.13,244.64
MAR,2025-03-24,241.07,243.49,239.27,242.92,1935633,1.85,0.76741,241.6875
MAR,2025-03-21,235.79,237.94,229.38,237.49,4301171,1.7,0.72098,235.15
MAR,2025-03-20,244.91,248.02,243.89,244.84,922654,-0.07,-0.02858193,245.415
MAR,2025-03-19,241.6,248.6,241.53,247.62,1373564,6.02,2.49,244.8375
MAR,2025-03-18,247.08,247.21,239.93,240.39,1253670,-6.69,-2.71,243.6525
MAR,2025-03-17,243.92,249.4,242.24,248.11,1971967,4.19,1.72,245.9175
MAR,2025-03-14,239.42,243.62,239.0,243.11,1414070,3.69,1.54,241.2875
MAR,2025-03-13,243.47,243.92,236.21,237.29,2026705,-6.18,-2.54,240.2225
MAR,2025-03-12,248.0,249.04,240.19,243.81,2349839,-4.19,-1.69,245.26
MAR,2025-03-11,254.87,255.93,243.32,246.31,3143002,-8.56,-3.36,250.1075
MAR,2025-03-10,258.36,260.69,255.07,257.22,2447348,-1.14,-0.44124,257.835
MAR,2025-03-07,261.45,264.98,256.65,262.75,2337400,1.3,0.49723,261.4575
MAR,2025-03-06,268.38,268.55,262.14,262.63,1663205,-5.75,-2.14,265.425
MAR,2025-03-05,269.55,272.47,268.02,271.1,1456005,1.55,0.57503,270.285
MAR,2025-03-04,276.41,276.41,268.0,270.8,2390183,-5.61,-2.03,272.905
MAR,2025-03-03,280.0,284.48,275.37,277.72,1635223,-2.28,-0.81429,279.3925
MAR,2025-02-28,278.97,282.35,277.76,280.45,2269813,1.48,0.53052,279.8825
MAR,2025-02-27,281.48,283.66,276.68,277.21,1571315,-4.27,-1.52,279.7575
MAR,2025-02-26,279.17,285.0,278.93,282.16,1607600,2.99,1.07,281.315
MAR,2025-02-25,277.66,277.78,271.7,277.46,1807907,-0.2,-0.07203054,276.15
MAR,2025-02-24,279.35,280.6,274.74,276.76,2058300,-2.59,-0.92715,277.8625
MAR,2025-02-21,286.65,287.2,275.0,277.47,1983281,-9.18,-3.2,281.58
MAR,2025-02-20,286.92,287.65,283.31,287.2,1153114,0.28,0.09758818,286.27
MAR,2025-02-19,286.48,288.93,283.94,287.56,1414412,1.08,0.37699,286.7275
MAR,2025-02-18,283.52,289.3,280.88,288.42,1601951,4.9,1.73,285.53
MAR,2025-02-14,290.28,290.56,283.08,283.52,1660212,-6.76,-2.33,286.86
MAR,2025-02-13,290.67,291.46,285.91,288.24,1899461,-2.43,-0.836,289.07
MAR,2025-02-12,283.98,291.47,283.49,290.45,2692619,6.47,2.28,287.3475
MAR,2025-02-11,291.32,295.59,285.02,288.0,3055616,-3.32,-1.14,289.9825
MAR,2025-02-10,305.92,306.22,301.36,304.45,1770800,-1.47,-0.48052,304.4875
MAR,2025-02-07,304.93,307.52,302.86,303.97,1662594,-0.96,-0.31483,304.82
MAR,2025-02-06,293.98,304.13,293.5,302.95,1826892,8.97,3.05,298.64
MAR,2025-02-05,291.06,293.14,288.08,292.39,1329864,1.33,0.45695,291.1675
MAR,2025-02-04,291.48,291.86,289.1,290.75,1402064,-0.73,-0.25045,290.7975
MAR,2025-02-03,286.79,290.97,283.09,290.46,1218000,3.67,1.28,287.8275
MAR,2025-01-31,291.65,293.71,289.29,290.59,1293170,-1.06,-0.36345,291.31
MAR,2025-01-30,290.92,294.99,290.92,292.54,1030707,1.62,0.55685,292.3425
MAR,2025-01-29,289.37,290.27,287.19,289.66,1302200,0.29,0.10022,289.1225
