symbol,date,open,high,low,close,volume,change,changePercent,vwap
MCHP,2025-04-04,38.93,40.18,36.655,36.675,18968591,-2.26,-5.79245,37.84
MCHP,2025-04-03,46.8,46.8,39.57,40.71,29113144,-6.09,-13.01,43.47
MCHP,2025-04-02,47.64,49.47,47.48,48.93,6408308,1.29,2.71,48.38
MCHP,2025-04-01,48.42,48.71,47.21,48.5,10219700,0.085,0.16522,48.21
MCHP,2025-03-31,48.18,48.84,47.44,48.41,14064967,0.23,0.47738,48.2175
MCHP,2025-03-28,50.34,50.47,48.27,48.7,12054642,-1.64,-3.26,49.445
MCHP,2025-03-27,51.77,51.89,50.19,50.79,5492800,-0.975,-1.89,51.16
MCHP,2025-03-26,52.42,53.13,51.58,52.17,6085400,-0.25,-0.47692,52.325
MCHP,2025-03-25,53.5,54.08,52.28,52.36,8676447,-1.14,-2.13,53.055
MCHP,2025-03-24,53.11,54.48,52.81,53.89,12894502,0.78,1.47,53.5725
MCHP,2025-03-21,50.62,52.37,49.92,51.72,29770547,1.1,2.17,51.1575
MCHP,2025-03-20,52.28,52.42,50.96,51.0,13866112,-1.28,-2.45,51.665
MCHP,2025-03-19,53.97,55.37,53.91,54.57,6044741,0.6,1.11,54.455
MCHP,2025-03-18,54.81,54.93,53.68,54.2,3810976,-0.61,-1.11,54.405
MCHP,2025-03-17,53.64,55.71,53.62,55.26,6181899,1.62,3.02,54.5575
MCHP,2025-03-14,52.72,53.62,52.28,53.5,7349295,0.785,1.48,53.03
MCHP,2025-03-13,51.54,53.51,51.32,51.89,6002800,0.35,0.67908,52.065
MCHP,2025-03-12,52.58,53.34,51.64,51.9,7250045,-0.68,-1.29,52.365
MCHP,2025-03-11,54.19,54.4,51.07,52.24,9121700,-1.95,-3.6,52.975
MCHP,2025-03-10,57.96,58.06,52.8,53.45,16124400,-4.51,-7.78,55.5675
MCHP,2025-03-07,58.14,60.03,57.83,59.77,8182771,1.63,2.8,58.9425
MCHP,2025-03-06,58.43,60.03,57.78,58.26,10643200,-0.17,-0.29095,58.625
MCHP,2025-03-05,58.7,59.83,56.9,59.64,8642710,0.94,1.6,58.7675
MCHP,2025-03-04,58.64,60.29,57.98,58.14,14040077,-0.5,-0.85266,58.7625
MCHP,2025-03-03,62.52,62.64,57.36,57.95,19509043,-4.57,-7.31,60.1175
MCHP,2025-02-28,57.16,58.92,56.6,58.86,13308700,1.7,2.97,57.885
MCHP,2025-02-27,59.53,59.77,56.7,57.12,11503777,-2.41,-4.05,58.28
MCHP,2025-02-26,60.27,60.37,58.44,59.77,8482104,-0.5,-0.8296,59.7125
MCHP,2025-02-25,60.88,62.02,59.46,60.17,9384100,-0.71,-1.17,60.6325
MCHP,2025-02-24,60.98,62.28,60.69,60.83,9836300,-0.15,-0.24598,61.195
MCHP,2025-02-21,64.4,64.42,60.66,61.07,13464042,-3.33,-5.17,62.6375
MCHP,2025-02-20,64.81,65.34,63.25,64.3,14626400,-0.51,-0.78692,64.425
MCHP,2025-02-19,58.54,64.58,57.94,63.59,20924500,5.06,8.63,61.1625
MCHP,2025-02-18,56.16,58.28,56.16,57.86,11324645,1.7,3.03,57.115
MCHP,2025-02-14,54.45,55.9,54.22,55.76,7123706,1.31,2.41,55.0825
MCHP,2025-02-13,53.63,54.66,53.45,54.26,6793400,0.63,1.17,54.0
MCHP,2025-02-12,52.06,53.93,51.94,53.85,8083141,1.8,3.44,52.945
MCHP,2025-02-11,51.42,53.15,51.42,52.58,7801909,1.16,2.26,52.1425
MCHP,2025-02-10,52.37,53.09,51.41,52.05,9450153,-0.32,-0.61104,52.23
MCHP,2025-02-07,52.26,53.25,50.21,51.89,17530859,-0.37,-0.708,51.9025
MCHP,2025-02-06,53.51,54.22,52.71,53.11,13342000,-0.4,-0.74752,53.3875
MCHP,2025-02-05,51.8,53.54,51.44,53.5,11952961,1.7,3.28,52.57
MCHP,2025-02-04,52.43,53.0,52.19,52.6,10980018,0.17,0.32424,52.555
MCHP,2025-02-03,53.0,53.22,51.37,52.26,11262700,-0.74,-1.4,52.4625
MCHP,2025-01-31,54.78,56.29,53.98,54.3,10276300,-0.48,-0.87623,54.8375
MCHP,2025-01-30,55.7,55.85,54.18,55.16,8456108,-0.54,-0.96948,55.2225
MCHP,2025-01-29,56.69,56.8,55.36,56.03,5233941,-0.66,-1.16,56.22
MCHP,2025-01-28,56.52,56.8,55.37,56.28,9813500,-0.24,-0.42463,56.2425
MCHP,2025-01-27,57.8,58.34,56.63,57.23,15094921,-0.57,-0.98616,57.5
MCHP,2025-01-24,58.89,59.17,55.75,56.39,10300600,-2.5,-4.25,57.55
MCHP,2025-01-23,57.69,59.58,56.97,59.57,6335135,1.88,3.26,58.4525
MCHP,2025-01-22,58.22,59.36,58.03,58.48,6901700,0.26,0.44658,58.5225
MCHP,2025-01-21,58.1,59.67,57.61,58.51,6996142,0.41,0.70568,58.4725
MCHP,2025-01-17,57.49,58.47,57.18,57.97,8272728,0.48,0.83493,57.7775
MCHP,2025-01-16,57.0,57.27,55.34,56.19,7925700,-0.81,-1.42,56.45
MCHP,2025-01-15,58.05,58.43,56.96,57.0,8972343,-1.05,-1.81,57.61
MCHP,2025-01-14,56.21,56.91,55.38,56.88,6015487,0.67,1.19,56.345
MCHP,2025-01-13,54.83,56.03,54.82,55.91,6656106,1.08,1.97,55.3975
MCHP,2025-01-10,55.48,55.87,54.47,55.19,7634000,-0.29,-0.52271,55.2525
MCHP,2025-01-08,57.37,57.5,56.01,56.38,6226846,-0.99,-1.73,56.815
MCHP,2025-01-07,58.77,59.28,57.21,57.47,10217740,-1.3,-2.21,58.1825
MCHP,2025-01-06,57.85,59.86,57.8,58.29,6946014,0.44,0.76059,58.45
