symbol,date,open,high,low,close,volume,change,changePercent,vwap
MDB,2025-04-04,158.05,159.85,151.5238,155.38,3376303,-2.67,-1.68934,155.58
MDB,2025-04-03,170.42,173.2,160.29,163.34,3340866,-7.08,-4.15,166.8125
MDB,2025-04-02,173.2,183.0,173.2,180.19,2359400,6.99,4.04,177.3975
MDB,2025-04-01,174.69,178.15,170.66,176.61,1321319,1.92,1.1,175.0275
MDB,2025-03-31,175.22,176.6,170.85,175.4,2807927,0.18,0.10273,174.5175
MDB,2025-03-28,185.73,187.06,175.89,178.03,2908400,-7.7,-4.15,181.6775
MDB,2025-03-27,191.36,191.99,186.61,188.64,1320036,-2.72,-1.42,189.65
MDB,2025-03-26,198.61,198.66,192.67,193.66,1107300,-4.95,-2.49,195.9
MDB,2025-03-25,198.3,202.9,197.39,198.66,1214425,0.36,0.18154,199.3125
MDB,2025-03-24,195.53,199.48,193.44,197.48,2163574,1.95,0.99729,196.4825
MDB,2025-03-21,185.47,193.54,184.55,192.54,2185700,7.07,3.81,189.025
MDB,2025-03-20,187.69,194.9,187.69,189.3,1404400,1.61,0.8578,189.895
MDB,2025-03-19,189.02,193.21,185.53,190.06,1667900,1.04,0.55021,189.455
MDB,2025-03-18,190.39,191.97,184.42,188.68,1333200,-1.71,-0.89816,188.865
MDB,2025-03-17,185.34,196.95,184.68,193.05,2040615,7.71,4.16,190.005
MDB,2025-03-14,187.7,188.88,183.24,185.37,2589300,-2.33,-1.24,186.2975
MDB,2025-03-13,193.64,194.73,183.0,185.1,2970202,-8.54,-4.41,189.1175
MDB,2025-03-12,203.11,204.03,191.03,196.12,3749000,-6.99,-3.44,198.5725
MDB,2025-03-11,180.84,197.17,179.69,195.7,5162412,14.86,8.22,188.35
MDB,2025-03-10,182.02,185.84,173.13,180.32,6470300,-1.7,-0.93396,180.3275
MDB,2025-03-07,194.02,195.0,181.05,187.65,5783348,-6.37,-3.28,189.43
MDB,2025-03-06,207.09,212.01,192.79,192.98,14213839,-14.11,-6.81,201.2175
MDB,2025-03-05,254.31,264.79,249.68,264.13,3793049,9.82,3.86,258.2275
MDB,2025-03-04,257.98,259.58,245.69,254.38,1687500,-3.6,-1.4,254.4075
MDB,2025-03-03,270.63,275.54,256.7,259.02,1584800,-11.61,-4.29,265.4725
MDB,2025-02-28,260.32,267.7,258.06,267.43,1340321,7.11,2.73,263.3775
MDB,2025-02-27,276.35,279.87,262.32,262.41,1390300,-13.94,-5.04,270.2375
MDB,2025-02-26,262.98,271.02,261.8,268.3,1181000,5.32,2.02,266.025
MDB,2025-02-25,261.43,265.3,253.0,259.71,1399100,-1.72,-0.65792,259.86
MDB,2025-02-24,274.35,275.0,257.65,267.1,1465805,-7.25,-2.64,268.525
MDB,2025-02-21,288.99,288.99,272.69,273.26,1583300,-15.73,-5.44,280.9825
MDB,2025-02-20,294.71,294.71,277.03,290.0,1523800,-4.71,-1.6,289.1125
MDB,2025-02-19,297.54,298.0,289.86,295.0,1057600,-2.54,-0.85367,295.1
MDB,2025-02-18,292.05,298.92,287.46,298.52,1160800,6.46,2.22,294.2375
