symbol,date,open,high,low,close,volume,change,changePercent,vwap
MDLZ,2025-04-04,68.405,69.12,65.955,66.48,8522224,-1.92,-2.81412,67.19
MDLZ,2025-04-03,67.69,69.0,67.21,67.9,13765969,0.21,0.31024,67.95
MDLZ,2025-04-02,67.65,67.71,65.67,66.13,11356923,-1.52,-2.25,66.79
MDLZ,2025-04-01,68.2,68.28,67.25,67.65,8847000,-0.55,-0.80645,67.845
MDLZ,2025-03-31,67.85,68.04,67.22,67.85,12950871,0.0,0.0,67.74
MDLZ,2025-03-28,67.93,68.38,67.02,67.72,11578549,-0.21,-0.30914,67.7625
MDLZ,2025-03-27,66.9,67.62,66.49,67.5,9020955,0.6,0.89686,67.1275
MDLZ,2025-03-26,64.68,66.54,64.68,66.33,9111528,1.65,2.55,65.5575
MDLZ,2025-03-25,64.76,64.88,64.14,64.69,7459105,-0.07,-0.10809,64.6175
MDLZ,2025-03-24,64.55,65.07,64.25,64.95,7514464,0.4,0.61967,64.705
MDLZ,2025-03-21,63.9,64.7,63.7,64.51,25430050,0.61,0.95462,64.2025
MDLZ,2025-03-20,64.12,64.33,63.57,63.95,6013646,-0.17,-0.26513,63.9925
MDLZ,2025-03-19,63.97,64.43,63.48,64.0,8181850,0.0307,0.04689698,63.97
MDLZ,2025-03-18,65.2,65.51,64.49,64.65,6062137,-0.55,-0.84356,64.9625
MDLZ,2025-03-17,64.15,65.26,63.9,65.09,7012320,0.94,1.47,64.6
MDLZ,2025-03-14,64.26,64.84,64.07,64.31,6784748,0.05,0.0778089,64.37
MDLZ,2025-03-13,64.73,65.51,64.66,64.69,8727900,-0.04,-0.06179515,64.8975
MDLZ,2025-03-12,66.72,66.9,64.86,64.98,8773128,-1.74,-2.61,65.865
MDLZ,2025-03-11,68.33,68.49,67.31,67.85,10840600,-0.48,-0.70247,67.995
MDLZ,2025-03-10,68.28,70.6,67.86,68.15,14133200,-0.13,-0.19039,68.7225
MDLZ,2025-03-07,66.67,69.68,66.63,67.74,13950539,1.07,1.6,67.68
MDLZ,2025-03-06,66.13,67.24,65.69,66.76,10713673,0.63,0.95267,66.455
MDLZ,2025-03-05,65.25,66.45,65.18,66.3,9321561,1.05,1.61,65.795
MDLZ,2025-03-04,66.31,67.42,65.17,65.29,13041615,-1.02,-1.54,66.0475
MDLZ,2025-03-03,64.04,66.01,64.04,65.78,8668900,1.75,2.72,64.9675
MDLZ,2025-02-28,64.71,64.71,63.65,64.23,8634600,-0.48,-0.74177,64.325
MDLZ,2025-02-27,63.18,64.21,63.09,63.98,6944691,0.805,1.27,63.615
MDLZ,2025-02-26,65.4,65.5,63.28,63.45,9542931,-1.95,-2.98,64.4075
MDLZ,2025-02-25,65.22,66.27,65.0,65.88,12045119,0.66,1.01,65.5925
MDLZ,2025-02-24,64.51,65.77,64.07,65.36,16269948,0.85,1.32,64.9275
MDLZ,2025-02-21,62.17,64.86,61.76,64.67,16291507,2.5,4.02,63.365
MDLZ,2025-02-20,61.72,62.61,61.62,62.17,9533673,0.45,0.7291,62.03
MDLZ,2025-02-19,61.21,61.97,61.05,61.93,7674438,0.72,1.18,61.54
MDLZ,2025-02-18,60.53,61.44,59.82,61.18,10760300,0.655,1.07,60.7425
MDLZ,2025-02-14,61.22,62.19,60.64,60.82,10040900,-0.4,-0.65338,61.2175
MDLZ,2025-02-13,60.56,61.2,60.39,61.16,9059017,0.6,0.99075,60.8275
MDLZ,2025-02-12,59.91,60.67,59.55,60.6,10929200,0.69,1.15,60.1825
