symbol,date,open,high,low,close,volume,change,changePercent,vwap
MELI,2025-04-04,1862.64,1893.88,1809.51,1845.87,722287,-16.77,-0.90033501,1849.75
MELI,2025-04-03,1870.81,1965.97,1848.15,1945.55,649936,74.74,4.0,1907.62
MELI,2025-04-02,1900.0,1952.5,1890.0,1934.03,466339,34.03,1.79,1919.1325
MELI,2025-04-01,1955.74,1955.74,1906.15,1915.0,682533,-40.74,-2.08,1933.1575
MELI,2025-03-31,1995.99,2020.0,1921.0,1950.87,681200,-45.12,-2.26,1971.965
MELI,2025-03-28,2095.85,2109.34,2043.55,2048.07,326900,-47.78,-2.28,2074.2025
MELI,2025-03-27,2065.85,2113.1,2050.0,2095.85,268300,30.0,1.45,2081.2
MELI,2025-03-26,2180.72,2180.72,2069.76,2074.97,492520,-105.75,-4.85,2126.5425
MELI,2025-03-25,2153.89,2202.0,2127.61,2191.3,429517,37.41,1.74,2168.7
MELI,2025-03-24,2114.4,2164.74,2100.5,2134.31,356407,19.91,0.94164,2128.4875
MELI,2025-03-21,2037.5,2097.11,2020.0,2095.27,442087,57.77,2.84,2062.47
MELI,2025-03-20,2061.89,2090.86,2044.93,2067.57,264544,5.68,0.27548,2066.3125
MELI,2025-03-19,2026.33,2082.01,2008.69,2065.94,349135,39.61,1.95,2045.7425
MELI,2025-03-18,2103.76,2104.0,1981.0,2002.8,436288,-100.96,-4.8,2047.89
MELI,2025-03-17,2030.61,2124.76,2022.43,2106.46,443600,75.85,3.74,2071.065
MELI,2025-03-14,2022.75,2049.16,2003.58,2021.37,510639,-1.38,-0.06822395,2024.215
MELI,2025-03-13,2013.39,2019.95,1971.23,1989.7,510691,-23.69,-1.18,1998.5675
MELI,2025-03-12,2034.63,2054.99,1978.0,2004.83,522363,-29.8,-1.46,2018.1125
MELI,2025-03-11,1947.4,2015.23,1935.0,1990.11,649600,42.71,2.19,1971.935
MELI,2025-03-10,1981.87,1981.87,1914.83,1944.61,868400,-37.26,-1.88,1955.795
MELI,2025-03-07,2043.31,2053.68,1896.0,2009.34,771731,-33.97,-1.66,2000.5825
MELI,2025-03-06,2076.62,2107.49,2035.65,2045.25,380392,-31.37,-1.51,2066.2525
MELI,2025-03-05,2071.11,2116.05,2062.0,2112.77,333272,41.66,2.01,2090.4825
MELI,2025-03-04,2050.0,2079.52,2001.0,2059.87,317431,9.87,0.48146,2047.5975
MELI,2025-03-03,2143.61,2143.61,2058.0,2070.41,358790,-73.2,-3.41,2103.9075
MELI,2025-02-28,2101.41,2123.45,2056.61,2121.87,457494,20.46,0.97363,2100.835
MELI,2025-02-27,2218.75,2218.75,2119.78,2129.8,433130,-88.95,-4.01,2171.77
MELI,2025-02-26,2185.99,2207.01,2153.91,2197.64,478750,11.65,0.53294,2186.1375
MELI,2025-02-25,2230.0,2245.48,2128.92,2168.6,528073,-61.4,-2.75,2193.25
MELI,2025-02-24,2280.18,2318.76,2206.11,2223.35,513990,-56.83,-2.49,2257.1
MELI,2025-02-21,2352.75,2374.54,2226.19,2260.0,1257220,-92.75,-3.94,2303.37
MELI,2025-02-20,2060.37,2119.09,2034.03,2110.47,731500,50.1,2.43,2080.99
MELI,2025-02-19,2083.12,2100.3,2065.61,2075.79,413883,-7.33,-0.35188,2081.205
MELI,2025-02-18,2092.12,2101.1,2066.0,2098.75,365034,6.63,0.3169,2089.4925
MELI,2025-02-14,2064.73,2124.0,2043.74,2109.99,355484,45.26,2.19,2085.615
MELI,2025-02-13,2019.0,2069.69,2003.16,2066.15,294550,47.15,2.34,2039.5
MELI,2025-02-12,2020.0,2033.05,1996.03,2016.73,350869,-3.27,-0.16188,2016.4525
MELI,2025-02-11,2025.7,2074.4,2004.35,2035.18,315307,9.48,0.46799,2034.9075
MELI,2025-02-10,2034.92,2046.39,2011.51,2042.22,246040,7.3,0.35874,2033.76
MELI,2025-02-07,2011.86,2044.75,1985.1,1996.65,331472,-15.21,-0.75602,2009.59
MELI,2025-02-06,1972.0,2023.51,1972.0,2012.8,304997,40.8,2.07,1995.0775
MELI,2025-02-05,1966.41,1978.98,1950.0,1975.19,212395,8.78,0.4465,1967.645
MELI,2025-02-04,1925.17,1971.54,1915.0,1966.41,376600,41.24,2.14,1944.53
MELI,2025-02-03,1880.07,1914.86,1828.0,1908.9,426541,28.83,1.53,1882.9575
MELI,2025-01-31,1950.0,1974.16,1918.96,1922.19,281400,-27.81,-1.43,1941.3275
MELI,2025-01-30,1921.73,1976.5,1913.06,1947.32,487164,25.59,1.33,1939.6525
MELI,2025-01-29,1900.52,1902.0,1869.43,1889.76,181861,-10.76,-0.56616,1890.4275
MELI,2025-01-28,1847.59,1905.0,1826.53,1895.53,352017,47.94,2.59,1868.6625
MELI,2025-01-27,1800.06,1859.21,1787.26,1846.0,356039,45.94,2.55,1823.1325
MELI,2025-01-24,1839.56,1871.45,1835.16,1843.45,325072,3.89,0.21146,1847.405
MELI,2025-01-23,1818.0,1834.48,1793.0,1828.73,267880,10.73,0.59021,1818.5525
MELI,2025-01-22,1847.96,1885.0,1808.02,1818.49,402943,-29.47,-1.59,1839.8675
MELI,2025-01-21,1852.66,1863.31,1829.12,1834.51,262800,-18.15,-0.97967,1844.9
MELI,2025-01-17,1876.42,1876.42,1832.91,1836.0,245168,-40.42,-2.15,1855.4375
MELI,2025-01-16,1841.38,1851.39,1815.06,1837.18,242096,-4.2,-0.22809,1836.2525
MELI,2025-01-15,1795.0,1843.53,1785.03,1838.15,364235,43.15,2.4,1815.4275
MELI,2025-01-14,1751.0,1776.15,1746.44,1753.61,240375,2.61,0.14906,1756.8
MELI,2025-01-13,1740.0,1749.02,1730.14,1740.0,298825,0.0,0.0,1739.79
MELI,2025-01-10,1730.15,1780.62,1727.41,1758.77,364848,28.62,1.65,1749.2375
MELI,2025-01-08,1750.0,1761.0,1731.12,1739.0,388800,-11.0,-0.62857,1745.28
MELI,2025-01-07,1799.01,1805.88,1762.78,1771.22,307598,-27.79,-1.54,1784.7225
MELI,2025-01-06,1851.3,1851.3,1781.56,1799.42,365601,-51.88,-2.8,1820.895
MELI,2025-01-03,1800.13,1850.0,1791.76,1834.17,519665,34.04,1.89,1819.015
MELI,2025-01-02,1715.38,1774.0,1707.31,1765.0,392344,49.62,2.89,1740.4225
MELI,2024-12-31,1721.81,1729.28,1698.53,1700.44,173294,-21.37,-1.24,1712.515
MELI,2024-12-30,1702.34,1726.0,1693.01,1721.8,241968,19.46,1.14,1710.7875
MELI,2024-12-27,1734.52,1739.54,1711.81,1725.47,183800,-9.05,-0.52176,1727.835
MELI,2024-12-26,1743.2,1749.98,1727.84,1732.76,156125,-10.44,-0.5989,1738.445
MELI,2024-12-24,1730.0,1743.78,1720.0,1743.29,104943,13.29,0.76821,1734.2675
MELI,2024-12-23,1725.22,1758.32,1719.06,1729.85,502744,4.63,0.26837,1733.1125
MELI,2024-12-20,1651.76,1727.17,1646.0,1720.36,717828,68.6,4.15,1686.3225
MELI,2024-12-19,1746.97,1746.97,1662.77,1666.0,930447,-80.97,-4.63,1705.6775
MELI,2024-12-18,1819.5,1847.98,1701.5,1716.38,773942,-103.12,-5.67,1771.34
MELI,2024-12-17,1795.0,1826.12,1780.51,1809.12,559738,14.12,0.78663,1802.6875
MELI,2024-12-16,1825.99,1829.61,1793.54,1796.72,562907,-29.27,-1.6,1811.465
MELI,2024-12-13,1857.0,1878.41,1813.02,1823.86,411336,-33.14,-1.78,1843.0725
MELI,2024-12-12,1892.16,1924.95,1870.77,1870.77,232262,-21.39,-1.13,1889.6625
MELI,2024-12-11,1897.97,1903.13,1872.47,1897.87,283213,-0.1,-0.00526879,1892.86
MELI,2024-12-10,1857.0,1880.55,1842.62,1879.18,393307,22.18,1.19,1864.8375
MELI,2024-12-09,1941.69,1965.77,1839.99,1844.3,584200,-97.39,-5.02,1897.9375
MELI,2024-12-06,1977.97,1994.75,1943.47,1947.18,311188,-30.79,-1.56,1965.8425
MELI,2024-12-05,1979.54,2007.0,1965.5,1984.95,325519,5.41,0.2733,1984.2475
MELI,2024-12-04,1929.49,2000.0,1921.63,1987.43,367548,57.94,3.0,1959.6375
MELI,2024-12-03,1952.44,1958.39,1928.13,1929.49,299688,-22.95,-1.18,1942.1125
