symbol,date,open,high,low,close,volume,change,changePercent,vwap
MNST,2025-04-04,59.51,60.0,57.21,57.275,7757643,-2.23,-3.75567,58.16
MNST,2025-04-03,58.77,60.34,58.62,59.65,8535875,0.88,1.5,59.345
MNST,2025-04-02,59.05,59.42,58.61,59.36,4632800,0.31,0.52498,59.11
MNST,2025-04-01,58.5,59.07,58.3,59.04,5035509,0.54,0.92308,58.7275
MNST,2025-03-31,57.94,58.89,57.94,58.52,5588031,0.58,1.0,58.3225
MNST,2025-03-28,58.86,59.0,57.47,57.86,4464993,-0.999,-1.7,58.2975
MNST,2025-03-27,57.84,58.71,57.73,58.58,3586237,0.74,1.28,58.215
MNST,2025-03-26,57.89,58.14,57.66,57.76,5211386,-0.13,-0.22456,57.8625
MNST,2025-03-25,57.83,58.08,57.55,57.84,4687479,0.01,0.01729206,57.825
MNST,2025-03-24,57.52,57.95,57.31,57.83,6638012,0.31,0.53894,57.6525
MNST,2025-03-21,56.36,57.56,56.28,57.31,7643027,0.95,1.69,56.8775
MNST,2025-03-20,56.84,57.1,56.56,56.87,4953101,0.03,0.05277973,56.8425
MNST,2025-03-19,56.7,57.03,56.16,56.82,4462419,0.12,0.21164,56.6775
MNST,2025-03-18,56.09,57.0,56.02,56.8,5476990,0.71,1.27,56.4775
MNST,2025-03-17,55.0,56.37,54.87,56.21,4361283,1.21,2.2,55.6125
MNST,2025-03-14,54.22,55.43,54.22,55.09,5064803,0.87,1.6,54.74
MNST,2025-03-13,54.32,54.84,54.17,54.34,3597600,0.02,0.03681885,54.4175
MNST,2025-03-12,54.4,54.86,54.0,54.4,5563234,0.0,0.0,54.415
MNST,2025-03-11,55.5,55.75,54.69,55.23,6477700,-0.265,-0.48649,55.2925
MNST,2025-03-10,55.68,57.13,55.48,55.77,8910678,0.09,0.16164,56.015
MNST,2025-03-07,55.55,55.82,54.85,55.07,6355500,-0.48,-0.86409,55.3225
MNST,2025-03-06,55.12,55.75,54.81,55.69,5383145,0.57,1.03,55.3425
MNST,2025-03-05,54.82,55.4,54.7,55.35,7171808,0.53,0.9668,55.0675
