symbol,date,open,high,low,close,volume,change,changePercent,vwap
MRVL,2025-04-04,52.69,52.86,47.31,49.74,30296798,-2.95,-5.59879,49.97
MRVL,2025-04-03,58.64,59.3,55.42,55.64,25099738,-2.99,-5.12,57.25
MRVL,2025-04-02,61.5,64.73,61.46,63.23,13138244,1.73,2.81,62.73
MRVL,2025-04-01,61.45,62.72,60.78,62.67,12613337,1.22,1.99,61.905
MRVL,2025-03-31,60.38,61.66,59.24,61.57,16032442,1.2,1.97,60.7125
MRVL,2025-03-28,64.63,64.89,61.25,62.04,18790400,-2.59,-4.01,63.2025
MRVL,2025-03-27,66.06,66.63,63.92,64.86,14956136,-1.2,-1.82,65.3675
MRVL,2025-03-26,71.0,71.2,65.84,66.76,19812649,-4.24,-5.97,68.7
MRVL,2025-03-25,72.5,73.23,71.09,71.67,9443100,-0.83,-1.14,72.1225
MRVL,2025-03-24,71.4,72.92,71.06,72.76,12185900,1.36,1.9,72.035
MRVL,2025-03-21,68.6,70.79,68.44,70.39,11942300,1.79,2.61,69.555
MRVL,2025-03-20,69.17,71.13,68.85,70.49,9083011,1.32,1.91,69.91
MRVL,2025-03-19,68.53,71.37,67.99,69.81,12228800,1.28,1.87,69.425
MRVL,2025-03-18,69.62,69.94,67.76,68.28,11613608,-1.34,-1.92,68.9
MRVL,2025-03-17,68.75,70.57,68.51,70.4,13419400,1.65,2.4,69.5575
MRVL,2025-03-14,70.17,70.76,67.98,68.74,15613100,-1.43,-2.04,69.4125
MRVL,2025-03-13,69.73,71.58,67.65,68.76,14947800,-0.97,-1.39,69.43
MRVL,2025-03-12,69.72,71.33,68.63,69.85,20642643,0.125,0.18646,69.8825
MRVL,2025-03-11,66.43,69.0,65.34,67.16,23333000,0.73,1.1,66.9825
MRVL,2025-03-10,68.35,68.55,63.65,65.67,32136400,-2.68,-3.92,66.555
MRVL,2025-03-07,71.96,72.33,67.28,70.84,38853100,-1.12,-1.56,70.6025
MRVL,2025-03-06,74.08,75.77,71.65,72.28,60967027,-1.8,-2.43,73.445
MRVL,2025-03-05,88.76,90.74,85.18,90.14,33773840,1.38,1.55,88.705
MRVL,2025-03-04,85.32,91.82,83.24,88.33,21475400,3.01,3.53,87.1775
