symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSTR,2025-04-04,285.0,299.09,265.3022,296.27,21375621,11.27,3.95439,286.89
MSTR,2025-04-03,286.75,299.22,276.03,282.28,18223003,-4.47,-1.56,286.07
MSTR,2025-04-02,297.86,319.47,296.98,312.54,16293825,14.68,4.93,306.7125
MSTR,2025-04-01,293.53,307.6,280.65,306.02,16780113,12.49,4.26,296.95
MSTR,2025-03-31,281.87,294.89,272.8,288.27,14866300,6.4,2.27,284.4575
MSTR,2025-03-28,318.38,320.8,289.25,289.41,21058915,-28.97,-9.1,304.46
MSTR,2025-03-27,322.53,333.49,318.0,324.59,13838338,2.06,0.6387,324.6525
MSTR,2025-03-26,336.5,340.34,319.73,329.31,16797178,-7.19,-2.14,331.47
MSTR,2025-03-25,333.48,343.59,329.5,341.81,15053724,8.33,2.5,337.095
MSTR,2025-03-24,316.14,336.77,311.36,335.72,23099744,19.58,6.19,324.9975
MSTR,2025-03-21,295.7,306.39,293.05,304.0,21774000,8.3,2.81,299.785
MSTR,2025-03-20,298.79,309.4,293.4,302.07,15058100,3.28,1.1,300.915
MSTR,2025-03-19,290.3,309.08,287.12,304.23,19378800,13.93,4.8,297.6825
MSTR,2025-03-18,283.2,290.99,272.5,283.19,15398200,-0.01,-0.00353107,282.47
MSTR,2025-03-17,292.15,296.81,281.6,294.27,12998721,2.12,0.72565,291.2075
MSTR,2025-03-14,273.99,298.7,272.62,297.49,23714043,23.5,8.58,285.7
MSTR,2025-03-13,262.0,270.4,253.76,263.26,13804700,1.26,0.48092,262.355
MSTR,2025-03-12,264.6,269.77,248.22,262.55,14328600,-2.05,-0.77475,261.285
MSTR,2025-03-11,245.0,263.1,231.51,260.59,22076133,15.59,6.36,250.05
MSTR,2025-03-10,268.0,272.0,231.62,239.27,31478334,-28.73,-10.72,252.7225
MSTR,2025-03-07,298.15,310.44,281.44,287.18,22764500,-10.96,-3.68,294.3025
MSTR,2025-03-06,298.95,320.94,292.17,304.11,25309508,5.16,1.73,304.0425
MSTR,2025-03-05,278.31,311.28,271.77,308.55,26199800,30.25,10.87,292.4775
MSTR,2025-03-04,240.28,293.04,237.01,275.15,30130200,34.87,14.51,261.37
MSTR,2025-03-03,293.15,295.1,246.1,250.92,30575720,-42.23,-14.41,271.3175
MSTR,2025-02-28,238.32,257.5,231.92,255.43,22662629,17.12,7.18,245.7925
MSTR,2025-02-27,267.43,271.46,239.48,240.05,18520303,-27.37,-10.24,254.605
MSTR,2025-02-26,245.39,264.46,244.01,263.27,19876900,17.88,7.29,254.2825
MSTR,2025-02-25,268.1,270.29,243.7,250.51,31379600,-17.59,-6.56,258.15
MSTR,2025-02-24,304.0,304.04,276.4,282.76,17974948,-21.24,-6.99,291.8
MSTR,2025-02-21,327.93,329.0,299.04,299.69,17930836,-28.24,-8.61,313.915
MSTR,2025-02-20,323.73,327.83,314.95,323.92,12291749,0.19,0.05869088,322.6075
MSTR,2025-02-19,337.3,340.19,317.22,318.67,17043129,-18.63,-5.52,328.345
MSTR,2025-02-18,337.35,340.49,326.79,333.97,10179800,-3.38,-1.0,334.65
MSTR,2025-02-14,325.15,344.89,323.71,337.73,13912800,12.58,3.87,332.87
MSTR,2025-02-13,325.5,330.59,317.35,324.92,9848100,-0.58,-0.17819,324.59
MSTR,2025-02-12,315.96,331.17,314.19,326.82,9837900,10.86,3.44,322.035
MSTR,2025-02-11,332.98,338.5,318.7,319.46,12017214,-13.52,-4.06,327.41
MSTR,2025-02-10,333.5,340.38,328.3,334.62,10104100,1.12,0.33583,334.2
MSTR,2025-02-07,335.0,344.4,327.0,327.56,15049714,-7.44,-2.22,333.49
MSTR,2025-02-06,338.7,344.5,320.71,325.46,12795200,-13.24,-3.91,332.3425
MSTR,2025-02-05,349.0,352.36,333.55,336.7,10973940,-12.3,-3.52,342.9025
MSTR,2025-02-04,341.2,353.79,340.45,348.31,12486000,7.12,2.08,345.9375
MSTR,2025-02-03,310.0,348.85,308.9,347.09,18207300,37.09,11.96,328.71
MSTR,2025-01-31,340.11,352.71,332.0,334.79,15566000,-5.32,-1.56,339.9025
MSTR,2025-01-30,345.83,356.11,338.52,340.09,12607800,-5.74,-1.66,345.1375
MSTR,2025-01-29,338.2,343.63,329.33,341.25,11716800,3.06,0.90183,338.1025
MSTR,2025-01-28,344.68,348.92,333.09,335.93,11461400,-8.75,-2.54,340.655
MSTR,2025-01-27,340.5,356.88,322.3,347.92,21224434,7.42,2.18,341.9
MSTR,2025-01-24,377.67,378.11,351.0,353.67,22943800,-24.0,-6.35,365.1125
MSTR,2025-01-23,371.75,390.2,370.7,373.12,23306500,1.37,0.36853,376.4425
MSTR,2025-01-22,384.91,390.35,371.05,377.31,16000314,-7.6,-1.97,380.905
MSTR,2025-01-21,395.46,404.42,367.76,389.1,26215800,-6.35,-1.61,389.185
MSTR,2025-01-17,383.28,398.68,380.15,396.5,24339148,13.22,3.45,389.6525
MSTR,2025-01-16,357.89,370.26,345.8,367.0,14826626,9.11,2.55,360.2375
MSTR,2025-01-15,357.81,368.42,353.01,360.62,19941337,2.81,0.78533,359.965
MSTR,2025-01-14,343.0,354.9,331.3,342.17,17889530,-0.83,-0.24198,342.8425
MSTR,2025-01-13,309.95,329.6,303.8,328.4,15914503,18.45,5.95,317.9375
MSTR,2025-01-10,330.31,337.0,317.91,327.91,16478719,-2.4,-0.72659,328.2825
MSTR,2025-01-08,335.25,344.39,317.22,331.7,18274800,-3.55,-1.06,332.14
MSTR,2025-01-07,366.47,371.28,335.3,341.43,24736800,-25.05,-6.83,353.62
MSTR,2025-01-06,349.85,383.02,335.5,379.09,26707300,29.24,8.36,361.865
MSTR,2025-01-03,303.0,343.4,301.77,339.66,25039041,36.66,12.1,321.9575
MSTR,2025-01-02,300.11,310.8,292.32,300.01,17933900,-0.1,-0.03332112,300.81
MSTR,2024-12-31,316.96,317.91,285.01,289.62,22486110,-27.34,-8.63,302.375
MSTR,2024-12-30,319.4,320.01,301.75,302.96,25771230,-16.44,-5.15,311.03
MSTR,2024-12-27,342.3,342.71,323.2,330.0,13778500,-12.3,-3.59,334.5525
MSTR,2024-12-26,350.31,351.8,340.0,341.05,13295118,-9.25,-2.64,345.79
MSTR,2024-12-24,343.5,361.0,342.7,358.18,16377800,14.68,4.27,351.345
MSTR,2024-12-23,358.0,359.74,329.08,332.23,21742500,-25.77,-7.2,344.7625
MSTR,2024-12-20,319.37,364.88,317.0,364.2,44889900,44.83,14.04,341.3625
MSTR,2024-12-19,365.44,367.5,323.48,326.46,26922900,-38.98,-10.67,345.72
MSTR,2024-12-18,386.0,390.32,338.0,349.64,24422921,-36.36,-9.42,365.99
MSTR,2024-12-17,413.45,415.68,386.01,386.42,21822000,-27.03,-6.54,400.39
MSTR,2024-12-16,424.87,437.61,406.46,408.5,31099439,-16.37,-3.85,419.36
MSTR,2024-12-13,400.07,409.71,388.88,408.67,21536900,8.6,2.15,401.8325
MSTR,2024-12-12,413.71,415.8,386.11,392.19,21074300,-21.52,-5.2,401.9525
MSTR,2024-12-11,385.66,412.68,385.5,411.4,27594400,25.74,6.67,398.81
MSTR,2024-12-10,373.37,379.8,356.05,377.32,20139900,3.95,1.06,371.635
MSTR,2024-12-09,394.0,399.8,363.44,365.34,22606100,-28.66,-7.27,380.645
MSTR,2024-12-06,395.29,405.0,384.02,395.01,26206200,-0.28,-0.07083407,394.83
MSTR,2024-12-05,440.12,444.94,379.35,386.4,46189812,-53.72,-12.21,412.7025
MSTR,2024-12-04,380.0,409.97,365.6,406.0,29862200,26.0,6.84,390.3925
MSTR,2024-12-03,367.85,393.12,362.67,373.43,22817500,5.58,1.52,374.2675
MSTR,2024-12-02,393.64,398.79,374.36,380.3,23404300,-13.34,-3.39,386.7725
MSTR,2024-11-29,405.75,417.62,381.0,387.47,21987618,-18.28,-4.51,397.96
MSTR,2024-11-27,384.29,397.66,372.5,388.84,34921206,4.55,1.18,385.8225
MSTR,2024-11-26,382.78,403.0,338.67,353.69,47891004,-29.09,-7.6,369.535
MSTR,2024-11-25,440.75,440.75,383.8,403.45,40180421,-37.3,-8.46,417.1875
MSTR,2024-11-22,403.6,453.0,393.1,421.88,55935009,18.28,4.53,417.895
MSTR,2024-11-21,535.63,543.0,371.84,397.28,100444000,-138.35,-25.83,461.9375
MSTR,2024-11-20,463.4,504.83,457.3,473.83,70212633,10.43,2.25,474.84
MSTR,2024-11-19,389.5,449.0,381.0,430.54,50954502,41.04,10.54,412.51
MSTR,2024-11-18,345.42,388.49,339.38,384.79,32745915,39.38,11.4,364.52
MSTR,2024-11-15,336.6,349.94,324.1,340.65,25842000,4.05,1.2,337.8225
MSTR,2024-11-14,341.77,348.0,318.62,327.67,26605700,-14.1,-4.13,334.015
MSTR,2024-11-13,366.98,383.4,321.7,328.38,46238500,-38.6,-10.52,350.115
MSTR,2024-11-12,334.77,360.89,325.5,356.59,39705800,21.82,6.52,344.4375
MSTR,2024-11-11,297.0,351.73,293.3,340.0,47315730,43.0,14.48,320.5075
MSTR,2024-11-08,275.58,279.38,262.6,270.42,18764220,-5.15,-1.87,271.995
MSTR,2024-11-07,256.8,280.8,252.7,270.81,23931700,14.01,5.46,265.2775
MSTR,2024-11-06,260.0,261.2,242.69,257.81,26270427,-2.19,-0.84231,255.425
MSTR,2024-11-05,233.34,243.46,225.43,227.8,17993900,-5.54,-2.37,232.5075
MSTR,2024-11-04,226.97,231.68,220.82,222.99,13438800,-3.98,-1.75,225.615
MSTR,2024-11-01,245.33,255.75,225.93,229.71,26258900,-15.62,-6.37,239.18
MSTR,2024-10-31,251.12,252.88,237.0,244.5,21954122,-6.62,-2.64,246.375
MSTR,2024-10-30,246.5,255.8,239.0,247.31,20593324,0.81,0.3286,247.1525
MSTR,2024-10-29,264.25,267.89,251.24,258.24,25958545,-6.01,-2.27,260.405
MSTR,2024-10-28,244.64,259.5,242.77,255.34,23182000,10.7,4.37,250.5625
MSTR,2024-10-25,236.39,245.57,227.75,234.34,25093205,-2.04,-0.86721,236.0125
MSTR,2024-10-24,220.09,236.29,218.25,235.89,23221545,15.8,7.18,227.63
MSTR,2024-10-23,215.08,222.85,204.91,213.95,17025503,-1.13,-0.52539,214.1975
MSTR,2024-10-22,216.21,221.4,212.08,219.7,13758100,3.49,1.61,217.3475
