symbol,date,open,high,low,close,volume,change,changePercent,vwap
MU,2025-04-04,70.66,71.34,63.8603,65.2,43657131,-5.46,-7.72714,66.8
MU,2025-04-03,82.92,83.35,74.21,74.34,44571340,-8.58,-10.35,78.705
MU,2025-04-02,87.13,89.93,86.7,88.6,14520400,1.47,1.69,88.09
MU,2025-04-01,88.53,88.89,86.25,88.71,15337100,0.185,0.20332,88.095
MU,2025-03-31,86.0,87.09,84.1,86.89,21089544,0.89,1.03,86.02
MU,2025-03-28,90.47,90.89,87.6,88.44,17118000,-2.03,-2.24,89.35
MU,2025-03-27,91.09,92.21,89.61,91.16,15658700,0.07,0.07684707,91.0175
MU,2025-03-26,96.0,96.64,90.97,92.13,27224340,-3.87,-4.03,93.935
MU,2025-03-25,96.18,96.38,93.25,94.18,22191735,-2.0,-2.08,94.9975
MU,2025-03-24,96.1,98.42,95.33,96.94,35406647,0.84,0.87409,96.6975
MU,2025-03-21,98.2,98.5,93.7,94.72,63239600,-3.48,-3.54,96.28
MU,2025-03-20,101.58,104.69,101.35,103.0,29204411,1.42,1.4,102.655
MU,2025-03-19,100.82,103.6,100.49,102.06,16633100,1.24,1.23,101.7425
MU,2025-03-18,101.9,103.31,100.29,101.72,18434126,-0.18,-0.17664,101.805
MU,2025-03-17,101.06,104.45,100.96,103.11,17095100,2.05,2.03,102.395
MU,2025-03-14,98.75,102.78,98.75,100.79,24623600,2.04,2.07,100.2675
MU,2025-03-13,94.25,98.12,94.0,94.88,18824701,0.63,0.66844,95.3125
MU,2025-03-12,92.47,96.99,92.24,95.64,23584745,3.17,3.43,94.335
MU,2025-03-11,87.9,91.1,86.07,89.05,21962141,1.15,1.31,88.53
MU,2025-03-10,89.59,91.37,85.76,87.08,21897900,-2.51,-2.8,88.45
MU,2025-03-07,90.29,93.34,89.49,92.96,19133938,2.67,2.96,91.52
MU,2025-03-06,90.93,93.29,89.03,89.27,18708100,-1.66,-1.83,90.63
MU,2025-03-05,92.15,95.05,90.43,94.34,14010312,2.19,2.38,92.9925
MU,2025-03-04,90.2,93.59,86.8,91.2,23611503,1.0,1.11,90.4475
MU,2025-03-03,95.81,96.2,89.39,90.54,20281800,-5.26,-5.5,92.985
MU,2025-02-28,91.0,94.46,89.87,93.63,23359100,2.63,2.89,92.24
MU,2025-02-27,97.84,99.89,91.49,91.82,22386300,-6.02,-6.15,95.26
MU,2025-02-26,96.0,99.72,95.5,97.71,21335231,1.71,1.78,97.2325
MU,2025-02-25,95.5,95.93,92.76,93.22,18608206,-2.28,-2.39,94.3525
MU,2025-02-24,100.22,100.7,95.28,95.41,14883722,-4.81,-4.8,97.9025
MU,2025-02-21,103.64,103.66,97.75,98.84,18650800,-4.8,-4.63,100.9725
MU,2025-02-20,103.98,104.85,102.34,103.18,14488000,-0.8,-0.76938,103.5875
MU,2025-02-19,105.76,107.19,103.62,104.36,17875900,-1.39,-1.32,105.2325
MU,2025-02-18,102.64,107.88,102.05,106.79,29641935,4.16,4.04,104.84
MU,2025-02-14,98.41,100.7,98.0,99.52,21284541,1.11,1.13,99.1575
MU,2025-02-13,92.06,96.07,92.02,95.66,16579900,3.6,3.91,93.9525
MU,2025-02-12,89.6,92.64,87.35,91.68,22874727,2.08,2.32,90.3175
MU,2025-02-11,94.25,95.84,93.56,94.08,12124047,-0.165,-0.18037,94.4325
MU,2025-02-10,93.19,96.26,93.17,95.93,16217948,2.75,2.94,94.6375
MU,2025-02-07,95.59,95.93,91.59,92.3,15602828,-3.29,-3.44,93.8525
MU,2025-02-06,94.88,96.61,93.58,94.54,16141135,-0.34,-0.35835,94.9025
MU,2025-02-05,90.39,93.65,90.22,93.6,15684526,3.21,3.55,91.965
MU,2025-02-04,89.05,91.45,88.8,90.66,12827500,1.61,1.81,89.99
MU,2025-02-03,88.65,91.4,88.02,89.92,18607900,1.27,1.43,89.4975
MU,2025-01-31,91.65,94.27,91.14,91.24,20540227,-0.41,-0.44735,92.075
MU,2025-01-30,90.66,93.16,90.3,92.5,22497100,1.84,2.03,91.655
MU,2025-01-29,89.88,90.45,87.76,89.01,25342802,-0.87,-0.96796,89.275
MU,2025-01-28,92.61,93.45,88.04,88.25,34793604,-4.36,-4.71,90.5875
MU,2025-01-27,94.86,96.1,88.36,91.11,50696200,-3.75,-3.95,92.6075
MU,2025-01-24,105.5,105.72,102.72,103.19,19743841,-2.31,-2.19,104.2825
MU,2025-01-23,104.79,106.18,103.35,104.84,22677612,0.05,0.04771448,104.79
MU,2025-01-22,109.17,110.67,107.76,109.23,20004316,0.065,0.05496015,109.2075
MU,2025-01-21,105.43,110.24,105.23,109.38,23533649,3.95,3.75,107.57
MU,2025-01-17,104.64,105.88,102.5,105.75,18908900,1.11,1.06,104.6925
MU,2025-01-16,104.32,104.8,101.87,102.6,16243839,-1.72,-1.65,103.3975
MU,2025-01-15,99.44,103.93,99.35,103.19,27568126,3.75,3.77,101.4775
MU,2025-01-14,97.05,97.41,95.38,97.36,18613447,0.31,0.31942,96.8
MU,2025-01-13,95.84,96.0,92.88,95.06,22699139,-0.78,-0.81386,94.945
MU,2025-01-10,98.12,100.78,96.87,99.34,20512600,1.23,1.24,98.7775
MU,2025-01-08,102.82,103.48,98.3,99.41,33516900,-3.41,-3.32,101.0025
MU,2025-01-07,103.41,106.74,101.16,101.91,53570014,-1.5,-1.45,103.305
MU,2025-01-06,95.57,101.52,95.48,99.26,42903300,3.7,3.86,97.9575
MU,2025-01-03,87.95,90.2,87.51,89.87,17484600,1.92,2.18,88.8825
MU,2025-01-02,84.98,87.65,84.74,87.33,18860000,2.35,2.77,86.175
MU,2024-12-31,85.44,86.4,84.09,84.16,18691546,-1.28,-1.5,85.0225
MU,2024-12-30,86.99,87.05,84.58,85.31,22022912,-1.67,-1.93,85.9825
MU,2024-12-27,89.0,89.49,87.58,88.63,19422607,-0.37,-0.41573,88.675
MU,2024-12-26,88.5,90.63,88.1,89.82,14506092,1.32,1.49,89.2625
MU,2024-12-24,89.58,89.7,88.23,89.28,13021300,-0.3,-0.3349,89.1975
MU,2024-12-23,90.0,91.1,88.4,89.72,26041500,-0.28,-0.31111,89.805
MU,2024-12-20,85.41,90.25,83.54,90.12,49578449,4.71,5.51,87.33
MU,2024-12-19,90.08,91.0,84.61,87.09,91396800,-2.98,-3.32,88.195
MU,2024-12-18,110.25,112.04,102.73,103.9,63024300,-6.35,-5.76,107.23
MU,2024-12-17,109.75,110.49,107.68,108.6,35811500,-1.15,-1.05,109.13
MU,2024-12-16,105.61,111.13,104.54,108.26,42741200,2.65,2.51,107.385
MU,2024-12-13,100.77,103.2,99.67,102.5,23926017,1.73,1.72,101.535
MU,2024-12-12,101.4,101.98,97.76,98.24,19334900,-3.16,-3.12,99.845
MU,2024-12-11,99.5,102.66,98.3,102.06,15248400,2.56,2.57,100.63
MU,2024-12-10,104.96,105.0,97.27,98.1,23548508,-6.86,-6.54,101.3325
MU,2024-12-09,100.65,104.5,100.37,102.82,14141937,2.17,2.16,102.085
MU,2024-12-06,100.88,102.19,100.03,101.17,12381020,0.29,0.28747,101.0675
MU,2024-12-05,103.88,104.25,100.61,100.87,13448928,-3.0,-2.9,102.4025
MU,2024-12-04,100.77,103.41,99.8,103.2,16306240,2.43,2.41,101.795
MU,2024-12-03,101.12,103.68,99.63,99.84,23479706,-1.28,-1.27,101.0675
MU,2024-12-02,97.6,100.09,97.53,98.55,16525600,0.95,0.97336,98.4425
MU,2024-11-29,97.24,98.2,96.1,97.95,13729436,0.71,0.73015,97.3725
MU,2024-11-27,100.94,101.04,96.64,98.2,17046441,-2.74,-2.71,99.205
MU,2024-11-26,104.0,104.72,100.31,101.8,19275700,-2.2,-2.12,102.7075
MU,2024-11-25,103.85,106.4,103.81,104.48,22837900,0.63,0.60664,104.635
MU,2024-11-22,102.36,103.71,101.65,102.64,12063730,0.28,0.27354,102.59
MU,2024-11-21,100.1,103.29,98.06,102.76,18915200,2.67,2.66,101.0525
MU,2024-11-20,97.98,98.53,96.53,98.37,10490600,0.395,0.39804,97.8525
MU,2024-11-19,97.0,98.18,96.51,97.73,14160307,0.73,0.75258,97.355
MU,2024-11-18,96.55,98.07,95.53,97.51,14251200,0.965,0.9943,96.915
MU,2024-11-15,97.55,98.2,95.64,96.34,18518300,-1.21,-1.24,96.9325
MU,2024-11-14,101.29,102.29,98.56,99.18,18459749,-2.11,-2.08,100.33
MU,2024-11-13,102.8,103.34,99.82,99.92,18416200,-2.88,-2.8,101.47
MU,2024-11-12,105.0,105.09,102.07,104.1,21859729,-0.9,-0.85714,104.065
MU,2024-11-11,110.95,111.51,106.77,108.65,14479700,-2.29,-2.07,109.47
MU,2024-11-08,112.14,114.3,110.57,111.9,13045721,-0.24,-0.21402,112.2275
MU,2024-11-07,112.56,113.86,111.37,113.41,13569838,0.8514,0.75515,112.8
MU,2024-11-06,108.38,112.32,107.0,111.83,20304531,3.45,3.18,109.8825
MU,2024-11-05,102.0,105.62,101.79,105.49,12071905,3.49,3.42,103.725
MU,2024-11-04,101.5,103.79,101.0,101.73,15765848,0.23,0.2266,102.005
MU,2024-11-01,100.0,100.61,99.37,99.73,13623400,-0.27,-0.27,99.9275
MU,2024-10-31,102.2,102.49,99.07,99.65,19830324,-2.55,-2.5,100.8525
MU,2024-10-30,106.26,106.8,103.64,104.08,14321800,-2.18,-2.05,105.195
MU,2024-10-29,106.59,108.75,105.6,108.18,15164600,1.6,1.49,107.28
MU,2024-10-28,106.78,108.18,106.32,106.39,12381045,-0.39,-0.36524,106.9175
MU,2024-10-25,108.34,109.88,107.72,107.91,12265000,-0.43,-0.3969,108.4625
MU,2024-10-24,106.78,107.53,105.55,106.85,13206300,0.075,0.06555535,106.6775
MU,2024-10-23,106.56,107.1,103.54,105.05,15174706,-1.51,-1.42,105.5625
MU,2024-10-22,108.24,108.52,106.37,107.82,13758100,-0.42,-0.38803,107.7375
MU,2024-10-21,111.1,111.14,107.69,109.08,14829420,-2.02,-1.82,109.7525
MU,2024-10-18,111.75,112.9,109.86,111.15,16700400,-0.6,-0.53691,111.415
MU,2024-10-17,111.34,114.14,111.01,112.05,26584811,0.71,0.63769,112.135
MU,2024-10-16,106.02,109.63,105.61,109.24,20450900,3.22,3.04,107.625
MU,2024-10-15,107.86,109.49,102.71,104.32,23419132,-3.54,-3.28,106.095
MU,2024-10-14,107.81,108.71,106.8,108.34,15021917,0.535,0.49161,107.915
MU,2024-10-11,105.04,107.65,104.99,106.92,19133928,1.88,1.79,106.15
MU,2024-10-10,101.37,106.58,100.85,105.69,27605600,4.32,4.26,103.6225
MU,2024-10-09,102.25,102.29,100.32,101.7,18442718,-0.55,-0.5379,101.64
MU,2024-10-08,102.18,102.94,101.26,102.54,18858300,0.36,0.35232,102.23
MU,2024-10-07,102.16,104.59,100.81,102.91,21749300,0.75,0.73414,102.6175
MU,2024-10-04,103.65,104.24,101.4,102.25,21945805,-1.4,-1.35,102.885
MU,2024-10-03,99.47,102.53,99.4,101.82,22176700,2.35,2.36,100.805
MU,2024-10-02,100.59,102.12,99.33,99.85,26334900,-0.74,-0.73566,100.4725
MU,2024-10-01,103.4,104.2,98.94,100.31,34309800,-3.09,-2.99,101.7125
MU,2024-09-30,106.08,106.75,102.26,103.71,39627713,-2.37,-2.23,104.7
MU,2024-09-27,110.5,110.97,107.03,107.5,42960200,-3.0,-2.71,109.0
MU,2024-09-26,113.1,114.8,107.53,109.88,107965900,-3.22,-2.85,111.3275
MU,2024-09-25,94.16,96.18,93.93,95.77,54762900,1.61,1.71,95.01
MU,2024-09-24,94.73,95.0,92.76,94.0,23043237,-0.73,-0.77061,94.1225
MU,2024-09-23,92.68,94.8,92.58,93.57,23394101,0.895,0.96029,93.4075
MU,2024-09-20,88.4,90.97,88.33,90.9,28711000,2.5,2.83,89.65
MU,2024-09-19,89.35,90.39,87.58,89.25,25208917,-0.1,-0.11192,89.1425
MU,2024-09-18,87.99,89.2,86.71,87.35,20130600,-0.64,-0.72736,87.8125
MU,2024-09-17,88.06,89.57,87.54,88.73,17744800,0.67,0.76084,88.475
MU,2024-09-16,87.24,88.24,85.92,87.18,26494332,-0.06,-0.06877579,87.145
MU,2024-09-13,88.09,91.47,87.87,91.22,21267222,3.13,3.55,89.6625
MU,2024-09-12,87.1,88.03,84.12,87.21,30982533,0.11,0.12629,86.615
MU,2024-09-11,88.2,90.83,86.08,90.65,20879600,2.45,2.78,88.94
MU,2024-09-10,86.97,87.19,84.87,86.85,17019016,-0.12,-0.13798,86.47
MU,2024-09-09,87.85,87.96,85.01,86.27,20526400,-1.58,-1.8,86.7725
MU,2024-09-06,89.37,89.65,85.26,86.38,23587100,-2.99,-3.35,87.665
MU,2024-09-05,88.1,90.7,87.76,89.39,13890700,1.29,1.46,88.9875
MU,2024-09-04,88.36,90.73,87.81,89.29,16356537,0.93,1.05,89.0475
MU,2024-09-03,93.63,93.88,88.31,88.58,28897236,-5.05,-5.39,91.1
MU,2024-08-30,96.92,98.41,94.99,96.24,18819400,-0.68,-0.70161,96.64
MU,2024-08-29,96.56,97.98,94.99,95.57,18984300,-0.99,-1.03,96.275
MU,2024-08-28,97.36,97.68,92.7,94.86,25564300,-2.5,-2.57,95.65
MU,2024-08-27,97.09,98.49,96.67,97.86,17234616,0.77,0.79308,97.5275
MU,2024-08-26,100.67,102.19,97.61,98.91,26752300,-1.76,-1.75,99.845
MU,2024-08-23,103.04,104.41,100.31,102.85,25465100,-0.19,-0.18439,102.6525
MU,2024-08-22,108.95,111.0,103.96,104.26,17967028,-4.69,-4.3,107.0425
MU,2024-08-21,108.16,108.4,106.21,108.33,13658900,0.17,0.15717,107.775
MU,2024-08-20,108.33,109.19,106.16,107.99,16075515,-0.34,-0.31386,107.9175
MU,2024-08-19,107.25,108.72,104.76,108.63,15744648,1.38,1.29,107.34
MU,2024-08-16,106.83,109.47,105.35,107.99,18383300,1.16,1.09,107.41
MU,2024-08-15,103.51,108.05,102.75,106.95,29128000,3.44,3.32,105.315
MU,2024-08-14,101.0,101.95,98.07,100.41,22459000,-0.59,-0.58416,100.3575
MU,2024-08-13,96.62,97.78,94.91,97.44,23565500,0.825,0.84869,96.6875
MU,2024-08-12,93.1,96.53,92.63,94.64,18886624,1.54,1.65,94.225
MU,2024-08-09,91.79,94.53,91.45,93.08,21627209,1.29,1.41,92.7125
MU,2024-08-08,88.48,92.85,88.03,92.07,24760739,3.59,4.06,90.3575
MU,2024-08-07,93.38,93.58,86.58,86.8,29483800,-6.58,-7.05,90.085
MU,2024-08-06,89.2,90.86,87.15,89.0,26460039,-0.2,-0.22422,89.0525
MU,2024-08-05,87.63,92.25,84.91,90.42,36977615,2.79,3.18,88.8025
MU,2024-08-02,97.16,97.69,91.07,92.7,36039440,-4.46,-4.59,94.655
MU,2024-08-01,107.18,107.86,99.95,101.51,31643707,-5.67,-5.29,104.125
MU,2024-07-31,109.85,111.34,107.75,109.82,26503600,-0.03,-0.02730997,109.69
MU,2024-07-30,109.0,109.25,102.17,102.56,23915140,-6.44,-5.91,105.745
MU,2024-07-29,110.54,111.03,107.14,107.85,13517700,-2.69,-2.43,109.14
MU,2024-07-26,110.0,110.63,107.78,109.41,18547900,-0.59,-0.53636,109.455
MU,2024-07-25,106.8,110.7,105.04,107.45,29068400,0.65,0.60861,107.4975
MU,2024-07-24,111.47,114.04,110.0,110.28,25261038,-1.19,-1.07,111.4475
MU,2024-07-23,115.13,116.34,113.83,114.25,14707710,-0.88,-0.76435,114.8875
MU,2024-07-22,115.36,115.58,113.64,115.28,23837800,-0.08,-0.06934813,114.965
MU,2024-07-19,116.69,117.21,113.85,114.26,18038924,-2.43,-2.08,115.5025
MU,2024-07-18,120.5,121.64,114.09,117.45,30404911,-3.05,-2.53,118.42
MU,2024-07-17,122.58,123.03,119.23,119.5,31414100,-3.08,-2.51,121.085
MU,2024-07-16,130.42,130.97,127.24,127.49,21312635,-2.93,-2.25,129.03
MU,2024-07-15,133.91,135.35,130.03,130.87,20416018,-3.04,-2.27,132.54
MU,2024-07-12,131.75,134.43,130.72,133.55,20726900,1.8,1.37,132.6125
MU,2024-07-11,136.36,136.43,130.07,130.23,25401541,-6.13,-4.5,133.2725
MU,2024-07-10,133.1,136.5,132.7,136.39,22460200,3.28,2.47,134.6725
MU,2024-07-09,131.75,135.21,130.88,131.14,21903375,-0.61,-0.463,132.245
MU,2024-07-08,131.29,133.27,130.09,130.69,20500745,-0.605,-0.457,131.335
MU,2024-07-05,136.82,137.13,130.91,131.6,30104619,-5.22,-3.82,134.115
MU,2024-07-03,132.66,136.82,132.43,136.82,14507146,4.16,3.14,134.6825
MU,2024-07-02,129.91,132.71,129.42,132.59,20776035,2.68,2.06,131.1575
MU,2024-07-01,130.5,132.08,127.27,131.52,24749000,1.02,0.78161,130.3425
MU,2024-06-28,132.82,135.42,130.75,131.53,38140600,-1.29,-0.97124,132.63
MU,2024-06-27,135.79,137.39,131.08,132.23,68172714,-3.56,-2.62,134.1225
MU,2024-06-26,143.04,144.07,139.54,142.36,55490300,-0.68,-0.47539,142.2525
MU,2024-06-25,140.07,141.13,137.75,141.12,32370046,1.05,0.74963,140.0175
MU,2024-06-24,142.44,142.83,137.89,139.01,32410100,-3.43,-2.41,140.5425
MU,2024-06-21,137.65,142.6,135.7,139.54,51189700,1.89,1.37,138.8725
MU,2024-06-20,157.01,157.41,142.91,144.19,41285000,-12.82,-8.17,150.38
MU,2024-06-18,151.74,157.54,151.51,153.45,42192600,1.71,1.13,153.56
MU,2024-06-17,145.58,148.75,142.14,147.83,23909000,2.25,1.55,146.075
MU,2024-06-14,141.8,142.49,139.65,141.36,14028500,-0.44,-0.3103,141.325
MU,2024-06-13,142.79,144.22,140.26,143.14,16312938,0.35,0.24512,142.6025
MU,2024-06-12,138.51,141.71,136.83,140.75,16973600,2.24,1.62,139.45
MU,2024-06-11,135.32,135.85,131.78,135.07,14125000,-0.255,-0.18475,134.505
MU,2024-06-10,129.71,135.67,129.71,134.82,14668200,5.11,3.94,132.4775
MU,2024-06-07,130.21,132.54,129.62,130.94,12139500,0.73,0.56063,130.8275
MU,2024-06-06,133.84,134.13,129.18,130.07,15505001,-3.77,-2.82,131.805
MU,2024-06-05,128.8,133.87,127.65,133.71,22301829,4.91,3.81,131.0075
MU,2024-06-04,127.35,127.86,125.42,126.64,12995515,-0.71,-0.55752,126.8175
MU,2024-06-03,128.13,128.84,125.15,128.17,16134335,0.04,0.03121829,127.5725
MU,2024-05-31,126.35,127.32,121.01,125.0,24153800,-1.35,-1.07,124.92
MU,2024-05-30,130.3,131.67,125.7,126.29,12666205,-4.01,-3.08,128.49
