symbol,date,open,high,low,close,volume,change,changePercent,vwap
NFLX,2025-04-04,896.5,905.68,853.87,862.08,5440447,-34.42,-3.83938,873.88
NFLX,2025-04-03,901.8,946.59,900.47,917.05,5849087,15.25,1.69,916.4775
NFLX,2025-04-02,923.0,949.55,916.11,935.52,3256900,12.52,1.36,931.045
NFLX,2025-04-01,927.5,932.29,911.5,928.38,3520000,0.88,0.09487871,924.9175
NFLX,2025-03-31,920.53,934.48,900.59,932.53,4634100,12.0,1.3,922.0325
NFLX,2025-03-28,972.0,974.98,929.23,933.85,4422717,-38.15,-3.92,952.515
NFLX,2025-03-27,974.22,989.0,966.37,976.72,3047237,2.5,0.25662,976.5775
NFLX,2025-03-26,993.81,996.79,966.32,970.65,3534707,-23.16,-2.33,981.8925
NFLX,2025-03-25,978.18,998.7,977.11,997.28,3782245,19.1,1.95,987.8175
NFLX,2025-03-24,969.67,977.0,951.55,971.99,4677900,2.32,0.23926,967.5525
NFLX,2025-03-21,941.64,963.65,940.95,960.29,5905429,18.65,1.98,951.6325
NFLX,2025-03-20,950.01,967.0,945.5,950.84,4466305,0.83,0.0873675,953.3375
NFLX,2025-03-19,935.77,968.0,924.0,959.49,6662400,23.72,2.53,946.815
NFLX,2025-03-18,940.0,948.25,916.3,929.98,6009400,-10.02,-1.07,933.6325
NFLX,2025-03-17,939.95,967.63,934.42,950.02,7543146,10.07,1.07,948.005
NFLX,2025-03-14,901.46,919.63,901.0,918.0,5200700,16.54,1.83,910.0225
NFLX,2025-03-13,913.0,921.89,887.51,890.17,5001700,-22.83,-2.5,903.1425
NFLX,2025-03-12,914.6,927.18,901.0,919.68,6865837,5.08,0.55543,915.615
NFLX,2025-03-11,867.41,910.68,866.0,895.1,7398934,27.69,3.19,884.7975
NFLX,2025-03-10,875.07,881.27,854.5,866.68,6995309,-8.39,-0.95878,869.38
NFLX,2025-03-07,897.64,904.89,858.07,891.11,7737500,-6.53,-0.72746,887.9275
NFLX,2025-03-06,972.99,973.69,899.0,906.36,7852600,-66.63,-6.85,938.01
NFLX,2025-03-05,973.62,995.6,969.48,990.92,3807935,17.3,1.78,982.405
NFLX,2025-03-04,971.61,986.31,948.21,972.58,4392814,0.97,0.0998343,969.6775
NFLX,2025-03-03,983.0,994.93,964.81,973.7,3907447,-9.3,-0.94608,979.11
NFLX,2025-02-28,969.56,982.27,958.17,980.56,4717409,11.0,1.13,972.64
NFLX,2025-02-27,995.0,1000.73,961.83,963.07,3766600,-31.93,-3.21,980.1575
NFLX,2025-02-26,977.6,1000.89,976.9,990.06,3397205,12.46,1.27,986.3625
NFLX,2025-02-25,989.4,994.4,955.0,977.24,4738304,-12.16,-1.23,979.01
NFLX,2025-02-24,1008.0,1015.17,984.48,988.47,4426365,-19.53,-1.94,999.03
NFLX,2025-02-21,1029.42,1032.38,999.39,1003.15,3738710,-26.27,-2.55,1016.085
NFLX,2025-02-20,1042.0,1045.0,1015.59,1024.54,3111831,-17.46,-1.68,1031.7825
NFLX,2025-02-19,1035.18,1045.0,1024.51,1043.33,2600048,8.15,0.7873,1037.005
NFLX,2025-02-18,1060.0,1062.0,1023.75,1035.85,4229339,-24.15,-2.28,1045.4
NFLX,2025-02-14,1044.95,1064.5,1041.69,1058.6,3145430,13.65,1.31,1052.435
NFLX,2025-02-13,1026.63,1045.99,1025.1,1043.69,3476100,17.07,1.66,1035.3525
NFLX,2025-02-12,1005.49,1027.74,998.35,1027.31,3389000,21.82,2.17,1014.7225
NFLX,2025-02-11,1020.79,1022.69,1002.95,1008.08,3331800,-12.71,-1.25,1013.6275
NFLX,2025-02-10,1023.05,1032.85,1015.88,1027.6,3296600,4.55,0.44475,1024.845
NFLX,2025-02-07,1017.0,1027.76,1005.67,1013.93,3212900,-3.07,-0.30187,1016.09
NFLX,2025-02-06,1007.87,1016.35,1002.61,1015.68,3134300,7.81,0.7749,1010.6275
NFLX,2025-02-05,987.73,1011.83,986.68,1011.11,3997733,23.38,2.37,999.3375
NFLX,2025-02-04,980.47,1008.0,978.51,994.87,6000137,14.4,1.47,990.4625
NFLX,2025-02-03,973.0,987.69,964.38,978.94,3724200,5.94,0.61048,976.0025
NFLX,2025-01-31,974.0,990.29,974.0,976.76,3618718,2.76,0.28337,978.7625
NFLX,2025-01-30,986.75,994.59,970.01,973.24,3867825,-13.51,-1.37,981.1475
NFLX,2025-01-29,980.0,987.64,968.23,978.15,2930728,-1.85,-0.18878,978.505
NFLX,2025-01-28,966.71,977.93,957.3,971.83,3434000,5.12,0.52963,968.4425
NFLX,2025-01-27,971.1,982.27,960.26,971.89,4634204,0.79,0.08135105,971.38
NFLX,2025-01-24,984.41,986.28,967.68,977.59,4550400,-6.82,-0.6928,978.99
NFLX,2025-01-23,957.81,985.0,953.9,984.86,7752137,27.05,2.82,970.3925
NFLX,2025-01-22,998.03,999.0,950.76,953.99,14273205,-44.03,-4.41,975.445
NFLX,2025-01-21,863.53,916.4,854.75,869.68,9851400,6.15,0.71219,876.09
NFLX,2025-01-17,859.79,865.0,852.13,858.1,3617600,-1.69,-0.19656,858.755
NFLX,2025-01-16,860.96,868.98,842.02,842.37,4028537,-18.59,-2.16,853.5825
NFLX,2025-01-15,836.44,850.84,830.41,848.26,3181400,11.82,1.41,841.4875
NFLX,2025-01-14,843.2,844.89,823.52,828.4,3037700,-14.8,-1.76,835.0025
NFLX,2025-01-13,831.53,847.07,829.14,840.29,3024517,8.76,1.05,837.0075
NFLX,2025-01-10,866.4,866.41,834.4,837.69,4803312,-28.71,-3.31,851.225
NFLX,2025-01-08,880.0,886.22,873.0,875.0,2347949,-5.0,-0.56818,878.555
NFLX,2025-01-07,879.38,888.0,869.11,879.19,2649823,-0.19,-0.02160613,878.92
NFLX,2025-01-06,888.76,892.83,871.69,881.79,3457700,-6.97,-0.78424,883.7675
NFLX,2025-01-03,893.13,898.83,879.89,881.05,2970019,-12.08,-1.35,888.225
NFLX,2025-01-02,895.5,898.58,877.0,886.73,2315685,-8.77,-0.97934,889.4525
NFLX,2024-12-31,901.8,902.68,889.47,891.32,1875900,-10.48,-1.16,896.3175
NFLX,2024-12-30,894.51,908.23,889.71,900.43,2203000,5.92,0.66181,898.22
NFLX,2024-12-27,916.01,918.13,894.5,907.55,3226200,-8.46,-0.92357,909.0475
NFLX,2024-12-26,928.4,930.49,915.3,924.14,2342418,-4.26,-0.45885,924.5825
NFLX,2024-12-24,915.0,935.85,911.7,932.12,2320300,17.12,1.87,923.6675
NFLX,2024-12-23,913.42,915.0,899.1,911.45,2339400,-1.97,-0.21567,909.7425
NFLX,2024-12-20,893.21,919.92,890.49,909.05,4530519,15.84,1.77,903.1675
NFLX,2024-12-19,908.18,912.62,899.0,902.04,2815512,-6.14,-0.67608,905.46
NFLX,2024-12-18,919.13,922.44,886.56,889.55,2938200,-29.58,-3.22,904.42
NFLX,2024-12-17,921.54,928.45,916.42,919.13,2459500,-2.41,-0.26152,921.385
NFLX,2024-12-16,923.94,928.94,919.5,921.08,2674900,-2.86,-0.30954,923.365
NFLX,2024-12-13,916.81,925.55,909.61,918.87,2485829,2.06,0.22469,917.71
NFLX,2024-12-12,933.35,934.09,922.6,925.55,2486200,-7.8,-0.8357,928.8975
NFLX,2024-12-11,924.71,941.75,923.08,936.56,3501700,11.85,1.28,931.525
NFLX,2024-12-10,913.76,922.88,909.58,913.35,2388600,-0.41,-0.04486955,914.8925
NFLX,2024-12-09,928.0,930.3,902.59,913.69,3350100,-14.31,-1.54,918.645
NFLX,2024-12-06,915.23,935.27,912.71,934.74,2955400,19.51,2.13,924.4875
NFLX,2024-12-05,917.85,927.0,911.11,917.87,2835307,0.02,0.00217901,918.4575
NFLX,2024-12-04,898.05,915.97,898.05,911.06,2717981,13.01,1.45,905.7825
NFLX,2024-12-03,894.36,902.69,888.03,902.17,2401634,7.81,0.87325,896.8125
NFLX,2024-12-02,887.51,902.34,884.12,897.74,2389000,10.23,1.15,892.9275
NFLX,2024-11-29,882.17,892.41,876.68,886.81,2027237,4.64,0.52598,884.5175
NFLX,2024-11-27,872.06,880.95,858.91,877.34,2578222,5.28,0.60546,872.315
NFLX,2024-11-26,867.49,886.36,867.25,872.6,3138300,5.11,0.58906,873.425
NFLX,2024-11-25,902.05,902.05,864.22,865.59,6014203,-36.46,-4.04,883.4775
NFLX,2024-11-22,896.0,906.0,893.0,897.79,3214020,1.79,0.19978,898.1975
NFLX,2024-11-21,883.93,908.0,877.24,897.48,4511300,13.55,1.53,891.6625
NFLX,2024-11-20,879.98,890.6,868.4,883.85,4093843,3.87,0.43978,880.7075
NFLX,2024-11-19,839.75,874.49,839.16,871.32,3814227,31.57,3.76,856.18
NFLX,2024-11-18,815.5,848.45,809.33,847.05,4084100,31.55,3.87,830.0825
NFLX,2024-11-15,832.04,832.04,816.49,823.96,3673720,-8.08,-0.97111,826.1325
NFLX,2024-11-14,833.67,841.0,830.02,837.26,3038231,3.59,0.43063,835.4875
NFLX,2024-11-13,822.62,836.99,820.54,830.47,2767800,7.86,0.95427,827.655
NFLX,2024-11-12,807.5,820.37,803.75,819.5,2814100,12.0,1.49,812.78
NFLX,2024-11-11,795.9,806.82,795.57,805.44,2399200,9.54,1.2,800.9325
NFLX,2024-11-08,797.36,799.06,788.65,795.04,1910626,-2.32,-0.29096,795.0275
NFLX,2024-11-07,781.37,798.22,779.94,796.54,3295100,15.17,1.94,789.0175
NFLX,2024-11-06,771.5,781.49,757.38,780.21,3690817,8.71,1.13,772.645
NFLX,2024-11-05,757.35,767.53,756.27,763.91,2200645,6.56,0.86618,761.265
NFLX,2024-11-04,753.14,762.48,749.69,755.51,1902200,2.37,0.31468,755.205
NFLX,2024-11-01,753.48,763.8,747.77,756.1,2996829,2.62,0.34772,755.2875
NFLX,2024-10-31,753.93,760.79,752.23,756.03,3057709,2.1,0.27854,755.745
NFLX,2024-10-30,758.08,759.79,752.28,753.74,1722002,-4.34,-0.5725,755.9725
NFLX,2024-10-29,751.13,763.88,748.01,759.44,3660433,8.31,1.11,755.615
NFLX,2024-10-28,758.68,758.68,747.88,749.12,2862405,-9.56,-1.26,753.59
NFLX,2024-10-25,756.17,768.5,753.53,754.68,2819500,-1.49,-0.19705,758.22
