symbol,date,open,high,low,close,volume,change,changePercent,vwap
NXPI,2025-04-04,164.87,167.36,155.975,160.75,4825798,-4.12,-2.49894,161.36
NXPI,2025-04-03,183.48,185.31,171.71,171.88,6155714,-11.6,-6.32,178.095
NXPI,2025-04-02,186.4,196.59,186.4,193.67,2231700,7.27,3.9,190.765
NXPI,2025-04-01,188.55,190.14,184.3,190.0,2270400,1.46,0.76903,188.2475
NXPI,2025-03-31,187.3,191.11,183.56,190.06,4304221,2.76,1.47,188.0075
NXPI,2025-03-28,198.27,199.08,188.85,189.99,4261007,-8.28,-4.18,194.0475
NXPI,2025-03-27,203.29,203.87,198.72,200.06,2877559,-3.23,-1.59,201.485
NXPI,2025-03-26,211.04,212.61,202.87,205.75,3637912,-5.29,-2.51,208.0675
NXPI,2025-03-25,213.91,216.63,210.75,211.33,1662393,-2.58,-1.21,213.155
NXPI,2025-03-24,206.32,212.42,205.6,211.12,2743069,4.8,2.33,208.865
NXPI,2025-03-21,200.18,201.38,196.95,200.64,3352068,0.46,0.22979,199.7875
NXPI,2025-03-20,204.06,205.66,201.53,202.64,1455400,-1.42,-0.69587,203.4725
NXPI,2025-03-19,206.18,211.36,206.03,207.38,1640641,1.2,0.58202,207.7375
NXPI,2025-03-18,207.45,208.99,205.27,207.1,1862500,-0.35,-0.16872,207.2025
NXPI,2025-03-17,204.86,212.12,204.86,209.83,2207664,4.97,2.43,207.9175
NXPI,2025-03-14,204.8,206.96,203.48,206.16,2771741,1.36,0.66406,205.35
NXPI,2025-03-13,204.07,208.0,200.06,201.02,1792710,-3.05,-1.49,203.2875
NXPI,2025-03-12,208.07,209.98,203.63,204.45,2288747,-3.62,-1.74,206.5325
NXPI,2025-03-11,209.1,209.76,199.88,205.8,3198200,-3.3,-1.58,206.135
NXPI,2025-03-10,217.47,218.07,206.94,208.84,3747700,-8.63,-3.97,212.83
NXPI,2025-03-07,214.1,223.8,212.5,222.56,4301500,8.47,3.95,218.24
NXPI,2025-03-06,212.79,219.45,210.67,214.47,3465300,1.68,0.78951,214.345
NXPI,2025-03-05,213.33,217.56,208.67,216.77,2621131,3.44,1.61,214.0825
NXPI,2025-03-04,216.51,218.11,210.72,211.16,4111512,-5.35,-2.47,214.125
NXPI,2025-03-03,220.0,222.79,213.48,216.53,4651959,-3.47,-1.58,218.2
NXPI,2025-02-28,218.33,221.15,213.63,215.59,4231960,-2.74,-1.25,217.175
NXPI,2025-02-27,228.65,229.3,216.46,216.87,3573955,-11.78,-5.15,222.82
NXPI,2025-02-26,229.52,230.7,225.38,229.38,2631135,-0.14,-0.06099686,228.745
NXPI,2025-02-25,234.53,235.7,228.02,228.56,3033446,-5.97,-2.55,231.7025
NXPI,2025-02-24,236.8,238.63,232.87,233.15,3130029,-3.64,-1.54,235.3625
NXPI,2025-02-21,247.21,248.0,236.22,236.52,5304711,-10.69,-4.32,241.9875
NXPI,2025-02-20,255.0,255.45,244.08,245.86,4342795,-9.14,-3.58,250.0975
NXPI,2025-02-19,230.52,246.8,229.55,245.58,5345931,15.06,6.53,238.1125
NXPI,2025-02-18,226.79,234.09,226.72,228.86,4327314,2.07,0.91274,229.115
NXPI,2025-02-14,220.8,226.44,219.26,224.14,3085481,3.34,1.51,222.66
NXPI,2025-02-13,219.21,221.28,216.64,219.59,2761468,0.38,0.17335,219.18
NXPI,2025-02-12,216.4,221.49,212.63,219.79,3202696,3.39,1.57,217.5775
NXPI,2025-02-11,208.32,213.64,207.64,210.97,1273200,2.65,1.27,210.1425
NXPI,2025-02-10,214.2,215.07,208.76,210.05,2412374,-4.15,-1.94,212.02
NXPI,2025-02-07,215.47,217.86,211.27,212.93,2216694,-2.54,-1.18,214.3825
NXPI,2025-02-06,216.5,220.62,214.66,216.82,2929073,0.32,0.14781,217.15
NXPI,2025-02-05,201.76,214.13,201.58,213.24,4451082,11.48,5.69,207.6775
NXPI,2025-02-04,207.84,210.0,198.87,202.4,3676500,-5.44,-2.62,204.7775
NXPI,2025-02-03,203.0,207.08,198.21,204.73,4743100,1.73,0.85222,203.255
NXPI,2025-01-31,212.0,215.85,208.31,208.55,3020149,-3.45,-1.63,211.1775
NXPI,2025-01-30,211.64,212.76,206.81,211.39,3304073,-0.25,-0.11813,210.65
NXPI,2025-01-29,213.23,215.74,211.74,213.01,1739617,-0.22,-0.10317,213.43
NXPI,2025-01-28,214.0,215.71,208.3,213.43,2446618,-0.57,-0.26636,212.86
NXPI,2025-01-27,215.01,219.74,212.38,215.08,4526819,0.075,0.03255663,215.5525
NXPI,2025-01-24,216.45,217.46,211.57,213.43,2777273,-3.02,-1.4,214.7275
NXPI,2025-01-23,213.62,219.91,212.69,219.88,2250800,6.26,2.93,216.525
NXPI,2025-01-22,215.19,219.64,214.01,216.09,2367936,0.905,0.41824,216.2325
NXPI,2025-01-21,215.0,216.75,213.33,214.88,3237900,-0.12,-0.05581395,214.99
NXPI,2025-01-17,216.41,217.46,213.97,215.36,1921559,-1.05,-0.48519,215.8
NXPI,2025-01-16,215.25,215.42,209.78,210.76,1632400,-4.49,-2.09,212.8025
NXPI,2025-01-15,215.26,216.66,213.49,213.56,3143423,-1.7,-0.78974,214.7425
NXPI,2025-01-14,208.58,210.65,206.73,210.63,1513426,2.05,0.98284,209.1475
NXPI,2025-01-13,203.12,207.21,202.25,206.83,1629748,3.71,1.83,204.8525
NXPI,2025-01-10,209.63,211.32,206.38,206.75,2511100,-2.88,-1.37,208.52
NXPI,2025-01-08,212.14,213.32,207.34,209.72,2302600,-2.42,-1.14,210.63
NXPI,2025-01-07,213.88,218.94,211.24,212.58,2312319,-1.3,-0.60782,214.16
NXPI,2025-01-06,210.01,215.91,210.01,213.41,1972700,3.4,1.62,212.335
NXPI,2025-01-03,207.3,210.14,205.0,208.86,2308155,1.56,0.75253,207.825
NXPI,2025-01-02,209.61,211.6,205.23,206.21,1424491,-3.4,-1.62,208.1625
NXPI,2024-12-31,208.74,209.49,206.34,207.85,1154500,-0.89,-0.42637,208.105
NXPI,2024-12-30,211.55,211.95,206.79,207.47,1817900,-4.08,-1.93,209.44
NXPI,2024-12-27,213.33,214.95,211.67,213.76,1162105,0.43,0.20157,213.4275
NXPI,2024-12-26,213.0,217.38,213.0,215.04,885784,2.04,0.95775,214.605
NXPI,2024-12-24,214.92,215.41,212.31,215.4,790910,0.48,0.22334,214.51
NXPI,2024-12-23,210.5,214.84,210.5,214.09,1737645,3.59,1.71,212.4825
NXPI,2024-12-20,205.64,213.47,204.72,210.24,6139389,4.6,2.24,208.5175
NXPI,2024-12-19,212.06,213.46,206.97,207.27,2734949,-4.79,-2.26,209.94
NXPI,2024-12-18,219.08,223.36,209.29,210.29,3610400,-8.79,-4.01,215.505
NXPI,2024-12-17,220.34,223.18,217.61,219.02,3592557,-1.32,-0.59907,220.0375
NXPI,2024-12-16,217.11,220.65,214.79,218.18,2884862,1.07,0.49284,217.6825
NXPI,2024-12-13,216.12,218.31,215.05,216.84,2855800,0.72,0.33315,216.58
NXPI,2024-12-12,218.58,219.62,215.43,217.73,1771000,-0.85,-0.38887,217.84
NXPI,2024-12-11,220.1,221.92,217.76,219.84,2483005,-0.26,-0.11813,219.905
NXPI,2024-12-10,224.26,224.48,217.05,217.94,1716000,-6.32,-2.82,220.9325
NXPI,2024-12-09,217.95,225.99,217.2,223.61,2149900,5.66,2.6,221.1875
NXPI,2024-12-06,218.37,220.19,217.61,218.66,2302325,0.29,0.1328,218.7075
NXPI,2024-12-05,222.47,223.03,216.41,216.99,2297000,-5.48,-2.46,219.725
NXPI,2024-12-04,231.27,231.86,222.54,223.66,2352027,-7.61,-3.29,227.3325
NXPI,2024-12-03,230.71,232.79,228.09,228.36,2573008,-2.35,-1.02,229.9875
NXPI,2024-12-02,229.01,236.07,228.18,233.61,2796583,4.61,2.01,231.7175
NXPI,2024-11-29,227.86,232.17,226.72,229.37,1606600,1.51,0.66269,229.03
NXPI,2024-11-27,228.09,229.97,222.86,226.53,1520727,-1.56,-0.68394,226.8625
NXPI,2024-11-26,237.36,238.76,226.75,228.66,2476629,-8.7,-3.67,232.8825
NXPI,2024-11-25,229.94,235.43,227.83,233.85,2784900,3.91,1.7,231.7625
NXPI,2024-11-22,227.0,227.03,223.71,226.38,1584139,-0.62,-0.27313,226.03
NXPI,2024-11-21,222.11,226.29,219.78,224.57,1769699,2.46,1.11,223.1875
NXPI,2024-11-20,217.2,220.47,216.06,220.34,2143872,3.14,1.45,218.5175
NXPI,2024-11-19,218.55,220.59,217.25,219.91,1503557,1.36,0.62228,219.075
NXPI,2024-11-18,217.2,220.42,216.04,220.19,2473000,2.99,1.38,218.4625
NXPI,2024-11-15,221.83,223.96,216.59,217.04,2793131,-4.79,-2.16,219.855
NXPI,2024-11-14,223.88,225.33,221.37,223.96,2250276,0.08,0.03573343,223.635
NXPI,2024-11-13,221.57,225.44,221.44,222.96,3145030,1.39,0.62734,222.8525
NXPI,2024-11-12,225.31,226.99,221.85,224.79,2528823,-0.52,-0.23079,224.735
NXPI,2024-11-11,230.98,231.42,223.71,227.04,2715100,-3.94,-1.71,228.2875
NXPI,2024-11-08,233.13,235.0,227.97,233.89,2743168,0.76,0.326,232.4975
NXPI,2024-11-07,237.76,238.85,231.88,236.12,3129520,-1.64,-0.68977,236.1525
NXPI,2024-11-06,228.13,233.83,226.11,231.38,3598000,3.25,1.42,229.8625
NXPI,2024-11-05,220.5,224.84,216.93,224.65,5961100,4.15,1.88,221.73
NXPI,2024-11-04,237.32,239.21,235.57,236.9,2935914,-0.42,-0.17698,237.25
NXPI,2024-11-01,234.5,240.17,234.1,238.59,2224189,4.09,1.74,236.84
NXPI,2024-10-31,244.48,244.48,231.3,234.5,3540600,-9.98,-4.08,238.69
NXPI,2024-10-30,249.47,253.42,245.0,245.32,2401900,-4.15,-1.66,248.3025
NXPI,2024-10-29,250.57,256.62,249.06,255.58,2134410,5.01,2.0,252.9575
NXPI,2024-10-28,239.42,251.1,238.13,249.7,2812039,10.28,4.29,244.5875
NXPI,2024-10-25,240.62,246.08,240.08,243.16,2140509,2.54,1.06,242.485
NXPI,2024-10-24,238.68,241.92,235.56,239.06,1593103,0.38,0.15921,238.805
NXPI,2024-10-23,236.23,239.89,233.02,236.32,2957300,0.09,0.03809846,236.365
NXPI,2024-10-22,229.42,232.49,227.64,231.52,2173649,2.1,0.91535,230.2675
NXPI,2024-10-21,231.06,232.45,227.33,230.15,1585290,-0.91,-0.39384,230.2475
NXPI,2024-10-18,236.24,236.67,232.44,233.45,1187652,-2.79,-1.18,234.7
NXPI,2024-10-17,238.44,238.88,232.1,232.28,2062228,-6.16,-2.58,235.425
