symbol,date,open,high,low,close,volume,change,changePercent,vwap
ODFL,2025-04-04,153.17,155.73,147.055,153.55,2687576,0.38,0.24809036,152.11
ODFL,2025-04-03,162.53,165.62,153.02,155.75,2683203,-6.78,-4.17,159.23
ODFL,2025-04-02,164.66,170.58,164.47,170.1,905220,5.44,3.3,167.4525
ODFL,2025-04-01,163.67,168.0,163.02,167.09,1219403,3.42,2.09,165.445
ODFL,2025-03-31,162.05,166.62,162.05,165.45,1608374,3.4,2.1,164.0425
ODFL,2025-03-28,169.61,169.93,164.72,164.85,1285993,-4.76,-2.81,167.2775
ODFL,2025-03-27,168.77,171.54,168.36,170.23,1260200,1.46,0.86508,169.725
ODFL,2025-03-26,167.55,169.48,166.92,168.67,1423180,1.13,0.66846,168.155
ODFL,2025-03-25,170.12,170.72,167.09,167.6,1478600,-2.52,-1.48,168.8825
ODFL,2025-03-24,167.61,170.66,167.48,170.05,1302653,2.44,1.46,168.95
ODFL,2025-03-21,158.31,165.37,157.67,165.22,3630700,6.91,4.36,161.6425
ODFL,2025-03-20,160.91,163.41,160.37,161.13,1585700,0.22,0.13672,161.455
ODFL,2025-03-19,162.09,163.42,159.5,162.44,1646500,0.35,0.21593,161.8625
ODFL,2025-03-18,165.34,166.37,160.49,162.08,1148225,-3.26,-1.97,163.57
ODFL,2025-03-17,161.01,167.09,159.11,166.12,1602822,5.11,3.17,163.3325
ODFL,2025-03-14,163.95,164.46,161.76,162.5,1412360,-1.45,-0.88442,163.1675
ODFL,2025-03-13,165.77,167.05,159.35,162.98,2044694,-2.79,-1.68,163.7875
ODFL,2025-03-12,169.05,169.84,164.06,164.54,2344581,-4.51,-2.67,166.8725
ODFL,2025-03-11,177.45,177.76,166.42,167.03,2507446,-10.41,-5.87,172.165
ODFL,2025-03-10,178.48,181.76,177.24,177.97,2021834,-0.51,-0.28575,178.8625
ODFL,2025-03-07,177.58,181.47,176.64,179.55,2667000,1.97,1.11,178.81
ODFL,2025-03-06,175.94,178.71,173.55,177.58,2027143,1.64,0.93214,176.445
ODFL,2025-03-05,175.42,176.86,171.7,176.52,2217500,1.1,0.62707,175.125
ODFL,2025-03-04,170.64,177.3,165.82,175.0,3026075,4.36,2.56,172.19
ODFL,2025-03-03,178.18,178.77,171.44,172.28,2410402,-5.9,-3.31,175.1675
ODFL,2025-02-28,175.9,179.12,175.19,176.5,2123313,0.6,0.3411,176.6775
ODFL,2025-02-27,175.91,178.19,174.07,174.77,1494805,-1.14,-0.64806,175.735
ODFL,2025-02-26,179.4,181.28,175.52,175.69,2414782,-3.71,-2.07,177.9725
ODFL,2025-02-25,180.71,182.73,178.05,179.88,2099710,-0.83,-0.4593,180.3425
ODFL,2025-02-24,184.84,185.41,181.48,181.97,2225620,-2.87,-1.55,183.425
ODFL,2025-02-21,197.23,197.23,170.0,180.4,5679600,-16.83,-8.53,186.215
ODFL,2025-02-20,204.16,204.86,196.23,197.25,1366469,-6.91,-3.38,200.625
ODFL,2025-02-19,207.33,208.51,204.93,205.11,1285039,-2.22,-1.07,206.47
ODFL,2025-02-18,207.57,209.61,206.36,209.29,1865714,1.72,0.82864,208.2075
ODFL,2025-02-14,207.0,209.49,206.01,206.34,1274117,-0.66,-0.31884,207.21
ODFL,2025-02-13,204.0,206.68,202.59,206.39,1287513,2.39,1.17,204.915
ODFL,2025-02-12,201.33,203.98,198.68,203.02,1444810,1.69,0.83942,201.7525
ODFL,2025-02-11,200.04,206.49,199.98,205.77,1956924,5.73,2.86,203.07
ODFL,2025-02-10,199.28,201.98,198.0,201.78,1984632,2.5,1.25,200.26
ODFL,2025-02-07,196.45,198.03,193.62,197.2,1871037,0.75,0.38178,196.325
ODFL,2025-02-06,194.36,201.09,193.78,195.88,1851540,1.52,0.78205,196.2775
ODFL,2025-02-05,195.87,199.29,192.65,193.65,2772378,-2.22,-1.13,195.365
ODFL,2025-02-04,181.1,183.92,181.06,183.66,1996200,2.56,1.41,182.435
ODFL,2025-02-03,188.13,189.01,181.98,182.05,2165848,-6.08,-3.23,185.2925
ODFL,2025-01-31,186.78,188.93,184.37,185.61,1556607,-1.17,-0.62641,186.4225
ODFL,2025-01-30,184.54,187.23,183.19,186.78,1587962,2.24,1.21,185.435
ODFL,2025-01-29,190.01,190.69,185.58,185.84,1556220,-4.17,-2.19,188.03
ODFL,2025-01-28,194.24,194.38,189.67,189.99,1522700,-4.25,-2.19,192.07
ODFL,2025-01-27,189.42,195.73,189.42,194.71,1852816,5.29,2.79,192.32
ODFL,2025-01-24,190.02,192.05,189.81,190.81,870244,0.79,0.41575,190.6725
ODFL,2025-01-23,192.03,192.6,190.2,191.54,1178043,-0.49,-0.25517,191.5925
ODFL,2025-01-22,190.2,191.4,188.64,188.79,1410214,-1.41,-0.74132,189.7575
ODFL,2025-01-21,191.52,191.65,188.88,190.43,1440230,-1.09,-0.56913,190.62
ODFL,2025-01-17,191.26,191.26,186.46,189.55,1307512,-1.71,-0.89407,189.6325
ODFL,2025-01-16,186.7,190.55,185.35,189.92,1083403,3.22,1.72,188.13
ODFL,2025-01-15,187.99,189.9,186.04,186.86,1956964,-1.13,-0.6011,187.6975
ODFL,2025-01-14,181.57,183.86,181.07,183.62,1175513,2.05,1.13,182.53
ODFL,2025-01-13,175.34,180.83,175.34,180.67,1229700,5.33,3.04,178.045
ODFL,2025-01-10,176.89,177.9,175.27,176.41,1045700,-0.48,-0.27136,176.6175
ODFL,2025-01-08,179.25,181.83,178.87,179.58,1483633,0.33,0.1841,179.8825
ODFL,2025-01-07,182.34,182.34,178.56,180.64,1498648,-1.7,-0.93232,180.97
ODFL,2025-01-06,181.39,184.38,181.11,182.67,1149800,1.28,0.70566,182.3875
ODFL,2025-01-03,177.38,181.31,176.59,180.91,1090646,3.53,1.99,179.0475
ODFL,2025-01-02,178.93,180.41,174.85,175.73,903431,-3.2,-1.79,177.48
ODFL,2024-12-31,178.16,179.48,176.34,176.4,845700,-1.76,-0.98788,177.595
ODFL,2024-12-30,179.3,179.43,174.8,177.28,1404800,-2.02,-1.13,177.7025
ODFL,2024-12-27,178.96,182.4,177.84,180.23,1080516,1.27,0.70966,179.8575
ODFL,2024-12-26,180.1,182.83,179.43,181.44,756743,1.34,0.74403,180.95
ODFL,2024-12-24,179.71,182.07,179.0,181.57,576017,1.86,1.04,180.5875
ODFL,2024-12-23,180.82,182.0,179.35,180.16,1597243,-0.66,-0.365,180.5825
ODFL,2024-12-20,186.84,186.84,176.03,181.37,5024356,-5.47,-2.93,182.77
ODFL,2024-12-19,193.2,194.33,187.64,187.74,1680098,-5.46,-2.83,190.7275
ODFL,2024-12-18,197.77,199.9,191.42,191.77,1166534,-6.0,-3.03,195.215
ODFL,2024-12-17,197.7,199.84,196.84,198.98,1632528,1.28,0.64745,198.34
ODFL,2024-12-16,200.08,200.38,197.39,198.89,1852345,-1.19,-0.59476,199.185
ODFL,2024-12-13,202.29,203.48,200.58,200.69,849101,-1.6,-0.79094,201.76
ODFL,2024-12-12,204.45,204.58,200.23,203.04,1083673,-1.41,-0.68966,203.075
ODFL,2024-12-11,205.62,206.34,203.36,204.81,1875333,-0.81,-0.39393,205.0325
ODFL,2024-12-10,204.16,206.86,200.48,205.09,1454300,0.93,0.45553,204.1475
ODFL,2024-12-09,203.1,205.1,202.85,203.93,1305900,0.83,0.40867,203.745
ODFL,2024-12-06,204.77,206.62,202.88,203.0,1313113,-1.77,-0.86438,204.3175
ODFL,2024-12-05,209.78,211.33,202.49,202.97,1609726,-6.81,-3.25,206.6425
