symbol,date,open,high,low,close,volume,change,changePercent,vwap
ON,2025-04-04,34.46,35.505,33.21,33.885,10206080,-0.575,-1.6686,34.2
ON,2025-04-03,38.76,39.23,35.5,35.56,14891973,-3.2,-8.26,37.2625
ON,2025-04-02,39.59,41.59,39.18,40.76,5689838,1.17,2.96,40.28
ON,2025-04-01,40.51,40.58,39.1,40.2,7432512,-0.305,-0.76524,40.0975
ON,2025-03-31,40.55,41.54,39.36,40.69,8999100,0.14,0.34525,40.535
ON,2025-03-28,43.12,43.33,40.62,40.94,10439224,-2.18,-5.06,42.0025
ON,2025-03-27,44.63,45.01,43.73,43.76,6424100,-0.87,-1.95,44.2825
ON,2025-03-26,45.11,45.64,44.06,45.04,8458635,-0.07,-0.15518,44.9625
ON,2025-03-25,45.43,45.88,44.98,45.31,4759100,-0.12,-0.26414,45.4
ON,2025-03-24,45.33,46.24,45.13,45.68,9943841,0.35,0.77212,45.595
ON,2025-03-21,42.26,44.0,41.9,43.78,17838900,1.52,3.6,42.985
ON,2025-03-20,43.01,43.83,42.73,43.2,6432307,0.19,0.44176,43.1925
ON,2025-03-19,43.61,44.44,43.29,43.58,5041200,-0.03,-0.06879156,43.73
ON,2025-03-18,43.46,43.96,42.85,43.42,5278539,-0.04,-0.09203866,43.4225
ON,2025-03-17,43.06,44.42,42.91,44.05,6697094,0.99,2.3,43.61
ON,2025-03-14,42.99,43.44,42.35,43.19,6639965,0.2,0.46522,42.9925
ON,2025-03-13,42.71,43.78,41.59,42.15,6256537,-0.56,-1.31,42.5575
ON,2025-03-12,43.26,43.68,42.52,42.85,6693600,-0.41,-0.94776,43.0775
ON,2025-03-11,44.38,44.7,41.85,42.86,9016100,-1.52,-3.42,43.4475
ON,2025-03-10,44.22,44.96,43.56,44.16,10971115,-0.06,-0.13569,44.225
ON,2025-03-07,43.87,46.04,43.58,45.4,10341829,1.53,3.49,44.7225
ON,2025-03-06,44.34,45.07,43.33,43.88,12563333,-0.46,-1.04,44.155
ON,2025-03-05,45.53,46.57,45.02,46.49,8672400,0.96,2.11,45.9025
ON,2025-03-04,45.09,45.74,43.94,44.49,10433100,-0.6,-1.33,44.815
ON,2025-03-03,47.59,48.01,44.67,44.91,12104241,-2.68,-5.63,46.295
ON,2025-02-28,47.94,48.52,46.04,47.05,13110617,-0.89,-1.86,47.3875
ON,2025-02-27,50.12,50.61,46.99,47.38,12453817,-2.74,-5.47,48.775
ON,2025-02-26,51.0,51.41,49.64,50.55,9675300,-0.45,-0.88235,50.65
ON,2025-02-25,53.63,53.95,51.06,51.22,8855426,-2.41,-4.49,52.465
ON,2025-02-24,54.33,54.39,52.76,53.4,9153100,-0.93,-1.71,53.72
ON,2025-02-21,56.3,56.67,53.63,54.05,10983000,-2.25,-4.0,55.1625
ON,2025-02-20,56.25,57.77,55.09,55.74,9393428,-0.51,-0.90667,56.2125
ON,2025-02-19,52.25,56.36,52.0,55.52,15289900,3.27,6.26,54.0325
ON,2025-02-18,52.08,52.96,51.9,51.95,7766531,-0.13,-0.24962,52.2225
ON,2025-02-14,51.17,51.88,50.84,51.83,5963841,0.66,1.29,51.43
ON,2025-02-13,50.06,50.97,49.7,50.92,7400100,0.86,1.72,50.4125
ON,2025-02-12,47.29,50.18,47.26,50.06,9413900,2.77,5.86,48.6975
ON,2025-02-11,46.97,48.95,46.79,47.93,11150500,0.96,2.04,47.66
ON,2025-02-10,50.94,51.0,46.57,47.04,23762936,-3.9,-7.66,48.8875
ON,2025-02-07,52.27,53.58,50.44,51.25,13250639,-1.02,-1.95,51.885
ON,2025-02-06,52.2,52.78,51.93,52.44,8149200,0.24,0.45977,52.3375
ON,2025-02-05,50.22,51.78,49.89,51.72,6151527,1.5,2.99,50.9025
ON,2025-02-04,50.68,51.33,50.17,50.58,5660000,-0.1,-0.19732,50.69
ON,2025-02-03,50.65,51.46,49.8,50.26,8078700,-0.39,-0.76999,50.5425
ON,2025-01-31,53.04,53.73,51.95,52.34,6398441,-0.7,-1.32,52.765
ON,2025-01-30,53.57,53.68,51.81,53.27,8385400,-0.3,-0.56001,53.0825
ON,2025-01-29,54.04,54.49,53.1,53.77,5513500,-0.27,-0.49963,53.85
ON,2025-01-28,54.11,54.6,52.8,53.87,10463100,-0.24,-0.44354,53.845
ON,2025-01-27,54.89,56.28,53.47,53.94,12666416,-0.95,-1.73,54.645
ON,2025-01-24,55.58,55.74,54.02,54.5,9237400,-1.08,-1.94,54.96
ON,2025-01-23,55.05,56.3,54.66,56.26,9145849,1.21,2.2,55.5675
ON,2025-01-22,55.0,56.63,55.0,56.03,8091815,1.03,1.87,55.665
ON,2025-01-21,55.1,56.11,54.87,55.61,6336200,0.51,0.92559,55.4225
ON,2025-01-17,54.58,55.08,54.37,54.63,7298922,0.05,0.09160865,54.665
ON,2025-01-16,55.2,55.48,53.46,53.51,8661000,-1.69,-3.06,54.4125
ON,2025-01-15,56.72,56.75,55.14,55.23,7968400,-1.49,-2.63,55.96
ON,2025-01-14,55.27,56.46,54.51,55.18,6350613,-0.09,-0.16284,55.355
ON,2025-01-13,53.2,56.45,53.1,55.87,12195916,2.67,5.02,54.655
ON,2025-01-10,56.38,56.6,53.6,53.94,17560041,-2.44,-4.33,55.13
ON,2025-01-08,62.41,62.59,57.96,58.31,14868300,-4.1,-6.57,60.3175
ON,2025-01-07,64.78,65.25,62.32,62.73,9310420,-2.05,-3.16,63.77
ON,2025-01-06,64.38,67.0,64.33,64.51,7368926,0.13,0.20193,65.055
ON,2025-01-03,61.95,64.47,61.58,63.91,6964273,1.96,3.16,62.9775
ON,2025-01-02,63.81,64.09,61.66,61.71,7393865,-2.1,-3.29,62.8175
ON,2024-12-31,63.79,64.27,62.78,63.05,4300001,-0.74,-1.16,63.4725
ON,2024-12-30,65.18,65.31,63.27,63.46,7230308,-1.72,-2.64,64.305
ON,2024-12-27,66.7,67.05,65.48,66.01,4751948,-0.69,-1.03,66.31
ON,2024-12-26,67.05,67.95,66.99,67.02,3660200,-0.03,-0.04474273,67.2525
ON,2024-12-24,66.63,67.92,66.42,67.9,3044800,1.27,1.91,67.2175
ON,2024-12-23,65.5,66.99,65.45,66.63,5257416,1.13,1.73,66.1425
ON,2024-12-20,64.22,66.86,63.94,65.5,12758500,1.28,1.99,65.13
ON,2024-12-19,66.13,66.97,64.75,64.8,7630200,-1.33,-2.01,65.6625
